Labels,T25_2ms,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,7.465E+4,
2E05,6.040E+5,
4E05,9.027E+5,
6E05,1.005E+6,
800000.060000,1.023E+6,
1E06,1.020E+6,
1.2E06,1.019E+6,
1.4E06,1.019E+6,
1.6E06,1.020E+6,
1.8E06,1.018E+6,
2E06,1.017E+6,
2.2E06,1.014E+6,
2.4E06,1.009E+6,
2.6E06,1.009E+6,
2.8E06,1.007E+6,
3E06,1.007E+6,
3.2E06,1.008E+6,
3.4E06,1.007E+6,
3.6E06,1.010E+6,
3.8E06,1.010E+6,
4E06,1.011E+6,
4.2E06,1.012E+6,
4.4E06,1.012E+6,
4.6E06,1.014E+6,
4.8E06,1.017E+6,
5E06,1.016E+6,
5.2E06,1.019E+6,
5.4E06,1.021E+6,
5.6E06,1.023E+6,
5.8E06,1.024E+6,
6E06,1.025E+6,
6.2E06,1.026E+6,
6400000.500000,1.026E+6,
6600000.500000,1.028E+6,
6800000.500000,1.028E+6,
7000000.500000,1.030E+6,
7200000.600000,1.031E+6,
7400000.600000,1.030E+6,
7600000.600000,1.031E+6,
7800000.600000,1.030E+6,
8000000.600000,1.032E+6,
8200000.600000,1.032E+6,
8400000.700000,1.032E+6,
8600000.700000,1.031E+6,
8800000.700000,1.029E+6,
9000000.700000,1.027E+6,
9200000.700000,1.026E+6,
9400000.700000,1.029E+6,
9600000.800000,1.028E+6,
9800000.800000,1.026E+6,
1E07,1.023E+6,
1.02E07,1.020E+6,
1.04E07,1.016E+6,
1.06E07,1.011E+6,
1.08E07,1.006E+6,
1.1E07,1.002E+6,
1.12E07,9.974E+5,
1.14E07,9.928E+5,
1.16E07,9.875E+5,
1.18E07,9.825E+5,
1.2E07,9.774E+5,
1.22E07,9.709E+5,
1.24E07,9.641E+5,
1.26E07,9.584E+5,
1.28E07,9.516E+5,
1.3E07,9.457E+5,
1.32E07,9.374E+5,
1.34E07,9.306E+5,
1.36E07,9.231E+5,
1.38E07,9.128E+5,
1.4E07,9.060E+5,
1.42E07,8.989E+5,
1.44E07,8.897E+5,
1.46E07,8.828E+5,
1.48E07,8.732E+5,
1.5E07,8.648E+5,
1.52E07,8.554E+5,
1.54E07,8.476E+5,
1.56E07,8.387E+5,
1.58E07,8.295E+5,
1.6E07,8.197E+5,
1.62E07,8.121E+5,
1.64E07,8.021E+5,
1.66E07,7.928E+5,
1.68E07,7.842E+5,
1.7E07,7.741E+5,
1.72E07,7.659E+5,
1.74E07,7.565E+5,
1.76E07,7.456E+5,
1.78E07,7.358E+5,
1.8E07,7.275E+5,
1.82E07,7.174E+5,
1.84E07,7.072E+5,
1.86E07,6.996E+5,
1.88E07,6.896E+5,
1.9E07,6.789E+5,
1.92E07,6.703E+5,
1.94E07,6.619E+5,
1.96E07,6.527E+5,
1.98E07,6.427E+5,
2E07,6.327E+5,
2.02E07,6.238E+5,
2.04E07,6.133E+5,
2.06E07,6.056E+5,
2.08E07,5.980E+5,
2.1E07,5.883E+5,
2.12E07,5.805E+5,
2.14E07,5.714E+5,
2.16E07,5.630E+5,
2.18E07,5.547E+5,
2.2E07,5.451E+5,
2.22E07,5.378E+5,
2.24E07,5.298E+5,
2.26E07,5.206E+5,
2.28E07,5.127E+5,
2.3E07,5.036E+5,
2.32E07,4.965E+5,
2.34E07,4.887E+5,
2.36E07,4.812E+5,
2.38E07,4.732E+5,
2.4E07,4.656E+5,
2.42E07,4.592E+5,
2.44E07,4.511E+5,
2.46E07,4.442E+5,
2.48E07,4.372E+5,
2.5E07,4.307E+5,
2.52E07,4.232E+5,
2.54E07,4.167E+5,
2.56E07,4.085E+5,
2.58E07,4.016E+5,
2.6E07,3.949E+5,
2.62E07,3.870E+5,
2.64E07,3.814E+5,
2.66E07,3.748E+5,
2.68E07,3.684E+5,
2.7E07,3.624E+5,
2.72E07,3.574E+5,
2.74E07,3.511E+5,
2.76E07,3.447E+5,
2.78E07,3.368E+5,
2.8E07,3.331E+5,
2.82E07,3.260E+5,
2.84E07,3.208E+5,
2.86E07,3.161E+5,
2.88E07,3.101E+5,
2.9E07,3.039E+5,
2.92E07,2.989E+5,
2.94E07,2.936E+5,
2.96E07,2.894E+5,
2.98E07,2.842E+5,
3E07,2.782E+5,
3.02E07,2.731E+5,
3.04E07,2.678E+5,
3.06E07,2.636E+5,
3.08E07,2.591E+5,
3.1E07,2.546E+5,
3.12E07,2.493E+5,
3.14E07,2.447E+5,
3.16E07,2.405E+5,
3.18E07,2.364E+5,
3.2E07,2.319E+5,
3.22E07,2.267E+5,
3.24E07,2.227E+5,
3.26E07,2.183E+5,
3.28E07,2.142E+5,
3.3E07,2.105E+5,
3.32E07,2.078E+5,
3.34E07,2.030E+5,
3.36E07,1.995E+5,
3.38E07,1.952E+5,
3.4E07,1.924E+5,
3.42E07,1.889E+5,
3.44E07,1.862E+5,
3.46E07,1.809E+5,
3.48E07,1.783E+5,
3.5E07,1.736E+5,
3.52E07,1.711E+5,
3.54E07,1.673E+5,
3.56E07,1.646E+5,
3.58E07,1.620E+5,
3.6E07,1.581E+5,
3.62E07,1.561E+5,
3.64E07,1.533E+5,
3.66E07,1.488E+5,
3.68E07,1.469E+5,
3.7E07,1.440E+5,
3.72E07,1.408E+5,
3.74E07,1.386E+5,
3.76E07,1.355E+5,
3.78E07,1.341E+5,
3.8E07,1.309E+5,
3.82E07,1.280E+5,
3.84E07,1.252E+5,
3.86E07,1.232E+5,
3.88E07,1.211E+5,
3.9E07,1.188E+5,
3.92E07,1.163E+5,
3.94E07,1.147E+5,
3.96E07,1.121E+5,
3.98E07,1.097E+5,
4E07,1.081E+5,
4.02E07,1.059E+5,
4.04E07,1.043E+5,
4.06E07,1.014E+5,
4.08E07,1.003E+5,
4.1E07,9.844E+4,
4.12E07,9.672E+4,
4.14E07,9.425E+4,
4.16E07,9.233E+4,
4.18E07,9.058E+4,
4.2E07,8.910E+4,
4.22E07,8.771E+4,
4.24E07,8.617E+4,
4.26E07,8.499E+4,
4.28E07,8.242E+4,
4.3E07,8.100E+4,
4.32E07,7.917E+4,
4.34E07,7.834E+4,
4.36E07,7.647E+4,
4.38E07,7.518E+4,
4.4E07,7.359E+4,
4.42E07,7.233E+4,
4.44E07,7.122E+4,
4.46E07,6.950E+4,
4.48E07,6.858E+4,
4.5E07,6.731E+4,
4.52E07,6.572E+4,
4.54E07,6.464E+4,
4.56E07,6.386E+4,
4.58E07,6.275E+4,
4.6E07,6.143E+4,
4.62E07,6.025E+4,
4.64E07,5.929E+4,
4.66E07,5.763E+4,
4.68E07,5.769E+4,
4.7E07,5.652E+4,
4.72E07,5.508E+4,
4.74E07,5.422E+4,
4.76E07,5.368E+4,
4.78E07,5.240E+4,
4.8E07,5.099E+4,
4.82E07,5.000E+4,
4.84E07,4.944E+4,
4.86E07,4.850E+4,
4.88E07,4.812E+4,
4.9E07,4.726E+4,
4.92E07,4.627E+4,
4.94E07,4.558E+4,
4.96E07,4.472E+4,
4.98E07,4.355E+4,
5E07,4.335E+4,
5.02E07,4.253E+4,
5.04E07,4.196E+4,
5.06E07,4.112E+4,
5.08E07,4.000E+4,
5.1E07,3.954E+4,
5.12E07,3.897E+4,
5.14E07,3.856E+4,
5.16E07,3.821E+4,
5.18E07,3.730E+4,
5.2E07,3.676E+4,
5.22E07,3.608E+4,
5.24E07,3.535E+4,
5.26E07,3.525E+4,
5.28E07,3.463E+4,
5.3E07,3.414E+4,
5.32E07,3.381E+4,
5.34E07,3.283E+4,
5.36E07,3.236E+4,
5.38E07,3.216E+4,
5.4E07,3.162E+4,
5.42E07,3.106E+4,
5.44E07,3.062E+4,
5.46E07,2.998E+4,
5.48E07,2.966E+4,
5.5E07,2.971E+4,
5.52E07,2.829E+4,
5.54E07,2.875E+4,
5.56E07,2.815E+4,
5.58E07,2.814E+4,
5.6E07,2.723E+4,
5.62E07,2.707E+4,
5.64E07,2.665E+4,
5.66E07,2.606E+4,
5.68E07,2.582E+4,
5.7E07,2.537E+4,
5.72E07,2.532E+4,
5.74E07,2.502E+4,
5.76E07,2.464E+4,
5.78E07,2.448E+4,
5.8E07,2.407E+4,
5.82E07,2.385E+4,
5.84E07,2.351E+4,
5.86E07,2.314E+4,
5.88E07,2.326E+4,
5.9E07,2.248E+4,
5.92E07,2.238E+4,
5.94E07,2.207E+4,
5.96E07,2.163E+4,
5.98E07,2.142E+4,
6E07,2.114E+4,
6.02E07,2.124E+4,
6.04E07,2.095E+4,
6.06E07,2.054E+4,
6.08E07,2.026E+4,
6.1E07,2.040E+4,
6.12E07,1.982E+4,
6.14E07,1.985E+4,
6.16E07,1.940E+4,
6.18E07,1.914E+4,
6.2E07,1.936E+4,
6.22E07,1.895E+4,
6.24E07,1.882E+4,
6.26E07,1.877E+4,
6.28E07,1.834E+4,
6.3E07,1.842E+4,
6.32E07,1.817E+4,
6.34E07,1.790E+4,
6.36E07,1.758E+4,
6.38E07,1.745E+4,
64000005.000000,1.724E+4,
64200005.000000,1.745E+4,
64400005.000000,1.727E+4,
64600005.000000,1.691E+4,
64800005.000000,1.659E+4,
65000005.000000,1.652E+4,
65200005.000000,1.651E+4,
65400005.000000,1.657E+4,
65600005.000000,1.630E+4,
65800005.000000,1.612E+4,
