Labels,T10_2ms,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.137E+4,
2E05,4.803E+4,
4E05,8.772E+4,
6E05,1.259E+5,
800000.060000,1.600E+5,
1E06,1.922E+5,
1.2E06,2.219E+5,
1.4E06,2.499E+5,
1.6E06,2.768E+5,
1.8E06,3.023E+5,
2E06,3.217E+5,
2.2E06,3.210E+5,
2.4E06,3.148E+5,
2.6E06,3.105E+5,
2.8E06,3.071E+5,
3E06,3.011E+5,
3.2E06,2.975E+5,
3.4E06,2.928E+5,
3.6E06,2.886E+5,
3.8E06,2.851E+5,
4E06,2.795E+5,
4.2E06,2.752E+5,
4.4E06,2.708E+5,
4.6E06,2.670E+5,
4.8E06,2.626E+5,
5E06,2.584E+5,
5.2E06,2.553E+5,
5.4E06,2.508E+5,
5.6E06,2.466E+5,
5.8E06,2.432E+5,
6E06,2.384E+5,
6.2E06,2.354E+5,
6400000.500000,2.329E+5,
6600000.500000,2.286E+5,
6800000.500000,2.248E+5,
7000000.500000,2.211E+5,
7200000.600000,2.173E+5,
7400000.600000,2.140E+5,
7600000.600000,2.103E+5,
7800000.600000,2.071E+5,
8000000.600000,2.042E+5,
8200000.600000,2.009E+5,
8400000.700000,1.968E+5,
8600000.700000,1.942E+5,
8800000.700000,1.914E+5,
9000000.700000,1.883E+5,
9200000.700000,1.853E+5,
9400000.700000,1.823E+5,
9600000.800000,1.793E+5,
9800000.800000,1.766E+5,
1E07,1.727E+5,
1.02E07,1.711E+5,
1.04E07,1.684E+5,
1.06E07,1.656E+5,
1.08E07,1.618E+5,
1.1E07,1.604E+5,
1.12E07,1.573E+5,
1.14E07,1.548E+5,
1.16E07,1.527E+5,
1.18E07,1.496E+5,
1.2E07,1.478E+5,
1.22E07,1.448E+5,
1.24E07,1.426E+5,
1.26E07,1.407E+5,
1.28E07,1.384E+5,
1.3E07,1.358E+5,
1.32E07,1.337E+5,
1.34E07,1.314E+5,
1.36E07,1.294E+5,
1.38E07,1.274E+5,
1.4E07,1.256E+5,
1.42E07,1.231E+5,
1.44E07,1.208E+5,
1.46E07,1.192E+5,
1.48E07,1.173E+5,
1.5E07,1.157E+5,
1.52E07,1.135E+5,
1.54E07,1.112E+5,
1.56E07,1.095E+5,
1.58E07,1.077E+5,
1.6E07,1.062E+5,
1.62E07,1.047E+5,
1.64E07,1.024E+5,
1.66E07,1.018E+5,
1.68E07,9.956E+4,
1.7E07,9.831E+4,
1.72E07,9.636E+4,
1.74E07,9.459E+4,
1.76E07,9.295E+4,
1.78E07,9.178E+4,
1.8E07,9.006E+4,
1.82E07,8.953E+4,
1.84E07,8.738E+4,
1.86E07,8.582E+4,
1.88E07,8.514E+4,
1.9E07,8.340E+4,
1.92E07,8.123E+4,
1.94E07,8.005E+4,
1.96E07,7.884E+4,
1.98E07,7.797E+4,
2E07,7.681E+4,
2.02E07,7.551E+4,
2.04E07,7.502E+4,
2.06E07,7.261E+4,
2.08E07,7.217E+4,
2.1E07,7.080E+4,
2.12E07,6.986E+4,
2.14E07,6.838E+4,
2.16E07,6.755E+4,
2.18E07,6.648E+4,
2.2E07,6.551E+4,
2.22E07,6.440E+4,
2.24E07,6.319E+4,
2.26E07,6.210E+4,
2.28E07,6.150E+4,
2.3E07,6.064E+4,
2.32E07,5.934E+4,
2.34E07,5.883E+4,
2.36E07,5.756E+4,
2.38E07,5.631E+4,
2.4E07,5.585E+4,
2.42E07,5.481E+4,
2.44E07,5.402E+4,
2.46E07,5.386E+4,
2.48E07,5.225E+4,
2.5E07,5.153E+4,
2.52E07,5.092E+4,
2.54E07,4.974E+4,
2.56E07,4.897E+4,
2.58E07,4.882E+4,
2.6E07,4.769E+4,
2.62E07,4.692E+4,
2.64E07,4.643E+4,
2.66E07,4.577E+4,
2.68E07,4.487E+4,
2.7E07,4.413E+4,
2.72E07,4.425E+4,
2.74E07,4.270E+4,
2.76E07,4.221E+4,
2.78E07,4.177E+4,
2.8E07,4.101E+4,
2.82E07,4.069E+4,
2.84E07,3.995E+4,
2.86E07,3.930E+4,
2.88E07,3.872E+4,
2.9E07,3.840E+4,
2.92E07,3.780E+4,
2.94E07,3.736E+4,
2.96E07,3.636E+4,
2.98E07,3.597E+4,
3E07,3.586E+4,
3.02E07,3.481E+4,
3.04E07,3.446E+4,
3.06E07,3.401E+4,
3.08E07,3.346E+4,
3.1E07,3.290E+4,
3.12E07,3.237E+4,
3.14E07,3.227E+4,
3.16E07,3.196E+4,
3.18E07,3.108E+4,
3.2E07,3.069E+4,
3.22E07,3.029E+4,
3.24E07,2.992E+4,
3.26E07,2.947E+4,
3.28E07,2.902E+4,
3.3E07,2.849E+4,
3.32E07,2.880E+4,
3.34E07,2.796E+4,
3.36E07,2.761E+4,
3.38E07,2.703E+4,
3.4E07,2.681E+4,
3.42E07,2.633E+4,
3.44E07,2.621E+4,
3.46E07,2.600E+4,
3.48E07,2.568E+4,
3.5E07,2.503E+4,
3.52E07,2.504E+4,
3.54E07,2.448E+4,
3.56E07,2.411E+4,
3.58E07,2.374E+4,
3.6E07,2.366E+4,
3.62E07,2.337E+4,
3.64E07,2.303E+4,
3.66E07,2.299E+4,
3.68E07,2.248E+4,
3.7E07,2.220E+4,
3.72E07,2.187E+4,
3.74E07,2.187E+4,
3.76E07,2.127E+4,
3.78E07,2.104E+4,
3.8E07,2.131E+4,
3.82E07,2.019E+4,
3.84E07,2.049E+4,
3.86E07,2.027E+4,
3.88E07,1.987E+4,
3.9E07,1.979E+4,
3.92E07,1.961E+4,
3.94E07,1.945E+4,
3.96E07,1.909E+4,
3.98E07,1.892E+4,
4E07,1.885E+4,
4.02E07,1.859E+4,
4.04E07,1.823E+4,
4.06E07,1.808E+4,
4.08E07,1.785E+4,
4.1E07,1.791E+4,
4.12E07,1.757E+4,
4.14E07,1.708E+4,
4.16E07,1.716E+4,
4.18E07,1.678E+4,
4.2E07,1.687E+4,
4.22E07,1.644E+4,
4.24E07,1.629E+4,
4.26E07,1.612E+4,
4.28E07,1.589E+4,
4.3E07,1.592E+4,
4.32E07,1.565E+4,
4.34E07,1.545E+4,
4.36E07,1.537E+4,
4.38E07,1.527E+4,
4.4E07,1.526E+4,
4.42E07,1.501E+4,
4.44E07,1.488E+4,
4.46E07,1.492E+4,
4.48E07,1.468E+4,
4.5E07,1.420E+4,
4.52E07,1.410E+4,
4.54E07,1.410E+4,
4.56E07,1.394E+4,
4.58E07,1.394E+4,
4.6E07,1.357E+4,
4.62E07,1.357E+4,
4.64E07,1.353E+4,
4.66E07,1.357E+4,
4.68E07,1.316E+4,
4.7E07,1.332E+4,
4.72E07,1.321E+4,
4.74E07,1.336E+4,
4.76E07,1.304E+4,
4.78E07,1.280E+4,
4.8E07,1.278E+4,
4.82E07,1.266E+4,
4.84E07,1.251E+4,
4.86E07,1.251E+4,
4.88E07,1.228E+4,
4.9E07,1.233E+4,
4.92E07,1.212E+4,
4.94E07,1.195E+4,
4.96E07,1.174E+4,
4.98E07,1.179E+4,
5E07,1.185E+4,
5.02E07,1.193E+4,
5.04E07,1.167E+4,
5.06E07,1.176E+4,
5.08E07,1.156E+4,
5.1E07,1.128E+4,
5.12E07,1.132E+4,
5.14E07,1.126E+4,
5.16E07,1.102E+4,
5.18E07,1.112E+4,
5.2E07,1.118E+4,
5.22E07,1.098E+4,
5.24E07,1.096E+4,
5.26E07,1.101E+4,
5.28E07,1.085E+4,
5.3E07,1.075E+4,
5.32E07,1.077E+4,
5.34E07,1.071E+4,
5.36E07,1.036E+4,
5.38E07,1.035E+4,
5.4E07,1.066E+4,
5.42E07,1.036E+4,
5.44E07,1.036E+4,
5.46E07,1.043E+4,
5.48E07,1.019E+4,
5.5E07,1.013E+4,
5.52E07,1.013E+4,
5.54E07,1.000E+4,
5.56E07,9.963E+3,
5.58E07,1.020E+4,
5.6E07,9.976E+3,
5.62E07,9.641E+3,
5.64E07,9.838E+3,
5.66E07,9.825E+3,
5.68E07,9.736E+3,
5.7E07,9.751E+3,
5.72E07,9.599E+3,
5.74E07,9.586E+3,
5.76E07,9.316E+3,
5.78E07,9.575E+3,
5.8E07,9.433E+3,
5.82E07,9.522E+3,
5.84E07,9.529E+3,
5.86E07,9.168E+3,
5.88E07,9.352E+3,
5.9E07,9.265E+3,
5.92E07,9.203E+3,
5.94E07,9.226E+3,
5.96E07,9.280E+3,
5.98E07,9.180E+3,
6E07,9.113E+3,
6.02E07,9.078E+3,
6.04E07,9.261E+3,
6.06E07,9.123E+3,
6.08E07,8.941E+3,
6.1E07,8.772E+3,
6.12E07,8.913E+3,
6.14E07,8.868E+3,
6.16E07,8.799E+3,
6.18E07,8.774E+3,
6.2E07,8.593E+3,
6.22E07,8.668E+3,
6.24E07,8.796E+3,
6.26E07,8.879E+3,
6.28E07,8.667E+3,
6.3E07,8.823E+3,
6.32E07,8.758E+3,
6.34E07,8.446E+3,
6.36E07,8.596E+3,
6.38E07,8.608E+3,
64000005.000000,8.462E+3,
64200005.000000,8.474E+3,
64400005.000000,8.557E+3,
64600005.000000,8.515E+3,
64800005.000000,8.551E+3,
65000005.000000,8.540E+3,
65200005.000000,8.425E+3,
65400005.000000,8.443E+3,
65600005.000000,8.403E+3,
65800005.000000,8.191E+3,
