Labels,T15_2ms,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.953E+4,
2E05,1.647E+5,
4E05,3.313E+5,
6E05,4.613E+5,
800000.060000,5.663E+5,
1E06,6.523E+5,
1.2E06,7.278E+5,
1.4E06,7.849E+5,
1.6E06,8.292E+5,
1.8E06,8.728E+5,
2E06,8.998E+5,
2.2E06,8.997E+5,
2.4E06,8.955E+5,
2.6E06,8.931E+5,
2.8E06,8.879E+5,
3E06,8.823E+5,
3.2E06,8.775E+5,
3.4E06,8.715E+5,
3.6E06,8.655E+5,
3.8E06,8.600E+5,
4E06,8.534E+5,
4.2E06,8.468E+5,
4.4E06,8.400E+5,
4.6E06,8.330E+5,
4.8E06,8.282E+5,
5E06,8.205E+5,
5.2E06,8.141E+5,
5.4E06,8.063E+5,
5.6E06,8.010E+5,
5.8E06,7.929E+5,
6E06,7.868E+5,
6.2E06,7.791E+5,
6400000.500000,7.723E+5,
6600000.500000,7.662E+5,
6800000.500000,7.591E+5,
7000000.500000,7.517E+5,
7200000.600000,7.433E+5,
7400000.600000,7.361E+5,
7600000.600000,7.291E+5,
7800000.600000,7.224E+5,
8000000.600000,7.145E+5,
8200000.600000,7.092E+5,
8400000.700000,7.018E+5,
8600000.700000,6.954E+5,
8800000.700000,6.886E+5,
9000000.700000,6.795E+5,
9200000.700000,6.740E+5,
9400000.700000,6.669E+5,
9600000.800000,6.577E+5,
9800000.800000,6.516E+5,
1E07,6.444E+5,
1.02E07,6.384E+5,
1.04E07,6.300E+5,
1.06E07,6.243E+5,
1.08E07,6.184E+5,
1.1E07,6.115E+5,
1.12E07,6.039E+5,
1.14E07,5.977E+5,
1.16E07,5.915E+5,
1.18E07,5.845E+5,
1.2E07,5.788E+5,
1.22E07,5.717E+5,
1.24E07,5.642E+5,
1.26E07,5.583E+5,
1.28E07,5.516E+5,
1.3E07,5.464E+5,
1.32E07,5.395E+5,
1.34E07,5.314E+5,
1.36E07,5.275E+5,
1.38E07,5.204E+5,
1.4E07,5.136E+5,
1.42E07,5.080E+5,
1.44E07,5.027E+5,
1.46E07,4.964E+5,
1.48E07,4.913E+5,
1.5E07,4.851E+5,
1.52E07,4.790E+5,
1.54E07,4.728E+5,
1.56E07,4.686E+5,
1.58E07,4.617E+5,
1.6E07,4.553E+5,
1.62E07,4.498E+5,
1.64E07,4.453E+5,
1.66E07,4.392E+5,
1.68E07,4.342E+5,
1.7E07,4.294E+5,
1.72E07,4.234E+5,
1.74E07,4.174E+5,
1.76E07,4.124E+5,
1.78E07,4.071E+5,
1.8E07,4.019E+5,
1.82E07,3.967E+5,
1.84E07,3.914E+5,
1.86E07,3.864E+5,
1.88E07,3.820E+5,
1.9E07,3.765E+5,
1.92E07,3.710E+5,
1.94E07,3.674E+5,
1.96E07,3.631E+5,
1.98E07,3.577E+5,
2E07,3.534E+5,
2.02E07,3.495E+5,
2.04E07,3.444E+5,
2.06E07,3.400E+5,
2.08E07,3.354E+5,
2.1E07,3.305E+5,
2.12E07,3.272E+5,
2.14E07,3.213E+5,
2.16E07,3.175E+5,
2.18E07,3.141E+5,
2.2E07,3.095E+5,
2.22E07,3.063E+5,
2.24E07,3.013E+5,
2.26E07,2.970E+5,
2.28E07,2.924E+5,
2.3E07,2.887E+5,
2.32E07,2.848E+5,
2.34E07,2.816E+5,
2.36E07,2.782E+5,
2.38E07,2.735E+5,
2.4E07,2.702E+5,
2.42E07,2.663E+5,
2.44E07,2.624E+5,
2.46E07,2.594E+5,
2.48E07,2.554E+5,
2.5E07,2.520E+5,
2.52E07,2.481E+5,
2.54E07,2.445E+5,
2.56E07,2.426E+5,
2.58E07,2.379E+5,
2.6E07,2.351E+5,
2.62E07,2.312E+5,
2.64E07,2.286E+5,
2.66E07,2.260E+5,
2.68E07,2.229E+5,
2.7E07,2.199E+5,
2.72E07,2.159E+5,
2.74E07,2.130E+5,
2.76E07,2.093E+5,
2.78E07,2.074E+5,
2.8E07,2.040E+5,
2.82E07,2.007E+5,
2.84E07,1.983E+5,
2.86E07,1.948E+5,
2.88E07,1.918E+5,
2.9E07,1.897E+5,
2.92E07,1.868E+5,
2.94E07,1.837E+5,
2.96E07,1.818E+5,
2.98E07,1.791E+5,
3E07,1.763E+5,
3.02E07,1.737E+5,
3.04E07,1.714E+5,
3.06E07,1.684E+5,
3.08E07,1.664E+5,
3.1E07,1.635E+5,
3.12E07,1.611E+5,
3.14E07,1.593E+5,
3.16E07,1.570E+5,
3.18E07,1.543E+5,
3.2E07,1.531E+5,
3.22E07,1.507E+5,
3.24E07,1.476E+5,
3.26E07,1.455E+5,
3.28E07,1.435E+5,
3.3E07,1.423E+5,
3.32E07,1.401E+5,
3.34E07,1.374E+5,
3.36E07,1.354E+5,
3.38E07,1.337E+5,
3.4E07,1.313E+5,
3.42E07,1.291E+5,
3.44E07,1.277E+5,
3.46E07,1.260E+5,
3.48E07,1.242E+5,
3.5E07,1.224E+5,
3.52E07,1.214E+5,
3.54E07,1.191E+5,
3.56E07,1.173E+5,
3.58E07,1.141E+5,
3.6E07,1.140E+5,
3.62E07,1.118E+5,
3.64E07,1.097E+5,
3.66E07,1.086E+5,
3.68E07,1.077E+5,
3.7E07,1.058E+5,
3.72E07,1.044E+5,
3.74E07,1.022E+5,
3.76E07,1.007E+5,
3.78E07,9.945E+4,
3.8E07,9.907E+4,
3.82E07,9.678E+4,
3.84E07,9.520E+4,
3.86E07,9.387E+4,
3.88E07,9.219E+4,
3.9E07,9.103E+4,
3.92E07,8.959E+4,
3.94E07,8.920E+4,
3.96E07,8.674E+4,
3.98E07,8.589E+4,
4E07,8.452E+4,
4.02E07,8.403E+4,
4.04E07,8.240E+4,
4.06E07,8.103E+4,
4.08E07,8.001E+4,
4.1E07,7.900E+4,
4.12E07,7.771E+4,
4.14E07,7.637E+4,
4.16E07,7.571E+4,
4.18E07,7.464E+4,
4.2E07,7.326E+4,
4.22E07,7.253E+4,
4.24E07,7.104E+4,
4.26E07,7.000E+4,
4.28E07,6.942E+4,
4.3E07,6.834E+4,
4.32E07,6.736E+4,
4.34E07,6.654E+4,
4.36E07,6.506E+4,
4.38E07,6.471E+4,
4.4E07,6.402E+4,
4.42E07,6.283E+4,
4.44E07,6.168E+4,
4.46E07,6.075E+4,
4.48E07,5.993E+4,
4.5E07,5.965E+4,
4.52E07,5.814E+4,
4.54E07,5.771E+4,
4.56E07,5.688E+4,
4.58E07,5.579E+4,
4.6E07,5.529E+4,
4.62E07,5.419E+4,
4.64E07,5.345E+4,
4.66E07,5.339E+4,
4.68E07,5.233E+4,
4.7E07,5.162E+4,
4.72E07,5.091E+4,
4.74E07,5.013E+4,
4.76E07,4.912E+4,
4.78E07,4.876E+4,
4.8E07,4.778E+4,
4.82E07,4.759E+4,
4.84E07,4.716E+4,
4.86E07,4.631E+4,
4.88E07,4.540E+4,
4.9E07,4.477E+4,
4.92E07,4.464E+4,
4.94E07,4.377E+4,
4.96E07,4.314E+4,
4.98E07,4.210E+4,
5E07,4.180E+4,
5.02E07,4.189E+4,
5.04E07,4.078E+4,
5.06E07,4.059E+4,
5.08E07,3.984E+4,
5.1E07,3.960E+4,
5.12E07,3.901E+4,
5.14E07,3.825E+4,
5.16E07,3.771E+4,
5.18E07,3.724E+4,
5.2E07,3.697E+4,
5.22E07,3.669E+4,
5.24E07,3.578E+4,
5.26E07,3.539E+4,
5.28E07,3.476E+4,
5.3E07,3.443E+4,
5.32E07,3.456E+4,
5.34E07,3.363E+4,
5.36E07,3.331E+4,
5.38E07,3.277E+4,
5.4E07,3.237E+4,
5.42E07,3.201E+4,
5.44E07,3.167E+4,
5.46E07,3.138E+4,
5.48E07,3.103E+4,
5.5E07,3.057E+4,
5.52E07,3.019E+4,
5.54E07,2.996E+4,
5.56E07,2.996E+4,
5.58E07,2.912E+4,
5.6E07,2.879E+4,
5.62E07,2.855E+4,
5.64E07,2.831E+4,
5.66E07,2.799E+4,
5.68E07,2.780E+4,
5.7E07,2.737E+4,
5.72E07,2.701E+4,
5.74E07,2.690E+4,
5.76E07,2.642E+4,
5.78E07,2.590E+4,
5.8E07,2.586E+4,
5.82E07,2.573E+4,
5.84E07,2.500E+4,
5.86E07,2.491E+4,
5.88E07,2.460E+4,
5.9E07,2.445E+4,
5.92E07,2.413E+4,
5.94E07,2.395E+4,
5.96E07,2.363E+4,
5.98E07,2.329E+4,
6E07,2.299E+4,
6.02E07,2.272E+4,
6.04E07,2.249E+4,
6.06E07,2.214E+4,
6.08E07,2.238E+4,
6.1E07,2.195E+4,
6.12E07,2.163E+4,
6.14E07,2.141E+4,
6.16E07,2.088E+4,
6.18E07,2.108E+4,
6.2E07,2.064E+4,
6.22E07,2.029E+4,
6.24E07,2.056E+4,
6.26E07,2.005E+4,
6.28E07,1.973E+4,
6.3E07,1.966E+4,
6.32E07,1.945E+4,
6.34E07,1.957E+4,
6.36E07,1.894E+4,
6.38E07,1.898E+4,
64000005.000000,1.853E+4,
64200005.000000,1.844E+4,
64400005.000000,1.832E+4,
64600005.000000,1.817E+4,
64800005.000000,1.812E+4,
65000005.000000,1.822E+4,
65200005.000000,1.792E+4,
65400005.000000,1.773E+4,
65600005.000000,1.763E+4,
65800005.000000,1.753E+4,
