Labels,T1_2ms,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,9.027E+3,
2E05,2.595E+4,
4E05,4.523E+4,
6E05,6.332E+4,
800000.060000,8.161E+4,
1E06,9.758E+4,
1.2E06,1.142E+5,
1.4E06,1.300E+5,
1.6E06,1.445E+5,
1.8E06,1.586E+5,
2E06,1.731E+5,
2.2E06,1.747E+5,
2.4E06,1.723E+5,
2.6E06,1.702E+5,
2.8E06,1.670E+5,
3E06,1.654E+5,
3.2E06,1.621E+5,
3.4E06,1.595E+5,
3.6E06,1.576E+5,
3.8E06,1.553E+5,
4E06,1.524E+5,
4.2E06,1.507E+5,
4.4E06,1.489E+5,
4.6E06,1.457E+5,
4.8E06,1.443E+5,
5E06,1.430E+5,
5.2E06,1.407E+5,
5.4E06,1.389E+5,
5.6E06,1.368E+5,
5.8E06,1.342E+5,
6E06,1.331E+5,
6.2E06,1.307E+5,
6400000.500000,1.298E+5,
6600000.500000,1.275E+5,
6800000.500000,1.255E+5,
7000000.500000,1.237E+5,
7200000.600000,1.226E+5,
7400000.600000,1.204E+5,
7600000.600000,1.182E+5,
7800000.600000,1.170E+5,
8000000.600000,1.149E+5,
8200000.600000,1.135E+5,
8400000.700000,1.125E+5,
8600000.700000,1.104E+5,
8800000.700000,1.087E+5,
9000000.700000,1.076E+5,
9200000.700000,1.057E+5,
9400000.700000,1.048E+5,
9600000.800000,1.029E+5,
9800000.800000,1.018E+5,
1E07,1.002E+5,
1.02E07,9.890E+4,
1.04E07,9.833E+4,
1.06E07,9.627E+4,
1.08E07,9.436E+4,
1.1E07,9.389E+4,
1.12E07,9.248E+4,
1.14E07,9.106E+4,
1.16E07,8.939E+4,
1.18E07,8.835E+4,
1.2E07,8.791E+4,
1.22E07,8.615E+4,
1.24E07,8.537E+4,
1.26E07,8.307E+4,
1.28E07,8.235E+4,
1.3E07,8.190E+4,
1.32E07,8.043E+4,
1.34E07,7.972E+4,
1.36E07,7.832E+4,
1.38E07,7.701E+4,
1.4E07,7.577E+4,
1.42E07,7.460E+4,
1.44E07,7.377E+4,
1.46E07,7.327E+4,
1.48E07,7.233E+4,
1.5E07,7.074E+4,
1.52E07,7.083E+4,
1.54E07,6.897E+4,
1.56E07,6.809E+4,
1.58E07,6.747E+4,
1.6E07,6.631E+4,
1.62E07,6.487E+4,
1.64E07,6.423E+4,
1.66E07,6.381E+4,
1.68E07,6.251E+4,
1.7E07,6.175E+4,
1.72E07,6.131E+4,
1.74E07,6.016E+4,
1.76E07,5.957E+4,
1.78E07,5.873E+4,
1.8E07,5.839E+4,
1.82E07,5.736E+4,
1.84E07,5.626E+4,
1.86E07,5.572E+4,
1.88E07,5.532E+4,
1.9E07,5.430E+4,
1.92E07,5.371E+4,
1.94E07,5.247E+4,
1.96E07,5.195E+4,
1.98E07,5.186E+4,
2E07,5.066E+4,
2.02E07,5.040E+4,
2.04E07,4.953E+4,
2.06E07,4.923E+4,
2.08E07,4.826E+4,
2.1E07,4.779E+4,
2.12E07,4.741E+4,
2.14E07,4.662E+4,
2.16E07,4.579E+4,
2.18E07,4.550E+4,
2.2E07,4.506E+4,
2.22E07,4.409E+4,
2.24E07,4.330E+4,
2.26E07,4.279E+4,
2.28E07,4.256E+4,
2.3E07,4.215E+4,
2.32E07,4.157E+4,
2.34E07,4.098E+4,
2.36E07,4.039E+4,
2.38E07,3.999E+4,
2.4E07,3.956E+4,
2.42E07,3.866E+4,
2.44E07,3.869E+4,
2.46E07,3.807E+4,
2.48E07,3.755E+4,
2.5E07,3.678E+4,
2.52E07,3.657E+4,
2.54E07,3.602E+4,
2.56E07,3.551E+4,
2.58E07,3.531E+4,
2.6E07,3.485E+4,
2.62E07,3.373E+4,
2.64E07,3.395E+4,
2.66E07,3.364E+4,
2.68E07,3.326E+4,
2.7E07,3.280E+4,
2.72E07,3.218E+4,
2.74E07,3.190E+4,
2.76E07,3.137E+4,
2.78E07,3.089E+4,
2.8E07,3.073E+4,
2.82E07,3.055E+4,
2.84E07,3.015E+4,
2.86E07,2.969E+4,
2.88E07,2.936E+4,
2.9E07,2.917E+4,
2.92E07,2.865E+4,
2.94E07,2.819E+4,
2.96E07,2.823E+4,
2.98E07,2.779E+4,
3E07,2.727E+4,
3.02E07,2.696E+4,
3.04E07,2.698E+4,
3.06E07,2.649E+4,
3.08E07,2.625E+4,
3.1E07,2.606E+4,
3.12E07,2.526E+4,
3.14E07,2.537E+4,
3.16E07,2.500E+4,
3.18E07,2.480E+4,
3.2E07,2.451E+4,
3.22E07,2.424E+4,
3.24E07,2.407E+4,
3.26E07,2.377E+4,
3.28E07,2.371E+4,
3.3E07,2.306E+4,
3.32E07,2.293E+4,
3.34E07,2.251E+4,
3.36E07,2.192E+4,
3.38E07,2.253E+4,
3.4E07,2.211E+4,
3.42E07,2.178E+4,
3.44E07,2.169E+4,
3.46E07,2.142E+4,
3.48E07,2.118E+4,
3.5E07,2.086E+4,
3.52E07,2.069E+4,
3.54E07,2.038E+4,
3.56E07,1.997E+4,
3.58E07,2.025E+4,
3.6E07,1.943E+4,
3.62E07,1.954E+4,
3.64E07,1.916E+4,
3.66E07,1.923E+4,
3.68E07,1.888E+4,
3.7E07,1.870E+4,
3.72E07,1.890E+4,
3.74E07,1.890E+4,
3.76E07,1.821E+4,
3.78E07,1.831E+4,
3.8E07,1.783E+4,
3.82E07,1.782E+4,
3.84E07,1.765E+4,
3.86E07,1.755E+4,
3.88E07,1.750E+4,
3.9E07,1.744E+4,
3.92E07,1.697E+4,
3.94E07,1.675E+4,
3.96E07,1.680E+4,
3.98E07,1.659E+4,
4E07,1.651E+4,
4.02E07,1.625E+4,
4.04E07,1.617E+4,
4.06E07,1.583E+4,
4.08E07,1.594E+4,
4.1E07,1.574E+4,
4.12E07,1.546E+4,
4.14E07,1.568E+4,
4.16E07,1.527E+4,
4.18E07,1.516E+4,
4.2E07,1.508E+4,
4.22E07,1.500E+4,
4.24E07,1.494E+4,
4.26E07,1.438E+4,
4.28E07,1.457E+4,
4.3E07,1.435E+4,
4.32E07,1.424E+4,
4.34E07,1.450E+4,
4.36E07,1.426E+4,
4.38E07,1.384E+4,
4.4E07,1.395E+4,
4.42E07,1.358E+4,
4.44E07,1.363E+4,
4.46E07,1.351E+4,
4.48E07,1.355E+4,
4.5E07,1.346E+4,
4.52E07,1.363E+4,
4.54E07,1.334E+4,
4.56E07,1.310E+4,
4.58E07,1.311E+4,
4.6E07,1.306E+4,
4.62E07,1.297E+4,
4.64E07,1.262E+4,
4.66E07,1.264E+4,
4.68E07,1.263E+4,
4.7E07,1.246E+4,
4.72E07,1.250E+4,
4.74E07,1.258E+4,
4.76E07,1.221E+4,
4.78E07,1.223E+4,
4.8E07,1.219E+4,
4.82E07,1.209E+4,
4.84E07,1.195E+4,
4.86E07,1.182E+4,
4.88E07,1.164E+4,
4.9E07,1.159E+4,
4.92E07,1.174E+4,
4.94E07,1.161E+4,
4.96E07,1.163E+4,
4.98E07,1.116E+4,
5E07,1.125E+4,
5.02E07,1.122E+4,
5.04E07,1.117E+4,
5.06E07,1.115E+4,
5.08E07,1.102E+4,
5.1E07,1.088E+4,
5.12E07,1.101E+4,
5.14E07,1.078E+4,
5.16E07,1.079E+4,
5.18E07,1.080E+4,
5.2E07,1.075E+4,
5.22E07,1.076E+4,
5.24E07,1.042E+4,
5.26E07,1.036E+4,
5.28E07,1.058E+4,
5.3E07,1.051E+4,
5.32E07,1.030E+4,
5.34E07,1.028E+4,
5.36E07,1.011E+4,
5.38E07,1.012E+4,
5.4E07,1.030E+4,
5.42E07,1.008E+4,
5.44E07,1.009E+4,
5.46E07,1.015E+4,
5.48E07,1.015E+4,
5.5E07,9.908E+3,
5.52E07,9.982E+3,
5.54E07,9.946E+3,
5.56E07,9.704E+3,
5.58E07,9.637E+3,
5.6E07,9.956E+3,
5.62E07,9.626E+3,
5.64E07,9.686E+3,
5.66E07,9.701E+3,
5.68E07,9.607E+3,
5.7E07,9.433E+3,
5.72E07,9.457E+3,
5.74E07,9.487E+3,
5.76E07,9.416E+3,
5.78E07,9.328E+3,
5.8E07,9.336E+3,
5.82E07,9.373E+3,
5.84E07,9.009E+3,
5.86E07,9.237E+3,
5.88E07,9.211E+3,
5.9E07,9.043E+3,
5.92E07,9.076E+3,
5.94E07,8.987E+3,
5.96E07,9.123E+3,
5.98E07,9.095E+3,
6E07,8.958E+3,
6.02E07,8.995E+3,
6.04E07,8.848E+3,
6.06E07,8.752E+3,
6.08E07,8.836E+3,
6.1E07,8.700E+3,
6.12E07,8.849E+3,
6.14E07,8.741E+3,
6.16E07,8.695E+3,
6.18E07,8.462E+3,
6.2E07,8.741E+3,
6.22E07,8.513E+3,
6.24E07,8.690E+3,
6.26E07,8.539E+3,
6.28E07,8.793E+3,
6.3E07,8.569E+3,
6.32E07,8.369E+3,
6.34E07,8.347E+3,
6.36E07,8.407E+3,
6.38E07,8.604E+3,
64000005.000000,8.241E+3,
64200005.000000,8.363E+3,
64400005.000000,8.229E+3,
64600005.000000,8.478E+3,
64800005.000000,8.323E+3,
65000005.000000,8.200E+3,
65200005.000000,8.311E+3,
65400005.000000,8.300E+3,
65600005.000000,8.502E+3,
65800005.000000,8.289E+3,
