Labels,T19,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.341E+4,
2E05,3.918E+4,
4E05,3.830E+4,
6E05,3.682E+4,
800000.060000,3.678E+4,
1E06,3.597E+4,
1.2E06,3.511E+4,
1.4E06,3.468E+4,
1.6E06,3.398E+4,
1.8E06,3.329E+4,
2E06,3.244E+4,
2.2E06,3.234E+4,
2.4E06,3.173E+4,
2.6E06,3.067E+4,
2.8E06,3.041E+4,
3E06,2.986E+4,
3.2E06,2.938E+4,
3.4E06,2.881E+4,
3.6E06,2.834E+4,
3.8E06,2.833E+4,
4E06,2.733E+4,
4.2E06,2.724E+4,
4.4E06,2.682E+4,
4.6E06,2.633E+4,
4.8E06,2.589E+4,
5E06,2.542E+4,
5.2E06,2.506E+4,
5.4E06,2.491E+4,
5.6E06,2.446E+4,
5.8E06,2.393E+4,
6E06,2.363E+4,
6.2E06,2.346E+4,
6400000.500000,2.286E+4,
6600000.500000,2.237E+4,
6800000.500000,2.246E+4,
7000000.500000,2.204E+4,
7200000.600000,2.153E+4,
7400000.600000,2.119E+4,
7600000.600000,2.092E+4,
7800000.600000,2.051E+4,
8000000.600000,2.053E+4,
8200000.600000,2.006E+4,
8400000.700000,1.999E+4,
8600000.700000,1.932E+4,
8800000.700000,1.899E+4,
9000000.700000,1.886E+4,
9200000.700000,1.877E+4,
9400000.700000,1.841E+4,
9600000.800000,1.814E+4,
9800000.800000,1.795E+4,
1E07,1.761E+4,
1.02E07,1.749E+4,
1.04E07,1.728E+4,
1.06E07,1.693E+4,
1.08E07,1.690E+4,
1.1E07,1.675E+4,
1.12E07,1.634E+4,
1.14E07,1.634E+4,
1.16E07,1.609E+4,
1.18E07,1.562E+4,
1.2E07,1.569E+4,
1.22E07,1.536E+4,
1.24E07,1.551E+4,
1.26E07,1.537E+4,
1.28E07,1.475E+4,
1.3E07,1.487E+4,
1.32E07,1.436E+4,
1.34E07,1.447E+4,
1.36E07,1.431E+4,
1.38E07,1.419E+4,
1.4E07,1.380E+4,
1.42E07,1.381E+4,
1.44E07,1.375E+4,
1.46E07,1.353E+4,
1.48E07,1.336E+4,
1.5E07,1.337E+4,
1.52E07,1.343E+4,
1.54E07,1.307E+4,
1.56E07,1.303E+4,
1.58E07,1.285E+4,
1.6E07,1.266E+4,
1.62E07,1.256E+4,
1.64E07,1.245E+4,
1.66E07,1.229E+4,
1.68E07,1.224E+4,
1.7E07,1.205E+4,
1.72E07,1.211E+4,
1.74E07,1.175E+4,
1.76E07,1.177E+4,
1.78E07,1.175E+4,
1.8E07,1.171E+4,
1.82E07,1.162E+4,
1.84E07,1.153E+4,
1.86E07,1.114E+4,
1.88E07,1.105E+4,
1.9E07,1.119E+4,
1.92E07,1.093E+4,
1.94E07,1.099E+4,
1.96E07,1.087E+4,
1.98E07,1.093E+4,
2E07,1.084E+4,
2.02E07,1.052E+4,
2.04E07,1.050E+4,
2.06E07,1.049E+4,
2.08E07,1.053E+4,
2.1E07,1.024E+4,
2.12E07,1.028E+4,
2.14E07,1.034E+4,
2.16E07,1.024E+4,
2.18E07,1.024E+4,
2.2E07,9.981E+3,
2.22E07,9.969E+3,
2.24E07,9.917E+3,
2.26E07,9.747E+3,
2.28E07,1.000E+4,
2.3E07,9.740E+3,
2.32E07,9.711E+3,
2.34E07,9.740E+3,
2.36E07,9.663E+3,
2.38E07,9.633E+3,
2.4E07,9.691E+3,
2.42E07,9.465E+3,
2.44E07,9.318E+3,
2.46E07,9.298E+3,
2.48E07,9.198E+3,
2.5E07,9.356E+3,
2.52E07,9.346E+3,
2.54E07,9.232E+3,
2.56E07,9.140E+3,
2.58E07,9.209E+3,
2.6E07,9.146E+3,
2.62E07,8.854E+3,
2.64E07,8.838E+3,
2.66E07,9.032E+3,
2.68E07,9.031E+3,
2.7E07,8.826E+3,
2.72E07,8.965E+3,
2.74E07,8.932E+3,
2.76E07,8.868E+3,
2.78E07,8.910E+3,
2.8E07,8.666E+3,
2.82E07,8.740E+3,
2.84E07,8.763E+3,
2.86E07,8.652E+3,
2.88E07,8.817E+3,
2.9E07,8.769E+3,
2.92E07,8.673E+3,
2.94E07,8.663E+3,
2.96E07,8.599E+3,
2.98E07,8.482E+3,
3E07,8.575E+3,
3.02E07,8.490E+3,
3.04E07,8.547E+3,
3.06E07,8.374E+3,
3.08E07,8.404E+3,
3.1E07,8.465E+3,
3.12E07,8.453E+3,
3.14E07,8.215E+3,
3.16E07,8.256E+3,
3.18E07,8.301E+3,
3.2E07,8.261E+3,
3.22E07,8.335E+3,
3.24E07,8.168E+3,
3.26E07,8.068E+3,
3.28E07,8.261E+3,
3.3E07,8.331E+3,
3.32E07,8.143E+3,
3.34E07,8.265E+3,
3.36E07,8.046E+3,
3.38E07,7.933E+3,
3.4E07,7.959E+3,
3.42E07,8.018E+3,
3.44E07,8.254E+3,
3.46E07,7.976E+3,
3.48E07,7.994E+3,
3.5E07,8.027E+3,
3.52E07,8.060E+3,
3.54E07,8.132E+3,
3.56E07,8.034E+3,
3.58E07,7.854E+3,
3.6E07,7.667E+3,
3.62E07,7.741E+3,
3.64E07,7.778E+3,
3.66E07,7.655E+3,
3.68E07,7.744E+3,
3.7E07,7.931E+3,
3.72E07,7.706E+3,
3.74E07,7.860E+3,
3.76E07,7.930E+3,
3.78E07,7.776E+3,
3.8E07,7.718E+3,
3.82E07,7.818E+3,
3.84E07,7.676E+3,
3.86E07,7.582E+3,
3.88E07,7.655E+3,
3.9E07,7.641E+3,
3.92E07,7.815E+3,
3.94E07,7.708E+3,
3.96E07,7.737E+3,
3.98E07,7.711E+3,
4E07,7.742E+3,
4.02E07,7.741E+3,
4.04E07,7.556E+3,
4.06E07,7.762E+3,
4.08E07,7.608E+3,
4.1E07,7.727E+3,
4.12E07,7.704E+3,
4.14E07,7.616E+3,
4.16E07,7.629E+3,
4.18E07,7.714E+3,
4.2E07,7.464E+3,
4.22E07,7.675E+3,
4.24E07,7.544E+3,
4.26E07,7.644E+3,
4.28E07,7.579E+3,
4.3E07,7.681E+3,
4.32E07,7.612E+3,
4.34E07,7.473E+3,
4.36E07,7.551E+3,
4.38E07,7.505E+3,
4.4E07,7.470E+3,
4.42E07,7.596E+3,
4.44E07,7.415E+3,
4.46E07,7.416E+3,
4.48E07,7.387E+3,
4.5E07,7.706E+3,
4.52E07,7.688E+3,
4.54E07,7.612E+3,
4.56E07,7.433E+3,
4.58E07,7.506E+3,
4.6E07,7.408E+3,
4.62E07,7.410E+3,
4.64E07,7.615E+3,
4.66E07,7.638E+3,
4.68E07,7.430E+3,
4.7E07,7.521E+3,
4.72E07,7.443E+3,
4.74E07,7.447E+3,
4.76E07,7.458E+3,
4.78E07,7.428E+3,
4.8E07,7.496E+3,
4.82E07,7.376E+3,
4.84E07,7.433E+3,
4.86E07,7.445E+3,
4.88E07,7.391E+3,
4.9E07,7.452E+3,
4.92E07,7.439E+3,
4.94E07,7.335E+3,
4.96E07,7.340E+3,
4.98E07,7.574E+3,
5E07,7.569E+3,
5.02E07,7.430E+3,
5.04E07,7.405E+3,
5.06E07,7.391E+3,
5.08E07,7.570E+3,
5.1E07,7.443E+3,
5.12E07,7.428E+3,
5.14E07,7.503E+3,
5.16E07,7.321E+3,
5.18E07,7.521E+3,
5.2E07,7.461E+3,
5.22E07,7.480E+3,
5.24E07,7.464E+3,
5.26E07,7.362E+3,
5.28E07,7.418E+3,
5.3E07,7.352E+3,
5.32E07,7.478E+3,
5.34E07,7.445E+3,
5.36E07,7.333E+3,
5.38E07,7.190E+3,
5.4E07,7.538E+3,
5.42E07,7.370E+3,
5.44E07,7.548E+3,
5.46E07,7.305E+3,
5.48E07,7.431E+3,
5.5E07,7.280E+3,
5.52E07,7.558E+3,
5.54E07,7.347E+3,
5.56E07,7.284E+3,
5.58E07,7.383E+3,
5.6E07,7.330E+3,
5.62E07,7.310E+3,
5.64E07,7.514E+3,
5.66E07,7.442E+3,
5.68E07,7.371E+3,
5.7E07,7.172E+3,
5.72E07,7.496E+3,
5.74E07,7.192E+3,
5.76E07,7.347E+3,
5.78E07,7.184E+3,
5.8E07,7.346E+3,
5.82E07,7.515E+3,
5.84E07,7.323E+3,
5.86E07,7.401E+3,
5.88E07,7.374E+3,
5.9E07,7.189E+3,
5.92E07,7.322E+3,
5.94E07,7.505E+3,
5.96E07,7.224E+3,
5.98E07,7.361E+3,
6E07,7.310E+3,
6.02E07,7.275E+3,
6.04E07,7.339E+3,
6.06E07,7.430E+3,
6.08E07,7.351E+3,
6.1E07,7.367E+3,
6.12E07,7.217E+3,
6.14E07,7.098E+3,
6.16E07,7.231E+3,
6.18E07,7.184E+3,
6.2E07,7.333E+3,
6.22E07,7.680E+3,
6.24E07,7.238E+3,
6.26E07,7.326E+3,
6.28E07,7.418E+3,
6.3E07,7.404E+3,
6.32E07,7.302E+3,
6.34E07,7.215E+3,
6.36E07,7.406E+3,
6.38E07,7.345E+3,
64000005.000000,7.231E+3,
64200005.000000,7.539E+3,
64400005.000000,7.252E+3,
64600005.000000,7.308E+3,
64800005.000000,7.238E+3,
65000005.000000,7.376E+3,
65200005.000000,7.285E+3,
65400005.000000,7.331E+3,
65600005.000000,7.263E+3,
65800005.000000,7.098E+3,
66000005.000000,7.194E+3,
