Labels,T24_2ms,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.087E+4,
2E05,4.237E+4,
4E05,7.628E+4,
6E05,1.090E+5,
800000.060000,1.393E+5,
1E06,1.684E+5,
1.2E06,1.945E+5,
1.4E06,2.193E+5,
1.6E06,2.432E+5,
1.8E06,2.657E+5,
2E06,2.848E+5,
2.2E06,2.842E+5,
2.4E06,2.796E+5,
2.6E06,2.749E+5,
2.8E06,2.726E+5,
3E06,2.687E+5,
3.2E06,2.652E+5,
3.4E06,2.616E+5,
3.6E06,2.579E+5,
3.8E06,2.547E+5,
4E06,2.522E+5,
4.2E06,2.475E+5,
4.4E06,2.439E+5,
4.6E06,2.399E+5,
4.8E06,2.377E+5,
5E06,2.336E+5,
5.2E06,2.307E+5,
5.4E06,2.285E+5,
5.6E06,2.248E+5,
5.8E06,2.227E+5,
6E06,2.178E+5,
6.2E06,2.158E+5,
6400000.500000,2.131E+5,
6600000.500000,2.100E+5,
6800000.500000,2.074E+5,
7000000.500000,2.050E+5,
7200000.600000,2.017E+5,
7400000.600000,1.992E+5,
7600000.600000,1.970E+5,
7800000.600000,1.942E+5,
8000000.600000,1.904E+5,
8200000.600000,1.887E+5,
8400000.700000,1.853E+5,
8600000.700000,1.832E+5,
8800000.700000,1.810E+5,
9000000.700000,1.785E+5,
9200000.700000,1.754E+5,
9400000.700000,1.733E+5,
9600000.800000,1.712E+5,
9800000.800000,1.690E+5,
1E07,1.655E+5,
1.02E07,1.640E+5,
1.04E07,1.612E+5,
1.06E07,1.593E+5,
1.08E07,1.573E+5,
1.1E07,1.559E+5,
1.12E07,1.537E+5,
1.14E07,1.504E+5,
1.16E07,1.492E+5,
1.18E07,1.461E+5,
1.2E07,1.448E+5,
1.22E07,1.425E+5,
1.24E07,1.410E+5,
1.26E07,1.381E+5,
1.28E07,1.373E+5,
1.3E07,1.353E+5,
1.32E07,1.332E+5,
1.34E07,1.317E+5,
1.36E07,1.297E+5,
1.38E07,1.270E+5,
1.4E07,1.260E+5,
1.42E07,1.245E+5,
1.44E07,1.220E+5,
1.46E07,1.197E+5,
1.48E07,1.190E+5,
1.5E07,1.167E+5,
1.52E07,1.153E+5,
1.54E07,1.138E+5,
1.56E07,1.120E+5,
1.58E07,1.104E+5,
1.6E07,1.088E+5,
1.62E07,1.072E+5,
1.64E07,1.062E+5,
1.66E07,1.049E+5,
1.68E07,1.036E+5,
1.7E07,1.013E+5,
1.72E07,9.971E+4,
1.74E07,9.916E+4,
1.76E07,9.719E+4,
1.78E07,9.631E+4,
1.8E07,9.452E+4,
1.82E07,9.320E+4,
1.84E07,9.278E+4,
1.86E07,9.080E+4,
1.88E07,8.940E+4,
1.9E07,8.854E+4,
1.92E07,8.775E+4,
1.94E07,8.577E+4,
1.96E07,8.458E+4,
1.98E07,8.372E+4,
2E07,8.220E+4,
2.02E07,8.135E+4,
2.04E07,7.969E+4,
2.06E07,7.937E+4,
2.08E07,7.769E+4,
2.1E07,7.668E+4,
2.12E07,7.623E+4,
2.14E07,7.440E+4,
2.16E07,7.339E+4,
2.18E07,7.207E+4,
2.2E07,7.119E+4,
2.22E07,7.043E+4,
2.24E07,6.991E+4,
2.26E07,6.933E+4,
2.28E07,6.794E+4,
2.3E07,6.690E+4,
2.32E07,6.598E+4,
2.34E07,6.553E+4,
2.36E07,6.412E+4,
2.38E07,6.369E+4,
2.4E07,6.265E+4,
2.42E07,6.188E+4,
2.44E07,6.034E+4,
2.46E07,5.936E+4,
2.48E07,5.922E+4,
2.5E07,5.794E+4,
2.52E07,5.767E+4,
2.54E07,5.656E+4,
2.56E07,5.602E+4,
2.58E07,5.551E+4,
2.6E07,5.471E+4,
2.62E07,5.402E+4,
2.64E07,5.333E+4,
2.66E07,5.240E+4,
2.68E07,5.178E+4,
2.7E07,5.088E+4,
2.72E07,5.010E+4,
2.74E07,5.011E+4,
2.76E07,4.925E+4,
2.78E07,4.801E+4,
2.8E07,4.809E+4,
2.82E07,4.712E+4,
2.84E07,4.661E+4,
2.86E07,4.581E+4,
2.88E07,4.504E+4,
2.9E07,4.448E+4,
2.92E07,4.415E+4,
2.94E07,4.352E+4,
2.96E07,4.276E+4,
2.98E07,4.266E+4,
3E07,4.193E+4,
3.02E07,4.130E+4,
3.04E07,4.085E+4,
3.06E07,4.008E+4,
3.08E07,3.967E+4,
3.1E07,3.967E+4,
3.12E07,3.872E+4,
3.14E07,3.838E+4,
3.16E07,3.775E+4,
3.18E07,3.709E+4,
3.2E07,3.643E+4,
3.22E07,3.675E+4,
3.24E07,3.576E+4,
3.26E07,3.555E+4,
3.28E07,3.488E+4,
3.3E07,3.480E+4,
3.32E07,3.446E+4,
3.34E07,3.377E+4,
3.36E07,3.290E+4,
3.38E07,3.293E+4,
3.4E07,3.251E+4,
3.42E07,3.204E+4,
3.44E07,3.189E+4,
3.46E07,3.123E+4,
3.48E07,3.102E+4,
3.5E07,3.051E+4,
3.52E07,3.010E+4,
3.54E07,3.009E+4,
3.56E07,2.934E+4,
3.58E07,2.901E+4,
3.6E07,2.877E+4,
3.62E07,2.846E+4,
3.64E07,2.825E+4,
3.66E07,2.772E+4,
3.68E07,2.761E+4,
3.7E07,2.728E+4,
3.72E07,2.692E+4,
3.74E07,2.654E+4,
3.76E07,2.619E+4,
3.78E07,2.552E+4,
3.8E07,2.577E+4,
3.82E07,2.542E+4,
3.84E07,2.520E+4,
3.86E07,2.468E+4,
3.88E07,2.444E+4,
3.9E07,2.423E+4,
3.92E07,2.407E+4,
3.94E07,2.368E+4,
3.96E07,2.360E+4,
3.98E07,2.325E+4,
4E07,2.307E+4,
4.02E07,2.273E+4,
4.04E07,2.239E+4,
4.06E07,2.222E+4,
4.08E07,2.169E+4,
4.1E07,2.196E+4,
4.12E07,2.173E+4,
4.14E07,2.158E+4,
4.16E07,2.092E+4,
4.18E07,2.111E+4,
4.2E07,2.057E+4,
4.22E07,2.062E+4,
4.24E07,2.032E+4,
4.26E07,2.032E+4,
4.28E07,2.027E+4,
4.3E07,1.966E+4,
4.32E07,1.966E+4,
4.34E07,1.930E+4,
4.36E07,1.908E+4,
4.38E07,1.899E+4,
4.4E07,1.849E+4,
4.42E07,1.842E+4,
4.44E07,1.814E+4,
4.46E07,1.824E+4,
4.48E07,1.829E+4,
4.5E07,1.772E+4,
4.52E07,1.784E+4,
4.54E07,1.759E+4,
4.56E07,1.713E+4,
4.58E07,1.718E+4,
4.6E07,1.690E+4,
4.62E07,1.707E+4,
4.64E07,1.668E+4,
4.66E07,1.674E+4,
4.68E07,1.650E+4,
4.7E07,1.641E+4,
4.72E07,1.610E+4,
4.74E07,1.584E+4,
4.76E07,1.588E+4,
4.78E07,1.565E+4,
4.8E07,1.542E+4,
4.82E07,1.541E+4,
4.84E07,1.561E+4,
4.86E07,1.518E+4,
4.88E07,1.518E+4,
4.9E07,1.492E+4,
4.92E07,1.484E+4,
4.94E07,1.487E+4,
4.96E07,1.461E+4,
4.98E07,1.423E+4,
5E07,1.441E+4,
5.02E07,1.431E+4,
5.04E07,1.419E+4,
5.06E07,1.403E+4,
5.08E07,1.412E+4,
5.1E07,1.396E+4,
5.12E07,1.385E+4,
5.14E07,1.375E+4,
5.16E07,1.367E+4,
5.18E07,1.336E+4,
5.2E07,1.339E+4,
5.22E07,1.344E+4,
5.24E07,1.317E+4,
5.26E07,1.306E+4,
5.28E07,1.309E+4,
5.3E07,1.292E+4,
5.32E07,1.276E+4,
5.34E07,1.278E+4,
5.36E07,1.264E+4,
5.38E07,1.242E+4,
5.4E07,1.240E+4,
5.42E07,1.263E+4,
5.44E07,1.245E+4,
5.46E07,1.243E+4,
5.48E07,1.211E+4,
5.5E07,1.211E+4,
5.52E07,1.194E+4,
5.54E07,1.188E+4,
5.56E07,1.196E+4,
5.58E07,1.171E+4,
5.6E07,1.179E+4,
5.62E07,1.164E+4,
5.64E07,1.148E+4,
5.66E07,1.169E+4,
5.68E07,1.162E+4,
5.7E07,1.130E+4,
5.72E07,1.139E+4,
5.74E07,1.107E+4,
5.76E07,1.138E+4,
5.78E07,1.136E+4,
5.8E07,1.103E+4,
5.82E07,1.106E+4,
5.84E07,1.113E+4,
5.86E07,1.102E+4,
5.88E07,1.085E+4,
5.9E07,1.096E+4,
5.92E07,1.075E+4,
5.94E07,1.063E+4,
5.96E07,1.071E+4,
5.98E07,1.064E+4,
6E07,1.043E+4,
6.02E07,1.066E+4,
6.04E07,1.039E+4,
6.06E07,1.059E+4,
6.08E07,1.035E+4,
6.1E07,1.039E+4,
6.12E07,9.924E+3,
6.14E07,1.035E+4,
6.16E07,1.026E+4,
6.18E07,1.010E+4,
6.2E07,1.014E+4,
6.22E07,9.982E+3,
6.24E07,1.000E+4,
6.26E07,1.006E+4,
6.28E07,9.839E+3,
6.3E07,9.901E+3,
6.32E07,9.692E+3,
6.34E07,9.585E+3,
6.36E07,9.653E+3,
6.38E07,9.781E+3,
64000005.000000,9.681E+3,
64200005.000000,9.452E+3,
64400005.000000,9.661E+3,
64600005.000000,9.479E+3,
64800005.000000,9.442E+3,
65000005.000000,9.451E+3,
65200005.000000,9.389E+3,
65400005.000000,9.402E+3,
65600005.000000,9.348E+3,
65800005.000000,9.408E+3,
