Labels,100us_150k,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.373E+4,
2E05,2.416E+4,
4E05,2.346E+4,
6E05,2.283E+4,
800000.060000,2.240E+4,
1E06,2.200E+4,
1.2E06,2.156E+4,
1.4E06,2.127E+4,
1.6E06,2.124E+4,
1.8E06,2.064E+4,
2E06,2.066E+4,
2.2E06,2.011E+4,
2.4E06,1.979E+4,
2.6E06,1.948E+4,
2.8E06,1.941E+4,
3E06,1.908E+4,
3.2E06,1.905E+4,
3.4E06,1.840E+4,
3.6E06,1.837E+4,
3.8E06,1.819E+4,
4E06,1.788E+4,
4.2E06,1.770E+4,
4.4E06,1.770E+4,
4.6E06,1.729E+4,
4.8E06,1.714E+4,
5E06,1.691E+4,
5.2E06,1.643E+4,
5.4E06,1.666E+4,
5.6E06,1.645E+4,
5.8E06,1.596E+4,
6E06,1.627E+4,
6.2E06,1.558E+4,
6400000.500000,1.532E+4,
6600000.500000,1.538E+4,
6800000.500000,1.521E+4,
7000000.500000,1.503E+4,
7200000.600000,1.500E+4,
7400000.600000,1.476E+4,
7600000.600000,1.442E+4,
7800000.600000,1.460E+4,
8000000.600000,1.445E+4,
8200000.600000,1.421E+4,
8400000.700000,1.410E+4,
8600000.700000,1.378E+4,
8800000.700000,1.392E+4,
9000000.700000,1.372E+4,
9200000.700000,1.340E+4,
9400000.700000,1.331E+4,
9600000.800000,1.323E+4,
9800000.800000,1.323E+4,
1E07,1.305E+4,
1.02E07,1.305E+4,
1.04E07,1.280E+4,
1.06E07,1.259E+4,
1.08E07,1.257E+4,
1.1E07,1.245E+4,
1.12E07,1.223E+4,
1.14E07,1.246E+4,
1.16E07,1.212E+4,
1.18E07,1.210E+4,
1.2E07,1.204E+4,
1.22E07,1.195E+4,
1.24E07,1.198E+4,
1.26E07,1.159E+4,
1.28E07,1.165E+4,
1.3E07,1.142E+4,
1.32E07,1.134E+4,
1.34E07,1.136E+4,
1.36E07,1.115E+4,
1.38E07,1.119E+4,
1.4E07,1.099E+4,
1.42E07,1.087E+4,
1.44E07,1.083E+4,
1.46E07,1.097E+4,
1.48E07,1.085E+4,
1.5E07,1.055E+4,
1.52E07,1.055E+4,
1.54E07,1.037E+4,
1.56E07,1.055E+4,
1.58E07,1.018E+4,
1.6E07,1.029E+4,
1.62E07,1.023E+4,
1.64E07,1.012E+4,
1.66E07,1.005E+4,
1.68E07,9.893E+3,
1.7E07,9.935E+3,
1.72E07,9.714E+3,
1.74E07,9.750E+3,
1.76E07,9.547E+3,
1.78E07,9.951E+3,
1.8E07,9.649E+3,
1.82E07,9.581E+3,
1.84E07,9.463E+3,
1.86E07,9.290E+3,
1.88E07,9.344E+3,
1.9E07,9.562E+3,
1.92E07,9.152E+3,
1.94E07,9.255E+3,
1.96E07,8.995E+3,
1.98E07,9.241E+3,
2E07,9.202E+3,
2.02E07,9.132E+3,
2.04E07,8.736E+3,
2.06E07,9.014E+3,
2.08E07,8.851E+3,
2.1E07,8.793E+3,
2.12E07,8.832E+3,
2.14E07,8.706E+3,
2.16E07,8.790E+3,
2.18E07,8.568E+3,
2.2E07,8.635E+3,
2.22E07,8.419E+3,
2.24E07,8.587E+3,
2.26E07,8.508E+3,
2.28E07,8.625E+3,
2.3E07,8.097E+3,
2.32E07,8.504E+3,
2.34E07,8.370E+3,
2.36E07,8.115E+3,
2.38E07,8.205E+3,
2.4E07,8.131E+3,
2.42E07,8.176E+3,
2.44E07,7.992E+3,
2.46E07,8.098E+3,
2.48E07,8.194E+3,
2.5E07,8.157E+3,
2.52E07,8.017E+3,
2.54E07,7.992E+3,
2.56E07,7.896E+3,
2.58E07,7.804E+3,
2.6E07,7.902E+3,
2.62E07,7.960E+3,
2.64E07,7.901E+3,
2.66E07,7.936E+3,
2.68E07,7.706E+3,
2.7E07,7.830E+3,
2.72E07,7.731E+3,
2.74E07,7.590E+3,
2.76E07,7.666E+3,
2.78E07,7.725E+3,
2.8E07,7.552E+3,
2.82E07,7.560E+3,
2.84E07,7.584E+3,
2.86E07,7.489E+3,
2.88E07,7.689E+3,
2.9E07,7.543E+3,
2.92E07,7.458E+3,
2.94E07,7.581E+3,
2.96E07,7.301E+3,
2.98E07,7.355E+3,
3E07,7.422E+3,
3.02E07,7.449E+3,
3.04E07,7.226E+3,
3.06E07,7.502E+3,
3.08E07,7.139E+3,
3.1E07,7.196E+3,
3.12E07,7.269E+3,
3.14E07,7.088E+3,
3.16E07,7.257E+3,
3.18E07,7.343E+3,
3.2E07,7.116E+3,
3.22E07,7.146E+3,
3.24E07,7.043E+3,
3.26E07,7.192E+3,
3.28E07,6.979E+3,
3.3E07,7.174E+3,
3.32E07,6.968E+3,
3.34E07,7.009E+3,
3.36E07,7.111E+3,
3.38E07,7.075E+3,
3.4E07,7.045E+3,
3.42E07,7.023E+3,
3.44E07,6.820E+3,
3.46E07,7.019E+3,
3.48E07,6.899E+3,
3.5E07,6.862E+3,
3.52E07,6.776E+3,
3.54E07,6.904E+3,
3.56E07,7.062E+3,
3.58E07,7.278E+3,
3.6E07,6.933E+3,
3.62E07,6.764E+3,
3.64E07,6.947E+3,
3.66E07,6.725E+3,
3.68E07,6.757E+3,
3.7E07,6.758E+3,
3.72E07,6.749E+3,
3.74E07,6.674E+3,
3.76E07,6.754E+3,
3.78E07,6.667E+3,
3.8E07,6.696E+3,
3.82E07,6.614E+3,
3.84E07,6.750E+3,
3.86E07,6.747E+3,
3.88E07,6.800E+3,
3.9E07,6.784E+3,
3.92E07,6.739E+3,
3.94E07,6.767E+3,
3.96E07,6.712E+3,
3.98E07,6.577E+3,
4E07,6.843E+3,
4.02E07,6.392E+3,
4.04E07,6.505E+3,
4.06E07,6.529E+3,
4.08E07,6.683E+3,
4.1E07,6.437E+3,
4.12E07,6.534E+3,
4.14E07,6.539E+3,
4.16E07,6.623E+3,
4.18E07,6.530E+3,
4.2E07,6.532E+3,
4.22E07,6.450E+3,
4.24E07,6.528E+3,
4.26E07,6.464E+3,
4.28E07,6.584E+3,
4.3E07,6.550E+3,
4.32E07,6.400E+3,
4.34E07,6.287E+3,
4.36E07,6.552E+3,
4.38E07,6.469E+3,
4.4E07,6.288E+3,
4.42E07,6.378E+3,
4.44E07,6.497E+3,
4.46E07,6.508E+3,
4.48E07,6.419E+3,
4.5E07,6.294E+3,
4.52E07,6.433E+3,
4.54E07,6.395E+3,
4.56E07,6.368E+3,
4.58E07,6.320E+3,
4.6E07,6.291E+3,
4.62E07,6.308E+3,
4.64E07,6.411E+3,
4.66E07,6.400E+3,
4.68E07,6.427E+3,
4.7E07,6.359E+3,
4.72E07,6.324E+3,
4.74E07,6.221E+3,
4.76E07,6.407E+3,
4.78E07,6.360E+3,
4.8E07,6.443E+3,
4.82E07,6.416E+3,
4.84E07,6.461E+3,
4.86E07,6.338E+3,
4.88E07,6.158E+3,
4.9E07,6.332E+3,
4.92E07,6.279E+3,
4.94E07,6.296E+3,
4.96E07,6.297E+3,
4.98E07,6.233E+3,
5E07,6.401E+3,
5.02E07,6.381E+3,
5.04E07,6.224E+3,
5.06E07,6.240E+3,
5.08E07,6.314E+3,
5.1E07,6.191E+3,
5.12E07,6.378E+3,
5.14E07,6.470E+3,
5.16E07,6.142E+3,
5.18E07,6.234E+3,
5.2E07,6.185E+3,
5.22E07,6.231E+3,
5.24E07,6.243E+3,
5.26E07,6.226E+3,
5.28E07,6.201E+3,
5.3E07,6.318E+3,
5.32E07,6.181E+3,
5.34E07,6.307E+3,
5.36E07,6.080E+3,
5.38E07,6.260E+3,
5.4E07,6.355E+3,
5.42E07,6.282E+3,
5.44E07,6.221E+3,
5.46E07,6.237E+3,
5.48E07,6.161E+3,
5.5E07,6.195E+3,
5.52E07,6.079E+3,
5.54E07,6.050E+3,
5.56E07,6.210E+3,
5.58E07,6.317E+3,
5.6E07,6.143E+3,
5.62E07,6.043E+3,
5.64E07,6.353E+3,
5.66E07,6.022E+3,
5.68E07,6.211E+3,
5.7E07,5.992E+3,
5.72E07,6.067E+3,
5.74E07,6.047E+3,
5.76E07,6.086E+3,
5.78E07,6.199E+3,
5.8E07,6.006E+3,
5.82E07,6.218E+3,
5.84E07,6.353E+3,
5.86E07,6.141E+3,
5.88E07,6.173E+3,
5.9E07,6.211E+3,
5.92E07,6.056E+3,
5.94E07,6.048E+3,
5.96E07,6.171E+3,
5.98E07,6.274E+3,
6E07,6.219E+3,
6.02E07,6.202E+3,
6.04E07,6.116E+3,
6.06E07,6.212E+3,
6.08E07,6.068E+3,
6.1E07,5.995E+3,
6.12E07,6.198E+3,
6.14E07,6.264E+3,
6.16E07,6.155E+3,
6.18E07,6.220E+3,
6.2E07,6.139E+3,
6.22E07,6.020E+3,
6.24E07,6.025E+3,
6.26E07,6.124E+3,
6.28E07,6.015E+3,
6.3E07,5.983E+3,
6.32E07,6.202E+3,
6.34E07,6.058E+3,
6.36E07,6.036E+3,
6.38E07,6.243E+3,
64000005.000000,6.082E+3,
64200005.000000,6.029E+3,
64400005.000000,6.072E+3,
64600005.000000,5.966E+3,
64800005.000000,6.114E+3,
65000005.000000,6.020E+3,
65200005.000000,6.031E+3,
65400005.000000,6.241E+3,
65600005.000000,6.034E+3,
65800005.000000,6.172E+3,
