Labels,100us_200k,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.400E+4,
2E05,2.288E+4,
4E05,2.186E+4,
6E05,2.171E+4,
800000.060000,2.101E+4,
1E06,2.106E+4,
1.2E06,2.054E+4,
1.4E06,2.030E+4,
1.6E06,1.987E+4,
1.8E06,1.968E+4,
2E06,1.938E+4,
2.2E06,1.919E+4,
2.4E06,1.912E+4,
2.6E06,1.892E+4,
2.8E06,1.826E+4,
3E06,1.818E+4,
3.2E06,1.787E+4,
3.4E06,1.770E+4,
3.6E06,1.736E+4,
3.8E06,1.728E+4,
4E06,1.719E+4,
4.2E06,1.690E+4,
4.4E06,1.674E+4,
4.6E06,1.651E+4,
4.8E06,1.632E+4,
5E06,1.642E+4,
5.2E06,1.569E+4,
5.4E06,1.579E+4,
5.6E06,1.546E+4,
5.8E06,1.525E+4,
6E06,1.500E+4,
6.2E06,1.509E+4,
6400000.500000,1.511E+4,
6600000.500000,1.468E+4,
6800000.500000,1.466E+4,
7000000.500000,1.408E+4,
7200000.600000,1.410E+4,
7400000.600000,1.404E+4,
7600000.600000,1.415E+4,
7800000.600000,1.404E+4,
8000000.600000,1.378E+4,
8200000.600000,1.369E+4,
8400000.700000,1.347E+4,
8600000.700000,1.344E+4,
8800000.700000,1.322E+4,
9000000.700000,1.284E+4,
9200000.700000,1.313E+4,
9400000.700000,1.273E+4,
9600000.800000,1.281E+4,
9800000.800000,1.263E+4,
1E07,1.258E+4,
1.02E07,1.248E+4,
1.04E07,1.217E+4,
1.06E07,1.212E+4,
1.08E07,1.219E+4,
1.1E07,1.193E+4,
1.12E07,1.194E+4,
1.14E07,1.179E+4,
1.16E07,1.158E+4,
1.18E07,1.146E+4,
1.2E07,1.145E+4,
1.22E07,1.126E+4,
1.24E07,1.109E+4,
1.26E07,1.130E+4,
1.28E07,1.111E+4,
1.3E07,1.112E+4,
1.32E07,1.087E+4,
1.34E07,1.111E+4,
1.36E07,1.096E+4,
1.38E07,1.062E+4,
1.4E07,1.059E+4,
1.42E07,1.062E+4,
1.44E07,1.038E+4,
1.46E07,1.031E+4,
1.48E07,1.033E+4,
1.5E07,9.988E+3,
1.52E07,1.018E+4,
1.54E07,9.985E+3,
1.56E07,9.703E+3,
1.58E07,1.003E+4,
1.6E07,9.816E+3,
1.62E07,9.779E+3,
1.64E07,9.698E+3,
1.66E07,9.538E+3,
1.68E07,9.625E+3,
1.7E07,9.603E+3,
1.72E07,9.559E+3,
1.74E07,9.477E+3,
1.76E07,9.388E+3,
1.78E07,9.324E+3,
1.8E07,9.308E+3,
1.82E07,9.164E+3,
1.84E07,9.104E+3,
1.86E07,9.215E+3,
1.88E07,9.228E+3,
1.9E07,9.075E+3,
1.92E07,8.980E+3,
1.94E07,8.818E+3,
1.96E07,8.797E+3,
1.98E07,8.903E+3,
2E07,9.127E+3,
2.02E07,8.763E+3,
2.04E07,8.762E+3,
2.06E07,8.718E+3,
2.08E07,8.583E+3,
2.1E07,8.416E+3,
2.12E07,8.622E+3,
2.14E07,8.486E+3,
2.16E07,8.412E+3,
2.18E07,8.424E+3,
2.2E07,8.391E+3,
2.22E07,8.323E+3,
2.24E07,8.227E+3,
2.26E07,8.232E+3,
2.28E07,8.221E+3,
2.3E07,8.211E+3,
2.32E07,8.137E+3,
2.34E07,8.157E+3,
2.36E07,8.237E+3,
2.38E07,8.126E+3,
2.4E07,8.159E+3,
2.42E07,8.115E+3,
2.44E07,8.147E+3,
2.46E07,8.062E+3,
2.48E07,7.995E+3,
2.5E07,7.871E+3,
2.52E07,7.939E+3,
2.54E07,8.020E+3,
2.56E07,7.612E+3,
2.58E07,7.573E+3,
2.6E07,7.935E+3,
2.62E07,7.749E+3,
2.64E07,7.667E+3,
2.66E07,7.724E+3,
2.68E07,7.731E+3,
2.7E07,7.554E+3,
2.72E07,7.633E+3,
2.74E07,7.579E+3,
2.76E07,7.584E+3,
2.78E07,7.451E+3,
2.8E07,7.558E+3,
2.82E07,7.433E+3,
2.84E07,7.480E+3,
2.86E07,7.496E+3,
2.88E07,7.407E+3,
2.9E07,7.441E+3,
2.92E07,7.262E+3,
2.94E07,7.550E+3,
2.96E07,7.235E+3,
2.98E07,7.227E+3,
3E07,7.186E+3,
3.02E07,7.203E+3,
3.04E07,7.233E+3,
3.06E07,7.227E+3,
3.08E07,6.991E+3,
3.1E07,7.191E+3,
3.12E07,7.072E+3,
3.14E07,7.216E+3,
3.16E07,6.990E+3,
3.18E07,7.193E+3,
3.2E07,7.294E+3,
3.22E07,7.056E+3,
3.24E07,6.921E+3,
3.26E07,6.999E+3,
3.28E07,6.969E+3,
3.3E07,7.019E+3,
3.32E07,6.956E+3,
3.34E07,6.904E+3,
3.36E07,6.797E+3,
3.38E07,6.900E+3,
3.4E07,7.013E+3,
3.42E07,6.934E+3,
3.44E07,6.779E+3,
3.46E07,6.943E+3,
3.48E07,6.932E+3,
3.5E07,6.727E+3,
3.52E07,6.818E+3,
3.54E07,6.881E+3,
3.56E07,6.899E+3,
3.58E07,6.805E+3,
3.6E07,6.802E+3,
3.62E07,6.922E+3,
3.64E07,6.768E+3,
3.66E07,6.632E+3,
3.68E07,6.900E+3,
3.7E07,6.850E+3,
3.72E07,6.850E+3,
3.74E07,6.635E+3,
3.76E07,6.634E+3,
3.78E07,6.623E+3,
3.8E07,6.826E+3,
3.82E07,6.625E+3,
3.84E07,6.748E+3,
3.86E07,6.713E+3,
3.88E07,6.660E+3,
3.9E07,6.745E+3,
3.92E07,6.467E+3,
3.94E07,6.770E+3,
3.96E07,6.468E+3,
3.98E07,6.816E+3,
4E07,6.549E+3,
4.02E07,6.589E+3,
4.04E07,6.625E+3,
4.06E07,6.685E+3,
4.08E07,6.588E+3,
4.1E07,6.649E+3,
4.12E07,6.323E+3,
4.14E07,6.472E+3,
4.16E07,6.525E+3,
4.18E07,6.494E+3,
4.2E07,6.423E+3,
4.22E07,6.421E+3,
4.24E07,6.613E+3,
4.26E07,6.441E+3,
4.28E07,6.504E+3,
4.3E07,6.532E+3,
4.32E07,6.519E+3,
4.34E07,6.529E+3,
4.36E07,6.471E+3,
4.38E07,6.435E+3,
4.4E07,6.475E+3,
4.42E07,6.433E+3,
4.44E07,6.550E+3,
4.46E07,6.462E+3,
4.48E07,6.458E+3,
4.5E07,6.468E+3,
4.52E07,6.347E+3,
4.54E07,6.497E+3,
4.56E07,6.360E+3,
4.58E07,6.441E+3,
4.6E07,6.428E+3,
4.62E07,6.375E+3,
4.64E07,6.312E+3,
4.66E07,6.385E+3,
4.68E07,6.432E+3,
4.7E07,6.484E+3,
4.72E07,6.500E+3,
4.74E07,6.374E+3,
4.76E07,6.548E+3,
4.78E07,6.258E+3,
4.8E07,6.247E+3,
4.82E07,6.290E+3,
4.84E07,6.437E+3,
4.86E07,6.414E+3,
4.88E07,6.426E+3,
4.9E07,6.181E+3,
4.92E07,6.343E+3,
4.94E07,6.498E+3,
4.96E07,6.424E+3,
4.98E07,6.315E+3,
5E07,6.271E+3,
5.02E07,6.329E+3,
5.04E07,6.412E+3,
5.06E07,6.435E+3,
5.08E07,6.363E+3,
5.1E07,6.502E+3,
5.12E07,6.339E+3,
5.14E07,6.378E+3,
5.16E07,6.441E+3,
5.18E07,6.323E+3,
5.2E07,6.224E+3,
5.22E07,6.354E+3,
5.24E07,6.349E+3,
5.26E07,6.299E+3,
5.28E07,6.415E+3,
5.3E07,6.436E+3,
5.32E07,6.340E+3,
5.34E07,6.397E+3,
5.36E07,6.264E+3,
5.38E07,6.094E+3,
5.4E07,6.245E+3,
5.42E07,6.311E+3,
5.44E07,6.312E+3,
5.46E07,6.280E+3,
5.48E07,6.228E+3,
5.5E07,6.406E+3,
5.52E07,6.157E+3,
5.54E07,6.490E+3,
5.56E07,6.120E+3,
5.58E07,6.274E+3,
5.6E07,6.300E+3,
5.62E07,6.156E+3,
5.64E07,6.305E+3,
5.66E07,6.313E+3,
5.68E07,6.248E+3,
5.7E07,6.168E+3,
5.72E07,6.214E+3,
5.74E07,6.335E+3,
5.76E07,6.277E+3,
5.78E07,6.097E+3,
5.8E07,6.308E+3,
5.82E07,6.114E+3,
5.84E07,6.251E+3,
5.86E07,6.269E+3,
5.88E07,6.233E+3,
5.9E07,6.310E+3,
5.92E07,6.293E+3,
5.94E07,6.178E+3,
5.96E07,6.031E+3,
5.98E07,6.056E+3,
6E07,6.169E+3,
6.02E07,6.199E+3,
6.04E07,6.368E+3,
6.06E07,6.152E+3,
6.08E07,6.207E+3,
6.1E07,6.095E+3,
6.12E07,6.217E+3,
6.14E07,6.213E+3,
6.16E07,6.434E+3,
6.18E07,6.120E+3,
6.2E07,6.065E+3,
6.22E07,6.161E+3,
6.24E07,6.248E+3,
6.26E07,6.214E+3,
6.28E07,6.132E+3,
6.3E07,5.991E+3,
6.32E07,6.197E+3,
6.34E07,6.174E+3,
6.36E07,6.068E+3,
6.38E07,6.123E+3,
64000005.000000,6.305E+3,
64200005.000000,6.102E+3,
64400005.000000,6.277E+3,
64600005.000000,6.178E+3,
64800005.000000,6.127E+3,
65000005.000000,6.170E+3,
65200005.000000,6.077E+3,
65400005.000000,6.140E+3,
65600005.000000,6.072E+3,
65800005.000000,6.298E+3,
