Labels,2ms_250k,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.308E+4,
2E05,4.038E+4,
4E05,6.615E+4,
6E05,8.984E+4,
800000.060000,1.128E+5,
1E06,1.343E+5,
1.2E06,1.540E+5,
1.4E06,1.737E+5,
1.6E06,1.927E+5,
1.8E06,2.106E+5,
2E06,2.244E+5,
2.2E06,2.237E+5,
2.4E06,2.195E+5,
2.6E06,2.149E+5,
2.8E06,2.126E+5,
3E06,2.084E+5,
3.2E06,2.056E+5,
3.4E06,2.024E+5,
3.6E06,1.981E+5,
3.8E06,1.955E+5,
4E06,1.914E+5,
4.2E06,1.885E+5,
4.4E06,1.856E+5,
4.6E06,1.829E+5,
4.8E06,1.795E+5,
5E06,1.782E+5,
5.2E06,1.742E+5,
5.4E06,1.715E+5,
5.6E06,1.696E+5,
5.8E06,1.662E+5,
6E06,1.643E+5,
6.2E06,1.607E+5,
6400000.500000,1.585E+5,
6600000.500000,1.562E+5,
6800000.500000,1.534E+5,
7000000.500000,1.510E+5,
7200000.600000,1.484E+5,
7400000.600000,1.460E+5,
7600000.600000,1.440E+5,
7800000.600000,1.419E+5,
8000000.600000,1.393E+5,
8200000.600000,1.373E+5,
8400000.700000,1.350E+5,
8600000.700000,1.324E+5,
8800000.700000,1.313E+5,
9000000.700000,1.288E+5,
9200000.700000,1.269E+5,
9400000.700000,1.251E+5,
9600000.800000,1.229E+5,
9800000.800000,1.213E+5,
1E07,1.193E+5,
1.02E07,1.169E+5,
1.04E07,1.158E+5,
1.06E07,1.131E+5,
1.08E07,1.123E+5,
1.1E07,1.102E+5,
1.12E07,1.081E+5,
1.14E07,1.073E+5,
1.16E07,1.053E+5,
1.18E07,1.042E+5,
1.2E07,1.021E+5,
1.22E07,1.002E+5,
1.24E07,9.917E+4,
1.26E07,9.829E+4,
1.28E07,9.611E+4,
1.3E07,9.489E+4,
1.32E07,9.262E+4,
1.34E07,9.121E+4,
1.36E07,9.025E+4,
1.38E07,8.876E+4,
1.4E07,8.744E+4,
1.42E07,8.616E+4,
1.44E07,8.483E+4,
1.46E07,8.328E+4,
1.48E07,8.179E+4,
1.5E07,8.071E+4,
1.52E07,8.016E+4,
1.54E07,7.815E+4,
1.56E07,7.759E+4,
1.58E07,7.589E+4,
1.6E07,7.522E+4,
1.62E07,7.378E+4,
1.64E07,7.265E+4,
1.66E07,7.173E+4,
1.68E07,7.050E+4,
1.7E07,7.003E+4,
1.72E07,6.843E+4,
1.74E07,6.731E+4,
1.76E07,6.632E+4,
1.78E07,6.562E+4,
1.8E07,6.460E+4,
1.82E07,6.356E+4,
1.84E07,6.288E+4,
1.86E07,6.213E+4,
1.88E07,6.086E+4,
1.9E07,5.975E+4,
1.92E07,5.902E+4,
1.94E07,5.799E+4,
1.96E07,5.702E+4,
1.98E07,5.640E+4,
2E07,5.559E+4,
2.02E07,5.446E+4,
2.04E07,5.353E+4,
2.06E07,5.318E+4,
2.08E07,5.217E+4,
2.1E07,5.138E+4,
2.12E07,5.098E+4,
2.14E07,5.023E+4,
2.16E07,4.953E+4,
2.18E07,4.889E+4,
2.2E07,4.775E+4,
2.22E07,4.741E+4,
2.24E07,4.634E+4,
2.26E07,4.574E+4,
2.28E07,4.537E+4,
2.3E07,4.499E+4,
2.32E07,4.395E+4,
2.34E07,4.325E+4,
2.36E07,4.298E+4,
2.38E07,4.225E+4,
2.4E07,4.136E+4,
2.42E07,4.137E+4,
2.44E07,4.069E+4,
2.46E07,3.945E+4,
2.48E07,3.942E+4,
2.5E07,3.888E+4,
2.52E07,3.800E+4,
2.54E07,3.771E+4,
2.56E07,3.713E+4,
2.58E07,3.680E+4,
2.6E07,3.602E+4,
2.62E07,3.554E+4,
2.64E07,3.471E+4,
2.66E07,3.452E+4,
2.68E07,3.407E+4,
2.7E07,3.373E+4,
2.72E07,3.320E+4,
2.74E07,3.296E+4,
2.76E07,3.232E+4,
2.78E07,3.180E+4,
2.8E07,3.164E+4,
2.82E07,3.100E+4,
2.84E07,3.025E+4,
2.86E07,3.032E+4,
2.88E07,3.005E+4,
2.9E07,2.943E+4,
2.92E07,2.887E+4,
2.94E07,2.891E+4,
2.96E07,2.813E+4,
2.98E07,2.764E+4,
3E07,2.757E+4,
3.02E07,2.689E+4,
3.04E07,2.716E+4,
3.06E07,2.632E+4,
3.08E07,2.609E+4,
3.1E07,2.576E+4,
3.12E07,2.552E+4,
3.14E07,2.520E+4,
3.16E07,2.507E+4,
3.18E07,2.465E+4,
3.2E07,2.417E+4,
3.22E07,2.392E+4,
3.24E07,2.373E+4,
3.26E07,2.307E+4,
3.28E07,2.331E+4,
3.3E07,2.273E+4,
3.32E07,2.249E+4,
3.34E07,2.242E+4,
3.36E07,2.202E+4,
3.38E07,2.142E+4,
3.4E07,2.153E+4,
3.42E07,2.130E+4,
3.44E07,2.099E+4,
3.46E07,2.072E+4,
3.48E07,2.049E+4,
3.5E07,2.009E+4,
3.52E07,2.021E+4,
3.54E07,1.990E+4,
3.56E07,1.956E+4,
3.58E07,1.949E+4,
3.6E07,1.906E+4,
3.62E07,1.885E+4,
3.64E07,1.853E+4,
3.66E07,1.841E+4,
3.68E07,1.820E+4,
3.7E07,1.790E+4,
3.72E07,1.788E+4,
3.74E07,1.793E+4,
3.76E07,1.707E+4,
3.78E07,1.737E+4,
3.8E07,1.725E+4,
3.82E07,1.718E+4,
3.84E07,1.695E+4,
3.86E07,1.651E+4,
3.88E07,1.615E+4,
3.9E07,1.620E+4,
3.92E07,1.622E+4,
3.94E07,1.587E+4,
3.96E07,1.543E+4,
3.98E07,1.538E+4,
4E07,1.523E+4,
4.02E07,1.519E+4,
4.04E07,1.506E+4,
4.06E07,1.504E+4,
4.08E07,1.464E+4,
4.1E07,1.464E+4,
4.12E07,1.450E+4,
4.14E07,1.445E+4,
4.16E07,1.413E+4,
4.18E07,1.417E+4,
4.2E07,1.406E+4,
4.22E07,1.370E+4,
4.24E07,1.367E+4,
4.26E07,1.361E+4,
4.28E07,1.339E+4,
4.3E07,1.335E+4,
4.32E07,1.308E+4,
4.34E07,1.301E+4,
4.36E07,1.285E+4,
4.38E07,1.289E+4,
4.4E07,1.273E+4,
4.42E07,1.264E+4,
4.44E07,1.261E+4,
4.46E07,1.242E+4,
4.48E07,1.222E+4,
4.5E07,1.235E+4,
4.52E07,1.230E+4,
4.54E07,1.204E+4,
4.56E07,1.191E+4,
4.58E07,1.190E+4,
4.6E07,1.208E+4,
4.62E07,1.168E+4,
4.64E07,1.148E+4,
4.66E07,1.162E+4,
4.68E07,1.141E+4,
4.7E07,1.135E+4,
4.72E07,1.135E+4,
4.74E07,1.109E+4,
4.76E07,1.106E+4,
4.78E07,1.105E+4,
4.8E07,1.096E+4,
4.82E07,1.095E+4,
4.84E07,1.068E+4,
4.86E07,1.049E+4,
4.88E07,1.053E+4,
4.9E07,1.051E+4,
4.92E07,1.055E+4,
4.94E07,1.019E+4,
4.96E07,1.053E+4,
4.98E07,1.010E+4,
5E07,1.009E+4,
5.02E07,1.005E+4,
5.04E07,9.983E+3,
5.06E07,9.774E+3,
5.08E07,9.904E+3,
5.1E07,9.920E+3,
5.12E07,9.627E+3,
5.14E07,9.505E+3,
5.16E07,9.758E+3,
5.18E07,9.530E+3,
5.2E07,9.427E+3,
5.22E07,9.312E+3,
5.24E07,9.646E+3,
5.26E07,9.520E+3,
5.28E07,9.232E+3,
5.3E07,9.093E+3,
5.32E07,9.305E+3,
5.34E07,9.028E+3,
5.36E07,9.121E+3,
5.38E07,9.062E+3,
5.4E07,8.976E+3,
5.42E07,8.972E+3,
5.44E07,8.754E+3,
5.46E07,8.913E+3,
5.48E07,8.724E+3,
5.5E07,8.663E+3,
5.52E07,8.537E+3,
5.54E07,8.423E+3,
5.56E07,8.442E+3,
5.58E07,8.668E+3,
5.6E07,8.699E+3,
5.62E07,8.428E+3,
5.64E07,8.491E+3,
5.66E07,8.389E+3,
5.68E07,8.448E+3,
5.7E07,8.471E+3,
5.72E07,8.295E+3,
5.74E07,8.247E+3,
5.76E07,8.118E+3,
5.78E07,8.188E+3,
5.8E07,7.934E+3,
5.82E07,7.928E+3,
5.84E07,8.057E+3,
5.86E07,8.145E+3,
5.88E07,7.873E+3,
5.9E07,7.848E+3,
5.92E07,8.188E+3,
5.94E07,7.967E+3,
5.96E07,7.792E+3,
5.98E07,7.707E+3,
6E07,7.841E+3,
6.02E07,7.527E+3,
6.04E07,7.745E+3,
6.06E07,7.779E+3,
6.08E07,7.742E+3,
6.1E07,7.620E+3,
6.12E07,7.469E+3,
6.14E07,7.671E+3,
6.16E07,7.536E+3,
6.18E07,7.513E+3,
6.2E07,7.601E+3,
6.22E07,7.595E+3,
6.24E07,7.401E+3,
6.26E07,7.408E+3,
6.28E07,7.450E+3,
6.3E07,7.440E+3,
6.32E07,7.523E+3,
6.34E07,7.349E+3,
6.36E07,7.212E+3,
6.38E07,7.325E+3,
64000005.000000,7.319E+3,
64200005.000000,7.142E+3,
64400005.000000,7.274E+3,
64600005.000000,7.161E+3,
64800005.000000,7.141E+3,
65000005.000000,7.351E+3,
65200005.000000,7.078E+3,
65400005.000000,7.099E+3,
65600005.000000,7.313E+3,
65800005.000000,7.197E+3,
