Labels,2ms_273k,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.280E+4,
2E05,3.742E+4,
4E05,6.126E+4,
6E05,8.271E+4,
800000.060000,1.032E+5,
1E06,1.238E+5,
1.2E06,1.414E+5,
1.4E06,1.596E+5,
1.6E06,1.764E+5,
1.8E06,1.931E+5,
2E06,2.083E+5,
2.2E06,2.092E+5,
2.4E06,2.054E+5,
2.6E06,2.011E+5,
2.8E06,1.983E+5,
3E06,1.947E+5,
3.2E06,1.915E+5,
3.4E06,1.886E+5,
3.6E06,1.851E+5,
3.8E06,1.818E+5,
4E06,1.796E+5,
4.2E06,1.760E+5,
4.4E06,1.729E+5,
4.6E06,1.704E+5,
4.8E06,1.674E+5,
5E06,1.657E+5,
5.2E06,1.628E+5,
5.4E06,1.597E+5,
5.6E06,1.581E+5,
5.8E06,1.549E+5,
6E06,1.528E+5,
6.2E06,1.505E+5,
6400000.500000,1.479E+5,
6600000.500000,1.450E+5,
6800000.500000,1.433E+5,
7000000.500000,1.394E+5,
7200000.600000,1.383E+5,
7400000.600000,1.363E+5,
7600000.600000,1.343E+5,
7800000.600000,1.319E+5,
8000000.600000,1.302E+5,
8200000.600000,1.277E+5,
8400000.700000,1.255E+5,
8600000.700000,1.232E+5,
8800000.700000,1.217E+5,
9000000.700000,1.201E+5,
9200000.700000,1.181E+5,
9400000.700000,1.161E+5,
9600000.800000,1.147E+5,
9800000.800000,1.131E+5,
1E07,1.108E+5,
1.02E07,1.093E+5,
1.04E07,1.072E+5,
1.06E07,1.055E+5,
1.08E07,1.037E+5,
1.1E07,1.022E+5,
1.12E07,1.011E+5,
1.14E07,9.883E+4,
1.16E07,9.718E+4,
1.18E07,9.642E+4,
1.2E07,9.474E+4,
1.22E07,9.354E+4,
1.24E07,9.208E+4,
1.26E07,9.065E+4,
1.28E07,8.960E+4,
1.3E07,8.761E+4,
1.32E07,8.584E+4,
1.34E07,8.542E+4,
1.36E07,8.443E+4,
1.38E07,8.224E+4,
1.4E07,8.098E+4,
1.42E07,7.954E+4,
1.44E07,7.927E+4,
1.46E07,7.727E+4,
1.48E07,7.599E+4,
1.5E07,7.553E+4,
1.52E07,7.401E+4,
1.54E07,7.300E+4,
1.56E07,7.200E+4,
1.58E07,7.045E+4,
1.6E07,6.974E+4,
1.62E07,6.872E+4,
1.64E07,6.822E+4,
1.66E07,6.653E+4,
1.68E07,6.521E+4,
1.7E07,6.495E+4,
1.72E07,6.340E+4,
1.74E07,6.257E+4,
1.76E07,6.128E+4,
1.78E07,6.054E+4,
1.8E07,6.022E+4,
1.82E07,5.870E+4,
1.84E07,5.816E+4,
1.86E07,5.708E+4,
1.88E07,5.662E+4,
1.9E07,5.578E+4,
1.92E07,5.417E+4,
1.94E07,5.405E+4,
1.96E07,5.287E+4,
1.98E07,5.222E+4,
2E07,5.135E+4,
2.02E07,5.069E+4,
2.04E07,4.995E+4,
2.06E07,4.936E+4,
2.08E07,4.870E+4,
2.1E07,4.763E+4,
2.12E07,4.722E+4,
2.14E07,4.604E+4,
2.16E07,4.568E+4,
2.18E07,4.477E+4,
2.2E07,4.437E+4,
2.22E07,4.378E+4,
2.24E07,4.300E+4,
2.26E07,4.248E+4,
2.28E07,4.199E+4,
2.3E07,4.124E+4,
2.32E07,4.102E+4,
2.34E07,4.031E+4,
2.36E07,3.959E+4,
2.38E07,3.936E+4,
2.4E07,3.840E+4,
2.42E07,3.798E+4,
2.44E07,3.751E+4,
2.46E07,3.689E+4,
2.48E07,3.615E+4,
2.5E07,3.578E+4,
2.52E07,3.528E+4,
2.54E07,3.496E+4,
2.56E07,3.447E+4,
2.58E07,3.418E+4,
2.6E07,3.360E+4,
2.62E07,3.324E+4,
2.64E07,3.263E+4,
2.66E07,3.212E+4,
2.68E07,3.184E+4,
2.7E07,3.140E+4,
2.72E07,3.078E+4,
2.74E07,3.069E+4,
2.76E07,3.018E+4,
2.78E07,3.009E+4,
2.8E07,2.938E+4,
2.82E07,2.897E+4,
2.84E07,2.831E+4,
2.86E07,2.835E+4,
2.88E07,2.807E+4,
2.9E07,2.740E+4,
2.92E07,2.681E+4,
2.94E07,2.677E+4,
2.96E07,2.639E+4,
2.98E07,2.614E+4,
3E07,2.579E+4,
3.02E07,2.566E+4,
3.04E07,2.512E+4,
3.06E07,2.465E+4,
3.08E07,2.416E+4,
3.1E07,2.377E+4,
3.12E07,2.374E+4,
3.14E07,2.378E+4,
3.16E07,2.308E+4,
3.18E07,2.309E+4,
3.2E07,2.273E+4,
3.22E07,2.251E+4,
3.24E07,2.217E+4,
3.26E07,2.164E+4,
3.28E07,2.154E+4,
3.3E07,2.119E+4,
3.32E07,2.109E+4,
3.34E07,2.065E+4,
3.36E07,2.033E+4,
3.38E07,2.020E+4,
3.4E07,2.031E+4,
3.42E07,2.005E+4,
3.44E07,1.967E+4,
3.46E07,1.940E+4,
3.48E07,1.909E+4,
3.5E07,1.874E+4,
3.52E07,1.891E+4,
3.54E07,1.865E+4,
3.56E07,1.844E+4,
3.58E07,1.815E+4,
3.6E07,1.780E+4,
3.62E07,1.804E+4,
3.64E07,1.744E+4,
3.66E07,1.752E+4,
3.68E07,1.707E+4,
3.7E07,1.692E+4,
3.72E07,1.680E+4,
3.74E07,1.660E+4,
3.76E07,1.624E+4,
3.78E07,1.623E+4,
3.8E07,1.624E+4,
3.82E07,1.592E+4,
3.84E07,1.589E+4,
3.86E07,1.539E+4,
3.88E07,1.523E+4,
3.9E07,1.514E+4,
3.92E07,1.510E+4,
3.94E07,1.511E+4,
3.96E07,1.528E+4,
3.98E07,1.483E+4,
4E07,1.439E+4,
4.02E07,1.451E+4,
4.04E07,1.442E+4,
4.06E07,1.432E+4,
4.08E07,1.414E+4,
4.1E07,1.385E+4,
4.12E07,1.383E+4,
4.14E07,1.351E+4,
4.16E07,1.346E+4,
4.18E07,1.331E+4,
4.2E07,1.332E+4,
4.22E07,1.320E+4,
4.24E07,1.307E+4,
4.26E07,1.293E+4,
4.28E07,1.260E+4,
4.3E07,1.267E+4,
4.32E07,1.272E+4,
4.34E07,1.239E+4,
4.36E07,1.255E+4,
4.38E07,1.220E+4,
4.4E07,1.210E+4,
4.42E07,1.234E+4,
4.44E07,1.184E+4,
4.46E07,1.194E+4,
4.48E07,1.187E+4,
4.5E07,1.163E+4,
4.52E07,1.148E+4,
4.54E07,1.158E+4,
4.56E07,1.140E+4,
4.58E07,1.116E+4,
4.6E07,1.124E+4,
4.62E07,1.117E+4,
4.64E07,1.111E+4,
4.66E07,1.101E+4,
4.68E07,1.100E+4,
4.7E07,1.073E+4,
4.72E07,1.068E+4,
4.74E07,1.063E+4,
4.76E07,1.065E+4,
4.78E07,1.054E+4,
4.8E07,1.059E+4,
4.82E07,1.053E+4,
4.84E07,1.037E+4,
4.86E07,1.015E+4,
4.88E07,1.024E+4,
4.9E07,1.012E+4,
4.92E07,9.926E+3,
4.94E07,1.003E+4,
4.96E07,9.980E+3,
4.98E07,9.953E+3,
5E07,9.808E+3,
5.02E07,9.797E+3,
5.04E07,9.775E+3,
5.06E07,9.590E+3,
5.08E07,9.399E+3,
5.1E07,9.400E+3,
5.12E07,9.623E+3,
5.14E07,9.205E+3,
5.16E07,9.273E+3,
5.18E07,9.171E+3,
5.2E07,9.352E+3,
5.22E07,8.965E+3,
5.24E07,9.118E+3,
5.26E07,8.941E+3,
5.28E07,9.132E+3,
5.3E07,9.107E+3,
5.32E07,8.901E+3,
5.34E07,8.914E+3,
5.36E07,8.846E+3,
5.38E07,8.757E+3,
5.4E07,8.606E+3,
5.42E07,8.440E+3,
5.44E07,8.811E+3,
5.46E07,8.662E+3,
5.48E07,8.626E+3,
5.5E07,8.543E+3,
5.52E07,8.368E+3,
5.54E07,8.639E+3,
5.56E07,8.325E+3,
5.58E07,8.296E+3,
5.6E07,8.483E+3,
5.62E07,8.414E+3,
5.64E07,8.211E+3,
5.66E07,8.190E+3,
5.68E07,8.147E+3,
5.7E07,8.128E+3,
5.72E07,8.109E+3,
5.74E07,8.112E+3,
5.76E07,8.058E+3,
5.78E07,7.994E+3,
5.8E07,8.027E+3,
5.82E07,8.051E+3,
5.84E07,8.013E+3,
5.86E07,7.894E+3,
5.88E07,7.929E+3,
5.9E07,7.919E+3,
5.92E07,7.782E+3,
5.94E07,7.622E+3,
5.96E07,7.738E+3,
5.98E07,7.756E+3,
6E07,7.830E+3,
6.02E07,7.588E+3,
6.04E07,7.673E+3,
6.06E07,7.670E+3,
6.08E07,7.700E+3,
6.1E07,7.472E+3,
6.12E07,7.616E+3,
6.14E07,7.485E+3,
6.16E07,7.667E+3,
6.18E07,7.428E+3,
6.2E07,7.395E+3,
6.22E07,7.344E+3,
6.24E07,7.579E+3,
6.26E07,7.423E+3,
6.28E07,7.398E+3,
6.3E07,7.332E+3,
6.32E07,7.498E+3,
6.34E07,7.418E+3,
6.36E07,7.331E+3,
6.38E07,7.202E+3,
64000005.000000,7.236E+3,
64200005.000000,7.301E+3,
64400005.000000,7.128E+3,
64600005.000000,7.299E+3,
64800005.000000,7.347E+3,
65000005.000000,7.259E+3,
65200005.000000,7.150E+3,
65400005.000000,7.039E+3,
65600005.000000,7.081E+3,
65800005.000000,7.101E+3,
