Labels,65ms_100k,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.009E+4,
2E05,3.575E+4,
4E05,6.111E+4,
6E05,8.481E+4,
800000.060000,1.073E+5,
1E06,1.286E+5,
1.2E06,1.493E+5,
1.4E06,1.683E+5,
1.6E06,1.879E+5,
1.8E06,2.045E+5,
2E06,2.213E+5,
2.2E06,2.373E+5,
2.4E06,2.523E+5,
2.6E06,2.680E+5,
2.8E06,2.811E+5,
3E06,2.949E+5,
3.2E06,3.082E+5,
3.4E06,3.198E+5,
3.6E06,3.330E+5,
3.8E06,3.436E+5,
4E06,3.546E+5,
4.2E06,3.647E+5,
4.4E06,3.747E+5,
4.6E06,3.854E+5,
4.8E06,3.947E+5,
5E06,4.048E+5,
5.2E06,4.136E+5,
5.4E06,4.221E+5,
5.6E06,4.305E+5,
5.8E06,4.382E+5,
6E06,4.472E+5,
6.2E06,4.544E+5,
6400000.500000,4.626E+5,
6600000.500000,4.696E+5,
6800000.500000,4.756E+5,
7000000.500000,4.822E+5,
7200000.600000,4.885E+5,
7400000.600000,4.955E+5,
7600000.600000,5.005E+5,
7800000.600000,5.067E+5,
8000000.600000,5.116E+5,
8200000.600000,5.185E+5,
8400000.700000,5.224E+5,
8600000.700000,5.291E+5,
8800000.700000,5.345E+5,
9000000.700000,5.393E+5,
9200000.700000,5.440E+5,
9400000.700000,5.486E+5,
9600000.800000,5.537E+5,
9800000.800000,5.575E+5,
1E07,5.638E+5,
1.02E07,5.675E+5,
1.04E07,5.715E+5,
1.06E07,5.753E+5,
1.08E07,5.797E+5,
1.1E07,5.835E+5,
1.12E07,5.878E+5,
1.14E07,5.902E+5,
1.16E07,5.938E+5,
1.18E07,5.973E+5,
1.2E07,6.009E+5,
1.22E07,6.060E+5,
1.24E07,6.076E+5,
1.26E07,6.117E+5,
1.28E07,6.135E+5,
1.3E07,6.182E+5,
1.32E07,6.199E+5,
1.34E07,6.230E+5,
1.36E07,6.253E+5,
1.38E07,6.292E+5,
1.4E07,6.326E+5,
1.42E07,6.354E+5,
1.44E07,6.374E+5,
1.46E07,6.404E+5,
1.48E07,6.415E+5,
1.5E07,6.450E+5,
1.52E07,6.472E+5,
1.54E07,6.500E+5,
1.56E07,6.511E+5,
1.58E07,6.538E+5,
1.6E07,6.564E+5,
1.62E07,6.571E+5,
1.64E07,6.600E+5,
1.66E07,6.621E+5,
1.68E07,6.643E+5,
1.7E07,6.661E+5,
1.72E07,6.683E+5,
1.74E07,6.702E+5,
1.76E07,6.719E+5,
1.78E07,6.740E+5,
1.8E07,6.748E+5,
1.82E07,6.773E+5,
1.84E07,6.781E+5,
1.86E07,6.798E+5,
1.88E07,6.826E+5,
1.9E07,6.837E+5,
1.92E07,6.845E+5,
1.94E07,6.852E+5,
1.96E07,6.866E+5,
1.98E07,6.888E+5,
2E07,6.906E+5,
2.02E07,6.917E+5,
2.04E07,6.935E+5,
2.06E07,6.938E+5,
2.08E07,6.961E+5,
2.1E07,6.979E+5,
2.12E07,6.988E+5,
2.14E07,6.990E+5,
2.16E07,7.014E+5,
2.18E07,7.008E+5,
2.2E07,7.030E+5,
2.22E07,7.040E+5,
2.24E07,7.052E+5,
2.26E07,7.071E+5,
2.28E07,7.066E+5,
2.3E07,7.092E+5,
2.32E07,7.096E+5,
2.34E07,7.104E+5,
2.36E07,7.122E+5,
2.38E07,7.117E+5,
2.4E07,7.107E+5,
2.42E07,7.138E+5,
2.44E07,7.149E+5,
2.46E07,7.162E+5,
2.48E07,7.169E+5,
2.5E07,7.177E+5,
2.52E07,7.185E+5,
2.54E07,7.192E+5,
2.56E07,7.194E+5,
2.58E07,7.194E+5,
2.6E07,7.225E+5,
2.62E07,7.213E+5,
2.64E07,7.237E+5,
2.66E07,7.235E+5,
2.68E07,7.239E+5,
2.7E07,7.261E+5,
2.72E07,7.257E+5,
2.74E07,7.259E+5,
2.76E07,7.267E+5,
2.78E07,7.276E+5,
2.8E07,7.290E+5,
2.82E07,7.291E+5,
2.84E07,7.290E+5,
2.86E07,7.303E+5,
2.88E07,7.314E+5,
2.9E07,7.323E+5,
2.92E07,7.321E+5,
2.94E07,7.327E+5,
2.96E07,7.337E+5,
2.98E07,7.327E+5,
3E07,7.340E+5,
3.02E07,7.357E+5,
3.04E07,7.351E+5,
3.06E07,7.369E+5,
3.08E07,7.355E+5,
3.1E07,7.358E+5,
3.12E07,7.374E+5,
3.14E07,7.378E+5,
3.16E07,7.371E+5,
3.18E07,7.391E+5,
3.2E07,7.394E+5,
3.22E07,7.389E+5,
3.24E07,7.397E+5,
3.26E07,7.405E+5,
3.28E07,7.411E+5,
3.3E07,7.410E+5,
3.32E07,7.402E+5,
3.34E07,7.421E+5,
3.36E07,7.419E+5,
3.38E07,7.431E+5,
3.4E07,7.433E+5,
3.42E07,7.443E+5,
3.44E07,7.447E+5,
3.46E07,7.447E+5,
3.48E07,7.440E+5,
3.5E07,7.445E+5,
3.52E07,7.449E+5,
3.54E07,7.457E+5,
3.56E07,7.461E+5,
3.58E07,7.462E+5,
3.6E07,7.469E+5,
3.62E07,7.463E+5,
3.64E07,7.481E+5,
3.66E07,7.472E+5,
3.68E07,7.481E+5,
3.7E07,7.482E+5,
3.72E07,7.490E+5,
3.74E07,7.478E+5,
3.76E07,7.483E+5,
3.78E07,7.492E+5,
3.8E07,7.479E+5,
3.82E07,7.496E+5,
3.84E07,7.500E+5,
3.86E07,7.496E+5,
3.88E07,7.500E+5,
3.9E07,7.492E+5,
3.92E07,7.500E+5,
3.94E07,7.503E+5,
3.96E07,7.506E+5,
3.98E07,7.509E+5,
4E07,7.524E+5,
4.02E07,7.503E+5,
4.04E07,7.519E+5,
4.06E07,7.524E+5,
4.08E07,7.512E+5,
4.1E07,7.539E+5,
4.12E07,7.527E+5,
4.14E07,7.532E+5,
4.16E07,7.520E+5,
4.18E07,7.525E+5,
4.2E07,7.543E+5,
4.22E07,7.528E+5,
4.24E07,7.554E+5,
4.26E07,7.537E+5,
4.28E07,7.557E+5,
4.3E07,7.540E+5,
4.32E07,7.550E+5,
4.34E07,7.543E+5,
4.36E07,7.553E+5,
4.38E07,7.546E+5,
4.4E07,7.554E+5,
4.42E07,7.552E+5,
4.44E07,7.550E+5,
4.46E07,7.561E+5,
4.48E07,7.554E+5,
4.5E07,7.560E+5,
4.52E07,7.556E+5,
4.54E07,7.563E+5,
4.56E07,7.567E+5,
4.58E07,7.565E+5,
4.6E07,7.552E+5,
4.62E07,7.557E+5,
4.64E07,7.571E+5,
4.66E07,7.557E+5,
4.68E07,7.581E+5,
4.7E07,7.571E+5,
4.72E07,7.571E+5,
4.74E07,7.575E+5,
4.76E07,7.572E+5,
4.78E07,7.578E+5,
4.8E07,7.578E+5,
4.82E07,7.566E+5,
4.84E07,7.579E+5,
4.86E07,7.571E+5,
4.88E07,7.578E+5,
4.9E07,7.579E+5,
4.92E07,7.586E+5,
4.94E07,7.578E+5,
4.96E07,7.601E+5,
4.98E07,7.578E+5,
5E07,7.585E+5,
5.02E07,7.581E+5,
5.04E07,7.582E+5,
5.06E07,7.585E+5,
5.08E07,7.583E+5,
5.1E07,7.577E+5,
5.12E07,7.597E+5,
5.14E07,7.585E+5,
5.16E07,7.579E+5,
5.18E07,7.598E+5,
5.2E07,7.592E+5,
5.22E07,7.596E+5,
5.24E07,7.614E+5,
5.26E07,7.602E+5,
5.28E07,7.591E+5,
5.3E07,7.606E+5,
5.32E07,7.594E+5,
5.34E07,7.594E+5,
5.36E07,7.583E+5,
5.38E07,7.597E+5,
5.4E07,7.595E+5,
5.42E07,7.599E+5,
5.44E07,7.607E+5,
5.46E07,7.599E+5,
5.48E07,7.595E+5,
5.5E07,7.603E+5,
5.52E07,7.596E+5,
5.54E07,7.600E+5,
5.56E07,7.604E+5,
5.58E07,7.601E+5,
5.6E07,7.610E+5,
5.62E07,7.602E+5,
5.64E07,7.599E+5,
5.66E07,7.606E+5,
5.68E07,7.612E+5,
5.7E07,7.603E+5,
5.72E07,7.610E+5,
5.74E07,7.613E+5,
5.76E07,7.606E+5,
5.78E07,7.601E+5,
5.8E07,7.607E+5,
5.82E07,7.609E+5,
5.84E07,7.619E+5,
5.86E07,7.617E+5,
5.88E07,7.620E+5,
5.9E07,7.608E+5,
5.92E07,7.628E+5,
5.94E07,7.611E+5,
5.96E07,7.608E+5,
5.98E07,7.615E+5,
6E07,7.605E+5,
6.02E07,7.609E+5,
6.04E07,7.625E+5,
6.06E07,7.608E+5,
6.08E07,7.610E+5,
6.1E07,7.613E+5,
6.12E07,7.601E+5,
6.14E07,7.618E+5,
6.16E07,7.610E+5,
6.18E07,7.622E+5,
6.2E07,7.623E+5,
6.22E07,7.617E+5,
6.24E07,7.625E+5,
6.26E07,7.617E+5,
6.28E07,7.610E+5,
6.3E07,7.611E+5,
6.32E07,7.608E+5,
6.34E07,7.623E+5,
6.36E07,7.614E+5,
6.38E07,7.619E+5,
64000005.000000,7.630E+5,
64200005.000000,7.608E+5,
64400005.000000,7.628E+5,
64600005.000000,7.639E+5,
64800005.000000,7.626E+5,
65000005.000000,7.610E+5,
65200005.000000,7.532E+5,
65400005.000000,7.470E+5,
65600005.000000,7.410E+5,
65800005.000000,7.327E+5,
