Labels,65ms_273k,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.022E+4,
2E05,2.950E+4,
4E05,4.718E+4,
6E05,6.493E+4,
800000.060000,8.139E+4,
1E06,9.711E+4,
1.2E06,1.128E+5,
1.4E06,1.275E+5,
1.6E06,1.414E+5,
1.8E06,1.547E+5,
2E06,1.667E+5,
2.2E06,1.793E+5,
2.4E06,1.918E+5,
2.6E06,2.029E+5,
2.8E06,2.139E+5,
3E06,2.240E+5,
3.2E06,2.348E+5,
3.4E06,2.442E+5,
3.6E06,2.543E+5,
3.8E06,2.631E+5,
4E06,2.723E+5,
4.2E06,2.803E+5,
4.4E06,2.888E+5,
4.6E06,2.966E+5,
4.8E06,3.052E+5,
5E06,3.136E+5,
5.2E06,3.189E+5,
5.4E06,3.258E+5,
5.6E06,3.339E+5,
5.8E06,3.400E+5,
6E06,3.457E+5,
6.2E06,3.537E+5,
6400000.500000,3.598E+5,
6600000.500000,3.644E+5,
6800000.500000,3.709E+5,
7000000.500000,3.756E+5,
7200000.600000,3.820E+5,
7400000.600000,3.863E+5,
7600000.600000,3.916E+5,
7800000.600000,3.974E+5,
8000000.600000,4.018E+5,
8200000.600000,4.067E+5,
8400000.700000,4.116E+5,
8600000.700000,4.153E+5,
8800000.700000,4.203E+5,
9000000.700000,4.250E+5,
9200000.700000,4.283E+5,
9400000.700000,4.331E+5,
9600000.800000,4.365E+5,
9800000.800000,4.413E+5,
1E07,4.436E+5,
1.02E07,4.481E+5,
1.04E07,4.514E+5,
1.06E07,4.534E+5,
1.08E07,4.577E+5,
1.1E07,4.612E+5,
1.12E07,4.636E+5,
1.14E07,4.675E+5,
1.16E07,4.709E+5,
1.18E07,4.732E+5,
1.2E07,4.754E+5,
1.22E07,4.793E+5,
1.24E07,4.817E+5,
1.26E07,4.849E+5,
1.28E07,4.873E+5,
1.3E07,4.902E+5,
1.32E07,4.924E+5,
1.34E07,4.959E+5,
1.36E07,4.966E+5,
1.38E07,4.993E+5,
1.4E07,5.018E+5,
1.42E07,5.043E+5,
1.44E07,5.059E+5,
1.46E07,5.075E+5,
1.48E07,5.100E+5,
1.5E07,5.114E+5,
1.52E07,5.146E+5,
1.54E07,5.169E+5,
1.56E07,5.178E+5,
1.58E07,5.205E+5,
1.6E07,5.211E+5,
1.62E07,5.241E+5,
1.64E07,5.254E+5,
1.66E07,5.269E+5,
1.68E07,5.282E+5,
1.7E07,5.297E+5,
1.72E07,5.326E+5,
1.74E07,5.342E+5,
1.76E07,5.343E+5,
1.78E07,5.365E+5,
1.8E07,5.379E+5,
1.82E07,5.392E+5,
1.84E07,5.410E+5,
1.86E07,5.428E+5,
1.88E07,5.433E+5,
1.9E07,5.446E+5,
1.92E07,5.471E+5,
1.94E07,5.468E+5,
1.96E07,5.490E+5,
1.98E07,5.505E+5,
2E07,5.518E+5,
2.02E07,5.519E+5,
2.04E07,5.522E+5,
2.06E07,5.554E+5,
2.08E07,5.550E+5,
2.1E07,5.574E+5,
2.12E07,5.582E+5,
2.14E07,5.601E+5,
2.16E07,5.593E+5,
2.18E07,5.618E+5,
2.2E07,5.618E+5,
2.22E07,5.635E+5,
2.24E07,5.634E+5,
2.26E07,5.652E+5,
2.28E07,5.660E+5,
2.3E07,5.663E+5,
2.32E07,5.676E+5,
2.34E07,5.690E+5,
2.36E07,5.688E+5,
2.38E07,5.692E+5,
2.4E07,5.719E+5,
2.42E07,5.713E+5,
2.44E07,5.719E+5,
2.46E07,5.730E+5,
2.48E07,5.738E+5,
2.5E07,5.748E+5,
2.52E07,5.757E+5,
2.54E07,5.753E+5,
2.56E07,5.763E+5,
2.58E07,5.766E+5,
2.6E07,5.779E+5,
2.62E07,5.785E+5,
2.64E07,5.798E+5,
2.66E07,5.798E+5,
2.68E07,5.805E+5,
2.7E07,5.806E+5,
2.72E07,5.815E+5,
2.74E07,5.815E+5,
2.76E07,5.830E+5,
2.78E07,5.827E+5,
2.8E07,5.841E+5,
2.82E07,5.836E+5,
2.84E07,5.844E+5,
2.86E07,5.858E+5,
2.88E07,5.855E+5,
2.9E07,5.853E+5,
2.92E07,5.856E+5,
2.94E07,5.865E+5,
2.96E07,5.876E+5,
2.98E07,5.875E+5,
3E07,5.874E+5,
3.02E07,5.886E+5,
3.04E07,5.886E+5,
3.06E07,5.897E+5,
3.08E07,5.898E+5,
3.1E07,5.903E+5,
3.12E07,5.912E+5,
3.14E07,5.897E+5,
3.16E07,5.910E+5,
3.18E07,5.922E+5,
3.2E07,5.938E+5,
3.22E07,5.927E+5,
3.24E07,5.931E+5,
3.26E07,5.933E+5,
3.28E07,5.930E+5,
3.3E07,5.942E+5,
3.32E07,5.944E+5,
3.34E07,5.951E+5,
3.36E07,5.961E+5,
3.38E07,5.952E+5,
3.4E07,5.951E+5,
3.42E07,5.944E+5,
3.44E07,5.964E+5,
3.46E07,5.967E+5,
3.48E07,5.973E+5,
3.5E07,5.966E+5,
3.52E07,5.965E+5,
3.54E07,5.966E+5,
3.56E07,5.980E+5,
3.58E07,5.982E+5,
3.6E07,5.985E+5,
3.62E07,5.983E+5,
3.64E07,5.991E+5,
3.66E07,5.993E+5,
3.68E07,5.993E+5,
3.7E07,5.981E+5,
3.72E07,5.992E+5,
3.74E07,6.000E+5,
3.76E07,5.988E+5,
3.78E07,5.999E+5,
3.8E07,6.002E+5,
3.82E07,6.003E+5,
3.84E07,6.016E+5,
3.86E07,6.013E+5,
3.88E07,6.011E+5,
3.9E07,6.021E+5,
3.92E07,6.018E+5,
3.94E07,6.020E+5,
3.96E07,6.022E+5,
3.98E07,6.017E+5,
4E07,6.008E+5,
4.02E07,6.028E+5,
4.04E07,6.015E+5,
4.06E07,6.026E+5,
4.08E07,6.029E+5,
4.1E07,6.021E+5,
4.12E07,6.029E+5,
4.14E07,6.025E+5,
4.16E07,6.025E+5,
4.18E07,6.024E+5,
4.2E07,6.031E+5,
4.22E07,6.035E+5,
4.24E07,6.030E+5,
4.26E07,6.037E+5,
4.28E07,6.037E+5,
4.3E07,6.032E+5,
4.32E07,6.037E+5,
4.34E07,6.027E+5,
4.36E07,6.041E+5,
4.38E07,6.051E+5,
4.4E07,6.047E+5,
4.42E07,6.038E+5,
4.44E07,6.047E+5,
4.46E07,6.046E+5,
4.48E07,6.045E+5,
4.5E07,6.053E+5,
4.52E07,6.050E+5,
4.54E07,6.058E+5,
4.56E07,6.069E+5,
4.58E07,6.059E+5,
4.6E07,6.067E+5,
4.62E07,6.055E+5,
4.64E07,6.053E+5,
4.66E07,6.059E+5,
4.68E07,6.052E+5,
4.7E07,6.065E+5,
4.72E07,6.068E+5,
4.74E07,6.067E+5,
4.76E07,6.068E+5,
4.78E07,6.066E+5,
4.8E07,6.071E+5,
4.82E07,6.065E+5,
4.84E07,6.066E+5,
4.86E07,6.073E+5,
4.88E07,6.065E+5,
4.9E07,6.072E+5,
4.92E07,6.066E+5,
4.94E07,6.073E+5,
4.96E07,6.078E+5,
4.98E07,6.076E+5,
5E07,6.069E+5,
5.02E07,6.067E+5,
5.04E07,6.081E+5,
5.06E07,6.071E+5,
5.08E07,6.081E+5,
5.1E07,6.075E+5,
5.12E07,6.070E+5,
5.14E07,6.077E+5,
5.16E07,6.079E+5,
5.18E07,6.081E+5,
5.2E07,6.080E+5,
5.22E07,6.084E+5,
5.24E07,6.076E+5,
5.26E07,6.087E+5,
5.28E07,6.085E+5,
5.3E07,6.082E+5,
5.32E07,6.068E+5,
5.34E07,6.078E+5,
5.36E07,6.087E+5,
5.38E07,6.079E+5,
5.4E07,6.074E+5,
5.42E07,6.096E+5,
5.44E07,6.091E+5,
5.46E07,6.086E+5,
5.48E07,6.083E+5,
5.5E07,6.085E+5,
5.52E07,6.091E+5,
5.54E07,6.089E+5,
5.56E07,6.094E+5,
5.58E07,6.069E+5,
5.6E07,6.085E+5,
5.62E07,6.089E+5,
5.64E07,6.084E+5,
5.66E07,6.082E+5,
5.68E07,6.084E+5,
5.7E07,6.092E+5,
5.72E07,6.084E+5,
5.74E07,6.087E+5,
5.76E07,6.086E+5,
5.78E07,6.094E+5,
5.8E07,6.087E+5,
5.82E07,6.088E+5,
5.84E07,6.092E+5,
5.86E07,6.091E+5,
5.88E07,6.097E+5,
5.9E07,6.090E+5,
5.92E07,6.099E+5,
5.94E07,6.091E+5,
5.96E07,6.086E+5,
5.98E07,6.095E+5,
6E07,6.088E+5,
6.02E07,6.098E+5,
6.04E07,6.091E+5,
6.06E07,6.091E+5,
6.08E07,6.089E+5,
6.1E07,6.094E+5,
6.12E07,6.094E+5,
6.14E07,6.095E+5,
6.16E07,6.088E+5,
6.18E07,6.081E+5,
6.2E07,6.093E+5,
6.22E07,6.106E+5,
6.24E07,6.078E+5,
6.26E07,6.093E+5,
6.28E07,6.104E+5,
6.3E07,6.092E+5,
6.32E07,6.093E+5,
6.34E07,6.096E+5,
6.36E07,6.105E+5,
6.38E07,6.092E+5,
64000005.000000,6.106E+5,
64200005.000000,6.099E+5,
64400005.000000,6.100E+5,
64600005.000000,6.103E+5,
64800005.000000,6.107E+5,
65000005.000000,6.096E+5,
65200005.000000,6.040E+5,
65400005.000000,5.975E+5,
65600005.000000,5.907E+5,
65800005.000000,5.831E+5,
