Labels,2ms_77k,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

3.88E07,2.335E+4,
3.9E07,2.357E+4,
3.92E07,2.340E+4,
3.94E07,2.297E+4,
3.96E07,2.257E+4,
3.98E07,2.220E+4,
4E07,2.219E+4,
4.02E07,2.191E+4,
4.04E07,2.171E+4,
4.06E07,2.156E+4,
4.08E07,2.119E+4,
4.1E07,2.082E+4,
4.12E07,2.074E+4,
4.14E07,2.078E+4,
4.16E07,2.047E+4,
4.18E07,2.010E+4,
4.2E07,2.019E+4,
4.22E07,1.989E+4,
4.24E07,1.953E+4,
4.26E07,1.913E+4,
4.28E07,1.920E+4,
4.3E07,1.918E+4,
4.32E07,1.880E+4,
4.34E07,1.858E+4,
4.36E07,1.836E+4,
4.38E07,1.822E+4,
4.4E07,1.817E+4,
4.42E07,1.786E+4,
4.44E07,1.760E+4,
4.46E07,1.747E+4,
4.48E07,1.739E+4,
4.5E07,1.704E+4,
4.52E07,1.697E+4,
4.54E07,1.684E+4,
4.56E07,1.642E+4,
4.58E07,1.652E+4,
4.6E07,1.632E+4,
4.62E07,1.635E+4,
4.64E07,1.616E+4,
4.66E07,1.589E+4,
4.68E07,1.556E+4,
4.7E07,1.589E+4,
4.72E07,1.529E+4,
4.74E07,1.539E+4,
4.76E07,1.530E+4,
4.78E07,1.530E+4,
4.8E07,1.494E+4,
4.82E07,1.490E+4,
4.84E07,1.468E+4,
4.86E07,1.460E+4,
4.88E07,1.423E+4,
4.9E07,1.432E+4,
4.92E07,1.441E+4,
4.94E07,1.401E+4,
4.96E07,1.410E+4,
4.98E07,1.389E+4,
5E07,1.373E+4,
5.02E07,1.357E+4,
5.04E07,1.355E+4,
5.06E07,1.341E+4,
5.08E07,1.340E+4,
5.1E07,1.331E+4,
5.12E07,1.309E+4,
5.14E07,1.299E+4,
5.16E07,1.278E+4,
5.18E07,1.282E+4,
5.2E07,1.253E+4,
5.22E07,1.276E+4,
5.24E07,1.252E+4,
5.26E07,1.236E+4,
5.28E07,1.214E+4,
5.3E07,1.224E+4,
5.32E07,1.207E+4,
5.34E07,1.220E+4,
5.36E07,1.190E+4,
5.38E07,1.200E+4,
5.4E07,1.171E+4,
5.42E07,1.156E+4,
5.44E07,1.140E+4,
5.46E07,1.147E+4,
5.48E07,1.116E+4,
5.5E07,1.135E+4,
5.52E07,1.124E+4,
5.54E07,1.102E+4,
5.56E07,1.111E+4,
5.58E07,1.111E+4,
5.6E07,1.105E+4,
5.62E07,1.094E+4,
5.64E07,1.067E+4,
5.66E07,1.070E+4,
5.68E07,1.066E+4,
5.7E07,1.051E+4,
5.72E07,1.036E+4,
5.74E07,1.034E+4,
5.76E07,1.038E+4,
5.78E07,1.027E+4,
5.8E07,1.043E+4,
5.82E07,1.026E+4,
5.84E07,1.014E+4,
5.86E07,9.979E+3,
5.88E07,1.001E+4,
5.9E07,9.956E+3,
5.92E07,9.978E+3,
5.94E07,9.800E+3,
5.96E07,9.639E+3,
5.98E07,9.800E+3,
6E07,9.538E+3,
6.02E07,9.551E+3,
6.04E07,9.489E+3,
6.06E07,9.421E+3,
6.08E07,9.471E+3,
6.1E07,9.405E+3,
6.12E07,9.452E+3,
6.14E07,9.413E+3,
6.16E07,9.070E+3,
6.18E07,9.112E+3,
6.2E07,9.036E+3,
6.22E07,9.001E+3,
6.24E07,9.052E+3,
6.26E07,9.058E+3,
6.28E07,9.031E+3,
6.3E07,8.766E+3,
6.32E07,8.599E+3,
6.34E07,8.861E+3,
6.36E07,8.735E+3,
6.38E07,8.860E+3,
64000005.000000,8.751E+3,
64200005.000000,8.665E+3,
64400005.000000,8.563E+3,
64600005.000000,8.562E+3,
64800005.000000,8.639E+3,
65000005.000000,8.526E+3,
65200005.000000,8.512E+3,
65400005.000000,8.386E+3,
65600005.000000,8.161E+3,
65800005.000000,8.334E+3,
66000005.000000,8.392E+3,
66200005.000000,8.336E+3,
66400005.000000,8.298E+3,
66600005.000000,8.198E+3,
66800005.000000,8.113E+3,
67000005.000000,8.119E+3,
67200005.000000,8.181E+3,
67400005.000000,8.104E+3,
67600005.000000,8.075E+3,
67800005.000000,7.991E+3,
68000005.000000,7.769E+3,
68200005.000000,7.853E+3,
68400005.000000,7.905E+3,
68600005.000000,7.894E+3,
68800005.000000,7.890E+3,
69000005.000000,7.811E+3,
69200005.000000,7.780E+3,
69400005.000000,7.564E+3,
69600005.000000,7.665E+3,
69800005.000000,7.807E+3,
70000005.000000,7.358E+3,
70200005.000000,7.597E+3,
70400006.000000,7.538E+3,
70600006.000000,7.456E+3,
70800006.000000,7.517E+3,
71000006.000000,7.595E+3,
71200006.000000,7.661E+3,
71400006.000000,7.424E+3,
71600006.000000,7.482E+3,
71800006.000000,7.351E+3,
72000006.000000,7.352E+3,
72200006.000000,7.454E+3,
72400006.000000,7.303E+3,
72600006.000000,7.350E+3,
72800006.000000,7.358E+3,
73000006.000000,7.420E+3,
73200006.000000,7.165E+3,
73400006.000000,7.401E+3,
73600006.000000,7.432E+3,
73800006.000000,7.157E+3,
74000006.000000,7.352E+3,
74200006.000000,7.263E+3,
74400006.000000,7.081E+3,
74600006.000000,7.128E+3,
74800006.000000,7.091E+3,
75000006.000000,7.043E+3,
75200006.000000,7.053E+3,
75400006.000000,7.111E+3,
75600006.000000,7.042E+3,
75800006.000000,7.112E+3,
76000006.000000,7.021E+3,
76200006.000000,7.081E+3,
76400006.000000,6.918E+3,
76600006.000000,6.759E+3,
76800006.000000,7.067E+3,
77000006.000000,6.983E+3,
77200006.000000,6.741E+3,
77400006.000000,6.819E+3,
77600006.000000,6.843E+3,
77800006.000000,6.786E+3,
78000006.000000,6.989E+3,
78200006.000000,6.842E+3,
78400006.000000,6.693E+3,
78600006.000000,6.747E+3,
78800006.000000,6.803E+3,
79000006.000000,6.755E+3,
79200006.000000,6.822E+3,
79400006.000000,6.724E+3,
79600006.000000,6.824E+3,
79800006.000000,6.763E+3,
80000006.000000,6.534E+3,
80200006.000000,6.619E+3,
80400006.000000,6.603E+3,
80600006.000000,6.681E+3,
80800006.000000,6.631E+3,
81000006.000000,6.556E+3,
81200006.000000,6.663E+3,
81400006.000000,6.697E+3,
81600006.000000,6.643E+3,
81800006.000000,6.542E+3,
82000006.000000,6.646E+3,
82200006.000000,6.475E+3,
82400006.000000,6.607E+3,
82600006.000000,6.459E+3,
82800006.000000,6.459E+3,
83000006.000000,6.349E+3,
83200007.000000,6.527E+3,
83400007.000000,6.458E+3,
83600007.000000,6.603E+3,
83800007.000000,6.638E+3,
84000007.000000,6.349E+3,
84200007.000000,6.492E+3,
84400007.000000,6.458E+3,
84600007.000000,6.406E+3,
84800007.000000,6.488E+3,
85000007.000000,6.414E+3,
85200007.000000,6.417E+3,
85400007.000000,6.324E+3,
85600007.000000,6.316E+3,
85800007.000000,6.348E+3,
86000007.000000,6.395E+3,
86200007.000000,6.304E+3,
86400007.000000,6.423E+3,
86600007.000000,6.229E+3,
86800007.000000,6.303E+3,
87000007.000000,6.241E+3,
87200007.000000,6.412E+3,
87400007.000000,6.314E+3,
87600007.000000,6.188E+3,
87800007.000000,6.277E+3,
88000007.000000,6.295E+3,
88200007.000000,6.246E+3,
88400007.000000,6.371E+3,
88600007.000000,6.270E+3,
88800007.000000,6.352E+3,
89000007.000000,6.307E+3,
89200007.000000,6.046E+3,
89400007.000000,6.272E+3,
89600007.000000,6.266E+3,
89800007.000000,6.220E+3,
90000007.000000,6.179E+3,
90200007.000000,6.352E+3,
90400007.000000,6.222E+3,
90600007.000000,6.304E+3,
90800007.000000,6.134E+3,
91000007.000000,6.070E+3,
91200007.000000,6.129E+3,
91400007.000000,6.193E+3,
91600007.000000,6.176E+3,
91800007.000000,6.225E+3,
92000007.000000,6.188E+3,
92200007.000000,6.219E+3,
92400007.000000,5.928E+3,
92600007.000000,6.057E+3,
92800007.000000,6.337E+3,
93000007.000000,6.145E+3,
93200007.000000,6.056E+3,
93400007.000000,6.038E+3,
93600007.000000,6.033E+3,
93800007.000000,6.033E+3,
94000007.000000,6.144E+3,
94200007.000000,6.126E+3,
94400007.000000,6.086E+3,
94600007.000000,6.058E+3,
94800007.000000,6.064E+3,
95000007.000000,6.051E+3,
95200007.000000,6.139E+3,
95400007.000000,6.021E+3,
95600007.000000,6.075E+3,
95800007.000000,6.068E+3,
96000008.000000,6.005E+3,
96200008.000000,6.070E+3,
96400008.000000,6.006E+3,
96600008.000000,6.123E+3,
96800008.000000,6.003E+3,
97000008.000000,6.120E+3,
97200008.000000,5.967E+3,
97400008.000000,6.071E+3,
97600008.000000,6.013E+3,
97800008.000000,6.056E+3,
98000008.000000,5.936E+3,
98200008.000000,6.140E+3,
98400008.000000,5.954E+3,
98600008.000000,5.801E+3,
98800008.000000,5.966E+3,
99000008.000000,5.948E+3,
99200008.000000,6.120E+3,
99400008.000000,6.032E+3,
99600008.000000,5.962E+3,
99800008.000000,6.065E+3,
1E08,5.971E+3,
1.002E008,6.062E+3,
1.004E008,5.843E+3,
1.006E008,6.003E+3,
1.008E008,6.079E+3,
1.01E08,5.998E+3,
1.012E008,5.965E+3,
1.014E008,5.887E+3,
1.016E008,5.860E+3,
1.018E008,6.084E+3,
1.02E08,5.997E+3,
1.022E008,5.933E+3,
1.024E008,6.115E+3,
1.026E008,5.824E+3,
1.028E008,5.920E+3,
1.03E08,5.997E+3,
1.032E008,5.942E+3,
1.034E008,5.900E+3,
1.036E008,5.957E+3,
1.038E008,5.940E+3,
1.04E08,5.992E+3,
1.042E008,6.005E+3,
1.044E008,5.975E+3,
1.046E008,5.880E+3,
1.048E008,5.922E+3,
1.05E08,6.030E+3,
1.052E008,5.959E+3,
1.054E008,5.934E+3,
1.056E008,5.914E+3,
1.058E008,5.951E+3,
1.06E08,5.904E+3,
1.062E008,5.953E+3,
1.064E008,5.939E+3,
1.066E008,5.887E+3,
1.068E008,5.952E+3,
1.07E08,5.837E+3,
1.072E008,5.828E+3,
1.074E008,5.926E+3,
1.076E008,5.782E+3,
1.078E008,5.858E+3,
1.08E08,5.734E+3,
1.082E008,5.930E+3,
1.084E008,5.937E+3,
1.086E008,5.868E+3,
1.088E008,5.997E+3,
1.09E08,5.827E+3,
1.092E008,5.985E+3,
1.094E008,5.908E+3,
1.096E008,5.847E+3,
1.098E008,5.975E+3,
1.1E08,5.836E+3,
1.102E008,5.949E+3,
1.104E008,5.859E+3,
1.106E008,5.933E+3,
1.108E008,5.784E+3,
1.11E08,5.942E+3,
1.112E008,5.863E+3,
1.114E008,5.915E+3,
1.116E008,5.918E+3,
1.118E008,5.885E+3,
1.12E08,5.767E+3,
1.122E008,5.842E+3,
1.124E008,5.865E+3,
1.126E008,5.687E+3,
1.128E008,5.930E+3,
1.13E08,5.963E+3,
1.132E008,5.761E+3,
1.134E008,5.761E+3,
1.136E008,5.996E+3,
1.138E008,5.701E+3,
1.14E08,5.891E+3,
1.142E008,5.926E+3,
1.144E008,5.784E+3,
1.146E008,5.935E+3,
1.148E008,5.821E+3,
1.15E08,5.946E+3,
1.152E008,6.038E+3,
1.154E008,5.958E+3,
1.156E008,5.666E+3,
1.158E008,5.816E+3,
1.16E08,5.948E+3,
1.162E008,5.912E+3,
1.164E008,5.729E+3,
1.166E008,5.655E+3,
1.168E008,5.665E+3,
1.17E08,5.659E+3,
1.172E008,5.970E+3,
1.174E008,5.893E+3,
1.176E008,5.847E+3,
1.178E008,5.942E+3,
1.18E08,5.856E+3,
1.182E008,5.891E+3,
1.184E008,5.836E+3,
1.186E008,5.792E+3,
1.188E008,5.875E+3,
1.19E08,6.014E+3,
1.192E008,5.912E+3,
1.194E008,5.729E+3,
1.196E008,5.801E+3,
1.198E008,5.858E+3,
1.2E08,5.920E+3,
1.202E008,5.805E+3,
1.204E008,5.699E+3,
1.206E008,5.830E+3,
1.208E008,5.898E+3,
1.21E08,5.780E+3,
1.212E008,5.784E+3,
1.214E008,5.760E+3,
1.216E008,5.803E+3,
1.218E008,5.733E+3,
1.22E08,5.759E+3,
1.222E008,5.820E+3,
1.224E008,5.900E+3,
1.226E008,5.799E+3,
1.228E008,5.974E+3,
1.23E08,5.940E+3,
1.232E008,5.853E+3,
1.234E008,5.807E+3,
1.236E008,5.794E+3,
1.238E008,5.715E+3,
1.24E08,5.875E+3,
1.242E008,5.802E+3,
1.244E008,5.798E+3,
1.246E008,5.886E+3,
1.248E008,5.786E+3,
1.25E08,5.855E+3,
1.252E008,5.641E+3,
1.254E008,5.754E+3,
1.256E008,5.917E+3,
1.258E008,5.907E+3,
1.26E08,5.841E+3,
1.262E008,5.712E+3,
1.264E008,5.764E+3,
1.266E008,5.780E+3,
1.268E008,5.760E+3,
1.27E08,5.903E+3,
1.272E008,5.943E+3,
1.274E008,5.768E+3,
1.276E008,5.721E+3,
1.278E008,5.906E+3,
1.28E08,5.635E+3,
1.282E008,5.777E+3,
1.284E008,5.872E+3,
1.286E008,5.752E+3,
1.288E008,5.778E+3,
1.29E08,5.740E+3,
1.292E008,5.774E+3,
1.294E008,5.773E+3,
1.296E008,5.730E+3,
1.298E008,5.789E+3,
1.3E08,5.673E+3,
1.302E008,5.900E+3,
1.304E008,5.759E+3,
1.306E008,5.757E+3,
1.308E008,5.851E+3,
1.31E08,5.844E+3,
1.312E008,5.807E+3,
1.314E008,5.874E+3,
1.316E008,5.880E+3,
1.318E008,5.965E+3,
1.32E08,5.816E+3,
1.322E008,5.731E+3,
1.324E008,5.721E+3,
1.326E008,5.735E+3,
1.328E008,5.806E+3,
1.33E08,5.808E+3,
1.332E008,5.814E+3,
1.334E008,5.787E+3,
1.336E008,5.835E+3,
1.338E008,5.812E+3,
1.34E08,5.955E+3,
1.342E008,5.668E+3,
1.344E008,5.958E+3,
1.346E008,5.796E+3,
1.348E008,5.799E+3,
1.35E08,5.719E+3,
1.352E008,5.795E+3,
1.354E008,5.724E+3,
1.356E008,5.745E+3,
1.358E008,5.651E+3,
1.36E08,5.792E+3,
1.362E008,5.892E+3,
1.364E008,5.866E+3,
1.366E008,5.704E+3,
1.368E008,5.890E+3,
1.37E08,5.767E+3,
1.372E008,5.791E+3,
1.374E008,5.685E+3,
1.376E008,5.744E+3,
1.378E008,5.711E+3,
1.38E08,5.715E+3,
1.382E008,5.751E+3,
1.384E008,5.831E+3,
1.386E008,5.827E+3,
1.388E008,5.912E+3,
1.39E08,5.767E+3,
1.392E008,5.821E+3,
1.394E008,5.750E+3,
