Distance (µm),Er Lα1,O Kα1,Si Kα1,Zn Kα1,Na Kα1_2,Te Kα1,
0.583477273922413,4,294,466,13,23,0,
0.587615410616898,1,288,424,12,24,0,
0.591753547311384,3,298,432,12,13,0,
0.595891684005869,2,293,413,10,18,0,
0.600029820700354,2,279,464,13,20,0,
0.604167957394839,3,292,457,16,17,0,
0.608306094089324,2,313,453,16,16,0,
0.61244423078381,1,252,445,20,10,0,
0.616582367478295,1,295,428,18,18,0,
0.62072050417278,1,255,436,14,22,0,
0.624858640867265,2,306,435,11,20,0,
0.62899677756175,1,293,433,14,18,0,
0.633134914256235,3,302,420,20,22,1,
0.637273050950721,4,299,444,19,21,0,
0.641411187645206,1,280,487,13,18,0,
0.645549324339691,2,309,397,12,17,0,
0.649687461034176,2,296,445,18,18,0,
0.653825597728661,2,295,468,16,25,0,
0.657963734423147,1,288,450,14,19,0,
0.662101871117632,1,293,466,13,15,0,
0.666240007812117,2,318,427,16,16,0,
0.670378144506602,1,304,448,17,22,0,
0.674516281201087,3,259,395,13,13,0,
0.678654417895573,4,304,440,12,17,0,
0.682792554590058,2,302,381,10,14,0,
0.686930691284543,4,305,439,5,15,0,
0.691068827979028,0,302,415,16,16,0,
0.695206964673514,3,278,433,17,21,1,
0.699345101367999,1,273,435,10,19,0,
0.703483238062484,1,297,445,17,12,0,
0.707621374756969,3,271,417,10,19,0,
0.711759511451454,3,251,432,10,20,0,
0.715897648145939,3,288,396,9,21,0,
0.720035784840425,2,272,435,12,23,0,
0.72417392153491,3,307,412,14,13,0,
0.728312058229395,3,262,424,11,22,1,
0.73245019492388,4,299,454,14,18,0,
0.736588331618365,1,281,425,23,20,0,
0.740726468312851,2,301,424,18,19,0,
0.744864605007336,3,261,439,23,25,0,
0.749002741701821,1,278,442,21,22,0,
0.753140878396306,3,283,465,21,17,2,
0.757279015090791,3,281,399,20,21,0,
0.761417151785277,1,287,430,14,17,0,
0.765555288479762,2,264,452,4,14,0,
0.769693425174247,0,266,458,12,15,0,
0.773831561868732,2,279,422,18,8,0,
0.777969698563217,2,315,453,15,18,0,
0.782107835257703,1,281,428,9,24,0,
0.786245971952188,3,277,430,12,15,0,
0.790384108646673,2,291,445,15,14,1,
0.794522245341158,0,284,407,13,18,0,
0.798660382035643,5,254,423,7,14,0,
0.802798518730129,2,287,451,14,21,0,
0.806936655424614,0,285,429,13,22,0,
0.811074792119099,4,283,432,14,18,0,
0.815212928813584,4,282,465,6,16,1,
0.819351065508069,2,291,409,12,16,0,
0.823489202202555,3,274,429,12,16,2,
0.82762733889704,2,263,418,14,25,3,
0.831765475591525,2,268,420,12,15,1,
0.83590361228601,1,279,418,10,19,2,
0.840041748980495,4,275,434,11,22,0,
0.844179885674981,3,250,421,13,24,0,
0.848318022369466,0,280,426,17,13,0,
0.852456159063951,5,282,421,8,15,1,
0.856594295758436,3,279,450,10,21,0,
0.860732432452921,5,245,424,8,13,0,
0.864870569147407,1,286,420,6,13,0,
0.869008705841892,2,300,460,12,16,0,
0.873146842536377,3,262,418,8,12,0,
0.877284979230862,1,276,415,13,13,0,
0.881423115925347,3,263,420,12,13,0,
0.885561252619833,3,248,450,5,14,1,
0.889699389314318,4,260,419,13,11,0,
0.893837526008803,3,251,481,5,13,1,
0.897975662703288,0,257,436,9,8,0,
0.902113799397773,2,240,425,5,11,0,
0.906251936092259,0,233,410,2,11,0,
0.910390072786744,6,250,426,8,16,0,
0.914528209481229,1,240,426,3,10,0,
0.918666346175714,2,248,419,8,14,0,
0.922804482870199,2,237,396,11,21,0,
0.926942619564685,1,214,417,10,14,0,
0.93108075625917,1,211,393,10,12,0,
0.935218892953655,5,179,426,8,17,0,
0.93935702964814,2,187,392,7,17,1,
0.943495166342625,2,179,381,5,15,1,
0.947633303037111,4,202,402,12,18,0,
0.951771439731596,3,181,413,9,13,0,
0.955909576426081,5,166,406,8,22,0,
0.960047713120566,4,155,430,19,20,0,
0.964185849815051,2,168,368,11,26,1,
0.968323986509537,1,150,393,14,20,0,
0.972462123204022,6,141,391,9,19,0,
0.976600259898507,1,140,414,15,24,0,
0.980738396592992,4,158,383,16,16,0,
0.984876533287477,7,129,367,16,23,0,
0.989014669981963,0,124,380,12,27,0,
0.993152806676448,2,122,399,9,13,0,
0.997290943370933,3,96,389,12,17,0,
1.00142908006542,3,99,391,8,21,0,
1.0055672167599,2,82,439,13,18,0,
1.00970535345439,3,80,356,13,19,0,
1.01384349014887,7,69,294,7,33,0,
1.01798162684336,16,75,202,35,60,1,
1.02211976353784,30,63,133,56,83,1,
1.02625790023233,43,59,137,56,87,4,
1.03039603692681,58,51,153,67,98,3,
