Distance (µm),Zn Kα1,O Kα1,Si Kα1,Ir Lα1,Pt Lα1,Te Kα1,Er Lα1,Na Kα1_2,
0.528042878463426,0,23,39,0,0,0,0,1,
0.532932164375124,1,20,42,1,0,0,0,0,
0.537821450286822,0,30,37,0,0,0,0,0,
0.542710736198521,1,23,46,0,0,0,0,2,
0.547600022110219,1,16,38,0,0,0,1,0,
0.552489308021917,5,21,35,0,1,0,0,2,
0.557378593933616,0,26,35,0,0,0,0,2,
0.562267879845314,0,24,35,1,1,0,0,1,
0.567157165757013,0,22,46,0,0,0,0,0,
0.572046451668711,3,23,51,0,0,0,0,1,
0.576935737580409,1,23,35,0,1,0,0,1,
0.581825023492108,0,19,39,0,0,0,1,1,
0.586714309403806,0,22,32,0,0,0,0,0,
0.591603595315505,1,29,31,0,0,0,0,0,
0.596492881227203,1,13,38,0,0,0,1,0,
0.601382167138901,1,29,50,0,0,0,0,2,
0.6062714530506,2,19,29,1,0,0,0,2,
0.611160738962298,2,13,33,0,0,0,0,0,
0.616050024873996,0,21,49,0,1,0,0,0,
0.620939310785695,2,31,45,1,0,0,0,1,
0.625828596697393,0,19,47,0,0,0,0,0,
0.630717882609092,6,20,34,0,0,0,0,1,
0.63560716852079,1,25,31,0,0,0,0,1,
0.640496454432488,1,23,39,0,0,0,0,0,
0.645385740344187,2,30,47,0,1,0,0,2,
0.650275026255885,0,21,48,0,0,0,0,1,
0.655164312167584,0,31,52,0,0,0,0,0,
0.660053598079282,0,19,58,0,0,0,0,0,
0.66494288399098,1,21,45,0,0,0,0,0,
0.669832169902679,2,16,40,1,0,0,0,3,
0.674721455814377,2,24,40,0,0,0,0,1,
0.679610741726076,2,25,50,0,0,0,0,1,
0.684500027637774,1,18,42,0,0,0,0,1,
0.689389313549472,0,31,47,0,0,0,0,0,
0.694278599461171,0,28,43,0,0,0,0,0,
0.699167885372869,3,26,41,1,0,0,0,1,
0.704057171284567,2,34,41,1,0,0,0,0,
0.708946457196266,0,23,40,0,0,0,0,0,
0.713835743107964,1,20,48,0,0,0,0,1,
0.718725029019663,1,22,47,0,0,0,0,0,
0.723614314931361,2,22,44,0,0,0,0,1,
0.728503600843059,0,24,35,0,0,0,0,1,
0.733392886754758,0,26,46,0,0,0,0,0,
0.738282172666456,4,26,42,0,1,0,0,1,
0.743171458578154,1,21,41,1,0,0,1,0,
0.748060744489853,0,27,48,0,0,0,0,1,
0.752950030401551,0,19,52,0,0,0,0,0,
0.75783931631325,0,22,36,0,0,0,0,0,
0.762728602224948,0,21,48,0,0,0,1,1,
0.767617888136646,0,27,51,0,1,0,0,0,
0.772507174048345,1,31,47,1,1,0,0,1,
0.777396459960043,0,30,51,0,0,0,1,0,
0.782285745871741,1,23,48,0,1,0,0,2,
0.78717503178344,0,19,48,0,0,0,0,2,
0.792064317695138,1,21,50,0,0,0,0,1,
0.796953603606837,0,29,57,1,1,0,1,0,
0.801842889518535,1,29,41,0,0,0,0,2,
0.806732175430233,0,26,64,0,0,0,0,2,
0.811621461341932,2,20,53,0,0,0,0,3,
0.81651074725363,0,34,43,1,0,0,1,4,
0.821400033165329,3,26,55,0,0,0,1,1,
0.826289319077027,4,22,44,0,1,0,0,2,
0.831178604988725,1,26,42,0,1,0,0,2,
0.836067890900424,6,30,50,0,0,0,1,1,
0.840957176812122,2,21,41,0,2,0,0,4,
0.84584646272382,0,29,58,0,2,0,0,0,
0.850735748635519,0,23,62,1,0,0,0,2,
0.855625034547217,2,29,63,2,1,0,0,2,
0.860514320458916,6,25,54,0,0,0,1,7,
0.865403606370614,0,28,54,0,0,1,0,1,
0.870292892282312,0,26,45,1,0,0,0,1,
0.875182178194011,0,24,47,0,0,0,0,1,
0.880071464105709,0,39,70,0,0,0,0,2,
0.884960750017408,0,43,49,2,1,0,1,2,
0.889850035929106,3,30,61,0,1,0,0,1,
0.894739321840804,0,18,59,0,1,0,0,0,
