Distance (µm),Zn Kα1,O Kα1,Si Kα1,Te Kα1,Er Lα1,Na Kα1_2,
0.675266832367734,3,42,85,0,1,2,
0.680461192616716,2,40,95,0,1,1,
0.685655552865699,0,43,82,0,0,3,
0.690849913114681,1,32,76,0,0,2,
0.696044273363664,2,41,74,0,0,0,
0.701238633612646,2,50,87,0,0,1,
0.706432993861629,1,33,72,0,1,3,
0.711627354110612,4,44,73,0,0,2,
0.716821714359594,0,38,70,0,0,1,
0.722016074608577,2,31,85,0,0,0,
0.727210434857559,2,46,82,0,0,2,
0.732404795106542,1,46,86,0,0,3,
0.737599155355524,1,42,68,0,0,3,
0.742793515604507,0,47,88,0,0,1,
0.747987875853489,2,29,81,1,0,1,
0.753182236102472,1,40,61,0,0,3,
0.758376596351455,2,29,83,0,0,2,
0.763570956600437,1,39,71,0,0,1,
0.76876531684942,2,37,61,0,1,2,
0.773959677098402,0,41,84,0,1,4,
0.779154037347385,1,49,74,0,0,0,
0.784348397596367,0,50,87,0,1,4,
0.78954275784535,3,44,88,0,0,3,
0.794737118094333,2,46,76,0,1,2,
0.799931478343315,1,33,84,0,0,1,
0.805125838592298,2,49,75,0,0,4,
0.81032019884128,1,42,72,0,1,2,
0.815514559090263,1,56,63,0,1,0,
0.820708919339245,0,39,82,0,0,4,
0.825903279588228,4,52,70,0,0,1,
0.831097639837211,2,34,69,0,0,4,
0.836292000086193,2,39,65,0,0,3,
0.841486360335176,1,38,79,0,0,1,
0.846680720584158,0,42,68,0,0,3,
0.851875080833141,1,44,82,0,1,0,
0.857069441082123,4,60,70,0,0,2,
0.862263801331106,1,48,75,0,0,2,
0.867458161580088,1,49,78,0,0,0,
0.872652521829071,1,50,91,0,0,0,
0.877846882078054,1,44,85,0,0,0,
0.883041242327036,2,46,79,0,0,3,
0.888235602576019,1,56,102,0,0,1,
0.893429962825001,0,63,83,0,0,3,
0.898624323073984,4,55,64,0,1,8,
0.903818683322966,3,40,101,0,0,6,
0.909013043571949,3,52,80,0,1,5,
0.914207403820932,0,42,68,0,0,5,
0.919401764069914,1,38,71,0,0,2,
0.924596124318897,0,44,90,0,0,1,
0.929790484567879,3,38,95,0,0,3,
0.934984844816862,2,36,90,0,0,5,
0.940179205065844,2,47,75,0,0,0,
0.945373565314827,1,34,77,0,0,1,
0.95056792556381,3,48,75,0,1,2,
0.955762285812792,1,44,80,0,0,1,
0.960956646061775,2,53,90,0,0,1,
0.966151006310757,2,39,92,0,0,1,
