Multi Scans Modified Normalised

Labels	T2_2percent_diffuseReflectance-24900 Normalised	T2_99percent_diffuseReflectance-24900 Normalised	
Type	Emission Scan	Emission Scan	
Comment			
Start	1399.95000	1450.05000	
Stop	1700.25000	1649.55000	
Step	1.050	1.050	
Fixed/Offset	850.00	850.00	
Xaxis	Wavelength	Wavelength	
Yaxis	Counts	Counts	
Scan Corr. by File	False	False	
Corr. by Ref. Det.	False	False	
Fixed/Offset Corr. by File	False	False	
Repeats	1	1	
Dwell Time	0.20	0.20	
Lamp	uF900	uF900	
Temp	0.00	0.00	
Scan Polariser	None	None	
Scan Slit	0.00	0.00	
Fixed/Offset Polariser	None	None	
Fixed/Offset Slit	0.00	0.00	
Detector	NIR PMT	NIR PMT	

1552.2000	3.948E-1	4.165E-1	
1553.25000	3.668E-1	3.815E-1	
1554.3000	3.397E-1	3.585E-1	
1555.35000	3.170E-1	3.267E-1	
1556.4000	3.067E-1	3.123E-1	
1557.45000	2.916E-1	2.973E-1	
1558.5000	2.667E-1	2.873E-1	
1559.55000	2.697E-1	2.786E-1	
1560.6000	2.581E-1	2.727E-1	
1561.65000	2.577E-1	2.661E-1	
1562.7000	2.654E-1	2.601E-1	
1563.75000	2.593E-1	2.616E-1	
1564.8000	2.556E-1	2.569E-1	
1565.85000	2.491E-1	2.531E-1	
1566.9000	2.417E-1	2.523E-1	
1567.95000	2.375E-1	2.451E-1	
1569.000	2.264E-1	2.285E-1	
1570.05000	2.156E-1	2.208E-1	
1571.1000	1.962E-1	2.063E-1	
1572.15000	1.861E-1	1.917E-1	
1573.2000	1.634E-1	1.745E-1	
1574.25000	1.441E-1	1.544E-1	
1575.3000	1.163E-1	1.274E-1	
1576.35000	1.050E-1	1.100E-1	
1577.4000	8.510E-2	9.317E-2	
1578.45000	8.199E-2	8.419E-2	
1579.5000	6.929E-2	7.560E-2	
1580.55000	6.523E-2	7.442E-2	
1581.6000	6.228E-2	6.565E-2	
1582.65000	5.675E-2	6.383E-2	
1583.7000	5.420E-2	5.990E-2	
1584.75000	5.771E-2	5.592E-2	
1585.8000	5.354E-2	5.753E-2	
1586.85000	5.131E-2	5.384E-2	
1587.9000	5.172E-2	5.083E-2	
1588.95000	4.703E-2	5.157E-2	
1590.00	5.442E-2	5.406E-2	
1591.05000	4.881E-2	5.045E-2	
1592.1000	5.435E-2	5.015E-2	
1593.15000	4.727E-2	4.724E-2	
1594.2000	4.816E-2	4.759E-2	
1595.25000	4.072E-2	4.713E-2	
1596.3000	3.976E-2	4.896E-2	
1597.35000	4.371E-2	4.954E-2	
1598.4000	4.517E-2	4.585E-2	
1599.45000	4.321E-2	4.901E-2	
1600.5000	4.370E-2	4.601E-2	
1601.55000	3.980E-2	4.998E-2	
1602.6000	4.402E-2	4.596E-2	
1603.65000	5.194E-2	5.311E-2	
1604.7000	5.191E-2	4.976E-2	
1605.75000	4.542E-2	4.994E-2	
1606.8000	4.741E-2	4.625E-2	
1607.85000	4.327E-2	4.840E-2	
1608.9000	4.469E-2	4.734E-2	
1609.95000	4.262E-2	4.824E-2	
1611.000	3.964E-2	4.680E-2	
1612.05000	4.371E-2	4.653E-2	
1613.1000	4.169E-2	4.672E-2	
1614.15000	4.117E-2	4.628E-2	
1615.2000	4.067E-2	4.443E-2	
1616.25000	4.134E-2	3.971E-2	
1617.3000	4.482E-2	4.151E-2	
1618.35000	4.318E-2	3.952E-2	
1619.4000	3.807E-2	4.016E-2	
1620.45000	3.504E-2	3.803E-2	
1621.5000	3.649E-2	3.549E-2	
1622.55000	3.538E-2	3.448E-2	
1623.6000	2.652E-2	3.462E-2	
1624.65000	2.832E-2	2.958E-2	
1625.7000	3.087E-2	2.897E-2	
