Labels,T6_2,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,4.171E+4,
1401.000,4.207E+4,
1402.05000,4.198E+4,
1403.1000,4.228E+4,
1404.15000,4.203E+4,
1405.2000,4.341E+4,
1406.25000,4.269E+4,
1407.3000,4.218E+4,
1408.35000,4.252E+4,
1409.4000,4.243E+4,
1410.45000,4.344E+4,
1411.5000,4.365E+4,
1412.55000,4.412E+4,
1413.6000,4.469E+4,
1414.65000,4.510E+4,
1415.7000,4.498E+4,
1416.75000,4.467E+4,
1417.8000,4.506E+4,
1418.85000,4.544E+4,
1419.9000,4.657E+4,
1420.95000,4.637E+4,
1422.000,4.660E+4,
1423.05000,4.636E+4,
1424.1000,4.759E+4,
1425.15000,4.822E+4,
1426.2000,4.836E+4,
1427.25000,4.913E+4,
1428.3000,4.940E+4,
1429.35000,5.029E+4,
1430.4000,5.086E+4,
1431.45000,5.142E+4,
1432.5000,5.241E+4,
1433.55000,5.363E+4,
1434.6000,5.508E+4,
1435.65000,5.599E+4,
1436.7000,5.751E+4,
1437.75000,5.791E+4,
1438.8000,5.968E+4,
1439.85000,6.134E+4,
1440.9000,6.280E+4,
1441.95000,6.552E+4,
1443.000,6.732E+4,
1444.05000,6.913E+4,
1445.1000,7.230E+4,
1446.15000,7.582E+4,
1447.2000,7.957E+4,
1448.25000,8.356E+4,
1449.3000,8.745E+4,
1450.35000,9.218E+4,
1451.4000,9.675E+4,
1452.45000,1.034E+5,
1453.5000,1.098E+5,
1454.55000,1.157E+5,
1455.6000,1.235E+5,
1456.65000,1.323E+5,
1457.7000,1.418E+5,
1458.75000,1.508E+5,
1459.8000,1.610E+5,
1460.85000,1.726E+5,
1461.9000,1.837E+5,
1462.95000,1.990E+5,
1464.000,2.115E+5,
1465.05000,2.265E+5,
1466.1000,2.410E+5,
1467.15000,2.575E+5,
1468.2000,2.744E+5,
1469.25000,2.908E+5,
1470.3000,3.090E+5,
1471.35000,3.307E+5,
1472.4000,3.490E+5,
1473.45000,3.706E+5,
1474.5000,3.932E+5,
1475.55000,4.116E+5,
1476.6000,4.339E+5,
1477.65000,4.530E+5,
1478.7000,4.741E+5,
1479.75000,4.944E+5,
1480.8000,5.129E+5,
1481.85000,5.333E+5,
1482.9000,5.511E+5,
1483.95000,5.671E+5,
1485.000,5.842E+5,
1486.05000,5.966E+5,
1487.1000,6.084E+5,
1488.15000,6.209E+5,
1489.2000,6.291E+5,
1490.25000,6.394E+5,
1491.3000,6.460E+5,
1492.35000,6.501E+5,
1493.4000,6.535E+5,
1494.45000,6.575E+5,
1495.5000,6.588E+5,
1496.55000,6.575E+5,
1497.6000,6.583E+5,
1498.65000,6.549E+5,
1499.7000,6.521E+5,
1500.75000,6.485E+5,
1501.8000,6.445E+5,
1502.85000,6.376E+5,
1503.9000,6.337E+5,
1504.95000,6.289E+5,
1506.000,6.236E+5,
1507.05000,6.185E+5,
1508.1000,6.165E+5,
1509.15000,6.141E+5,
1510.2000,6.157E+5,
1511.25000,6.184E+5,
1512.3000,6.239E+5,
1513.35000,6.321E+5,
1514.4000,6.479E+5,
1515.45000,6.609E+5,
1516.5000,6.796E+5,
1517.55000,7.058E+5,
1518.6000,7.325E+5,
1519.65000,7.653E+5,
1520.7000,8.035E+5,
1521.75000,8.474E+5,
1522.8000,8.893E+5,
1523.85000,9.427E+5,
1524.9000,1.004E+6,
1525.95000,1.075E+6,
1527.000,1.161E+6,
1528.05000,1.258E+6,
1529.1000,1.368E+6,
1530.15000,1.479E+6,
1531.2000,1.593E+6,
1532.25000,1.704E+6,
1533.3000,1.801E+6,
1534.35000,1.821E+6,
1535.4000,1.762E+6,
1536.45000,1.631E+6,
1537.5000,1.483E+6,
1538.55000,1.386E+6,
1539.6000,1.362E+6,
1540.65000,1.370E+6,
1541.7000,1.376E+6,
1542.75000,1.365E+6,
1543.8000,1.325E+6,
1544.85000,1.267E+6,
1545.9000,1.198E+6,
1546.95000,1.133E+6,
1548.000,1.070E+6,
1549.05000,1.018E+6,
1550.1000,9.805E+5,
1551.15000,9.464E+5,
1552.2000,9.238E+5,
1553.25000,9.060E+5,
1554.3000,8.871E+5,
1555.35000,8.737E+5,
1556.4000,8.559E+5,
1557.45000,8.354E+5,
1558.5000,8.149E+5,
1559.55000,7.921E+5,
1560.6000,7.723E+5,
1561.65000,7.529E+5,
1562.7000,7.336E+5,
1563.75000,7.157E+5,
1564.8000,6.962E+5,
1565.85000,6.762E+5,
1566.9000,6.533E+5,
1567.95000,6.310E+5,
1569.000,6.043E+5,
1570.05000,5.744E+5,
1571.1000,5.439E+5,
1572.15000,5.106E+5,
1573.2000,4.721E+5,
1574.25000,4.405E+5,
1575.3000,4.099E+5,
1576.35000,3.865E+5,
1577.4000,3.667E+5,
1578.45000,3.503E+5,
1579.5000,3.413E+5,
1580.55000,3.339E+5,
1581.6000,3.278E+5,
1582.65000,3.216E+5,
1583.7000,3.188E+5,
1584.75000,3.152E+5,
1585.8000,3.144E+5,
1586.85000,3.125E+5,
1587.9000,3.089E+5,
1588.95000,3.089E+5,
1590.00,3.085E+5,
1591.05000,3.072E+5,
1592.1000,3.054E+5,
1593.15000,3.060E+5,
1594.2000,3.042E+5,
1595.25000,3.048E+5,
1596.3000,3.035E+5,
1597.35000,3.013E+5,
1598.4000,3.015E+5,
1599.45000,2.996E+5,
1600.5000,2.993E+5,
1601.55000,2.982E+5,
1602.6000,2.952E+5,
1603.65000,2.934E+5,
1604.7000,2.920E+5,
1605.75000,2.887E+5,
1606.8000,2.862E+5,
1607.85000,2.823E+5,
1608.9000,2.783E+5,
1609.95000,2.751E+5,
1611.000,2.695E+5,
1612.05000,2.631E+5,
1613.1000,2.577E+5,
1614.15000,2.509E+5,
1615.2000,2.432E+5,
1616.25000,2.348E+5,
1617.3000,2.258E+5,
1618.35000,2.159E+5,
1619.4000,2.052E+5,
1620.45000,1.942E+5,
1621.5000,1.839E+5,
1622.55000,1.732E+5,
1623.6000,1.616E+5,
1624.65000,1.513E+5,
1625.7000,1.412E+5,
1626.75000,1.316E+5,
1627.8000,1.225E+5,
1628.85000,1.143E+5,
1629.9000,1.072E+5,
1630.95000,9.975E+4,
1632.000,9.348E+4,
1633.05000,8.848E+4,
1634.1000,8.320E+4,
1635.15000,7.921E+4,
1636.2000,7.501E+4,
1637.25000,7.154E+4,
1638.3000,6.838E+4,
1639.35000,6.574E+4,
1640.4000,6.229E+4,
1641.45000,6.148E+4,
1642.5000,5.860E+4,
1643.55000,5.729E+4,
1644.6000,5.545E+4,
1645.65000,5.409E+4,
1646.7000,5.229E+4,
1647.75000,5.122E+4,
1648.8000,5.076E+4,
1649.85000,4.883E+4,
1650.9000,4.874E+4,
1651.95000,4.817E+4,
1653.000,4.687E+4,
1654.05000,4.647E+4,
1655.1000,4.570E+4,
1656.15000,4.528E+4,
1657.2000,4.468E+4,
1658.25000,4.396E+4,
1659.3000,4.395E+4,
1660.35000,4.270E+4,
1661.4000,4.214E+4,
1662.45000,4.186E+4,
1663.5000,4.229E+4,
1664.55000,4.178E+4,
1665.6000,4.176E+4,
1666.65000,4.154E+4,
1667.7000,4.168E+4,
1668.75000,4.158E+4,
1669.8000,4.041E+4,
1670.85000,4.096E+4,
1671.9000,4.038E+4,
1672.95000,4.045E+4,
1674.000,4.057E+4,
1675.05000,4.035E+4,
1676.1000,4.044E+4,
1677.15000,4.006E+4,
1678.2000,3.974E+4,
1679.25000,3.989E+4,
1680.3000,3.978E+4,
1681.35000,4.016E+4,
1682.4000,3.950E+4,
1683.45000,4.001E+4,
1684.5000,3.970E+4,
1685.55000,3.972E+4,
1686.6000,3.967E+4,
1687.65000,3.942E+4,
1688.7000,3.954E+4,
1689.75000,3.943E+4,
1690.8000,3.995E+4,
1691.85000,3.978E+4,
1692.9000,4.008E+4,
1693.95000,3.954E+4,
1695.000,3.921E+4,
1696.05000,3.956E+4,
1697.1000,3.977E+4,
1698.15000,3.973E+4,
1699.2000,3.993E+4,
1700.25000,3.956E+4,
