Labels,T1_3,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,3.948E+4,
1401.000,3.937E+4,
1402.05000,4.003E+4,
1403.1000,3.939E+4,
1404.15000,3.973E+4,
1405.2000,3.960E+4,
1406.25000,3.945E+4,
1407.3000,3.972E+4,
1408.35000,3.947E+4,
1409.4000,4.000E+4,
1410.45000,3.966E+4,
1411.5000,4.011E+4,
1412.55000,4.057E+4,
1413.6000,4.044E+4,
1414.65000,4.019E+4,
1415.7000,3.987E+4,
1416.75000,4.025E+4,
1417.8000,4.030E+4,
1418.85000,4.016E+4,
1419.9000,3.952E+4,
1420.95000,3.910E+4,
1422.000,3.976E+4,
1423.05000,3.928E+4,
1424.1000,3.896E+4,
1425.15000,3.947E+4,
1426.2000,3.994E+4,
1427.25000,3.960E+4,
1428.3000,3.984E+4,
1429.35000,3.937E+4,
1430.4000,3.955E+4,
1431.45000,3.950E+4,
1432.5000,3.997E+4,
1433.55000,3.941E+4,
1434.6000,3.893E+4,
1435.65000,3.957E+4,
1436.7000,3.961E+4,
1437.75000,3.940E+4,
1438.8000,3.957E+4,
1439.85000,3.975E+4,
1440.9000,3.947E+4,
1441.95000,4.024E+4,
1443.000,4.011E+4,
1444.05000,4.014E+4,
1445.1000,4.006E+4,
1446.15000,4.048E+4,
1447.2000,4.034E+4,
1448.25000,4.035E+4,
1449.3000,4.066E+4,
1450.35000,4.154E+4,
1451.4000,4.089E+4,
1452.45000,4.164E+4,
1453.5000,4.181E+4,
1454.55000,4.106E+4,
1455.6000,4.251E+4,
1456.65000,4.219E+4,
1457.7000,4.255E+4,
1458.75000,4.232E+4,
1459.8000,4.265E+4,
1460.85000,4.366E+4,
1461.9000,4.406E+4,
1462.95000,4.461E+4,
1464.000,4.480E+4,
1465.05000,4.515E+4,
1466.1000,4.609E+4,
1467.15000,4.654E+4,
1468.2000,4.687E+4,
1469.25000,4.729E+4,
1470.3000,4.680E+4,
1471.35000,4.850E+4,
1472.4000,4.872E+4,
1473.45000,4.876E+4,
1474.5000,4.941E+4,
1475.55000,5.026E+4,
1476.6000,5.062E+4,
1477.65000,5.195E+4,
1478.7000,5.211E+4,
1479.75000,5.314E+4,
1480.8000,5.348E+4,
1481.85000,5.374E+4,
1482.9000,5.466E+4,
1483.95000,5.569E+4,
1485.000,5.567E+4,
1486.05000,5.618E+4,
1487.1000,5.600E+4,
1488.15000,5.672E+4,
1489.2000,5.700E+4,
1490.25000,5.701E+4,
1491.3000,5.743E+4,
1492.35000,5.792E+4,
1493.4000,5.776E+4,
1494.45000,5.677E+4,
1495.5000,5.677E+4,
1496.55000,5.703E+4,
1497.6000,5.679E+4,
1498.65000,5.708E+4,
1499.7000,5.662E+4,
1500.75000,5.646E+4,
1501.8000,5.607E+4,
1502.85000,5.594E+4,
1503.9000,5.650E+4,
1504.95000,5.557E+4,
1506.000,5.546E+4,
1507.05000,5.540E+4,
1508.1000,5.545E+4,
1509.15000,5.511E+4,
1510.2000,5.551E+4,
1511.25000,5.549E+4,
1512.3000,5.583E+4,
1513.35000,5.619E+4,
1514.4000,5.700E+4,
1515.45000,5.745E+4,
1516.5000,5.859E+4,
1517.55000,5.965E+4,
1518.6000,6.068E+4,
1519.65000,6.270E+4,
1520.7000,6.484E+4,
1521.75000,6.737E+4,
1522.8000,7.014E+4,
1523.85000,7.334E+4,
1524.9000,7.638E+4,
1525.95000,8.050E+4,
1527.000,8.511E+4,
1528.05000,9.039E+4,
1529.1000,9.703E+4,
1530.15000,1.043E+5,
1531.2000,1.141E+5,
1532.25000,1.280E+5,
1533.3000,1.467E+5,
1534.35000,1.614E+5,
1535.4000,1.708E+5,
1536.45000,1.654E+5,
1537.5000,1.532E+5,
1538.55000,1.436E+5,
1539.6000,1.428E+5,
1540.65000,1.447E+5,
1541.7000,1.472E+5,
1542.75000,1.468E+5,
1543.8000,1.423E+5,
1544.85000,1.348E+5,
1545.9000,1.256E+5,
1546.95000,1.176E+5,
1548.000,1.093E+5,
1549.05000,1.041E+5,
1550.1000,9.975E+4,
1551.15000,9.358E+4,
1552.2000,8.996E+4,
1553.25000,8.634E+4,
1554.3000,8.335E+4,
1555.35000,8.104E+4,
1556.4000,7.886E+4,
1557.45000,7.791E+4,
1558.5000,7.648E+4,
1559.55000,7.502E+4,
1560.6000,7.477E+4,
1561.65000,7.399E+4,
1562.7000,7.332E+4,
1563.75000,7.398E+4,
1564.8000,7.306E+4,
1565.85000,7.197E+4,
1566.9000,7.062E+4,
1567.95000,6.906E+4,
1569.000,6.824E+4,
1570.05000,6.639E+4,
1571.1000,6.355E+4,
1572.15000,6.142E+4,
1573.2000,5.904E+4,
1574.25000,5.593E+4,
1575.3000,5.363E+4,
1576.35000,5.219E+4,
1577.4000,5.068E+4,
1578.45000,4.891E+4,
1579.5000,4.862E+4,
1580.55000,4.791E+4,
1581.6000,4.770E+4,
1582.65000,4.754E+4,
1583.7000,4.738E+4,
1584.75000,4.655E+4,
1585.8000,4.642E+4,
1586.85000,4.604E+4,
1587.9000,4.588E+4,
1588.95000,4.570E+4,
1590.00,4.616E+4,
1591.05000,4.618E+4,
1592.1000,4.586E+4,
1593.15000,4.605E+4,
1594.2000,4.577E+4,
1595.25000,4.609E+4,
1596.3000,4.587E+4,
1597.35000,4.559E+4,
1598.4000,4.601E+4,
1599.45000,4.550E+4,
1600.5000,4.545E+4,
1601.55000,4.524E+4,
1602.6000,4.505E+4,
1603.65000,4.521E+4,
1604.7000,4.546E+4,
1605.75000,4.543E+4,
1606.8000,4.581E+4,
1607.85000,4.584E+4,
1608.9000,4.543E+4,
1609.95000,4.487E+4,
1611.000,4.536E+4,
1612.05000,4.505E+4,
1613.1000,4.487E+4,
1614.15000,4.486E+4,
1615.2000,4.427E+4,
1616.25000,4.507E+4,
1617.3000,4.477E+4,
1618.35000,4.452E+4,
1619.4000,4.375E+4,
1620.45000,4.417E+4,
1621.5000,4.352E+4,
1622.55000,4.301E+4,
1623.6000,4.306E+4,
1624.65000,4.266E+4,
1625.7000,4.234E+4,
1626.75000,4.208E+4,
1627.8000,4.180E+4,
1628.85000,4.144E+4,
1629.9000,4.176E+4,
1630.95000,4.170E+4,
1632.000,4.132E+4,
1633.05000,4.095E+4,
1634.1000,4.112E+4,
1635.15000,4.053E+4,
1636.2000,4.058E+4,
1637.25000,4.034E+4,
1638.3000,4.049E+4,
1639.35000,4.098E+4,
1640.4000,4.032E+4,
1641.45000,4.077E+4,
1642.5000,4.011E+4,
1643.55000,4.064E+4,
1644.6000,4.048E+4,
1645.65000,4.010E+4,
1646.7000,3.984E+4,
1647.75000,3.973E+4,
1648.8000,3.993E+4,
1649.85000,3.990E+4,
1650.9000,3.962E+4,
1651.95000,3.999E+4,
1653.000,4.013E+4,
1654.05000,4.040E+4,
1655.1000,3.944E+4,
1656.15000,3.964E+4,
1657.2000,3.985E+4,
1658.25000,3.978E+4,
1659.3000,3.981E+4,
1660.35000,3.924E+4,
1661.4000,3.974E+4,
1662.45000,3.969E+4,
1663.5000,3.974E+4,
1664.55000,3.967E+4,
1665.6000,4.006E+4,
1666.65000,3.985E+4,
1667.7000,3.922E+4,
1668.75000,3.959E+4,
1669.8000,3.962E+4,
1670.85000,4.006E+4,
1671.9000,3.993E+4,
1672.95000,4.005E+4,
1674.000,4.022E+4,
1675.05000,4.025E+4,
1676.1000,3.997E+4,
1677.15000,3.984E+4,
1678.2000,4.002E+4,
1679.25000,3.949E+4,
1680.3000,3.983E+4,
1681.35000,4.014E+4,
1682.4000,3.999E+4,
1683.45000,4.026E+4,
1684.5000,3.994E+4,
1685.55000,4.047E+4,
1686.6000,4.023E+4,
1687.65000,4.017E+4,
1688.7000,4.102E+4,
1689.75000,4.022E+4,
1690.8000,3.990E+4,
1691.85000,4.013E+4,
1692.9000,3.995E+4,
1693.95000,3.991E+4,
1695.000,4.016E+4,
1696.05000,4.005E+4,
1697.1000,3.997E+4,
1698.15000,4.040E+4,
1699.2000,4.036E+4,
1700.25000,4.013E+4,
