Labels,T4_1,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,4.032E+4,
1401.000,4.033E+4,
1402.05000,4.061E+4,
1403.1000,4.134E+4,
1404.15000,4.105E+4,
1405.2000,4.116E+4,
1406.25000,4.170E+4,
1407.3000,4.101E+4,
1408.35000,4.107E+4,
1409.4000,4.128E+4,
1410.45000,4.098E+4,
1411.5000,4.047E+4,
1412.55000,4.028E+4,
1413.6000,4.070E+4,
1414.65000,4.095E+4,
1415.7000,4.041E+4,
1416.75000,4.071E+4,
1417.8000,4.066E+4,
1418.85000,4.067E+4,
1419.9000,4.080E+4,
1420.95000,4.125E+4,
1422.000,4.045E+4,
1423.05000,4.025E+4,
1424.1000,4.039E+4,
1425.15000,4.036E+4,
1426.2000,4.015E+4,
1427.25000,4.051E+4,
1428.3000,4.031E+4,
1429.35000,4.060E+4,
1430.4000,4.086E+4,
1431.45000,4.079E+4,
1432.5000,4.089E+4,
1433.55000,4.114E+4,
1434.6000,4.078E+4,
1435.65000,4.084E+4,
1436.7000,4.064E+4,
1437.75000,4.107E+4,
1438.8000,4.100E+4,
1439.85000,4.170E+4,
1440.9000,4.094E+4,
1441.95000,4.158E+4,
1443.000,4.151E+4,
1444.05000,4.118E+4,
1445.1000,4.149E+4,
1446.15000,4.155E+4,
1447.2000,4.202E+4,
1448.25000,4.180E+4,
1449.3000,4.232E+4,
1450.35000,4.237E+4,
1451.4000,4.262E+4,
1452.45000,4.285E+4,
1453.5000,4.319E+4,
1454.55000,4.341E+4,
1455.6000,4.337E+4,
1456.65000,4.371E+4,
1457.7000,4.409E+4,
1458.75000,4.496E+4,
1459.8000,4.510E+4,
1460.85000,4.597E+4,
1461.9000,4.569E+4,
1462.95000,4.594E+4,
1464.000,4.639E+4,
1465.05000,4.727E+4,
1466.1000,4.775E+4,
1467.15000,4.804E+4,
1468.2000,4.913E+4,
1469.25000,4.941E+4,
1470.3000,5.035E+4,
1471.35000,5.114E+4,
1472.4000,5.156E+4,
1473.45000,5.297E+4,
1474.5000,5.460E+4,
1475.55000,5.507E+4,
1476.6000,5.581E+4,
1477.65000,5.687E+4,
1478.7000,5.775E+4,
1479.75000,5.813E+4,
1480.8000,5.913E+4,
1481.85000,5.942E+4,
1482.9000,5.965E+4,
1483.95000,6.073E+4,
1485.000,6.226E+4,
1486.05000,6.261E+4,
1487.1000,6.369E+4,
1488.15000,6.378E+4,
1489.2000,6.452E+4,
1490.25000,6.525E+4,
1491.3000,6.535E+4,
1492.35000,6.611E+4,
1493.4000,6.615E+4,
1494.45000,6.601E+4,
1495.5000,6.620E+4,
1496.55000,6.728E+4,
1497.6000,6.670E+4,
1498.65000,6.699E+4,
1499.7000,6.636E+4,
1500.75000,6.672E+4,
1501.8000,6.636E+4,
1502.85000,6.672E+4,
1503.9000,6.654E+4,
1504.95000,6.696E+4,
1506.000,6.682E+4,
1507.05000,6.585E+4,
1508.1000,6.649E+4,
1509.15000,6.626E+4,
1510.2000,6.698E+4,
1511.25000,6.699E+4,
1512.3000,6.746E+4,
1513.35000,6.767E+4,
1514.4000,6.830E+4,
1515.45000,6.937E+4,
1516.5000,7.052E+4,
1517.55000,7.186E+4,
1518.6000,7.259E+4,
1519.65000,7.504E+4,
1520.7000,7.675E+4,
1521.75000,7.961E+4,
1522.8000,8.263E+4,
1523.85000,8.543E+4,
1524.9000,9.007E+4,
1525.95000,9.397E+4,
1527.000,9.881E+4,
1528.05000,1.065E+5,
1529.1000,1.136E+5,
1530.15000,1.233E+5,
1531.2000,1.331E+5,
1532.25000,1.440E+5,
1533.3000,1.558E+5,
1534.35000,1.613E+5,
1535.4000,1.607E+5,
1536.45000,1.521E+5,
1537.5000,1.419E+5,
1538.55000,1.351E+5,
1539.6000,1.325E+5,
1540.65000,1.342E+5,
1541.7000,1.355E+5,
1542.75000,1.355E+5,
1543.8000,1.328E+5,
1544.85000,1.274E+5,
1545.9000,1.220E+5,
1546.95000,1.157E+5,
1548.000,1.107E+5,
1549.05000,1.070E+5,
1550.1000,1.036E+5,
1551.15000,1.004E+5,
1552.2000,9.792E+4,
1553.25000,9.578E+4,
1554.3000,9.397E+4,
1555.35000,9.261E+4,
1556.4000,9.048E+4,
1557.45000,8.886E+4,
1558.5000,8.758E+4,
1559.55000,8.544E+4,
1560.6000,8.329E+4,
1561.65000,8.133E+4,
1562.7000,8.041E+4,
1563.75000,7.856E+4,
1564.8000,7.678E+4,
1565.85000,7.564E+4,
1566.9000,7.460E+4,
1567.95000,7.388E+4,
1569.000,7.205E+4,
1570.05000,6.997E+4,
1571.1000,6.710E+4,
1572.15000,6.494E+4,
1573.2000,6.257E+4,
1574.25000,6.093E+4,
1575.3000,5.895E+4,
1576.35000,5.788E+4,
1577.4000,5.616E+4,
1578.45000,5.508E+4,
1579.5000,5.433E+4,
1580.55000,5.424E+4,
1581.6000,5.322E+4,
1582.65000,5.343E+4,
1583.7000,5.273E+4,
1584.75000,5.198E+4,
1585.8000,5.248E+4,
1586.85000,5.212E+4,
1587.9000,5.251E+4,
1588.95000,5.177E+4,
1590.00,5.255E+4,
1591.05000,5.267E+4,
1592.1000,5.201E+4,
1593.15000,5.194E+4,
1594.2000,5.209E+4,
1595.25000,5.167E+4,
1596.3000,5.174E+4,
1597.35000,5.158E+4,
1598.4000,5.176E+4,
1599.45000,5.152E+4,
1600.5000,5.149E+4,
1601.55000,5.168E+4,
1602.6000,5.169E+4,
1603.65000,5.173E+4,
1604.7000,5.147E+4,
1605.75000,5.096E+4,
1606.8000,5.041E+4,
1607.85000,5.026E+4,
1608.9000,5.040E+4,
1609.95000,5.036E+4,
1611.000,4.992E+4,
1612.05000,4.933E+4,
1613.1000,4.955E+4,
1614.15000,4.951E+4,
1615.2000,4.903E+4,
1616.25000,4.809E+4,
1617.3000,4.768E+4,
1618.35000,4.772E+4,
1619.4000,4.751E+4,
1620.45000,4.692E+4,
1621.5000,4.638E+4,
1622.55000,4.531E+4,
1623.6000,4.492E+4,
1624.65000,4.488E+4,
1625.7000,4.477E+4,
1626.75000,4.420E+4,
1627.8000,4.323E+4,
1628.85000,4.365E+4,
1629.9000,4.381E+4,
1630.95000,4.347E+4,
1632.000,4.275E+4,
1633.05000,4.159E+4,
1634.1000,4.201E+4,
1635.15000,4.266E+4,
1636.2000,4.170E+4,
1637.25000,4.197E+4,
1638.3000,4.199E+4,
1639.35000,4.170E+4,
1640.4000,4.112E+4,
1641.45000,4.157E+4,
1642.5000,4.142E+4,
1643.55000,4.098E+4,
1644.6000,4.135E+4,
1645.65000,4.096E+4,
1646.7000,4.070E+4,
1647.75000,4.075E+4,
1648.8000,4.061E+4,
1649.85000,4.139E+4,
1650.9000,4.162E+4,
1651.95000,4.143E+4,
1653.000,4.230E+4,
1654.05000,4.116E+4,
1655.1000,4.063E+4,
1656.15000,4.166E+4,
1657.2000,4.166E+4,
1658.25000,4.113E+4,
1659.3000,4.158E+4,
1660.35000,4.091E+4,
1661.4000,4.075E+4,
1662.45000,4.089E+4,
1663.5000,4.100E+4,
1664.55000,4.145E+4,
1665.6000,4.072E+4,
1666.65000,4.134E+4,
1667.7000,4.073E+4,
1668.75000,4.042E+4,
1669.8000,4.053E+4,
1670.85000,4.001E+4,
1671.9000,4.003E+4,
1672.95000,4.062E+4,
1674.000,4.022E+4,
1675.05000,4.015E+4,
1676.1000,3.996E+4,
1677.15000,4.030E+4,
1678.2000,4.039E+4,
1679.25000,4.100E+4,
1680.3000,4.102E+4,
1681.35000,4.051E+4,
1682.4000,4.098E+4,
1683.45000,4.141E+4,
1684.5000,4.082E+4,
1685.55000,4.062E+4,
1686.6000,4.084E+4,
1687.65000,4.062E+4,
1688.7000,4.174E+4,
1689.75000,4.092E+4,
1690.8000,4.068E+4,
1691.85000,4.109E+4,
1692.9000,4.073E+4,
1693.95000,4.115E+4,
1695.000,4.101E+4,
1696.05000,4.090E+4,
1697.1000,4.124E+4,
1698.15000,4.075E+4,
1699.2000,4.123E+4,
1700.25000,4.105E+4,
