Labels,T15,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,4.212E+4,
1401.000,4.221E+4,
1402.05000,4.282E+4,
1403.1000,4.227E+4,
1404.15000,4.231E+4,
1405.2000,4.254E+4,
1406.25000,4.301E+4,
1407.3000,4.295E+4,
1408.35000,4.259E+4,
1409.4000,4.322E+4,
1410.45000,4.295E+4,
1411.5000,4.338E+4,
1412.55000,4.321E+4,
1413.6000,4.287E+4,
1414.65000,4.286E+4,
1415.7000,4.276E+4,
1416.75000,4.297E+4,
1417.8000,4.268E+4,
1418.85000,4.334E+4,
1419.9000,4.351E+4,
1420.95000,4.392E+4,
1422.000,4.325E+4,
1423.05000,4.365E+4,
1424.1000,4.469E+4,
1425.15000,4.415E+4,
1426.2000,4.441E+4,
1427.25000,4.439E+4,
1428.3000,4.444E+4,
1429.35000,4.512E+4,
1430.4000,4.471E+4,
1431.45000,4.562E+4,
1432.5000,4.617E+4,
1433.55000,4.604E+4,
1434.6000,4.576E+4,
1435.65000,4.639E+4,
1436.7000,4.680E+4,
1437.75000,4.777E+4,
1438.8000,4.770E+4,
1439.85000,4.832E+4,
1440.9000,4.953E+4,
1441.95000,5.002E+4,
1443.000,5.099E+4,
1444.05000,5.114E+4,
1445.1000,5.159E+4,
1446.15000,5.275E+4,
1447.2000,5.407E+4,
1448.25000,5.544E+4,
1449.3000,5.617E+4,
1450.35000,5.826E+4,
1451.4000,6.029E+4,
1452.45000,6.206E+4,
1453.5000,6.477E+4,
1454.55000,6.658E+4,
1455.6000,6.890E+4,
1456.65000,7.163E+4,
1457.7000,7.430E+4,
1458.75000,7.737E+4,
1459.8000,8.082E+4,
1460.85000,8.384E+4,
1461.9000,8.883E+4,
1462.95000,9.346E+4,
1464.000,9.697E+4,
1465.05000,1.016E+5,
1466.1000,1.070E+5,
1467.15000,1.116E+5,
1468.2000,1.169E+5,
1469.25000,1.231E+5,
1470.3000,1.278E+5,
1471.35000,1.345E+5,
1472.4000,1.404E+5,
1473.45000,1.481E+5,
1474.5000,1.546E+5,
1475.55000,1.611E+5,
1476.6000,1.689E+5,
1477.65000,1.743E+5,
1478.7000,1.818E+5,
1479.75000,1.882E+5,
1480.8000,1.937E+5,
1481.85000,2.012E+5,
1482.9000,2.061E+5,
1483.95000,2.116E+5,
1485.000,2.168E+5,
1486.05000,2.217E+5,
1487.1000,2.251E+5,
1488.15000,2.288E+5,
1489.2000,2.314E+5,
1490.25000,2.357E+5,
1491.3000,2.367E+5,
1492.35000,2.387E+5,
1493.4000,2.399E+5,
1494.45000,2.400E+5,
1495.5000,2.398E+5,
1496.55000,2.400E+5,
1497.6000,2.394E+5,
1498.65000,2.396E+5,
1499.7000,2.371E+5,
1500.75000,2.368E+5,
1501.8000,2.339E+5,
1502.85000,2.323E+5,
1503.9000,2.311E+5,
1504.95000,2.293E+5,
1506.000,2.270E+5,
1507.05000,2.267E+5,
1508.1000,2.256E+5,
1509.15000,2.263E+5,
1510.2000,2.266E+5,
1511.25000,2.278E+5,
1512.3000,2.328E+5,
1513.35000,2.365E+5,
1514.4000,2.419E+5,
1515.45000,2.499E+5,
1516.5000,2.589E+5,
1517.55000,2.704E+5,
1518.6000,2.856E+5,
1519.65000,3.013E+5,
1520.7000,3.202E+5,
1521.75000,3.442E+5,
1522.8000,3.692E+5,
1523.85000,3.975E+5,
1524.9000,4.296E+5,
1525.95000,4.634E+5,
1527.000,5.089E+5,
1528.05000,5.591E+5,
1529.1000,6.173E+5,
1530.15000,6.841E+5,
1531.2000,7.689E+5,
1532.25000,8.793E+5,
1533.3000,1.013E+6,
1534.35000,1.089E+6,
1535.4000,1.103E+6,
1536.45000,1.034E+6,
1537.5000,9.313E+5,
1538.55000,8.603E+5,
1539.6000,8.387E+5,
1540.65000,8.488E+5,
1541.7000,8.560E+5,
1542.75000,8.439E+5,
1543.8000,8.111E+5,
1544.85000,7.549E+5,
1545.9000,6.949E+5,
1546.95000,6.356E+5,
1548.000,5.827E+5,
1549.05000,5.407E+5,
1550.1000,5.044E+5,
1551.15000,4.741E+5,
1552.2000,4.480E+5,
1553.25000,4.288E+5,
1554.3000,4.078E+5,
1555.35000,3.952E+5,
1556.4000,3.829E+5,
1557.45000,3.682E+5,
1558.5000,3.629E+5,
1559.55000,3.556E+5,
1560.6000,3.467E+5,
1561.65000,3.442E+5,
1562.7000,3.377E+5,
1563.75000,3.317E+5,
1564.8000,3.253E+5,
1565.85000,3.180E+5,
1566.9000,3.083E+5,
1567.95000,2.967E+5,
1569.000,2.858E+5,
1570.05000,2.700E+5,
1571.1000,2.508E+5,
1572.15000,2.323E+5,
1573.2000,2.127E+5,
1574.25000,1.905E+5,
1575.3000,1.749E+5,
1576.35000,1.614E+5,
1577.4000,1.497E+5,
1578.45000,1.413E+5,
1579.5000,1.349E+5,
1580.55000,1.301E+5,
1581.6000,1.275E+5,
1582.65000,1.242E+5,
1583.7000,1.228E+5,
1584.75000,1.198E+5,
1585.8000,1.191E+5,
1586.85000,1.175E+5,
1587.9000,1.171E+5,
1588.95000,1.160E+5,
1590.00,1.161E+5,
1591.05000,1.155E+5,
1592.1000,1.145E+5,
1593.15000,1.146E+5,
1594.2000,1.138E+5,
1595.25000,1.135E+5,
1596.3000,1.134E+5,
1597.35000,1.140E+5,
1598.4000,1.132E+5,
1599.45000,1.126E+5,
1600.5000,1.125E+5,
1601.55000,1.128E+5,
1602.6000,1.141E+5,
1603.65000,1.128E+5,
1604.7000,1.121E+5,
1605.75000,1.129E+5,
1606.8000,1.117E+5,
1607.85000,1.121E+5,
1608.9000,1.111E+5,
1609.95000,1.102E+5,
1611.000,1.094E+5,
1612.05000,1.067E+5,
1613.1000,1.060E+5,
1614.15000,1.045E+5,
1615.2000,1.023E+5,
1616.25000,9.942E+4,
1617.3000,9.739E+4,
1618.35000,9.424E+4,
1619.4000,9.186E+4,
1620.45000,8.930E+4,
1621.5000,8.548E+4,
1622.55000,8.283E+4,
1623.6000,7.868E+4,
1624.65000,7.600E+4,
1625.7000,7.225E+4,
1626.75000,6.927E+4,
1627.8000,6.738E+4,
1628.85000,6.490E+4,
1629.9000,6.282E+4,
1630.95000,5.992E+4,
1632.000,5.776E+4,
1633.05000,5.712E+4,
1634.1000,5.490E+4,
1635.15000,5.391E+4,
1636.2000,5.212E+4,
1637.25000,5.098E+4,
1638.3000,5.025E+4,
1639.35000,4.913E+4,
1640.4000,4.762E+4,
1641.45000,4.752E+4,
1642.5000,4.675E+4,
1643.55000,4.619E+4,
1644.6000,4.626E+4,
1645.65000,4.522E+4,
1646.7000,4.447E+4,
1647.75000,4.416E+4,
1648.8000,4.383E+4,
1649.85000,4.310E+4,
1650.9000,4.360E+4,
1651.95000,4.276E+4,
1653.000,4.251E+4,
1654.05000,4.178E+4,
1655.1000,4.222E+4,
1656.15000,4.233E+4,
1657.2000,4.134E+4,
1658.25000,4.145E+4,
1659.3000,4.081E+4,
1660.35000,4.103E+4,
1661.4000,4.084E+4,
1662.45000,4.057E+4,
1663.5000,4.059E+4,
1664.55000,4.022E+4,
1665.6000,4.066E+4,
1666.65000,4.077E+4,
1667.7000,4.094E+4,
1668.75000,4.107E+4,
1669.8000,4.045E+4,
1670.85000,4.069E+4,
1671.9000,4.082E+4,
1672.95000,4.078E+4,
1674.000,4.062E+4,
1675.05000,4.061E+4,
1676.1000,4.010E+4,
1677.15000,4.049E+4,
1678.2000,4.056E+4,
1679.25000,4.020E+4,
1680.3000,4.018E+4,
1681.35000,4.023E+4,
1682.4000,4.036E+4,
1683.45000,4.007E+4,
1684.5000,3.982E+4,
1685.55000,3.966E+4,
1686.6000,3.929E+4,
1687.65000,3.970E+4,
1688.7000,3.946E+4,
1689.75000,4.012E+4,
1690.8000,4.013E+4,
1691.85000,4.018E+4,
1692.9000,3.997E+4,
1693.95000,3.997E+4,
1695.000,4.018E+4,
1696.05000,3.952E+4,
1697.1000,4.031E+4,
1698.15000,4.020E+4,
1699.2000,3.964E+4,
1700.25000,3.943E+4,
