100us pump

Labels,Decay52,Decay52F1,Decay52F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,2E05,2E05,
Stop,1.998E008,1.998E008,1.998E008,
Step,2E05,2E05,2E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

1.648E008,2.216E+3,2.279E+3,-1.331E+0,
1.65E08,2.255E+3,2.279E+3,-4.978E-1,
1.652E008,2.324E+3,2.279E+3,9.409E-1,
1.654E008,2.280E+3,2.279E+3,2.847E-2,
1.656E008,2.319E+3,2.279E+3,8.381E-1,
1.658E008,2.317E+3,2.279E+3,7.969E-1,
1.66E08,2.306E+3,2.279E+3,5.697E-1,
1.662E008,2.272E+3,2.279E+3,-1.393E-1,
1.664E008,2.238E+3,2.279E+3,-8.591E-1,
1.666E008,2.341E+3,2.279E+3,1.289E+0,
1.668E008,2.221E+3,2.279E+3,-1.223E+0,
1.67E08,2.250E+3,2.279E+3,-6.038E-1,
1.672E008,2.273E+3,2.279E+3,-1.183E-1,
1.674E008,2.293E+3,2.279E+3,2.999E-1,
1.676E008,2.274E+3,2.279E+3,-9.730E-2,
1.678E008,2.397E+3,2.279E+3,2.418E+0,
1.68E08,2.247E+3,2.279E+3,-6.675E-1,
1.682E008,2.244E+3,2.279E+3,-7.312E-1,
1.684E008,2.293E+3,2.279E+3,2.999E-1,
1.686E008,2.222E+3,2.279E+3,-1.202E+0,
1.688E008,2.211E+3,2.279E+3,-1.438E+0,
1.69E08,2.232E+3,2.279E+3,-9.872E-1,
1.692E008,2.293E+3,2.279E+3,2.999E-1,
1.694E008,2.305E+3,2.279E+3,5.491E-1,
1.696E008,2.283E+3,2.279E+3,9.127E-2,
1.698E008,2.269E+3,2.279E+3,-2.024E-1,
1.7E08,2.251E+3,2.279E+3,-5.826E-1,
1.702E008,2.239E+3,2.279E+3,-8.377E-1,
1.704E008,2.167E+3,2.279E+3,-2.398E+0,
1.706E008,2.342E+3,2.279E+3,1.309E+0,
1.708E008,2.224E+3,2.279E+3,-1.159E+0,
1.71E08,2.280E+3,2.279E+3,2.851E-2,
1.712E008,2.270E+3,2.279E+3,-1.813E-1,
1.714E008,2.263E+3,2.279E+3,-3.287E-1,
1.716E008,2.165E+3,2.279E+3,-2.442E+0,
1.718E008,2.286E+3,2.279E+3,1.540E-1,
1.72E08,2.304E+3,2.279E+3,5.284E-1,
1.722E008,2.245E+3,2.279E+3,-7.099E-1,
1.724E008,2.311E+3,2.279E+3,6.732E-1,
1.726E008,2.251E+3,2.279E+3,-5.825E-1,
1.728E008,2.313E+3,2.279E+3,7.145E-1,
1.73E08,2.333E+3,2.279E+3,1.125E+0,
1.732E008,2.275E+3,2.279E+3,-7.628E-2,
1.734E008,2.282E+3,2.279E+3,7.038E-2,
1.736E008,2.250E+3,2.279E+3,-6.037E-1,
1.738E008,2.296E+3,2.279E+3,3.623E-1,
1.74E08,2.240E+3,2.279E+3,-8.164E-1,
1.742E008,2.331E+3,2.279E+3,1.085E+0,
1.744E008,2.245E+3,2.279E+3,-7.099E-1,
1.746E008,2.314E+3,2.279E+3,7.351E-1,
1.748E008,2.269E+3,2.279E+3,-2.023E-1,
1.75E08,2.321E+3,2.279E+3,8.793E-1,
1.752E008,2.220E+3,2.279E+3,-1.245E+0,
1.754E008,2.329E+3,2.279E+3,1.044E+0,
1.756E008,2.362E+3,2.279E+3,1.715E+0,
1.758E008,2.333E+3,2.279E+3,1.125E+0,
1.76E08,2.323E+3,2.279E+3,9.204E-1,
1.762E008,2.218E+3,2.279E+3,-1.288E+0,
1.764E008,2.277E+3,2.279E+3,-3.432E-2,
1.766E008,2.262E+3,2.279E+3,-3.498E-1,
1.768E008,2.307E+3,2.279E+3,5.905E-1,
1.77E08,2.286E+3,2.279E+3,1.540E-1,
1.772E008,2.233E+3,2.279E+3,-9.658E-1,
1.774E008,2.315E+3,2.279E+3,7.558E-1,
1.776E008,2.289E+3,2.279E+3,2.166E-1,
1.778E008,2.220E+3,2.279E+3,-1.245E+0,
1.78E08,2.282E+3,2.279E+3,7.040E-2,
1.782E008,2.265E+3,2.279E+3,-2.865E-1,
1.784E008,2.279E+3,2.279E+3,7.605E-3,
1.786E008,2.227E+3,2.279E+3,-1.094E+0,
1.788E008,2.321E+3,2.279E+3,8.793E-1,
1.79E08,2.244E+3,2.279E+3,-7.312E-1,
1.792E008,2.340E+3,2.279E+3,1.269E+0,
1.794E008,2.216E+3,2.279E+3,-1.331E+0,
1.796E008,2.248E+3,2.279E+3,-6.462E-1,
1.798E008,2.244E+3,2.279E+3,-7.312E-1,
1.8E08,2.181E+3,2.279E+3,-2.091E+0,
1.802E008,2.343E+3,2.279E+3,1.330E+0,
1.804E008,2.239E+3,2.279E+3,-8.377E-1,
1.806E008,2.300E+3,2.279E+3,4.455E-1,
1.808E008,2.149E+3,2.279E+3,-2.796E+0,
1.81E08,2.289E+3,2.279E+3,2.166E-1,
1.812E008,2.208E+3,2.279E+3,-1.503E+0,
1.814E008,2.278E+3,2.279E+3,-1.334E-2,
1.816E008,2.321E+3,2.279E+3,8.793E-1,
1.818E008,2.320E+3,2.279E+3,8.588E-1,
1.82E08,2.232E+3,2.279E+3,-9.871E-1,
1.822E008,2.252E+3,2.279E+3,-5.613E-1,
1.824E008,2.274E+3,2.279E+3,-9.723E-2,
1.826E008,2.258E+3,2.279E+3,-4.343E-1,
1.828E008,2.248E+3,2.279E+3,-6.462E-1,
1.83E08,2.268E+3,2.279E+3,-2.233E-1,
1.832E008,2.247E+3,2.279E+3,-6.674E-1,
1.834E008,2.314E+3,2.279E+3,7.351E-1,
1.836E008,2.299E+3,2.279E+3,4.247E-1,
1.838E008,2.265E+3,2.279E+3,-2.865E-1,
1.84E08,2.258E+3,2.279E+3,-4.343E-1,
1.842E008,2.262E+3,2.279E+3,-3.498E-1,
1.844E008,2.258E+3,2.279E+3,-4.343E-1,
1.846E008,2.415E+3,2.279E+3,2.775E+0,
1.848E008,2.244E+3,2.279E+3,-7.312E-1,
1.85E08,2.234E+3,2.279E+3,-9.444E-1,
1.852E008,2.215E+3,2.279E+3,-1.352E+0,
1.854E008,2.210E+3,2.279E+3,-1.460E+0,
1.856E008,2.278E+3,2.279E+3,-1.333E-2,
1.858E008,2.285E+3,2.279E+3,1.331E-1,
1.86E08,2.222E+3,2.279E+3,-1.201E+0,
1.862E008,2.252E+3,2.279E+3,-5.613E-1,
1.864E008,2.268E+3,2.279E+3,-2.233E-1,
1.866E008,2.352E+3,2.279E+3,1.513E+0,
1.868E008,2.223E+3,2.279E+3,-1.180E+0,
1.87E08,2.217E+3,2.279E+3,-1.309E+0,
1.872E008,2.306E+3,2.279E+3,5.698E-1,
1.874E008,2.352E+3,2.279E+3,1.513E+0,
1.876E008,2.342E+3,2.279E+3,1.309E+0,
1.878E008,2.216E+3,2.279E+3,-1.331E+0,
1.88E08,2.269E+3,2.279E+3,-2.023E-1,
1.882E008,2.274E+3,2.279E+3,-9.722E-2,
1.884E008,2.281E+3,2.279E+3,4.950E-2,
1.886E008,2.274E+3,2.279E+3,-9.722E-2,
1.888E008,2.298E+3,2.279E+3,4.039E-1,
1.89E08,2.276E+3,2.279E+3,-5.525E-2,
1.892E008,2.276E+3,2.279E+3,-5.525E-2,
1.894E008,2.264E+3,2.279E+3,-3.076E-1,
1.896E008,2.350E+3,2.279E+3,1.472E+0,
1.898E008,2.351E+3,2.279E+3,1.492E+0,
1.9E08,2.256E+3,2.279E+3,-4.766E-1,
1.902E008,2.304E+3,2.279E+3,5.284E-1,
1.904E008,2.277E+3,2.279E+3,-3.428E-2,
1.906E008,2.218E+3,2.279E+3,-1.288E+0,
1.908E008,2.250E+3,2.279E+3,-6.037E-1,
1.91E08,2.319E+3,2.279E+3,8.382E-1,
1.912E008,2.265E+3,2.279E+3,-2.865E-1,
1.914E008,2.323E+3,2.279E+3,9.205E-1,
1.916E008,2.239E+3,2.279E+3,-8.376E-1,
1.918E008,2.325E+3,2.279E+3,9.615E-1,
1.92E08,2.375E+3,2.279E+3,1.977E+0,
1.922E008,2.307E+3,2.279E+3,5.905E-1,
1.924E008,2.262E+3,2.279E+3,-3.498E-1,
1.926E008,2.284E+3,2.279E+3,1.122E-1,
1.928E008,2.400E+3,2.279E+3,2.477E+0,
1.93E08,2.369E+3,2.279E+3,1.857E+0,
1.932E008,2.353E+3,2.279E+3,1.533E+0,
1.934E008,2.228E+3,2.279E+3,-1.073E+0,
1.936E008,2.277E+3,2.279E+3,-3.427E-2,
1.938E008,2.265E+3,2.279E+3,-2.865E-1,
1.94E08,2.244E+3,2.279E+3,-7.312E-1,
1.942E008,2.198E+3,2.279E+3,-1.720E+0,
1.944E008,2.350E+3,2.279E+3,1.472E+0,
1.946E008,2.254E+3,2.279E+3,-5.189E-1,
1.948E008,2.229E+3,2.279E+3,-1.051E+0,
1.95E08,2.241E+3,2.279E+3,-7.950E-1,
1.952E008,2.346E+3,2.279E+3,1.391E+0,
1.954E008,2.274E+3,2.279E+3,-9.721E-2,
1.956E008,2.281E+3,2.279E+3,4.951E-2,
1.958E008,2.329E+3,2.279E+3,1.044E+0,
1.96E08,2.289E+3,2.279E+3,2.166E-1,
1.962E008,2.203E+3,2.279E+3,-1.611E+0,
1.964E008,2.324E+3,2.279E+3,9.410E-1,
1.966E008,2.313E+3,2.279E+3,7.145E-1,
1.968E008,2.271E+3,2.279E+3,-1.602E-1,
1.97E08,2.338E+3,2.279E+3,1.228E+0,
1.972E008,2.214E+3,2.279E+3,-1.374E+0,
1.974E008,2.279E+3,2.279E+3,7.635E-3,
1.976E008,2.232E+3,2.279E+3,-9.871E-1,
1.978E008,2.191E+3,2.279E+3,-1.872E+0,
1.98E08,2.303E+3,2.279E+3,5.077E-1,
1.982E008,2.307E+3,2.279E+3,5.905E-1,
1.984E008,2.349E+3,2.279E+3,1.452E+0,
1.986E008,2.329E+3,2.279E+3,1.044E+0,
1.988E008,2.186E+3,2.279E+3,-1.981E+0,
1.99E08,2.267E+3,2.279E+3,-2.444E-1,
1.992E008,2.310E+3,2.279E+3,6.526E-1,
1.994E008,2.281E+3,2.279E+3,4.951E-2,
1.996E008,2.304E+3,2.279E+3,5.284E-1,
1.998E008,2.241E+3,2.279E+3,-7.950E-1,
