Labels,75_deg_lifetime,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

76800006.000000,1.568E+6,
77200006.000000,1.566E+6,
77600006.000000,1.567E+6,
78000006.000000,1.566E+6,
78400006.000000,1.566E+6,
78800006.000000,1.566E+6,
79200006.000000,1.566E+6,
79600006.000000,1.567E+6,
80000006.000000,1.566E+6,
80400006.000000,1.566E+6,
80800006.000000,1.568E+6,
81200006.000000,1.564E+6,
81600006.000000,1.567E+6,
82000006.000000,1.567E+6,
82400006.000000,1.567E+6,
82800006.000000,1.567E+6,
83200007.000000,1.568E+6,
83600007.000000,1.566E+6,
84000007.000000,1.567E+6,
84400007.000000,1.565E+6,
84800007.000000,1.567E+6,
85200007.000000,1.566E+6,
85600007.000000,1.566E+6,
86000007.000000,1.567E+6,
86400007.000000,1.568E+6,
86800007.000000,1.565E+6,
87200007.000000,1.568E+6,
87600007.000000,1.569E+6,
88000007.000000,1.567E+6,
88400007.000000,1.566E+6,
88800007.000000,1.567E+6,
89200007.000000,1.565E+6,
89600007.000000,1.568E+6,
90000007.000000,1.567E+6,
90400007.000000,1.567E+6,
90800007.000000,1.566E+6,
91200007.000000,1.566E+6,
91600007.000000,1.566E+6,
92000007.000000,1.567E+6,
92400007.000000,1.566E+6,
92800007.000000,1.567E+6,
93200007.000000,1.566E+6,
93600007.000000,1.566E+6,
94000007.000000,1.566E+6,
94400007.000000,1.567E+6,
94800007.000000,1.565E+6,
95200007.000000,1.565E+6,
95600007.000000,1.566E+6,
96000008.000000,1.565E+6,
96400008.000000,1.567E+6,
96800008.000000,1.564E+6,
97200008.000000,1.565E+6,
97600008.000000,1.567E+6,
98000008.000000,1.566E+6,
98400008.000000,1.567E+6,
98800008.000000,1.566E+6,
99200008.000000,1.565E+6,
99600008.000000,1.565E+6,
1E08,1.549E+6,
1.004E008,1.525E+6,
1.008E008,1.499E+6,
1.012E008,1.471E+6,
1.016E008,1.446E+6,
1.02E08,1.416E+6,
1.024E008,1.393E+6,
1.028E008,1.365E+6,
1.032E008,1.339E+6,
1.036E008,1.312E+6,
1.04E08,1.286E+6,
1.044E008,1.262E+6,
1.048E008,1.237E+6,
1.052E008,1.209E+6,
1.056E008,1.187E+6,
1.06E08,1.162E+6,
1.064E008,1.138E+6,
1.068E008,1.112E+6,
1.072E008,1.091E+6,
1.076E008,1.065E+6,
1.08E08,1.043E+6,
1.084E008,1.020E+6,
1.088E008,9.985E+5,
1.092E008,9.769E+5,
1.096E008,9.538E+5,
1.1E08,9.320E+5,
1.104E008,9.103E+5,
1.108E008,8.906E+5,
1.112E008,8.718E+5,
1.116E008,8.481E+5,
1.12E08,8.289E+5,
1.124E008,8.100E+5,
1.128E008,7.910E+5,
1.132E008,7.718E+5,
1.136E008,7.542E+5,
1.14E08,7.352E+5,
1.144E008,7.190E+5,
1.148E008,7.005E+5,
1.152E008,6.836E+5,
1.156E008,6.676E+5,
1.16E08,6.497E+5,
1.164E008,6.327E+5,
1.168E008,6.163E+5,
1.172E008,6.011E+5,
1.176E008,5.854E+5,
1.18E08,5.700E+5,
1.184E008,5.566E+5,
1.188E008,5.412E+5,
1.192E008,5.278E+5,
1.196E008,5.135E+5,
1.2E08,4.989E+5,
1.204E008,4.867E+5,
1.208E008,4.736E+5,
1.212E008,4.625E+5,
1.216E008,4.485E+5,
1.22E08,4.356E+5,
1.224E008,4.248E+5,
1.228E008,4.131E+5,
1.232E008,4.024E+5,
1.236E008,3.907E+5,
1.24E08,3.793E+5,
1.244E008,3.704E+5,
1.248E008,3.601E+5,
1.252E008,3.499E+5,
1.256E008,3.393E+5,
1.26E08,3.306E+5,
1.264E008,3.227E+5,
1.268E008,3.131E+5,
1.272E008,3.036E+5,
1.276E008,2.966E+5,
1.28E08,2.881E+5,
1.284E008,2.787E+5,
1.288E008,2.709E+5,
1.292E008,2.632E+5,
1.296E008,2.552E+5,
1.3E08,2.489E+5,
1.304E008,2.419E+5,
1.308E008,2.352E+5,
1.312E008,2.286E+5,
1.316E008,2.220E+5,
1.32E08,2.159E+5,
1.324E008,2.097E+5,
1.328E008,2.029E+5,
1.332E008,1.983E+5,
1.336E008,1.927E+5,
1.34E08,1.868E+5,
1.344E008,1.821E+5,
1.348E008,1.768E+5,
1.352E008,1.722E+5,
1.356E008,1.672E+5,
1.36E08,1.625E+5,
1.364E008,1.577E+5,
1.368E008,1.531E+5,
1.372E008,1.493E+5,
1.376E008,1.449E+5,
1.38E08,1.404E+5,
1.384E008,1.366E+5,
1.388E008,1.330E+5,
1.392E008,1.292E+5,
1.396E008,1.255E+5,
1.4E08,1.217E+5,
1.404E008,1.192E+5,
1.408E008,1.159E+5,
1.412E008,1.129E+5,
1.416E008,1.098E+5,
1.42E08,1.066E+5,
1.424E008,1.037E+5,
1.428E008,1.012E+5,
1.432E008,9.767E+4,
1.436E008,9.532E+4,
1.44E08,9.277E+4,
1.444E008,9.004E+4,
1.448E008,8.760E+4,
1.452E008,8.461E+4,
1.456E008,8.315E+4,
1.46E08,8.089E+4,
1.464E008,7.848E+4,
1.468E008,7.704E+4,
1.472E008,7.513E+4,
1.476E008,7.214E+4,
1.48E08,7.051E+4,
1.484E008,6.899E+4,
1.488E008,6.732E+4,
1.492E008,6.528E+4,
1.496E008,6.383E+4,
1.5E08,6.229E+4,
1.504E008,6.060E+4,
1.508E008,5.939E+4,
1.512E008,5.755E+4,
1.516E008,5.633E+4,
1.52E08,5.515E+4,
1.524E008,5.356E+4,
1.528E008,5.221E+4,
1.532E008,5.105E+4,
1.536E008,4.944E+4,
1.54E08,4.839E+4,
1.544E008,4.750E+4,
1.548E008,4.615E+4,
1.552E008,4.484E+4,
1.556E008,4.407E+4,
1.56E08,4.281E+4,
1.564E008,4.187E+4,
1.568E008,4.098E+4,
1.572E008,3.971E+4,
1.576E008,3.908E+4,
1.58E08,3.834E+4,
1.584E008,3.751E+4,
1.588E008,3.673E+4,
1.592E008,3.581E+4,
1.596E008,3.516E+4,
1.6E08,3.402E+4,
1.604E008,3.355E+4,
1.608E008,3.327E+4,
1.612E008,3.204E+4,
1.616E008,3.130E+4,
1.62E08,3.068E+4,
1.624E008,3.037E+4,
1.628E008,2.986E+4,
1.632E008,2.933E+4,
1.636E008,2.847E+4,
1.64E08,2.826E+4,
1.644E008,2.752E+4,
1.648E008,2.683E+4,
1.652E008,2.655E+4,
1.656E008,2.616E+4,
1.66E08,2.529E+4,
1.664E008,2.496E+4,
1.668E008,2.479E+4,
1.672E008,2.445E+4,
1.676E008,2.359E+4,
1.68E08,2.315E+4,
1.684E008,2.283E+4,
1.688E008,2.244E+4,
1.692E008,2.242E+4,
1.696E008,2.199E+4,
1.7E08,2.145E+4,
1.704E008,2.093E+4,
1.708E008,2.093E+4,
1.712E008,2.049E+4,
1.716E008,2.036E+4,
1.72E08,1.998E+4,
1.724E008,1.979E+4,
1.728E008,1.934E+4,
1.732E008,1.920E+4,
1.736E008,1.875E+4,
1.74E08,1.874E+4,
1.744E008,1.827E+4,
1.748E008,1.831E+4,
1.752E008,1.812E+4,
1.756E008,1.752E+4,
1.76E08,1.754E+4,
1.764E008,1.727E+4,
1.768E008,1.734E+4,
1.772E008,1.683E+4,
1.776E008,1.699E+4,
1.78E08,1.647E+4,
1.784E008,1.629E+4,
1.788E008,1.603E+4,
1.792E008,1.612E+4,
1.796E008,1.558E+4,
1.8E08,1.541E+4,
1.804E008,1.566E+4,
1.808E008,1.541E+4,
1.812E008,1.505E+4,
1.816E008,1.481E+4,
1.82E08,1.502E+4,
1.824E008,1.477E+4,
1.828E008,1.478E+4,
1.832E008,1.470E+4,
1.836E008,1.444E+4,
1.84E08,1.444E+4,
1.844E008,1.414E+4,
1.848E008,1.411E+4,
1.852E008,1.398E+4,
1.856E008,1.390E+4,
1.86E08,1.375E+4,
1.864E008,1.370E+4,
1.868E008,1.347E+4,
1.872E008,1.351E+4,
1.876E008,1.351E+4,
1.88E08,1.355E+4,
1.884E008,1.309E+4,
1.888E008,1.336E+4,
1.892E008,1.299E+4,
1.896E008,1.313E+4,
1.9E08,1.305E+4,
1.904E008,1.283E+4,
1.908E008,1.294E+4,
1.912E008,1.280E+4,
1.916E008,1.284E+4,
1.92E08,1.266E+4,
1.924E008,1.229E+4,
1.928E008,1.229E+4,
1.932E008,1.223E+4,
1.936E008,1.234E+4,
1.94E08,1.254E+4,
1.944E008,1.214E+4,
1.948E008,1.235E+4,
1.952E008,1.213E+4,
1.956E008,1.200E+4,
1.96E08,1.207E+4,
1.964E008,1.218E+4,
1.968E008,1.203E+4,
1.972E008,1.198E+4,
1.976E008,1.205E+4,
1.98E08,1.180E+4,
1.984E008,1.185E+4,
1.988E008,1.168E+4,
1.992E008,1.167E+4,
1.996E008,1.185E+4,
2E08,1.163E+4,
2.004E008,1.141E+4,
2.008E008,1.135E+4,
2.012E008,1.173E+4,
2.016E008,1.174E+4,
2.02E08,1.145E+4,
2.024E008,1.140E+4,
2.028E008,1.147E+4,
2.032E008,1.145E+4,
2.036E008,1.147E+4,
2.04E08,1.140E+4,
2.044E008,1.136E+4,
2.048E008,1.111E+4,
2.052E008,1.137E+4,
2.056E008,1.145E+4,
2.06E08,1.129E+4,
2.064E008,1.130E+4,
2.068E008,1.138E+4,
2.072E008,1.137E+4,
2.076E008,1.119E+4,
2.08E08,1.110E+4,
2.084E008,1.124E+4,
2.088E008,1.124E+4,
2.092E008,1.098E+4,
2.096E008,1.106E+4,
2.1E08,1.131E+4,
2.104E008,1.101E+4,
2.108E008,1.135E+4,
2.112E008,1.106E+4,
2.116E008,1.124E+4,
2.12E08,1.106E+4,
2.124E008,1.134E+4,
2.128E008,1.107E+4,
2.132E008,1.096E+4,
2.136E008,1.097E+4,
2.14E08,1.094E+4,
2.144E008,1.073E+4,
2.148E008,1.108E+4,
2.152E008,1.084E+4,
2.156E008,1.079E+4,
2.16E08,1.099E+4,
2.164E008,1.096E+4,
2.168E008,1.091E+4,
2.172E008,1.087E+4,
2.176E008,1.114E+4,
2.18E08,1.101E+4,
2.184E008,1.087E+4,
2.188E008,1.073E+4,
2.192E008,1.103E+4,
2.196E008,1.084E+4,
2.2E08,1.108E+4,
2.204E008,1.101E+4,
2.208E008,1.099E+4,
2.212E008,1.096E+4,
2.216E008,1.083E+4,
2.22E08,1.083E+4,
2.224E008,1.109E+4,
2.228E008,1.091E+4,
2.232E008,1.095E+4,
2.236E008,1.071E+4,
2.24E08,1.081E+4,
2.244E008,1.091E+4,
2.248E008,1.079E+4,
2.252E008,1.070E+4,
2.256E008,1.078E+4,
2.26E08,1.066E+4,
2.264E008,1.076E+4,
2.268E008,1.050E+4,
2.272E008,1.092E+4,
2.276E008,1.065E+4,
2.28E08,1.085E+4,
2.284E008,1.048E+4,
2.288E008,1.066E+4,
2.292E008,1.056E+4,
2.296E008,1.079E+4,
2.3E08,1.072E+4,
2.304E008,1.056E+4,
2.308E008,1.084E+4,
2.312E008,1.065E+4,
2.316E008,1.062E+4,
2.32E08,1.064E+4,
2.324E008,1.052E+4,
2.328E008,1.099E+4,
2.332E008,1.084E+4,
2.336E008,1.059E+4,
2.34E08,1.075E+4,
2.344E008,1.087E+4,
2.348E008,1.055E+4,
2.352E008,1.061E+4,
2.356E008,1.073E+4,
2.36E08,1.071E+4,
2.364E008,1.074E+4,
2.368E008,1.092E+4,
2.372E008,1.062E+4,
2.376E008,1.078E+4,
2.38E08,1.047E+4,
2.384E008,1.071E+4,
2.388E008,1.069E+4,
2.392E008,1.053E+4,
2.396E008,1.081E+4,
2.4E08,1.048E+4,
2.404E008,1.066E+4,
2.408E008,1.051E+4,
2.412E008,1.071E+4,
2.416E008,1.058E+4,
2.42E08,1.086E+4,
2.424E008,1.062E+4,
2.428E008,1.065E+4,
2.432E008,1.054E+4,
2.436E008,1.065E+4,
2.44E08,1.060E+4,
2.444E008,1.058E+4,
2.448E008,1.074E+4,
2.452E008,1.051E+4,
2.456E008,1.081E+4,
2.46E08,1.072E+4,
2.464E008,1.058E+4,
2.468E008,1.048E+4,
2.472E008,1.047E+4,
2.476E008,1.057E+4,
2.48E08,1.081E+4,
2.484E008,1.057E+4,
2.488E008,1.068E+4,
2.492E008,1.066E+4,
2.496E008,1.072E+4,
2.5E08,1.064E+4,
2.504E008,1.080E+4,
2.508E008,1.070E+4,
2.512E008,1.076E+4,
2.516E008,1.061E+4,
2.52E08,1.046E+4,
2.524E008,1.051E+4,
2.528E008,1.055E+4,
2.532E008,1.068E+4,
2.536E008,1.051E+4,
2.54E08,1.057E+4,
2.544E008,1.056E+4,
2.548E008,1.050E+4,
2.552E008,1.070E+4,
2.556E008,1.042E+4,
2.56E08,1.062E+4,
2.564E008,1.066E+4,
2.568E008,1.061E+4,
2.572E008,1.063E+4,
2.576E008,1.055E+4,
2.58E08,1.053E+4,
2.584E008,1.052E+4,
2.588E008,1.038E+4,
2.592E008,1.075E+4,
2.596E008,1.047E+4,
2.6E08,1.050E+4,
2.604E008,1.057E+4,
2.608E008,1.079E+4,
2.612E008,1.046E+4,
2.616E008,1.033E+4,
2.62E08,1.054E+4,
2.624E008,1.053E+4,
2.628E008,1.049E+4,
2.632E008,1.061E+4,
2.636E008,1.073E+4,
2.64E08,1.070E+4,
2.644E008,1.055E+4,
2.648E008,1.046E+4,
2.652E008,1.059E+4,
2.656E008,1.058E+4,
2.66E08,1.031E+4,
2.664E008,1.067E+4,
2.668E008,1.049E+4,
2.672E008,1.050E+4,
2.676E008,1.064E+4,
2.68E08,1.057E+4,
2.684E008,1.062E+4,
2.688E008,1.066E+4,
2.692E008,1.041E+4,
2.696E008,1.061E+4,
2.7E08,1.044E+4,
2.704E008,1.037E+4,
2.708E008,1.066E+4,
2.712E008,1.054E+4,
2.716E008,1.053E+4,
2.72E08,1.068E+4,
2.724E008,1.062E+4,
2.728E008,1.050E+4,
2.732E008,1.065E+4,
2.736E008,1.061E+4,
2.74E08,1.057E+4,
2.744E008,1.057E+4,
2.748E008,1.057E+4,
2.752E008,1.054E+4,
2.756E008,1.052E+4,
2.76E08,1.059E+4,
2.764E008,1.063E+4,
2.768E008,1.065E+4,
2.772E008,1.053E+4,
2.776E008,1.047E+4,
2.78E08,1.068E+4,
2.784E008,1.059E+4,
2.788E008,1.068E+4,
2.792E008,1.049E+4,
2.796E008,1.052E+4,
2.8E08,1.049E+4,
2.804E008,1.029E+4,
2.808E008,1.040E+4,
2.812E008,1.051E+4,
2.816E008,1.056E+4,
2.82E08,1.059E+4,
2.824E008,1.060E+4,
2.828E008,1.066E+4,
2.832E008,1.059E+4,
2.836E008,1.045E+4,
2.84E08,1.058E+4,
2.844E008,1.058E+4,
2.848E008,1.050E+4,
2.852E008,1.043E+4,
2.856E008,1.050E+4,
2.86E08,1.027E+4,
2.864E008,1.056E+4,
2.868E008,1.056E+4,
2.872E008,1.052E+4,
2.876E008,1.061E+4,
2.88E08,1.046E+4,
2.884E008,1.075E+4,
2.888E008,1.021E+4,
2.892E008,1.037E+4,
2.896E008,1.047E+4,
2.9E08,1.055E+4,
2.904E008,1.052E+4,
2.908E008,1.049E+4,
2.912E008,1.057E+4,
2.916E008,1.057E+4,
2.92E08,1.060E+4,
2.924E008,1.063E+4,
2.928E008,1.046E+4,
2.932E008,1.076E+4,
2.936E008,1.051E+4,
2.94E08,1.049E+4,
2.944E008,1.050E+4,
2.948E008,1.040E+4,
2.952E008,1.046E+4,
2.956E008,1.041E+4,
2.96E08,1.059E+4,
2.964E008,1.062E+4,
2.968E008,1.043E+4,
2.972E008,1.067E+4,
2.976E008,1.055E+4,
2.98E08,1.064E+4,
2.984E008,1.051E+4,
2.988E008,1.065E+4,
2.992E008,1.061E+4,
2.996E008,1.038E+4,
3E08,1.048E+4,
3.004E008,1.066E+4,
3.008E008,1.061E+4,
3.012E008,1.061E+4,
3.016E008,1.048E+4,
3.02E08,1.051E+4,
3.024E008,1.064E+4,
3.028E008,1.061E+4,
3.032E008,1.041E+4,
3.036E008,1.068E+4,
3.04E08,1.058E+4,
3.044E008,1.047E+4,
3.048E008,1.072E+4,
3.052E008,1.074E+4,
3.056E008,1.059E+4,
3.06E08,1.049E+4,
3.064E008,1.051E+4,
3.068E008,1.065E+4,
3.072E008,1.061E+4,
3.076E008,1.052E+4,
3.08E08,1.058E+4,
3.084E008,1.049E+4,
3.088E008,1.068E+4,
3.092E008,1.040E+4,
3.096E008,1.031E+4,
3.1E08,1.071E+4,
3.104E008,1.051E+4,
3.108E008,1.054E+4,
3.112E008,1.022E+4,
3.116E008,1.064E+4,
3.12E08,1.056E+4,
3.124E008,1.051E+4,
3.128E008,1.049E+4,
3.132E008,1.070E+4,
3.136E008,1.063E+4,
3.14E08,1.058E+4,
3.144E008,1.063E+4,
3.148E008,1.062E+4,
3.152E008,1.058E+4,
3.156E008,1.052E+4,
3.16E08,1.036E+4,
3.164E008,1.036E+4,
3.168E008,1.048E+4,
3.172E008,1.060E+4,
3.176E008,1.044E+4,
3.18E08,1.038E+4,
3.184E008,1.043E+4,
3.188E008,1.049E+4,
3.192E008,1.068E+4,
3.196E008,1.043E+4,
3.2E08,1.055E+4,
3.204E008,1.056E+4,
3.208E008,1.052E+4,
3.212E008,1.077E+4,
3.216E008,1.060E+4,
3.22E08,1.058E+4,
3.224E008,1.046E+4,
3.228E008,1.068E+4,
3.232E008,1.038E+4,
3.236E008,1.063E+4,
3.24E08,1.051E+4,
3.244E008,1.051E+4,
3.248E008,1.043E+4,
3.252E008,1.059E+4,
3.256E008,1.048E+4,
3.26E08,1.072E+4,
3.264E008,1.048E+4,
3.268E008,1.054E+4,
3.272E008,1.023E+4,
3.276E008,1.054E+4,
3.28E08,1.037E+4,
3.284E008,1.039E+4,
3.288E008,1.053E+4,
3.292E008,1.045E+4,
3.296E008,1.040E+4,
3.3E08,1.058E+4,
3.304E008,1.073E+4,
3.308E008,1.052E+4,
3.312E008,1.039E+4,
3.316E008,1.036E+4,
3.32E08,1.031E+4,
3.324E008,1.055E+4,
3.328E008,1.037E+4,
3.332E008,1.047E+4,
3.336E008,1.070E+4,
3.34E08,1.046E+4,
3.344E008,1.062E+4,
3.348E008,1.049E+4,
3.352E008,1.061E+4,
3.356E008,1.070E+4,
3.36E08,1.046E+4,
3.364E008,1.061E+4,
3.368E008,1.039E+4,
3.372E008,1.059E+4,
3.376E008,1.044E+4,
3.38E08,1.054E+4,
3.384E008,1.057E+4,
3.388E008,1.052E+4,
3.392E008,1.053E+4,
3.396E008,1.047E+4,
3.4E08,1.045E+4,
3.404E008,1.070E+4,
3.408E008,1.053E+4,
3.412E008,1.045E+4,
3.416E008,1.039E+4,
3.42E08,1.059E+4,
3.424E008,1.045E+4,
3.428E008,1.050E+4,
3.432E008,1.034E+4,
3.436E008,1.052E+4,
3.44E08,1.044E+4,
3.444E008,1.058E+4,
3.448E008,1.043E+4,
3.452E008,1.078E+4,
3.456E008,1.059E+4,
3.46E08,1.049E+4,
3.464E008,1.058E+4,
3.468E008,1.061E+4,
3.472E008,1.074E+4,
3.476E008,1.048E+4,
3.48E08,1.054E+4,
3.484E008,1.059E+4,
3.488E008,1.060E+4,
3.492E008,1.052E+4,
3.496E008,1.046E+4,
3.5E08,1.054E+4,
3.504E008,1.071E+4,
3.508E008,1.049E+4,
3.512E008,1.046E+4,
3.516E008,1.042E+4,
3.52E08,1.032E+4,
3.524E008,1.049E+4,
3.528E008,1.044E+4,
3.532E008,1.073E+4,
3.536E008,1.035E+4,
3.54E08,1.075E+4,
3.544E008,1.044E+4,
3.548E008,1.036E+4,
3.552E008,1.052E+4,
3.556E008,1.062E+4,
3.56E08,1.045E+4,
3.564E008,1.051E+4,
3.568E008,1.054E+4,
3.572E008,1.036E+4,
3.576E008,1.038E+4,
3.58E08,1.040E+4,
3.584E008,1.035E+4,
3.588E008,1.057E+4,
3.592E008,1.025E+4,
3.596E008,1.037E+4,
3.6E08,1.050E+4,
3.604E008,1.043E+4,
3.608E008,1.057E+4,
3.612E008,1.058E+4,
3.616E008,1.041E+4,
3.62E08,1.067E+4,
3.624E008,1.048E+4,
3.628E008,1.051E+4,
3.632E008,1.061E+4,
3.636E008,1.056E+4,
3.64E08,1.034E+4,
3.644E008,1.058E+4,
3.648E008,1.039E+4,
3.652E008,1.053E+4,
3.656E008,1.051E+4,
3.66E08,1.058E+4,
3.664E008,1.031E+4,
3.668E008,1.068E+4,
3.672E008,1.054E+4,
3.676E008,1.046E+4,
3.68E08,1.050E+4,
3.684E008,1.035E+4,
3.688E008,1.040E+4,
3.692E008,1.064E+4,
3.696E008,1.045E+4,
3.7E08,1.051E+4,
3.704E008,1.066E+4,
3.708E008,1.053E+4,
3.712E008,1.070E+4,
3.716E008,1.039E+4,
3.72E08,1.047E+4,
3.724E008,1.030E+4,
3.728E008,1.052E+4,
3.732E008,1.072E+4,
3.736E008,1.058E+4,
3.74E08,1.057E+4,
3.744E008,1.047E+4,
3.748E008,1.061E+4,
3.752E008,1.046E+4,
3.756E008,1.050E+4,
3.76E08,1.044E+4,
3.764E008,1.053E+4,
3.768E008,1.066E+4,
3.772E008,1.062E+4,
3.776E008,1.064E+4,
3.78E08,1.046E+4,
3.784E008,1.053E+4,
3.788E008,1.049E+4,
3.792E008,1.055E+4,
3.796E008,1.040E+4,
3.8E08,1.049E+4,
3.804E008,1.058E+4,
3.808E008,1.052E+4,
3.812E008,1.047E+4,
3.816E008,1.048E+4,
3.82E08,1.049E+4,
3.824E008,1.037E+4,
3.828E008,1.035E+4,
3.832E008,1.033E+4,
3.836E008,1.053E+4,
3.84E08,1.034E+4,
3.844E008,1.062E+4,
3.848E008,1.062E+4,
3.852E008,1.053E+4,
3.856E008,1.045E+4,
3.86E08,1.058E+4,
3.864E008,1.047E+4,
3.868E008,1.024E+4,
3.872E008,1.061E+4,
3.876E008,1.057E+4,
3.88E08,1.066E+4,
3.884E008,1.028E+4,
3.888E008,1.053E+4,
3.892E008,1.053E+4,
3.896E008,1.064E+4,
3.9E08,1.064E+4,
3.904E008,1.039E+4,
3.908E008,1.059E+4,
3.912E008,1.023E+4,
3.916E008,1.047E+4,
3.92E08,1.041E+4,
3.924E008,1.044E+4,
