Labels,75deg_spec,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,3.670E+4,
1401.000,3.735E+4,
1402.05000,3.765E+4,
1403.1000,3.751E+4,
1404.15000,3.773E+4,
1405.2000,3.770E+4,
1406.25000,3.751E+4,
1407.3000,3.737E+4,
1408.35000,3.729E+4,
1409.4000,3.758E+4,
1410.45000,3.794E+4,
1411.5000,3.764E+4,
1412.55000,3.759E+4,
1413.6000,3.806E+4,
1414.65000,3.769E+4,
1415.7000,3.837E+4,
1416.75000,3.793E+4,
1417.8000,3.802E+4,
1418.85000,3.802E+4,
1419.9000,3.824E+4,
1420.95000,3.757E+4,
1422.000,3.802E+4,
1423.05000,3.756E+4,
1424.1000,3.827E+4,
1425.15000,3.780E+4,
1426.2000,3.804E+4,
1427.25000,3.798E+4,
1428.3000,3.828E+4,
1429.35000,3.831E+4,
1430.4000,3.790E+4,
1431.45000,3.839E+4,
1432.5000,3.865E+4,
1433.55000,3.830E+4,
1434.6000,3.842E+4,
1435.65000,3.839E+4,
1436.7000,3.858E+4,
1437.75000,3.875E+4,
1438.8000,3.850E+4,
1439.85000,3.853E+4,
1440.9000,3.848E+4,
1441.95000,3.863E+4,
1443.000,3.901E+4,
1444.05000,3.886E+4,
1445.1000,3.901E+4,
1446.15000,3.948E+4,
1447.2000,3.947E+4,
1448.25000,3.980E+4,
1449.3000,4.036E+4,
1450.35000,4.015E+4,
1451.4000,4.051E+4,
1452.45000,4.064E+4,
1453.5000,4.062E+4,
1454.55000,4.137E+4,
1455.6000,4.121E+4,
1456.65000,4.180E+4,
1457.7000,4.182E+4,
1458.75000,4.210E+4,
1459.8000,4.221E+4,
1460.85000,4.255E+4,
1461.9000,4.333E+4,
1462.95000,4.365E+4,
1464.000,4.382E+4,
1465.05000,4.445E+4,
1466.1000,4.524E+4,
1467.15000,4.580E+4,
1468.2000,4.680E+4,
1469.25000,4.683E+4,
1470.3000,4.747E+4,
1471.35000,4.864E+4,
1472.4000,4.897E+4,
1473.45000,4.895E+4,
1474.5000,5.008E+4,
1475.55000,5.099E+4,
1476.6000,5.122E+4,
1477.65000,5.139E+4,
1478.7000,5.253E+4,
1479.75000,5.339E+4,
1480.8000,5.378E+4,
1481.85000,5.520E+4,
1482.9000,5.532E+4,
1483.95000,5.590E+4,
1485.000,5.675E+4,
1486.05000,5.693E+4,
1487.1000,5.757E+4,
1488.15000,5.769E+4,
1489.2000,5.791E+4,
1490.25000,5.836E+4,
1491.3000,5.832E+4,
1492.35000,5.849E+4,
1493.4000,5.872E+4,
1494.45000,5.902E+4,
1495.5000,5.820E+4,
1496.55000,5.871E+4,
1497.6000,5.826E+4,
1498.65000,5.851E+4,
1499.7000,5.838E+4,
1500.75000,5.754E+4,
1501.8000,5.796E+4,
1502.85000,5.741E+4,
1503.9000,5.759E+4,
1504.95000,5.777E+4,
1506.000,5.777E+4,
1507.05000,5.763E+4,
1508.1000,5.717E+4,
1509.15000,5.717E+4,
1510.2000,5.682E+4,
1511.25000,5.813E+4,
1512.3000,5.810E+4,
1513.35000,5.865E+4,
1514.4000,5.922E+4,
1515.45000,6.059E+4,
1516.5000,6.157E+4,
1517.55000,6.253E+4,
1518.6000,6.483E+4,
1519.65000,6.679E+4,
1520.7000,6.850E+4,
1521.75000,7.106E+4,
1522.8000,7.467E+4,
1523.85000,7.744E+4,
1524.9000,8.107E+4,
1525.95000,8.567E+4,
1527.000,9.111E+4,
1528.05000,9.730E+4,
1529.1000,1.046E+5,
1530.15000,1.129E+5,
1531.2000,1.244E+5,
1532.25000,1.407E+5,
1533.3000,1.605E+5,
1534.35000,1.757E+5,
1535.4000,1.792E+5,
1536.45000,1.732E+5,
1537.5000,1.592E+5,
1538.55000,1.508E+5,
1539.6000,1.502E+5,
1540.65000,1.524E+5,
1541.7000,1.559E+5,
1542.75000,1.538E+5,
1543.8000,1.489E+5,
1544.85000,1.411E+5,
1545.9000,1.318E+5,
1546.95000,1.232E+5,
1548.000,1.153E+5,
1549.05000,1.083E+5,
1550.1000,1.037E+5,
1551.15000,9.879E+4,
1552.2000,9.421E+4,
1553.25000,9.179E+4,
1554.3000,8.981E+4,
1555.35000,8.611E+4,
1556.4000,8.515E+4,
1557.45000,8.235E+4,
1558.5000,8.076E+4,
1559.55000,8.015E+4,
1560.6000,7.909E+4,
1561.65000,7.849E+4,
1562.7000,7.801E+4,
1563.75000,7.733E+4,
1564.8000,7.633E+4,
1565.85000,7.476E+4,
1566.9000,7.341E+4,
1567.95000,7.249E+4,
1569.000,7.074E+4,
1570.05000,6.954E+4,
1571.1000,6.583E+4,
1572.15000,6.338E+4,
1573.2000,6.014E+4,
1574.25000,5.777E+4,
1575.3000,5.535E+4,
1576.35000,5.380E+4,
1577.4000,5.224E+4,
1578.45000,5.062E+4,
1579.5000,4.970E+4,
1580.55000,4.990E+4,
1581.6000,4.885E+4,
1582.65000,4.910E+4,
1583.7000,4.881E+4,
1584.75000,4.795E+4,
1585.8000,4.803E+4,
1586.85000,4.715E+4,
1587.9000,4.743E+4,
1588.95000,4.754E+4,
1590.00,4.708E+4,
1591.05000,4.714E+4,
1592.1000,4.715E+4,
1593.15000,4.732E+4,
1594.2000,4.802E+4,
1595.25000,4.695E+4,
1596.3000,4.692E+4,
1597.35000,4.737E+4,
1598.4000,4.736E+4,
1599.45000,4.717E+4,
1600.5000,4.743E+4,
1601.55000,4.750E+4,
1602.6000,4.774E+4,
1603.65000,4.783E+4,
1604.7000,4.718E+4,
1605.75000,4.715E+4,
1606.8000,4.728E+4,
1607.85000,4.676E+4,
1608.9000,4.723E+4,
1609.95000,4.694E+4,
1611.000,4.707E+4,
1612.05000,4.599E+4,
1613.1000,4.616E+4,
1614.15000,4.658E+4,
1615.2000,4.558E+4,
1616.25000,4.564E+4,
1617.3000,4.531E+4,
1618.35000,4.481E+4,
1619.4000,4.475E+4,
1620.45000,4.448E+4,
1621.5000,4.347E+4,
1622.55000,4.325E+4,
1623.6000,4.353E+4,
1624.65000,4.282E+4,
1625.7000,4.266E+4,
1626.75000,4.279E+4,
1627.8000,4.187E+4,
1628.85000,4.217E+4,
1629.9000,4.129E+4,
1630.95000,4.131E+4,
1632.000,4.065E+4,
1633.05000,4.085E+4,
1634.1000,4.110E+4,
1635.15000,4.082E+4,
1636.2000,4.071E+4,
1637.25000,4.041E+4,
1638.3000,4.050E+4,
1639.35000,4.030E+4,
1640.4000,4.064E+4,
1641.45000,4.019E+4,
1642.5000,4.035E+4,
1643.55000,4.044E+4,
1644.6000,4.044E+4,
1645.65000,4.007E+4,
1646.7000,4.007E+4,
1647.75000,3.969E+4,
1648.8000,3.979E+4,
1649.85000,3.997E+4,
1650.9000,3.980E+4,
1651.95000,3.996E+4,
1653.000,4.051E+4,
1654.05000,3.959E+4,
1655.1000,3.980E+4,
1656.15000,3.933E+4,
1657.2000,3.995E+4,
1658.25000,3.972E+4,
1659.3000,3.955E+4,
1660.35000,3.940E+4,
1661.4000,3.875E+4,
1662.45000,3.885E+4,
1663.5000,3.912E+4,
1664.55000,3.963E+4,
1665.6000,3.951E+4,
1666.65000,3.969E+4,
1667.7000,3.975E+4,
1668.75000,3.933E+4,
1669.8000,3.955E+4,
1670.85000,3.935E+4,
1671.9000,3.940E+4,
1672.95000,3.963E+4,
1674.000,3.948E+4,
1675.05000,3.932E+4,
1676.1000,3.922E+4,
1677.15000,3.954E+4,
1678.2000,3.950E+4,
1679.25000,3.968E+4,
1680.3000,3.968E+4,
1681.35000,3.998E+4,
1682.4000,3.962E+4,
1683.45000,3.922E+4,
1684.5000,3.953E+4,
1685.55000,3.920E+4,
1686.6000,4.009E+4,
1687.65000,3.925E+4,
1688.7000,3.858E+4,
1689.75000,3.877E+4,
1690.8000,3.886E+4,
1691.85000,3.923E+4,
1692.9000,3.874E+4,
1693.95000,3.906E+4,
1695.000,3.919E+4,
1696.05000,3.907E+4,
1697.1000,3.925E+4,
1698.15000,3.965E+4,
1699.2000,3.930E+4,
1700.25000,3.939E+4,
