Labels,amplitude_6p5_10sweeps,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

76400006.000000,1.263E+5,
76800006.000000,1.266E+5,
77200006.000000,1.270E+5,
77600006.000000,1.268E+5,
78000006.000000,1.268E+5,
78400006.000000,1.266E+5,
78800006.000000,1.269E+5,
79200006.000000,1.266E+5,
79600006.000000,1.274E+5,
80000006.000000,1.271E+5,
80400006.000000,1.273E+5,
80800006.000000,1.267E+5,
81200006.000000,1.268E+5,
81600006.000000,1.270E+5,
82000006.000000,1.271E+5,
82400006.000000,1.276E+5,
82800006.000000,1.269E+5,
83200007.000000,1.271E+5,
83600007.000000,1.273E+5,
84000007.000000,1.276E+5,
84400007.000000,1.274E+5,
84800007.000000,1.273E+5,
85200007.000000,1.270E+5,
85600007.000000,1.274E+5,
86000007.000000,1.269E+5,
86400007.000000,1.275E+5,
86800007.000000,1.270E+5,
87200007.000000,1.274E+5,
87600007.000000,1.272E+5,
88000007.000000,1.276E+5,
88400007.000000,1.277E+5,
88800007.000000,1.269E+5,
89200007.000000,1.273E+5,
89600007.000000,1.275E+5,
90000007.000000,1.273E+5,
90400007.000000,1.272E+5,
90800007.000000,1.269E+5,
91200007.000000,1.275E+5,
91600007.000000,1.273E+5,
92000007.000000,1.276E+5,
92400007.000000,1.274E+5,
92800007.000000,1.275E+5,
93200007.000000,1.270E+5,
93600007.000000,1.275E+5,
94000007.000000,1.278E+5,
94400007.000000,1.276E+5,
94800007.000000,1.279E+5,
95200007.000000,1.277E+5,
95600007.000000,1.276E+5,
96000008.000000,1.278E+5,
96400008.000000,1.278E+5,
96800008.000000,1.277E+5,
97200008.000000,1.275E+5,
97600008.000000,1.278E+5,
98000008.000000,1.275E+5,
98400008.000000,1.275E+5,
98800008.000000,1.278E+5,
99200008.000000,1.278E+5,
99600008.000000,1.281E+5,
1E08,1.276E+5,
1.004E008,1.279E+5,
1.008E008,1.292E+5,
1.012E008,1.298E+5,
1.016E008,1.299E+5,
1.02E08,1.315E+5,
1.024E008,1.312E+5,
1.028E008,1.322E+5,
1.032E008,1.331E+5,
1.036E008,1.334E+5,
1.04E08,1.339E+5,
1.044E008,1.338E+5,
1.048E008,1.338E+5,
1.052E008,1.336E+5,
1.056E008,1.334E+5,
1.06E08,1.327E+5,
1.064E008,1.318E+5,
1.068E008,1.319E+5,
1.072E008,1.308E+5,
1.076E008,1.293E+5,
1.08E08,1.276E+5,
1.084E008,1.259E+5,
1.088E008,1.241E+5,
1.092E008,1.226E+5,
1.096E008,1.202E+5,
1.1E08,1.183E+5,
1.104E008,1.161E+5,
1.108E008,1.135E+5,
1.112E008,1.114E+5,
1.116E008,1.088E+5,
1.12E08,1.068E+5,
1.124E008,1.050E+5,
1.128E008,1.020E+5,
1.132E008,1.002E+5,
1.136E008,9.799E+4,
1.14E08,9.546E+4,
1.144E008,9.341E+4,
1.148E008,9.089E+4,
1.152E008,8.871E+4,
1.156E008,8.631E+4,
1.16E08,8.417E+4,
1.164E008,8.207E+4,
1.168E008,8.007E+4,
1.172E008,7.716E+4,
1.176E008,7.540E+4,
1.18E08,7.309E+4,
1.184E008,7.092E+4,
1.188E008,6.927E+4,
1.192E008,6.705E+4,
1.196E008,6.515E+4,
1.2E08,6.287E+4,
1.204E008,6.078E+4,
1.208E008,5.914E+4,
1.212E008,5.755E+4,
1.216E008,5.525E+4,
1.22E08,5.355E+4,
1.224E008,5.191E+4,
1.228E008,5.014E+4,
1.232E008,4.814E+4,
1.236E008,4.699E+4,
1.24E08,4.560E+4,
1.244E008,4.424E+4,
1.248E008,4.287E+4,
1.252E008,4.088E+4,
1.256E008,3.963E+4,
1.26E08,3.823E+4,
1.264E008,3.691E+4,
1.268E008,3.539E+4,
1.272E008,3.467E+4,
1.276E008,3.325E+4,
1.28E08,3.184E+4,
1.284E008,3.068E+4,
1.288E008,2.947E+4,
1.292E008,2.840E+4,
1.296E008,2.731E+4,
1.3E08,2.632E+4,
1.304E008,2.557E+4,
1.308E008,2.484E+4,
1.312E008,2.364E+4,
1.316E008,2.285E+4,
1.32E08,2.194E+4,
1.324E008,2.086E+4,
1.328E008,2.047E+4,
1.332E008,1.942E+4,
1.336E008,1.878E+4,
1.34E08,1.778E+4,
1.344E008,1.746E+4,
1.348E008,1.654E+4,
1.352E008,1.605E+4,
1.356E008,1.544E+4,
1.36E08,1.473E+4,
1.364E008,1.425E+4,
1.368E008,1.381E+4,
1.372E008,1.318E+4,
1.376E008,1.273E+4,
1.38E08,1.214E+4,
1.384E008,1.172E+4,
1.388E008,1.131E+4,
1.392E008,1.101E+4,
1.396E008,1.050E+4,
1.4E08,1.016E+4,
1.404E008,9.886E+3,
1.408E008,9.347E+3,
1.412E008,8.930E+3,
1.416E008,8.684E+3,
1.42E08,8.175E+3,
1.424E008,8.025E+3,
1.428E008,7.702E+3,
1.432E008,7.164E+3,
1.436E008,7.077E+3,
1.44E08,6.774E+3,
1.444E008,6.637E+3,
1.448E008,6.210E+3,
1.452E008,6.087E+3,
1.456E008,5.903E+3,
1.46E08,5.766E+3,
1.464E008,5.428E+3,
1.468E008,5.059E+3,
1.472E008,4.998E+3,
1.476E008,4.875E+3,
1.48E08,4.634E+3,
1.484E008,4.541E+3,
1.488E008,4.405E+3,
1.492E008,4.034E+3,
1.496E008,4.105E+3,
1.5E08,3.990E+3,
1.504E008,3.617E+3,
1.508E008,3.656E+3,
1.512E008,3.546E+3,
1.516E008,3.424E+3,
1.52E08,3.173E+3,
1.524E008,3.116E+3,
1.528E008,3.098E+3,
1.532E008,2.987E+3,
1.536E008,2.766E+3,
1.54E08,2.843E+3,
1.544E008,2.601E+3,
1.548E008,2.625E+3,
1.552E008,2.394E+3,
1.556E008,2.498E+3,
1.56E08,2.388E+3,
1.564E008,2.264E+3,
1.568E008,2.216E+3,
1.572E008,2.135E+3,
1.576E008,2.086E+3,
1.58E08,2.073E+3,
1.584E008,2.049E+3,
1.588E008,1.834E+3,
1.592E008,1.850E+3,
1.596E008,1.781E+3,
1.6E08,1.716E+3,
1.604E008,1.754E+3,
1.608E008,1.671E+3,
1.612E008,1.625E+3,
1.616E008,1.598E+3,
1.62E08,1.531E+3,
1.624E008,1.558E+3,
1.628E008,1.469E+3,
1.632E008,1.456E+3,
1.636E008,1.451E+3,
1.64E08,1.341E+3,
1.644E008,1.377E+3,
1.648E008,1.367E+3,
1.652E008,1.286E+3,
1.656E008,1.298E+3,
1.66E08,1.271E+3,
1.664E008,1.228E+3,
1.668E008,1.269E+3,
1.672E008,1.204E+3,
1.676E008,1.197E+3,
1.68E08,1.083E+3,
1.684E008,1.088E+3,
1.688E008,1.146E+3,
1.692E008,1.087E+3,
1.696E008,1.089E+3,
1.7E08,1.084E+3,
1.704E008,1.102E+3,
1.708E008,1.033E+3,
1.712E008,1.050E+3,
1.716E008,9.490E+2,
1.72E08,1.054E+3,
1.724E008,9.330E+2,
1.728E008,1.026E+3,
1.732E008,9.290E+2,
1.736E008,9.870E+2,
1.74E08,9.590E+2,
1.744E008,9.310E+2,
1.748E008,9.270E+2,
1.752E008,9.350E+2,
1.756E008,8.910E+2,
1.76E08,9.410E+2,
1.764E008,9.250E+2,
1.768E008,9.090E+2,
1.772E008,9.140E+2,
1.776E008,9.180E+2,
1.78E08,9.010E+2,
1.784E008,8.100E+2,
1.788E008,8.600E+2,
1.792E008,8.680E+2,
1.796E008,8.350E+2,
1.8E08,8.460E+2,
1.804E008,8.560E+2,
1.808E008,8.320E+2,
1.812E008,7.310E+2,
1.816E008,8.390E+2,
1.82E08,8.110E+2,
1.824E008,8.010E+2,
1.828E008,8.040E+2,
1.832E008,7.520E+2,
1.836E008,7.460E+2,
1.84E08,8.110E+2,
1.844E008,7.690E+2,
1.848E008,8.090E+2,
1.852E008,8.210E+2,
1.856E008,7.850E+2,
1.86E08,7.790E+2,
1.864E008,7.920E+2,
1.868E008,8.060E+2,
1.872E008,7.250E+2,
1.876E008,7.610E+2,
1.88E08,7.930E+2,
1.884E008,7.120E+2,
1.888E008,7.190E+2,
1.892E008,8.070E+2,
1.896E008,7.570E+2,
1.9E08,7.190E+2,
1.904E008,7.660E+2,
1.908E008,7.390E+2,
1.912E008,7.830E+2,
1.916E008,7.270E+2,
1.92E08,7.300E+2,
1.924E008,7.170E+2,
1.928E008,7.110E+2,
1.932E008,7.170E+2,
1.936E008,6.830E+2,
1.94E08,6.790E+2,
1.944E008,7.520E+2,
1.948E008,6.930E+2,
1.952E008,7.430E+2,
1.956E008,6.990E+2,
1.96E08,6.570E+2,
1.964E008,8.100E+2,
1.968E008,7.180E+2,
1.972E008,7.200E+2,
1.976E008,7.610E+2,
1.98E08,7.330E+2,
1.984E008,7.660E+2,
1.988E008,6.900E+2,
1.992E008,7.320E+2,
1.996E008,7.050E+2,
2E08,7.370E+2,
2.004E008,7.050E+2,
2.008E008,7.140E+2,
2.012E008,6.820E+2,
2.016E008,7.280E+2,
2.02E08,7.270E+2,
2.024E008,7.820E+2,
2.028E008,7.140E+2,
2.032E008,7.310E+2,
2.036E008,7.070E+2,
2.04E08,7.200E+2,
2.044E008,6.950E+2,
2.048E008,7.140E+2,
2.052E008,7.440E+2,
2.056E008,7.050E+2,
2.06E08,7.000E+2,
2.064E008,7.340E+2,
2.068E008,7.220E+2,
2.072E008,6.990E+2,
2.076E008,6.730E+2,
2.08E08,7.360E+2,
2.084E008,6.690E+2,
2.088E008,6.680E+2,
2.092E008,6.900E+2,
2.096E008,7.200E+2,
2.1E08,7.310E+2,
2.104E008,6.990E+2,
2.108E008,7.150E+2,
2.112E008,6.970E+2,
2.116E008,6.600E+2,
2.12E08,7.120E+2,
2.124E008,6.660E+2,
2.128E008,7.310E+2,
2.132E008,6.950E+2,
2.136E008,7.140E+2,
2.14E08,6.770E+2,
2.144E008,7.070E+2,
2.148E008,6.940E+2,
2.152E008,6.970E+2,
