Labels,amplitude_6p5_2sweeps,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.314E+4,
4E05,2.667E+4,
800000.060000,2.710E+4,
1.2E06,2.612E+4,
1.6E06,2.536E+4,
2E06,2.485E+4,
2.4E06,2.508E+4,
2.8E06,2.489E+4,
3.2E06,2.300E+4,
3.6E06,2.144E+4,
4E06,2.143E+4,
4.4E06,2.094E+4,
4.8E06,2.051E+4,
5.2E06,2.029E+4,
5.6E06,2.048E+4,
6E06,2.035E+4,
6400000.500000,2.029E+4,
6800000.500000,2.031E+4,
7200000.600000,2.034E+4,
7600000.600000,2.002E+4,
8000000.600000,1.988E+4,
8400000.700000,1.976E+4,
8800000.700000,1.944E+4,
9200000.700000,1.949E+4,
9600000.800000,1.936E+4,
1E07,1.916E+4,
1.04E07,1.935E+4,
1.08E07,1.924E+4,
1.12E07,1.906E+4,
1.16E07,1.902E+4,
1.2E07,1.866E+4,
1.24E07,1.861E+4,
1.28E07,1.888E+4,
1.32E07,1.884E+4,
1.36E07,1.877E+4,
1.4E07,1.847E+4,
1.44E07,1.866E+4,
1.48E07,1.886E+4,
1.52E07,1.867E+4,
1.56E07,1.838E+4,
1.6E07,1.865E+4,
1.64E07,1.870E+4,
1.68E07,1.871E+4,
1.72E07,1.857E+4,
1.76E07,1.849E+4,
1.8E07,1.860E+4,
1.84E07,1.856E+4,
1.88E07,1.844E+4,
1.92E07,1.839E+4,
1.96E07,1.873E+4,
2E07,1.848E+4,
2.04E07,1.875E+4,
2.08E07,1.862E+4,
2.12E07,1.867E+4,
2.16E07,1.875E+4,
2.2E07,1.837E+4,
2.24E07,1.854E+4,
2.28E07,1.881E+4,
2.32E07,1.888E+4,
2.36E07,1.869E+4,
2.4E07,1.872E+4,
2.44E07,1.905E+4,
2.48E07,1.890E+4,
2.52E07,1.868E+4,
2.56E07,1.898E+4,
2.6E07,1.864E+4,
2.64E07,1.874E+4,
2.68E07,1.881E+4,
2.72E07,1.894E+4,
2.76E07,1.886E+4,
2.8E07,1.894E+4,
2.84E07,1.890E+4,
2.88E07,1.860E+4,
2.92E07,1.884E+4,
2.96E07,1.909E+4,
3E07,1.897E+4,
3.04E07,1.894E+4,
3.08E07,1.891E+4,
3.12E07,1.899E+4,
3.16E07,1.898E+4,
3.2E07,1.902E+4,
3.24E07,1.921E+4,
3.28E07,1.909E+4,
3.32E07,1.913E+4,
3.36E07,1.939E+4,
3.4E07,1.904E+4,
3.44E07,1.914E+4,
3.48E07,1.923E+4,
3.52E07,1.918E+4,
3.56E07,1.936E+4,
3.6E07,1.929E+4,
3.64E07,1.930E+4,
3.68E07,1.940E+4,
3.72E07,1.941E+4,
3.76E07,1.966E+4,
3.8E07,1.941E+4,
3.84E07,1.930E+4,
3.88E07,1.925E+4,
3.92E07,1.961E+4,
3.96E07,1.947E+4,
4E07,1.959E+4,
4.04E07,1.960E+4,
4.08E07,1.960E+4,
4.12E07,1.936E+4,
4.16E07,1.936E+4,
4.2E07,1.952E+4,
4.24E07,1.964E+4,
4.28E07,1.948E+4,
4.32E07,1.971E+4,
4.36E07,1.987E+4,
4.4E07,1.981E+4,
4.44E07,1.979E+4,
4.48E07,1.963E+4,
4.52E07,1.987E+4,
4.56E07,1.980E+4,
4.6E07,1.967E+4,
4.64E07,1.979E+4,
4.68E07,1.973E+4,
4.72E07,1.967E+4,
4.76E07,1.989E+4,
4.8E07,1.982E+4,
4.84E07,1.992E+4,
4.88E07,1.983E+4,
4.92E07,1.987E+4,
4.96E07,1.967E+4,
5E07,1.976E+4,
5.04E07,1.984E+4,
5.08E07,2.000E+4,
5.12E07,2.021E+4,
5.16E07,1.974E+4,
5.2E07,1.981E+4,
5.24E07,2.008E+4,
5.28E07,1.970E+4,
5.32E07,1.992E+4,
5.36E07,2.003E+4,
5.4E07,1.989E+4,
5.44E07,2.012E+4,
5.48E07,2.026E+4,
5.52E07,1.996E+4,
5.56E07,2.022E+4,
5.6E07,2.019E+4,
5.64E07,2.014E+4,
5.68E07,1.995E+4,
5.72E07,2.010E+4,
5.76E07,2.024E+4,
5.8E07,2.029E+4,
5.84E07,2.032E+4,
5.88E07,2.039E+4,
5.92E07,2.013E+4,
5.96E07,2.019E+4,
6E07,2.024E+4,
6.04E07,2.013E+4,
6.08E07,1.991E+4,
6.12E07,2.029E+4,
6.16E07,2.022E+4,
6.2E07,2.026E+4,
6.24E07,1.998E+4,
6.28E07,2.024E+4,
6.32E07,2.025E+4,
6.36E07,2.029E+4,
64000005.000000,2.010E+4,
64400005.000000,2.010E+4,
64800005.000000,2.046E+4,
65200005.000000,2.034E+4,
65600005.000000,2.047E+4,
66000005.000000,2.018E+4,
66400005.000000,2.051E+4,
66800005.000000,2.038E+4,
67200005.000000,2.048E+4,
67600005.000000,2.041E+4,
68000005.000000,2.045E+4,
68400005.000000,2.063E+4,
68800005.000000,2.044E+4,
69200005.000000,2.048E+4,
69600005.000000,2.047E+4,
70000005.000000,2.034E+4,
70400006.000000,2.045E+4,
70800006.000000,2.051E+4,
71200006.000000,2.051E+4,
71600006.000000,2.051E+4,
72000006.000000,2.043E+4,
72400006.000000,2.055E+4,
72800006.000000,2.044E+4,
73200006.000000,2.051E+4,
73600006.000000,2.046E+4,
74000006.000000,2.034E+4,
74400006.000000,2.065E+4,
74800006.000000,2.075E+4,
75200006.000000,2.063E+4,
75600006.000000,2.066E+4,
76000006.000000,2.039E+4,
76400006.000000,2.052E+4,
76800006.000000,2.075E+4,
77200006.000000,2.077E+4,
77600006.000000,2.068E+4,
78000006.000000,2.068E+4,
78400006.000000,2.083E+4,
78800006.000000,2.056E+4,
79200006.000000,2.064E+4,
79600006.000000,2.070E+4,
80000006.000000,2.054E+4,
80400006.000000,2.071E+4,
80800006.000000,2.074E+4,
81200006.000000,2.045E+4,
81600006.000000,2.073E+4,
82000006.000000,2.063E+4,
82400006.000000,2.063E+4,
82800006.000000,2.058E+4,
83200007.000000,2.077E+4,
83600007.000000,2.071E+4,
84000007.000000,2.057E+4,
84400007.000000,2.084E+4,
84800007.000000,2.070E+4,
85200007.000000,2.057E+4,
85600007.000000,2.087E+4,
86000007.000000,2.084E+4,
86400007.000000,2.091E+4,
86800007.000000,2.088E+4,
87200007.000000,2.094E+4,
87600007.000000,2.071E+4,
88000007.000000,2.085E+4,
88400007.000000,2.091E+4,
88800007.000000,2.083E+4,
89200007.000000,2.101E+4,
89600007.000000,2.088E+4,
90000007.000000,2.077E+4,
90400007.000000,2.088E+4,
90800007.000000,2.074E+4,
91200007.000000,2.100E+4,
91600007.000000,2.095E+4,
92000007.000000,2.066E+4,
92400007.000000,2.080E+4,
92800007.000000,2.069E+4,
93200007.000000,2.082E+4,
93600007.000000,2.087E+4,
94000007.000000,2.083E+4,
94400007.000000,2.071E+4,
94800007.000000,2.096E+4,
95200007.000000,2.063E+4,
95600007.000000,2.089E+4,
96000008.000000,2.090E+4,
96400008.000000,2.096E+4,
96800008.000000,2.100E+4,
97200008.000000,2.089E+4,
97600008.000000,2.110E+4,
98000008.000000,2.096E+4,
98400008.000000,2.088E+4,
98800008.000000,2.095E+4,
99200008.000000,2.087E+4,
99600008.000000,2.085E+4,
1E08,2.079E+4,
1.004E008,2.114E+4,
1.008E008,2.135E+4,
1.012E008,2.139E+4,
1.016E008,2.177E+4,
1.02E08,2.225E+4,
1.024E008,2.277E+4,
1.028E008,2.310E+4,
1.032E008,2.349E+4,
1.036E008,2.416E+4,
1.04E08,2.465E+4,
1.044E008,2.479E+4,
1.048E008,2.491E+4,
1.052E008,2.554E+4,
1.056E008,2.573E+4,
1.06E08,2.587E+4,
1.064E008,2.599E+4,
1.068E008,2.621E+4,
1.072E008,2.623E+4,
1.076E008,2.626E+4,
1.08E08,2.622E+4,
1.084E008,2.647E+4,
1.088E008,2.664E+4,
1.092E008,2.659E+4,
1.096E008,2.647E+4,
1.1E08,2.627E+4,
1.104E008,2.635E+4,
1.108E008,2.611E+4,
1.112E008,2.609E+4,
1.116E008,2.587E+4,
1.12E08,2.571E+4,
1.124E008,2.569E+4,
1.128E008,2.536E+4,
1.132E008,2.526E+4,
1.136E008,2.495E+4,
1.14E08,2.476E+4,
1.144E008,2.470E+4,
1.148E008,2.437E+4,
1.152E008,2.427E+4,
1.156E008,2.394E+4,
1.16E08,2.353E+4,
1.164E008,2.309E+4,
1.168E008,2.276E+4,
1.172E008,2.249E+4,
1.176E008,2.204E+4,
1.18E08,2.167E+4,
1.184E008,2.116E+4,
1.188E008,2.063E+4,
1.192E008,2.038E+4,
1.196E008,1.988E+4,
1.2E08,1.928E+4,
1.204E008,1.914E+4,
1.208E008,1.862E+4,
1.212E008,1.820E+4,
1.216E008,1.754E+4,
1.22E08,1.732E+4,
1.224E008,1.669E+4,
1.228E008,1.641E+4,
1.232E008,1.591E+4,
1.236E008,1.552E+4,
1.24E08,1.480E+4,
1.244E008,1.461E+4,
1.248E008,1.409E+4,
1.252E008,1.374E+4,
1.256E008,1.322E+4,
1.26E08,1.290E+4,
1.264E008,1.248E+4,
1.268E008,1.226E+4,
1.272E008,1.191E+4,
1.276E008,1.149E+4,
1.28E08,1.108E+4,
1.284E008,1.067E+4,
1.288E008,1.032E+4,
1.292E008,9.816E+3,
