Labels,amplitude_3_2sweeps,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,7.592E+3,
4E05,2.244E+4,
800000.060000,2.590E+4,
1.2E06,2.664E+4,
1.6E06,2.679E+4,
2E06,2.707E+4,
2.4E06,2.697E+4,
2.8E06,2.690E+4,
3.2E06,2.690E+4,
3.6E06,2.671E+4,
4E06,2.672E+4,
4.4E06,2.630E+4,
4.8E06,2.633E+4,
5.2E06,2.610E+4,
5.6E06,2.604E+4,
6E06,2.608E+4,
6400000.500000,2.643E+4,
6800000.500000,2.647E+4,
7200000.600000,2.622E+4,
7600000.600000,2.589E+4,
8000000.600000,2.560E+4,
8400000.700000,2.575E+4,
8800000.700000,2.525E+4,
9200000.700000,2.518E+4,
9600000.800000,2.502E+4,
1E07,2.468E+4,
1.04E07,2.443E+4,
1.08E07,2.419E+4,
1.12E07,2.414E+4,
1.16E07,2.383E+4,
1.2E07,2.373E+4,
1.24E07,2.344E+4,
1.28E07,2.351E+4,
1.32E07,2.328E+4,
1.36E07,2.330E+4,
1.4E07,2.312E+4,
1.44E07,2.320E+4,
1.48E07,2.296E+4,
1.52E07,2.309E+4,
1.56E07,2.273E+4,
1.6E07,2.265E+4,
1.64E07,2.269E+4,
1.68E07,2.289E+4,
1.72E07,2.274E+4,
1.76E07,2.248E+4,
1.8E07,2.239E+4,
1.84E07,2.249E+4,
1.88E07,2.242E+4,
1.92E07,2.242E+4,
1.96E07,2.243E+4,
2E07,2.241E+4,
2.04E07,2.240E+4,
2.08E07,2.237E+4,
2.12E07,2.244E+4,
2.16E07,2.255E+4,
2.2E07,2.254E+4,
2.24E07,2.218E+4,
2.28E07,2.230E+4,
2.32E07,2.251E+4,
2.36E07,2.243E+4,
2.4E07,2.231E+4,
2.44E07,2.240E+4,
2.48E07,2.228E+4,
2.52E07,2.223E+4,
2.56E07,2.236E+4,
2.6E07,2.213E+4,
2.64E07,2.235E+4,
2.68E07,2.224E+4,
2.72E07,2.233E+4,
2.76E07,2.258E+4,
2.8E07,2.237E+4,
2.84E07,2.244E+4,
2.88E07,2.244E+4,
2.92E07,2.252E+4,
2.96E07,2.232E+4,
3E07,2.251E+4,
3.04E07,2.252E+4,
3.08E07,2.247E+4,
3.12E07,2.239E+4,
3.16E07,2.263E+4,
3.2E07,2.252E+4,
3.24E07,2.222E+4,
3.28E07,2.251E+4,
3.32E07,2.229E+4,
3.36E07,2.237E+4,
3.4E07,2.245E+4,
3.44E07,2.232E+4,
3.48E07,2.232E+4,
3.52E07,2.244E+4,
3.56E07,2.255E+4,
3.6E07,2.237E+4,
3.64E07,2.240E+4,
3.68E07,2.238E+4,
3.72E07,2.256E+4,
3.76E07,2.248E+4,
3.8E07,2.257E+4,
3.84E07,2.259E+4,
3.88E07,2.229E+4,
3.92E07,2.258E+4,
3.96E07,2.267E+4,
4E07,2.263E+4,
4.04E07,2.258E+4,
4.08E07,2.240E+4,
4.12E07,2.257E+4,
4.16E07,2.266E+4,
4.2E07,2.283E+4,
4.24E07,2.248E+4,
4.28E07,2.266E+4,
4.32E07,2.276E+4,
4.36E07,2.279E+4,
4.4E07,2.288E+4,
4.44E07,2.290E+4,
4.48E07,2.294E+4,
4.52E07,2.290E+4,
4.56E07,2.273E+4,
4.6E07,2.304E+4,
4.64E07,2.283E+4,
4.68E07,2.311E+4,
4.72E07,2.294E+4,
4.76E07,2.278E+4,
4.8E07,2.305E+4,
4.84E07,2.309E+4,
4.88E07,2.295E+4,
4.92E07,2.295E+4,
4.96E07,2.315E+4,
5E07,2.312E+4,
5.04E07,2.309E+4,
5.08E07,2.304E+4,
5.12E07,2.308E+4,
5.16E07,2.319E+4,
5.2E07,2.313E+4,
5.24E07,2.310E+4,
5.28E07,2.315E+4,
5.32E07,2.318E+4,
5.36E07,2.321E+4,
5.4E07,2.304E+4,
5.44E07,2.307E+4,
5.48E07,2.326E+4,
5.52E07,2.321E+4,
5.56E07,2.331E+4,
5.6E07,2.336E+4,
5.64E07,2.345E+4,
5.68E07,2.328E+4,
5.72E07,2.318E+4,
5.76E07,2.333E+4,
5.8E07,2.362E+4,
5.84E07,2.325E+4,
5.88E07,2.353E+4,
5.92E07,2.332E+4,
5.96E07,2.351E+4,
6E07,2.359E+4,
6.04E07,2.356E+4,
6.08E07,2.359E+4,
6.12E07,2.345E+4,
6.16E07,2.370E+4,
6.2E07,2.360E+4,
6.24E07,2.373E+4,
6.28E07,2.364E+4,
6.32E07,2.364E+4,
6.36E07,2.356E+4,
64000005.000000,2.360E+4,
64400005.000000,2.370E+4,
64800005.000000,2.386E+4,
65200005.000000,2.361E+4,
65600005.000000,2.383E+4,
66000005.000000,2.392E+4,
66400005.000000,2.396E+4,
66800005.000000,2.384E+4,
67200005.000000,2.384E+4,
67600005.000000,2.389E+4,
68000005.000000,2.370E+4,
68400005.000000,2.383E+4,
68800005.000000,2.385E+4,
69200005.000000,2.386E+4,
69600005.000000,2.409E+4,
70000005.000000,2.381E+4,
70400006.000000,2.386E+4,
70800006.000000,2.393E+4,
71200006.000000,2.395E+4,
71600006.000000,2.449E+4,
72000006.000000,2.404E+4,
72400006.000000,2.408E+4,
72800006.000000,2.404E+4,
73200006.000000,2.418E+4,
73600006.000000,2.400E+4,
74000006.000000,2.392E+4,
74400006.000000,2.429E+4,
74800006.000000,2.411E+4,
75200006.000000,2.407E+4,
75600006.000000,2.430E+4,
76000006.000000,2.424E+4,
76400006.000000,2.408E+4,
76800006.000000,2.402E+4,
77200006.000000,2.401E+4,
77600006.000000,2.437E+4,
78000006.000000,2.428E+4,
78400006.000000,2.432E+4,
78800006.000000,2.419E+4,
79200006.000000,2.415E+4,
79600006.000000,2.453E+4,
80000006.000000,2.423E+4,
80400006.000000,2.420E+4,
80800006.000000,2.429E+4,
81200006.000000,2.441E+4,
81600006.000000,2.444E+4,
82000006.000000,2.448E+4,
82400006.000000,2.427E+4,
82800006.000000,2.441E+4,
83200007.000000,2.433E+4,
83600007.000000,2.453E+4,
84000007.000000,2.438E+4,
84400007.000000,2.442E+4,
84800007.000000,2.452E+4,
85200007.000000,2.464E+4,
85600007.000000,2.468E+4,
86000007.000000,2.462E+4,
86400007.000000,2.449E+4,
86800007.000000,2.454E+4,
87200007.000000,2.450E+4,
87600007.000000,2.464E+4,
88000007.000000,2.473E+4,
88400007.000000,2.469E+4,
88800007.000000,2.457E+4,
89200007.000000,2.467E+4,
89600007.000000,2.459E+4,
90000007.000000,2.464E+4,
90400007.000000,2.450E+4,
90800007.000000,2.455E+4,
91200007.000000,2.455E+4,
91600007.000000,2.481E+4,
92000007.000000,2.477E+4,
92400007.000000,2.440E+4,
92800007.000000,2.476E+4,
93200007.000000,2.450E+4,
93600007.000000,2.461E+4,
94000007.000000,2.489E+4,
94400007.000000,2.494E+4,
94800007.000000,2.474E+4,
95200007.000000,2.475E+4,
95600007.000000,2.454E+4,
96000008.000000,2.463E+4,
96400008.000000,2.485E+4,
96800008.000000,2.472E+4,
97200008.000000,2.468E+4,
97600008.000000,2.468E+4,
98000008.000000,2.484E+4,
98400008.000000,2.480E+4,
98800008.000000,2.485E+4,
99200008.000000,2.493E+4,
99600008.000000,2.479E+4,
1E08,2.466E+4,
1.004E008,2.508E+4,
1.008E008,2.488E+4,
1.012E008,2.506E+4,
1.016E008,2.523E+4,
1.02E08,2.532E+4,
1.024E008,2.533E+4,
1.028E008,2.542E+4,
1.032E008,2.576E+4,
1.036E008,2.622E+4,
1.04E08,2.605E+4,
1.044E008,2.613E+4,
1.048E008,2.646E+4,
1.052E008,2.643E+4,
1.056E008,2.659E+4,
1.06E08,2.668E+4,
1.064E008,2.652E+4,
1.068E008,2.680E+4,
1.072E008,2.666E+4,
1.076E008,2.665E+4,
1.08E08,2.670E+4,
1.084E008,2.619E+4,
1.088E008,2.652E+4,
1.092E008,2.662E+4,
1.096E008,2.637E+4,
1.1E08,2.607E+4,
1.104E008,2.601E+4,
1.108E008,2.575E+4,
1.112E008,2.558E+4,
1.116E008,2.547E+4,
1.12E08,2.516E+4,
1.124E008,2.481E+4,
1.128E008,2.451E+4,
1.132E008,2.411E+4,
1.136E008,2.373E+4,
1.14E08,2.319E+4,
1.144E008,2.304E+4,
1.148E008,2.237E+4,
1.152E008,2.192E+4,
1.156E008,2.158E+4,
1.16E08,2.129E+4,
1.164E008,2.078E+4,
1.168E008,2.021E+4,
1.172E008,1.987E+4,
1.176E008,1.931E+4,
1.18E08,1.860E+4,
1.184E008,1.829E+4,
1.188E008,1.760E+4,
1.192E008,1.731E+4,
1.196E008,1.677E+4,
1.2E08,1.636E+4,
1.204E008,1.584E+4,
1.208E008,1.553E+4,
1.212E008,1.498E+4,
1.216E008,1.456E+4,
1.22E08,1.425E+4,
1.224E008,1.380E+4,
1.228E008,1.349E+4,
1.232E008,1.283E+4,
1.236E008,1.264E+4,
1.24E08,1.218E+4,
1.244E008,1.179E+4,
1.248E008,1.138E+4,
1.252E008,1.108E+4,
1.256E008,1.050E+4,
1.26E08,1.035E+4,
1.264E008,1.002E+4,
1.268E008,9.603E+3,
1.272E008,9.324E+3,
1.276E008,8.842E+3,
1.28E08,8.374E+3,
1.284E008,8.219E+3,
1.288E008,8.106E+3,
1.292E008,7.669E+3,
