Labels,amplitude_6p5_5sweeps,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,2.259E+4,
4E05,5.854E+4,
800000.060000,6.568E+4,
1.2E06,6.609E+4,
1.6E06,6.581E+4,
2E06,6.516E+4,
2.4E06,6.591E+4,
2.8E06,6.576E+4,
3.2E06,6.402E+4,
3.6E06,6.226E+4,
4E06,6.156E+4,
4.4E06,6.147E+4,
4.8E06,6.096E+4,
5.2E06,6.042E+4,
5.6E06,6.036E+4,
6E06,6.033E+4,
6400000.500000,6.035E+4,
6800000.500000,6.058E+4,
7200000.600000,6.005E+4,
7600000.600000,6.025E+4,
8000000.600000,6.019E+4,
8400000.700000,5.964E+4,
8800000.700000,5.943E+4,
9200000.700000,5.929E+4,
9600000.800000,5.922E+4,
1E07,5.844E+4,
1.04E07,5.895E+4,
1.08E07,5.854E+4,
1.12E07,5.850E+4,
1.16E07,5.793E+4,
1.2E07,5.813E+4,
1.24E07,5.805E+4,
1.28E07,5.768E+4,
1.32E07,5.774E+4,
1.36E07,5.784E+4,
1.4E07,5.741E+4,
1.44E07,5.747E+4,
1.48E07,5.754E+4,
1.52E07,5.688E+4,
1.56E07,5.745E+4,
1.6E07,5.742E+4,
1.64E07,5.733E+4,
1.68E07,5.677E+4,
1.72E07,5.728E+4,
1.76E07,5.721E+4,
1.8E07,5.728E+4,
1.84E07,5.692E+4,
1.88E07,5.730E+4,
1.92E07,5.729E+4,
1.96E07,5.698E+4,
2E07,5.704E+4,
2.04E07,5.715E+4,
2.08E07,5.692E+4,
2.12E07,5.667E+4,
2.16E07,5.711E+4,
2.2E07,5.707E+4,
2.24E07,5.667E+4,
2.28E07,5.702E+4,
2.32E07,5.726E+4,
2.36E07,5.703E+4,
2.4E07,5.697E+4,
2.44E07,5.737E+4,
2.48E07,5.739E+4,
2.52E07,5.681E+4,
2.56E07,5.738E+4,
2.6E07,5.683E+4,
2.64E07,5.703E+4,
2.68E07,5.755E+4,
2.72E07,5.706E+4,
2.76E07,5.720E+4,
2.8E07,5.708E+4,
2.84E07,5.711E+4,
2.88E07,5.718E+4,
2.92E07,5.739E+4,
2.96E07,5.747E+4,
3E07,5.742E+4,
3.04E07,5.745E+4,
3.08E07,5.736E+4,
3.12E07,5.746E+4,
3.16E07,5.734E+4,
3.2E07,5.765E+4,
3.24E07,5.741E+4,
3.28E07,5.748E+4,
3.32E07,5.759E+4,
3.36E07,5.751E+4,
3.4E07,5.774E+4,
3.44E07,5.758E+4,
3.48E07,5.756E+4,
3.52E07,5.752E+4,
3.56E07,5.739E+4,
3.6E07,5.759E+4,
3.64E07,5.736E+4,
3.68E07,5.764E+4,
3.72E07,5.782E+4,
3.76E07,5.747E+4,
3.8E07,5.776E+4,
3.84E07,5.785E+4,
3.88E07,5.771E+4,
3.92E07,5.763E+4,
3.96E07,5.767E+4,
4E07,5.807E+4,
4.04E07,5.779E+4,
4.08E07,5.802E+4,
4.12E07,5.789E+4,
4.16E07,5.808E+4,
4.2E07,5.789E+4,
4.24E07,5.785E+4,
4.28E07,5.800E+4,
4.32E07,5.786E+4,
4.36E07,5.779E+4,
4.4E07,5.830E+4,
4.44E07,5.798E+4,
4.48E07,5.788E+4,
4.52E07,5.811E+4,
4.56E07,5.831E+4,
4.6E07,5.812E+4,
4.64E07,5.781E+4,
4.68E07,5.768E+4,
4.72E07,5.777E+4,
4.76E07,5.823E+4,
4.8E07,5.816E+4,
4.84E07,5.830E+4,
4.88E07,5.817E+4,
4.92E07,5.834E+4,
4.96E07,5.869E+4,
5E07,5.814E+4,
5.04E07,5.846E+4,
5.08E07,5.865E+4,
5.12E07,5.855E+4,
5.16E07,5.847E+4,
5.2E07,5.862E+4,
5.24E07,5.833E+4,
5.28E07,5.832E+4,
5.32E07,5.839E+4,
5.36E07,5.820E+4,
5.4E07,5.846E+4,
5.44E07,5.819E+4,
5.48E07,5.857E+4,
5.52E07,5.868E+4,
5.56E07,5.854E+4,
5.6E07,5.865E+4,
5.64E07,5.855E+4,
5.68E07,5.874E+4,
5.72E07,5.878E+4,
5.76E07,5.870E+4,
5.8E07,5.887E+4,
5.84E07,5.897E+4,
5.88E07,5.866E+4,
5.92E07,5.869E+4,
5.96E07,5.870E+4,
6E07,5.836E+4,
6.04E07,5.874E+4,
6.08E07,5.860E+4,
6.12E07,5.866E+4,
6.16E07,5.871E+4,
6.2E07,5.860E+4,
6.24E07,5.905E+4,
6.28E07,5.865E+4,
6.32E07,5.881E+4,
6.36E07,5.893E+4,
64000005.000000,5.932E+4,
64400005.000000,5.903E+4,
64800005.000000,5.913E+4,
65200005.000000,5.906E+4,
65600005.000000,5.884E+4,
66000005.000000,5.936E+4,
66400005.000000,5.927E+4,
66800005.000000,5.928E+4,
67200005.000000,5.913E+4,
67600005.000000,5.915E+4,
68000005.000000,5.922E+4,
68400005.000000,5.907E+4,
68800005.000000,5.910E+4,
69200005.000000,5.940E+4,
69600005.000000,5.909E+4,
70000005.000000,5.908E+4,
70400006.000000,5.876E+4,
70800006.000000,5.921E+4,
71200006.000000,5.889E+4,
71600006.000000,5.974E+4,
72000006.000000,5.965E+4,
72400006.000000,5.961E+4,
72800006.000000,5.897E+4,
73200006.000000,5.968E+4,
73600006.000000,5.946E+4,
74000006.000000,5.913E+4,
74400006.000000,5.932E+4,
74800006.000000,5.967E+4,
75200006.000000,5.938E+4,
75600006.000000,5.964E+4,
76000006.000000,5.960E+4,
76400006.000000,5.953E+4,
76800006.000000,5.908E+4,
77200006.000000,5.962E+4,
77600006.000000,5.948E+4,
78000006.000000,5.940E+4,
78400006.000000,5.955E+4,
78800006.000000,5.969E+4,
79200006.000000,5.976E+4,
79600006.000000,5.967E+4,
80000006.000000,5.963E+4,
80400006.000000,5.950E+4,
80800006.000000,5.941E+4,
81200006.000000,5.942E+4,
81600006.000000,5.975E+4,
82000006.000000,5.962E+4,
82400006.000000,5.987E+4,
82800006.000000,5.998E+4,
83200007.000000,5.970E+4,
83600007.000000,6.001E+4,
84000007.000000,5.989E+4,
84400007.000000,5.955E+4,
84800007.000000,5.982E+4,
85200007.000000,5.970E+4,
85600007.000000,5.993E+4,
86000007.000000,5.978E+4,
86400007.000000,5.976E+4,
86800007.000000,5.985E+4,
87200007.000000,5.994E+4,
87600007.000000,5.985E+4,
88000007.000000,6.014E+4,
88400007.000000,5.982E+4,
88800007.000000,5.996E+4,
89200007.000000,6.014E+4,
89600007.000000,6.025E+4,
90000007.000000,5.964E+4,
90400007.000000,6.018E+4,
90800007.000000,6.025E+4,
91200007.000000,5.992E+4,
91600007.000000,5.978E+4,
92000007.000000,5.980E+4,
92400007.000000,6.006E+4,
92800007.000000,5.995E+4,
93200007.000000,5.999E+4,
93600007.000000,6.017E+4,
94000007.000000,6.003E+4,
94400007.000000,6.006E+4,
94800007.000000,6.031E+4,
95200007.000000,6.008E+4,
95600007.000000,6.020E+4,
96000008.000000,6.011E+4,
96400008.000000,5.988E+4,
96800008.000000,6.041E+4,
97200008.000000,6.019E+4,
97600008.000000,5.985E+4,
98000008.000000,6.023E+4,
98400008.000000,6.041E+4,
98800008.000000,6.002E+4,
99200008.000000,6.020E+4,
99600008.000000,6.028E+4,
1E08,6.023E+4,
1.004E008,6.019E+4,
1.008E008,6.113E+4,
1.012E008,6.165E+4,
1.016E008,6.206E+4,
1.02E08,6.238E+4,
1.024E008,6.281E+4,
1.028E008,6.366E+4,
1.032E008,6.437E+4,
1.036E008,6.487E+4,
1.04E08,6.541E+4,
1.044E008,6.557E+4,
1.048E008,6.608E+4,
1.052E008,6.611E+4,
1.056E008,6.620E+4,
1.06E08,6.619E+4,
1.064E008,6.599E+4,
1.068E008,6.600E+4,
1.072E008,6.606E+4,
1.076E008,6.585E+4,
1.08E08,6.545E+4,
1.084E008,6.484E+4,
1.088E008,6.432E+4,
1.092E008,6.342E+4,
1.096E008,6.281E+4,
1.1E08,6.242E+4,
1.104E008,6.124E+4,
1.108E008,6.055E+4,
1.112E008,5.954E+4,
1.116E008,5.862E+4,
1.12E08,5.801E+4,
1.124E008,5.663E+4,
1.128E008,5.609E+4,
1.132E008,5.519E+4,
1.136E008,5.415E+4,
1.14E08,5.301E+4,
1.144E008,5.187E+4,
1.148E008,5.079E+4,
1.152E008,4.964E+4,
1.156E008,4.904E+4,
1.16E08,4.802E+4,
1.164E008,4.654E+4,
1.168E008,4.556E+4,
1.172E008,4.440E+4,
1.176E008,4.366E+4,
1.18E08,4.256E+4,
1.184E008,4.135E+4,
1.188E008,4.017E+4,
1.192E008,3.937E+4,
1.196E008,3.813E+4,
1.2E08,3.679E+4,
1.204E008,3.586E+4,
1.208E008,3.519E+4,
1.212E008,3.398E+4,
1.216E008,3.327E+4,
1.22E08,3.191E+4,
1.224E008,3.099E+4,
1.228E008,3.022E+4,
1.232E008,2.897E+4,
1.236E008,2.823E+4,
1.24E08,2.739E+4,
1.244E008,2.674E+4,
1.248E008,2.563E+4,
1.252E008,2.502E+4,
1.256E008,2.391E+4,
1.26E08,2.326E+4,
1.264E008,2.266E+4,
1.268E008,2.161E+4,
1.272E008,2.062E+4,
1.276E008,2.050E+4,
1.28E08,1.952E+4,
1.284E008,1.878E+4,
1.288E008,1.818E+4,
1.292E008,1.788E+4,
