Labels,amplitude_3_50sweeps,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,9.446E+4,
4E05,3.501E+5,
800000.060000,4.940E+5,
1.2E06,5.732E+5,
1.6E06,6.187E+5,
2E06,6.414E+5,
2.4E06,6.552E+5,
2.8E06,6.628E+5,
3.2E06,6.676E+5,
3.6E06,6.709E+5,
4E06,6.730E+5,
4.4E06,6.742E+5,
4.8E06,6.725E+5,
5.2E06,6.731E+5,
5.6E06,6.739E+5,
6E06,6.730E+5,
6400000.500000,6.725E+5,
6800000.500000,6.734E+5,
7200000.600000,6.736E+5,
7600000.600000,6.745E+5,
8000000.600000,6.738E+5,
8400000.700000,6.743E+5,
8800000.700000,6.742E+5,
9200000.700000,6.735E+5,
9600000.800000,6.738E+5,
1E07,6.748E+5,
1.04E07,6.737E+5,
1.08E07,6.738E+5,
1.12E07,6.737E+5,
1.16E07,6.728E+5,
1.2E07,6.718E+5,
1.24E07,6.730E+5,
1.28E07,6.730E+5,
1.32E07,6.723E+5,
1.36E07,6.716E+5,
1.4E07,6.737E+5,
1.44E07,6.717E+5,
1.48E07,6.712E+5,
1.52E07,6.720E+5,
1.56E07,6.717E+5,
1.6E07,6.717E+5,
1.64E07,6.725E+5,
1.68E07,6.710E+5,
1.72E07,6.709E+5,
1.76E07,6.710E+5,
1.8E07,6.706E+5,
1.84E07,6.716E+5,
1.88E07,6.716E+5,
1.92E07,6.719E+5,
1.96E07,6.719E+5,
2E07,6.710E+5,
2.04E07,6.724E+5,
2.08E07,6.717E+5,
2.12E07,6.715E+5,
2.16E07,6.713E+5,
2.2E07,6.729E+5,
2.24E07,6.735E+5,
2.28E07,6.729E+5,
2.32E07,6.735E+5,
2.36E07,6.724E+5,
2.4E07,6.724E+5,
2.44E07,6.737E+5,
2.48E07,6.735E+5,
2.52E07,6.737E+5,
2.56E07,6.738E+5,
2.6E07,6.736E+5,
2.64E07,6.746E+5,
2.68E07,6.747E+5,
2.72E07,6.736E+5,
2.76E07,6.732E+5,
2.8E07,6.732E+5,
2.84E07,6.741E+5,
2.88E07,6.732E+5,
2.92E07,6.730E+5,
2.96E07,6.742E+5,
3E07,6.741E+5,
3.04E07,6.745E+5,
3.08E07,6.742E+5,
3.12E07,6.732E+5,
3.16E07,6.734E+5,
3.2E07,6.742E+5,
3.24E07,6.741E+5,
3.28E07,6.745E+5,
3.32E07,6.745E+5,
3.36E07,6.741E+5,
3.4E07,6.748E+5,
3.44E07,6.740E+5,
3.48E07,6.743E+5,
3.52E07,6.745E+5,
3.56E07,6.744E+5,
3.6E07,6.737E+5,
3.64E07,6.738E+5,
3.68E07,6.744E+5,
3.72E07,6.747E+5,
3.76E07,6.742E+5,
3.8E07,6.738E+5,
3.84E07,6.755E+5,
3.88E07,6.732E+5,
3.92E07,6.745E+5,
3.96E07,6.749E+5,
4E07,6.745E+5,
4.04E07,6.746E+5,
4.08E07,6.754E+5,
4.12E07,6.745E+5,
4.16E07,6.747E+5,
4.2E07,6.750E+5,
4.24E07,6.743E+5,
4.28E07,6.741E+5,
4.32E07,6.748E+5,
4.36E07,6.746E+5,
4.4E07,6.748E+5,
4.44E07,6.746E+5,
4.48E07,6.753E+5,
4.52E07,6.743E+5,
4.56E07,6.744E+5,
4.6E07,6.753E+5,
4.64E07,6.752E+5,
4.68E07,6.756E+5,
4.72E07,6.752E+5,
4.76E07,6.744E+5,
4.8E07,6.745E+5,
4.84E07,6.741E+5,
4.88E07,6.746E+5,
4.92E07,6.748E+5,
4.96E07,6.751E+5,
5E07,6.752E+5,
5.04E07,6.756E+5,
5.08E07,6.750E+5,
5.12E07,6.750E+5,
5.16E07,6.752E+5,
5.2E07,6.757E+5,
5.24E07,6.759E+5,
5.28E07,6.749E+5,
5.32E07,6.757E+5,
5.36E07,6.751E+5,
5.4E07,6.747E+5,
5.44E07,6.755E+5,
5.48E07,6.756E+5,
5.52E07,6.757E+5,
5.56E07,6.756E+5,
5.6E07,6.756E+5,
5.64E07,6.755E+5,
5.68E07,6.756E+5,
5.72E07,6.751E+5,
5.76E07,6.758E+5,
5.8E07,6.758E+5,
5.84E07,6.760E+5,
5.88E07,6.757E+5,
5.92E07,6.746E+5,
5.96E07,6.753E+5,
6E07,6.754E+5,
6.04E07,6.759E+5,
6.08E07,6.760E+5,
6.12E07,6.757E+5,
6.16E07,6.751E+5,
6.2E07,6.760E+5,
6.24E07,6.754E+5,
6.28E07,6.762E+5,
6.32E07,6.760E+5,
6.36E07,6.764E+5,
64000005.000000,6.755E+5,
64400005.000000,6.755E+5,
64800005.000000,6.772E+5,
65200005.000000,6.764E+5,
65600005.000000,6.762E+5,
66000005.000000,6.764E+5,
66400005.000000,6.752E+5,
66800005.000000,6.762E+5,
67200005.000000,6.764E+5,
67600005.000000,6.749E+5,
68000005.000000,6.765E+5,
68400005.000000,6.755E+5,
68800005.000000,6.761E+5,
69200005.000000,6.759E+5,
69600005.000000,6.765E+5,
70000005.000000,6.753E+5,
70400006.000000,6.763E+5,
70800006.000000,6.761E+5,
71200006.000000,6.769E+5,
71600006.000000,6.767E+5,
72000006.000000,6.760E+5,
72400006.000000,6.758E+5,
72800006.000000,6.772E+5,
73200006.000000,6.770E+5,
73600006.000000,6.762E+5,
74000006.000000,6.764E+5,
74400006.000000,6.766E+5,
74800006.000000,6.763E+5,
75200006.000000,6.765E+5,
75600006.000000,6.762E+5,
76000006.000000,6.767E+5,
76400006.000000,6.769E+5,
76800006.000000,6.763E+5,
77200006.000000,6.763E+5,
77600006.000000,6.759E+5,
78000006.000000,6.767E+5,
78400006.000000,6.767E+5,
78800006.000000,6.765E+5,
79200006.000000,6.765E+5,
79600006.000000,6.762E+5,
80000006.000000,6.767E+5,
80400006.000000,6.768E+5,
80800006.000000,6.779E+5,
81200006.000000,6.773E+5,
81600006.000000,6.776E+5,
82000006.000000,6.762E+5,
82400006.000000,6.769E+5,
82800006.000000,6.769E+5,
83200007.000000,6.763E+5,
83600007.000000,6.770E+5,
84000007.000000,6.770E+5,
84400007.000000,6.766E+5,
84800007.000000,6.767E+5,
85200007.000000,6.778E+5,
85600007.000000,6.767E+5,
86000007.000000,6.771E+5,
86400007.000000,6.778E+5,
86800007.000000,6.779E+5,
87200007.000000,6.763E+5,
87600007.000000,6.765E+5,
88000007.000000,6.766E+5,
88400007.000000,6.764E+5,
88800007.000000,6.776E+5,
89200007.000000,6.767E+5,
89600007.000000,6.772E+5,
90000007.000000,6.766E+5,
90400007.000000,6.774E+5,
90800007.000000,6.775E+5,
91200007.000000,6.771E+5,
91600007.000000,6.774E+5,
92000007.000000,6.765E+5,
92400007.000000,6.770E+5,
92800007.000000,6.765E+5,
93200007.000000,6.767E+5,
93600007.000000,6.776E+5,
94000007.000000,6.766E+5,
94400007.000000,6.762E+5,
94800007.000000,6.773E+5,
95200007.000000,6.776E+5,
95600007.000000,6.765E+5,
96000008.000000,6.767E+5,
96400008.000000,6.771E+5,
96800008.000000,6.781E+5,
97200008.000000,6.773E+5,
97600008.000000,6.768E+5,
98000008.000000,6.779E+5,
98400008.000000,6.769E+5,
98800008.000000,6.772E+5,
99200008.000000,6.781E+5,
99600008.000000,6.774E+5,
1E08,6.771E+5,
1.004E008,6.773E+5,
1.008E008,6.801E+5,
1.012E008,6.808E+5,
1.016E008,6.817E+5,
1.02E08,6.828E+5,
1.024E008,6.817E+5,
1.028E008,6.815E+5,
1.032E008,6.801E+5,
1.036E008,6.774E+5,
1.04E08,6.746E+5,
1.044E008,6.699E+5,
1.048E008,6.644E+5,
1.052E008,6.642E+5,
1.056E008,6.552E+5,
1.06E08,6.455E+5,
1.064E008,6.348E+5,
1.068E008,6.242E+5,
1.072E008,6.135E+5,
1.076E008,6.028E+5,
1.08E08,5.906E+5,
1.084E008,5.781E+5,
1.088E008,5.659E+5,
1.092E008,5.537E+5,
1.096E008,5.406E+5,
1.1E08,5.286E+5,
1.104E008,5.163E+5,
1.108E008,5.022E+5,
1.112E008,4.894E+5,
1.116E008,4.765E+5,
1.12E08,4.640E+5,
1.124E008,4.503E+5,
1.128E008,4.384E+5,
1.132E008,4.265E+5,
1.136E008,4.135E+5,
1.14E08,4.012E+5,
1.144E008,3.897E+5,
1.148E008,3.787E+5,
1.152E008,3.674E+5,
1.156E008,3.558E+5,
1.16E08,3.453E+5,
1.164E008,3.353E+5,
1.168E008,3.243E+5,
1.172E008,3.138E+5,
1.176E008,3.034E+5,
1.18E08,2.948E+5,
1.184E008,2.843E+5,
1.188E008,2.748E+5,
1.192E008,2.647E+5,
1.196E008,2.570E+5,
1.2E08,2.485E+5,
1.204E008,2.402E+5,
1.208E008,2.323E+5,
1.212E008,2.243E+5,
1.216E008,2.163E+5,
1.22E08,2.090E+5,
1.224E008,2.015E+5,
1.228E008,1.943E+5,
1.232E008,1.871E+5,
1.236E008,1.800E+5,
1.24E08,1.750E+5,
1.244E008,1.677E+5,
1.248E008,1.615E+5,
1.252E008,1.552E+5,
1.256E008,1.495E+5,
1.26E08,1.444E+5,
1.264E008,1.384E+5,
1.268E008,1.335E+5,
1.272E008,1.287E+5,
1.276E008,1.239E+5,
1.28E08,1.185E+5,
1.284E008,1.148E+5,
1.288E008,1.097E+5,
1.292E008,1.054E+5,
