Labels,6p5,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,2.946E+4,
4E05,9.709E+4,
800000.060000,1.610E+5,
1.2E06,2.213E+5,
1.6E06,2.773E+5,
2E06,3.280E+5,
2.4E06,3.753E+5,
2.8E06,4.206E+5,
3.2E06,4.634E+5,
3.6E06,5.003E+5,
4E06,5.377E+5,
4.4E06,5.721E+5,
4.8E06,6.054E+5,
5.2E06,6.355E+5,
5.6E06,6.635E+5,
6E06,6.922E+5,
6400000.500000,7.180E+5,
6800000.500000,7.408E+5,
7200000.600000,7.663E+5,
7600000.600000,7.882E+5,
8000000.600000,8.086E+5,
8400000.700000,8.296E+5,
8800000.700000,8.471E+5,
9200000.700000,8.659E+5,
9600000.800000,8.839E+5,
1E07,9.020E+5,
1.04E07,9.143E+5,
1.08E07,9.300E+5,
1.12E07,9.441E+5,
1.16E07,9.587E+5,
1.2E07,9.708E+5,
1.24E07,9.833E+5,
1.28E07,9.946E+5,
1.32E07,1.007E+6,
1.36E07,1.017E+6,
1.4E07,1.029E+6,
1.44E07,1.039E+6,
1.48E07,1.047E+6,
1.52E07,1.055E+6,
1.56E07,1.065E+6,
1.6E07,1.074E+6,
1.64E07,1.082E+6,
1.68E07,1.090E+6,
1.72E07,1.096E+6,
1.76E07,1.104E+6,
1.8E07,1.109E+6,
1.84E07,1.117E+6,
1.88E07,1.124E+6,
1.92E07,1.131E+6,
1.96E07,1.136E+6,
2E07,1.141E+6,
2.04E07,1.146E+6,
2.08E07,1.152E+6,
2.12E07,1.159E+6,
2.16E07,1.161E+6,
2.2E07,1.167E+6,
2.24E07,1.172E+6,
2.28E07,1.174E+6,
2.32E07,1.179E+6,
2.36E07,1.183E+6,
2.4E07,1.186E+6,
2.44E07,1.191E+6,
2.48E07,1.193E+6,
2.52E07,1.198E+6,
2.56E07,1.200E+6,
2.6E07,1.204E+6,
2.64E07,1.208E+6,
2.68E07,1.209E+6,
2.72E07,1.213E+6,
2.76E07,1.215E+6,
2.8E07,1.216E+6,
2.84E07,1.221E+6,
2.88E07,1.222E+6,
2.92E07,1.223E+6,
2.96E07,1.227E+6,
3E07,1.230E+6,
3.04E07,1.231E+6,
3.08E07,1.231E+6,
3.12E07,1.235E+6,
3.16E07,1.236E+6,
3.2E07,1.238E+6,
3.24E07,1.239E+6,
3.28E07,1.242E+6,
3.32E07,1.242E+6,
3.36E07,1.244E+6,
3.4E07,1.247E+6,
3.44E07,1.248E+6,
3.48E07,1.250E+6,
3.52E07,1.250E+6,
3.56E07,1.251E+6,
3.6E07,1.253E+6,
3.64E07,1.254E+6,
3.68E07,1.255E+6,
3.72E07,1.255E+6,
3.76E07,1.258E+6,
3.8E07,1.258E+6,
3.84E07,1.260E+6,
3.88E07,1.262E+6,
3.92E07,1.262E+6,
3.96E07,1.263E+6,
4E07,1.262E+6,
4.04E07,1.264E+6,
4.08E07,1.265E+6,
4.12E07,1.265E+6,
4.16E07,1.265E+6,
4.2E07,1.268E+6,
4.24E07,1.269E+6,
4.28E07,1.268E+6,
4.32E07,1.270E+6,
4.36E07,1.269E+6,
4.4E07,1.271E+6,
4.44E07,1.271E+6,
4.48E07,1.269E+6,
4.52E07,1.271E+6,
4.56E07,1.273E+6,
4.6E07,1.271E+6,
4.64E07,1.274E+6,
4.68E07,1.274E+6,
4.72E07,1.274E+6,
4.76E07,1.275E+6,
4.8E07,1.275E+6,
4.84E07,1.274E+6,
4.88E07,1.277E+6,
4.92E07,1.276E+6,
4.96E07,1.276E+6,
5E07,1.276E+6,
5.04E07,1.278E+6,
5.08E07,1.278E+6,
5.12E07,1.278E+6,
5.16E07,1.278E+6,
5.2E07,1.278E+6,
5.24E07,1.279E+6,
5.28E07,1.280E+6,
5.32E07,1.278E+6,
5.36E07,1.280E+6,
5.4E07,1.280E+6,
5.44E07,1.279E+6,
5.48E07,1.279E+6,
5.52E07,1.279E+6,
5.56E07,1.279E+6,
5.6E07,1.282E+6,
5.64E07,1.281E+6,
5.68E07,1.281E+6,
5.72E07,1.281E+6,
5.76E07,1.282E+6,
5.8E07,1.282E+6,
5.84E07,1.281E+6,
5.88E07,1.282E+6,
5.92E07,1.283E+6,
5.96E07,1.283E+6,
6E07,1.282E+6,
6.04E07,1.282E+6,
6.08E07,1.282E+6,
6.12E07,1.283E+6,
6.16E07,1.283E+6,
6.2E07,1.282E+6,
6.24E07,1.283E+6,
6.28E07,1.282E+6,
6.32E07,1.283E+6,
6.36E07,1.283E+6,
64000005.000000,1.282E+6,
64400005.000000,1.283E+6,
64800005.000000,1.282E+6,
65200005.000000,1.284E+6,
65600005.000000,1.283E+6,
66000005.000000,1.282E+6,
66400005.000000,1.282E+6,
66800005.000000,1.285E+6,
67200005.000000,1.283E+6,
67600005.000000,1.284E+6,
68000005.000000,1.282E+6,
68400005.000000,1.284E+6,
68800005.000000,1.283E+6,
69200005.000000,1.283E+6,
69600005.000000,1.283E+6,
70000005.000000,1.283E+6,
70400006.000000,1.283E+6,
70800006.000000,1.282E+6,
71200006.000000,1.283E+6,
71600006.000000,1.285E+6,
72000006.000000,1.284E+6,
72400006.000000,1.284E+6,
72800006.000000,1.284E+6,
73200006.000000,1.284E+6,
73600006.000000,1.285E+6,
74000006.000000,1.284E+6,
74400006.000000,1.284E+6,
74800006.000000,1.284E+6,
75200006.000000,1.283E+6,
75600006.000000,1.285E+6,
76000006.000000,1.285E+6,
76400006.000000,1.283E+6,
76800006.000000,1.283E+6,
77200006.000000,1.284E+6,
77600006.000000,1.286E+6,
78000006.000000,1.286E+6,
78400006.000000,1.284E+6,
78800006.000000,1.284E+6,
79200006.000000,1.284E+6,
79600006.000000,1.284E+6,
80000006.000000,1.286E+6,
80400006.000000,1.285E+6,
80800006.000000,1.285E+6,
81200006.000000,1.283E+6,
81600006.000000,1.285E+6,
82000006.000000,1.284E+6,
82400006.000000,1.285E+6,
82800006.000000,1.284E+6,
83200007.000000,1.284E+6,
83600007.000000,1.285E+6,
84000007.000000,1.283E+6,
84400007.000000,1.284E+6,
84800007.000000,1.285E+6,
85200007.000000,1.284E+6,
85600007.000000,1.285E+6,
86000007.000000,1.283E+6,
86400007.000000,1.284E+6,
86800007.000000,1.284E+6,
87200007.000000,1.285E+6,
87600007.000000,1.285E+6,
88000007.000000,1.284E+6,
88400007.000000,1.286E+6,
88800007.000000,1.284E+6,
89200007.000000,1.284E+6,
89600007.000000,1.285E+6,
90000007.000000,1.284E+6,
90400007.000000,1.285E+6,
90800007.000000,1.285E+6,
91200007.000000,1.285E+6,
91600007.000000,1.282E+6,
92000007.000000,1.284E+6,
92400007.000000,1.285E+6,
92800007.000000,1.284E+6,
93200007.000000,1.285E+6,
93600007.000000,1.284E+6,
94000007.000000,1.283E+6,
94400007.000000,1.284E+6,
94800007.000000,1.285E+6,
95200007.000000,1.284E+6,
95600007.000000,1.284E+6,
96000008.000000,1.284E+6,
96400008.000000,1.284E+6,
96800008.000000,1.284E+6,
97200008.000000,1.285E+6,
97600008.000000,1.283E+6,
98000008.000000,1.284E+6,
98400008.000000,1.283E+6,
98800008.000000,1.285E+6,
99200008.000000,1.285E+6,
99600008.000000,1.284E+6,
1E08,1.268E+6,
1.004E008,1.241E+6,
1.008E008,1.217E+6,
1.012E008,1.191E+6,
1.016E008,1.165E+6,
1.02E08,1.141E+6,
1.024E008,1.115E+6,
1.028E008,1.090E+6,
1.032E008,1.068E+6,
1.036E008,1.042E+6,
1.04E08,1.019E+6,
1.044E008,9.950E+5,
1.048E008,9.726E+5,
1.052E008,9.498E+5,
1.056E008,9.291E+5,
1.06E08,9.070E+5,
1.064E008,8.853E+5,
1.068E008,8.651E+5,
1.072E008,8.428E+5,
1.076E008,8.227E+5,
1.08E08,8.032E+5,
1.084E008,7.848E+5,
1.088E008,7.643E+5,
1.092E008,7.462E+5,
1.096E008,7.276E+5,
1.1E08,7.103E+5,
1.104E008,6.927E+5,
1.108E008,6.768E+5,
1.112E008,6.587E+5,
1.116E008,6.412E+5,
1.12E08,6.255E+5,
1.124E008,6.086E+5,
1.128E008,5.956E+5,
1.132E008,5.781E+5,
1.136E008,5.634E+5,
1.14E08,5.495E+5,
1.144E008,5.360E+5,
1.148E008,5.210E+5,
1.152E008,5.073E+5,
1.156E008,4.935E+5,
1.16E08,4.810E+5,
1.164E008,4.672E+5,
1.168E008,4.546E+5,
1.172E008,4.426E+5,
1.176E008,4.317E+5,
1.18E08,4.207E+5,
1.184E008,4.088E+5,
1.188E008,3.970E+5,
1.192E008,3.859E+5,
1.196E008,3.774E+5,
1.2E08,3.654E+5,
1.204E008,3.558E+5,
1.208E008,3.462E+5,
1.212E008,3.368E+5,
1.216E008,3.272E+5,
1.22E08,3.173E+5,
1.224E008,3.091E+5,
1.228E008,3.007E+5,
1.232E008,2.925E+5,
1.236E008,2.842E+5,
1.24E08,2.749E+5,
1.244E008,2.686E+5,
1.248E008,2.614E+5,
1.252E008,2.535E+5,
1.256E008,2.461E+5,
1.26E08,2.385E+5,
1.264E008,2.326E+5,
1.268E008,2.264E+5,
1.272E008,2.197E+5,
1.276E008,2.127E+5,
1.28E08,2.081E+5,
1.284E008,2.019E+5,
1.288E008,1.962E+5,
1.292E008,1.905E+5,
1.296E008,1.857E+5,
