Labels,1p5,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.744E+4,
4E05,3.610E+4,
800000.060000,5.462E+4,
1.2E06,7.181E+4,
1.6E06,8.928E+4,
2E06,1.059E+5,
2.4E06,1.205E+5,
2.8E06,1.361E+5,
3.2E06,1.505E+5,
3.6E06,1.640E+5,
4E06,1.778E+5,
4.4E06,1.896E+5,
4.8E06,2.012E+5,
5.2E06,2.131E+5,
5.6E06,2.255E+5,
6E06,2.353E+5,
6400000.500000,2.453E+5,
6800000.500000,2.563E+5,
7200000.600000,2.654E+5,
7600000.600000,2.729E+5,
8000000.600000,2.827E+5,
8400000.700000,2.916E+5,
8800000.700000,2.992E+5,
9200000.700000,3.065E+5,
9600000.800000,3.142E+5,
1E07,3.215E+5,
1.04E07,3.284E+5,
1.08E07,3.348E+5,
1.12E07,3.408E+5,
1.16E07,3.479E+5,
1.2E07,3.536E+5,
1.24E07,3.598E+5,
1.28E07,3.656E+5,
1.32E07,3.719E+5,
1.36E07,3.757E+5,
1.4E07,3.805E+5,
1.44E07,3.856E+5,
1.48E07,3.899E+5,
1.52E07,3.942E+5,
1.56E07,3.988E+5,
1.6E07,4.030E+5,
1.64E07,4.084E+5,
1.68E07,4.105E+5,
1.72E07,4.147E+5,
1.76E07,4.186E+5,
1.8E07,4.225E+5,
1.84E07,4.254E+5,
1.88E07,4.287E+5,
1.92E07,4.309E+5,
1.96E07,4.346E+5,
2E07,4.355E+5,
2.04E07,4.408E+5,
2.08E07,4.442E+5,
2.12E07,4.455E+5,
2.16E07,4.487E+5,
2.2E07,4.500E+5,
2.24E07,4.527E+5,
2.28E07,4.553E+5,
2.32E07,4.575E+5,
2.36E07,4.586E+5,
2.4E07,4.616E+5,
2.44E07,4.635E+5,
2.48E07,4.644E+5,
2.52E07,4.666E+5,
2.56E07,4.682E+5,
2.6E07,4.707E+5,
2.64E07,4.715E+5,
2.68E07,4.748E+5,
2.72E07,4.759E+5,
2.76E07,4.779E+5,
2.8E07,4.790E+5,
2.84E07,4.802E+5,
2.88E07,4.820E+5,
2.92E07,4.826E+5,
2.96E07,4.841E+5,
3E07,4.841E+5,
3.04E07,4.859E+5,
3.08E07,4.873E+5,
3.12E07,4.873E+5,
3.16E07,4.896E+5,
3.2E07,4.899E+5,
3.24E07,4.917E+5,
3.28E07,4.919E+5,
3.32E07,4.935E+5,
3.36E07,4.949E+5,
3.4E07,4.953E+5,
3.44E07,4.952E+5,
3.48E07,4.983E+5,
3.52E07,4.991E+5,
3.56E07,4.992E+5,
3.6E07,5.004E+5,
3.64E07,4.999E+5,
3.68E07,5.002E+5,
3.72E07,5.017E+5,
3.76E07,5.015E+5,
3.8E07,5.031E+5,
3.84E07,5.029E+5,
3.88E07,5.050E+5,
3.92E07,5.049E+5,
3.96E07,5.050E+5,
4E07,5.052E+5,
4.04E07,5.071E+5,
4.08E07,5.056E+5,
4.12E07,5.066E+5,
4.16E07,5.072E+5,
4.2E07,5.093E+5,
4.24E07,5.087E+5,
4.28E07,5.082E+5,
4.32E07,5.101E+5,
4.36E07,5.090E+5,
4.4E07,5.113E+5,
4.44E07,5.092E+5,
4.48E07,5.106E+5,
4.52E07,5.123E+5,
4.56E07,5.121E+5,
4.6E07,5.115E+5,
4.64E07,5.137E+5,
4.68E07,5.126E+5,
4.72E07,5.135E+5,
4.76E07,5.134E+5,
4.8E07,5.130E+5,
4.84E07,5.136E+5,
4.88E07,5.145E+5,
4.92E07,5.142E+5,
4.96E07,5.148E+5,
5E07,5.156E+5,
5.04E07,5.143E+5,
5.08E07,5.157E+5,
5.12E07,5.156E+5,
5.16E07,5.159E+5,
5.2E07,5.167E+5,
5.24E07,5.160E+5,
5.28E07,5.164E+5,
5.32E07,5.155E+5,
5.36E07,5.171E+5,
5.4E07,5.160E+5,
5.44E07,5.168E+5,
5.48E07,5.171E+5,
5.52E07,5.180E+5,
5.56E07,5.185E+5,
5.6E07,5.181E+5,
5.64E07,5.176E+5,
5.68E07,5.172E+5,
5.72E07,5.187E+5,
5.76E07,5.178E+5,
5.8E07,5.180E+5,
5.84E07,5.183E+5,
5.88E07,5.178E+5,
5.92E07,5.190E+5,
5.96E07,5.210E+5,
6E07,5.190E+5,
6.04E07,5.202E+5,
6.08E07,5.189E+5,
6.12E07,5.184E+5,
6.16E07,5.191E+5,
6.2E07,5.204E+5,
6.24E07,5.188E+5,
6.28E07,5.203E+5,
6.32E07,5.200E+5,
6.36E07,5.210E+5,
64000005.000000,5.186E+5,
64400005.000000,5.198E+5,
64800005.000000,5.188E+5,
65200005.000000,5.208E+5,
65600005.000000,5.201E+5,
66000005.000000,5.204E+5,
66400005.000000,5.201E+5,
66800005.000000,5.204E+5,
67200005.000000,5.212E+5,
67600005.000000,5.203E+5,
68000005.000000,5.203E+5,
68400005.000000,5.206E+5,
68800005.000000,5.213E+5,
69200005.000000,5.209E+5,
69600005.000000,5.209E+5,
70000005.000000,5.200E+5,
70400006.000000,5.201E+5,
70800006.000000,5.198E+5,
71200006.000000,5.212E+5,
71600006.000000,5.207E+5,
72000006.000000,5.217E+5,
72400006.000000,5.217E+5,
72800006.000000,5.212E+5,
73200006.000000,5.212E+5,
73600006.000000,5.207E+5,
74000006.000000,5.226E+5,
74400006.000000,5.216E+5,
74800006.000000,5.204E+5,
75200006.000000,5.219E+5,
75600006.000000,5.209E+5,
76000006.000000,5.222E+5,
76400006.000000,5.215E+5,
76800006.000000,5.217E+5,
77200006.000000,5.215E+5,
77600006.000000,5.208E+5,
78000006.000000,5.213E+5,
78400006.000000,5.208E+5,
78800006.000000,5.225E+5,
79200006.000000,5.211E+5,
79600006.000000,5.223E+5,
80000006.000000,5.200E+5,
80400006.000000,5.225E+5,
80800006.000000,5.217E+5,
81200006.000000,5.208E+5,
81600006.000000,5.208E+5,
82000006.000000,5.229E+5,
82400006.000000,5.228E+5,
82800006.000000,5.215E+5,
83200007.000000,5.214E+5,
83600007.000000,5.214E+5,
84000007.000000,5.219E+5,
84400007.000000,5.217E+5,
84800007.000000,5.214E+5,
85200007.000000,5.223E+5,
85600007.000000,5.220E+5,
86000007.000000,5.210E+5,
86400007.000000,5.216E+5,
86800007.000000,5.212E+5,
87200007.000000,5.223E+5,
87600007.000000,5.220E+5,
88000007.000000,5.215E+5,
88400007.000000,5.228E+5,
88800007.000000,5.208E+5,
89200007.000000,5.232E+5,
89600007.000000,5.217E+5,
90000007.000000,5.221E+5,
90400007.000000,5.221E+5,
90800007.000000,5.221E+5,
91200007.000000,5.220E+5,
91600007.000000,5.215E+5,
92000007.000000,5.224E+5,
92400007.000000,5.225E+5,
92800007.000000,5.210E+5,
93200007.000000,5.216E+5,
93600007.000000,5.212E+5,
94000007.000000,5.221E+5,
94400007.000000,5.219E+5,
94800007.000000,5.225E+5,
95200007.000000,5.210E+5,
95600007.000000,5.227E+5,
96000008.000000,5.211E+5,
96400008.000000,5.228E+5,
96800008.000000,5.223E+5,
97200008.000000,5.211E+5,
97600008.000000,5.227E+5,
98000008.000000,5.220E+5,
98400008.000000,5.227E+5,
98800008.000000,5.230E+5,
99200008.000000,5.214E+5,
99600008.000000,5.201E+5,
1E08,5.133E+5,
1.004E008,5.015E+5,
1.008E008,4.893E+5,
1.012E008,4.754E+5,
1.016E008,4.612E+5,
1.02E08,4.498E+5,
1.024E008,4.372E+5,
1.028E008,4.247E+5,
1.032E008,4.136E+5,
1.036E008,4.031E+5,
1.04E08,3.907E+5,
1.044E008,3.795E+5,
1.048E008,3.700E+5,
1.052E008,3.580E+5,
1.056E008,3.508E+5,
1.06E08,3.400E+5,
1.064E008,3.316E+5,
1.068E008,3.222E+5,
1.072E008,3.136E+5,
1.076E008,3.050E+5,
1.08E08,2.949E+5,
1.084E008,2.865E+5,
1.088E008,2.788E+5,
1.092E008,2.708E+5,
1.096E008,2.645E+5,
1.1E08,2.580E+5,
1.104E008,2.489E+5,
1.108E008,2.411E+5,
1.112E008,2.346E+5,
1.116E008,2.290E+5,
1.12E08,2.219E+5,
1.124E008,2.169E+5,
1.128E008,2.094E+5,
1.132E008,2.038E+5,
1.136E008,1.968E+5,
1.14E08,1.925E+5,
1.144E008,1.867E+5,
1.148E008,1.825E+5,
1.152E008,1.764E+5,
1.156E008,1.715E+5,
1.16E08,1.681E+5,
1.164E008,1.619E+5,
1.168E008,1.584E+5,
1.172E008,1.533E+5,
1.176E008,1.493E+5,
1.18E08,1.445E+5,
1.184E008,1.405E+5,
1.188E008,1.371E+5,
1.192E008,1.329E+5,
1.196E008,1.290E+5,
1.2E08,1.257E+5,
1.204E008,1.224E+5,
1.208E008,1.192E+5,
1.212E008,1.154E+5,
1.216E008,1.133E+5,
1.22E08,1.101E+5,
1.224E008,1.066E+5,
1.228E008,1.032E+5,
1.232E008,1.016E+5,
1.236E008,9.799E+4,
1.24E08,9.567E+4,
1.244E008,9.291E+4,
1.248E008,9.020E+4,
1.252E008,8.771E+4,
1.256E008,8.511E+4,
1.26E08,8.353E+4,
1.264E008,8.109E+4,
1.268E008,7.964E+4,
1.272E008,7.711E+4,
1.276E008,7.510E+4,
1.28E08,7.319E+4,
1.284E008,7.124E+4,
1.288E008,6.930E+4,
1.292E008,6.709E+4,
1.296E008,6.603E+4,
