nm, %R
1800.000000, 0.351099
1799.000000, 0.312384
1798.000000, 0.299825
1797.000000, 0.339549
1796.000000, 0.354216
1795.000000, 0.337323
1794.000000, 0.381219
1793.000000, 0.357504
1792.000000, 0.340860
1791.000000, 0.397405
1790.000000, 0.408303
1789.000000, 0.397417
1788.000000, 0.349572
1787.000000, 0.398599
1786.000000, 0.391000
1785.000000, 0.422982
1784.000000, 0.421870
1783.000000, 0.414827
1782.000000, 0.404163
1781.000000, 0.416211
1780.000000, 0.421521
1779.000000, 0.428486
1778.000000, 0.383472
1777.000000, 0.367219
1776.000000, 0.380893
1775.000000, 0.394859
1774.000000, 0.406602
1773.000000, 0.439537
1772.000000, 0.364577
1771.000000, 0.367801
1770.000000, 0.331455
1769.000000, 0.344476
1768.000000, 0.392314
1767.000000, 0.372161
1766.000000, 0.375412
1765.000000, 0.357898
1764.000000, 0.342669
1763.000000, 0.374403
1762.000000, 0.362268
1761.000000, 0.314364
1760.000000, 0.352943
1759.000000, 0.388953
1758.000000, 0.400712
1757.000000, 0.405927
1756.000000, 0.365607
1755.000000, 0.373878
1754.000000, 0.392839
1753.000000, 0.381620
1752.000000, 0.352694
1751.000000, 0.390849
1750.000000, 0.401001
1749.000000, 0.400936
1748.000000, 0.393344
1747.000000, 0.366046
1746.000000, 0.398447
1745.000000, 0.381428
1744.000000, 0.349472
1743.000000, 0.350145
1742.000000, 0.377845
1741.000000, 0.367638
1740.000000, 0.386908
1739.000000, 0.411031
1738.000000, 0.413420
1737.000000, 0.404144
1736.000000, 0.363811
1735.000000, 0.401092
1734.000000, 0.354585
1733.000000, 0.346734
1732.000000, 0.362012
1731.000000, 0.412936
1730.000000, 0.387284
1729.000000, 0.380317
1728.000000, 0.378339
1727.000000, 0.386945
1726.000000, 0.362410
1725.000000, 0.341735
1724.000000, 0.340427
1723.000000, 0.385787
1722.000000, 0.415533
1721.000000, 0.399644
1720.000000, 0.399478
1719.000000, 0.369745
1718.000000, 0.378029
1717.000000, 0.403114
1716.000000, 0.366328
1715.000000, 0.350816
1714.000000, 0.378712
1713.000000, 0.429461
1712.000000, 0.410317
1711.000000, 0.403669
1710.000000, 0.412624
1709.000000, 0.380764
1708.000000, 0.361541
1707.000000, 0.337452
1706.000000, 0.340829
1705.000000, 0.365577
1704.000000, 0.406544
1703.000000, 0.368203
1702.000000, 0.356898
1701.000000, 0.359434
1700.000000, 0.372442
1699.000000, 0.359477
1698.000000, 0.363945
1697.000000, 0.371418
1696.000000, 0.373532
1695.000000, 0.393711
1694.000000, 0.410391
1693.000000, 0.390619
1692.000000, 0.379375
1691.000000, 0.393037
1690.000000, 0.401586
1689.000000, 0.397540
1688.000000, 0.356239
1687.000000, 0.354648
1686.000000, 0.350835
1685.000000, 0.362563
1684.000000, 0.414523
1683.000000, 0.378143
1682.000000, 0.341864
1681.000000, 0.360766
1680.000000, 0.359328
