Labels,100K,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,3.758E+4,
1401.000,3.743E+4,
1402.05000,3.756E+4,
1403.1000,3.768E+4,
1404.15000,3.736E+4,
1405.2000,3.780E+4,
1406.25000,3.779E+4,
1407.3000,3.739E+4,
1408.35000,3.706E+4,
1409.4000,3.789E+4,
1410.45000,3.773E+4,
1411.5000,3.760E+4,
1412.55000,3.846E+4,
1413.6000,3.794E+4,
1414.65000,3.784E+4,
1415.7000,3.748E+4,
1416.75000,3.791E+4,
1417.8000,3.772E+4,
1418.85000,3.759E+4,
1419.9000,3.820E+4,
1420.95000,3.814E+4,
1422.000,3.794E+4,
1423.05000,3.872E+4,
1424.1000,3.756E+4,
1425.15000,3.831E+4,
1426.2000,3.801E+4,
1427.25000,3.815E+4,
1428.3000,3.821E+4,
1429.35000,3.869E+4,
1430.4000,3.896E+4,
1431.45000,3.884E+4,
1432.5000,3.841E+4,
1433.55000,3.724E+4,
1434.6000,3.759E+4,
1435.65000,3.763E+4,
1436.7000,3.736E+4,
1437.75000,3.773E+4,
1438.8000,3.751E+4,
1439.85000,3.728E+4,
1440.9000,3.771E+4,
1441.95000,3.725E+4,
1443.000,3.760E+4,
1444.05000,3.719E+4,
1445.1000,3.754E+4,
1446.15000,3.770E+4,
1447.2000,3.791E+4,
1448.25000,3.806E+4,
1449.3000,3.729E+4,
1450.35000,3.817E+4,
1451.4000,3.787E+4,
1452.45000,3.781E+4,
1453.5000,3.766E+4,
1454.55000,3.730E+4,
1455.6000,3.807E+4,
1456.65000,3.797E+4,
1457.7000,3.785E+4,
1458.75000,3.786E+4,
1459.8000,3.812E+4,
1460.85000,3.856E+4,
1461.9000,3.758E+4,
1462.95000,3.808E+4,
1464.000,3.800E+4,
1465.05000,3.810E+4,
1466.1000,3.780E+4,
1467.15000,3.800E+4,
1468.2000,3.763E+4,
1469.25000,3.773E+4,
1470.3000,3.803E+4,
1471.35000,3.793E+4,
1472.4000,3.792E+4,
1473.45000,3.863E+4,
1474.5000,3.826E+4,
1475.55000,3.868E+4,
1476.6000,3.861E+4,
1477.65000,3.826E+4,
1478.7000,3.875E+4,
1479.75000,3.909E+4,
1480.8000,3.859E+4,
1481.85000,3.926E+4,
1482.9000,3.903E+4,
1483.95000,3.890E+4,
1485.000,3.845E+4,
1486.05000,3.954E+4,
1487.1000,3.948E+4,
1488.15000,3.941E+4,
1489.2000,3.925E+4,
1490.25000,3.951E+4,
1491.3000,3.959E+4,
1492.35000,3.956E+4,
1493.4000,4.014E+4,
1494.45000,3.932E+4,
1495.5000,3.988E+4,
1496.55000,3.972E+4,
1497.6000,4.028E+4,
1498.65000,3.925E+4,
1499.7000,3.985E+4,
1500.75000,4.008E+4,
1501.8000,4.032E+4,
1502.85000,4.011E+4,
1503.9000,4.013E+4,
1504.95000,4.046E+4,
1506.000,4.064E+4,
1507.05000,4.114E+4,
1508.1000,4.107E+4,
1509.15000,4.187E+4,
1510.2000,4.178E+4,
1511.25000,4.174E+4,
1512.3000,4.266E+4,
1513.35000,4.211E+4,
1514.4000,4.308E+4,
1515.45000,4.395E+4,
1516.5000,4.472E+4,
1517.55000,4.553E+4,
1518.6000,4.723E+4,
1519.65000,4.875E+4,
1520.7000,5.082E+4,
1521.75000,5.348E+4,
1522.8000,5.561E+4,
1523.85000,5.797E+4,
1524.9000,6.110E+4,
1525.95000,6.521E+4,
1527.000,7.107E+4,
1528.05000,7.538E+4,
1529.1000,7.983E+4,
1530.15000,8.808E+4,
1531.2000,1.015E+5,
1532.25000,1.229E+5,
1533.3000,1.484E+5,
1534.35000,1.650E+5,
1535.4000,1.646E+5,
1536.45000,1.458E+5,
1537.5000,1.213E+5,
1538.55000,1.092E+5,
1539.6000,1.141E+5,
1540.65000,1.224E+5,
1541.7000,1.262E+5,
1542.75000,1.238E+5,
1543.8000,1.158E+5,
1544.85000,1.082E+5,
1545.9000,9.782E+4,
1546.95000,9.072E+4,
1548.000,8.534E+4,
1549.05000,8.176E+4,
1550.1000,7.825E+4,
1551.15000,7.408E+4,
1552.2000,6.991E+4,
1553.25000,6.658E+4,
1554.3000,6.457E+4,
1555.35000,6.198E+4,
1556.4000,5.968E+4,
1557.45000,5.809E+4,
1558.5000,5.715E+4,
1559.55000,5.582E+4,
1560.6000,5.458E+4,
1561.65000,5.303E+4,
1562.7000,5.229E+4,
1563.75000,5.148E+4,
1564.8000,5.070E+4,
1565.85000,4.913E+4,
1566.9000,4.835E+4,
1567.95000,4.744E+4,
1569.000,4.728E+4,
1570.05000,4.646E+4,
1571.1000,4.582E+4,
1572.15000,4.516E+4,
1573.2000,4.447E+4,
1574.25000,4.400E+4,
1575.3000,4.346E+4,
1576.35000,4.276E+4,
1577.4000,4.237E+4,
1578.45000,4.226E+4,
1579.5000,4.235E+4,
1580.55000,4.174E+4,
1581.6000,4.182E+4,
1582.65000,4.217E+4,
1583.7000,4.195E+4,
1584.75000,4.226E+4,
1585.8000,4.157E+4,
1586.85000,4.196E+4,
1587.9000,4.238E+4,
1588.95000,4.191E+4,
1590.00,4.219E+4,
1591.05000,4.227E+4,
1592.1000,4.248E+4,
1593.15000,4.257E+4,
1594.2000,4.240E+4,
1595.25000,4.233E+4,
1596.3000,4.218E+4,
1597.35000,4.245E+4,
1598.4000,4.234E+4,
1599.45000,4.254E+4,
1600.5000,4.269E+4,
1601.55000,4.267E+4,
1602.6000,4.250E+4,
1603.65000,4.208E+4,
1604.7000,4.301E+4,
1605.75000,4.318E+4,
1606.8000,4.288E+4,
1607.85000,4.289E+4,
1608.9000,4.231E+4,
1609.95000,4.281E+4,
1611.000,4.270E+4,
1612.05000,4.321E+4,
1613.1000,4.234E+4,
1614.15000,4.254E+4,
1615.2000,4.249E+4,
1616.25000,4.255E+4,
1617.3000,4.284E+4,
1618.35000,4.211E+4,
1619.4000,4.212E+4,
1620.45000,4.217E+4,
1621.5000,4.131E+4,
1622.55000,4.102E+4,
1623.6000,4.048E+4,
1624.65000,4.052E+4,
1625.7000,4.123E+4,
1626.75000,4.024E+4,
1627.8000,4.017E+4,
1628.85000,4.012E+4,
1629.9000,3.990E+4,
1630.95000,4.006E+4,
1632.000,3.949E+4,
1633.05000,3.924E+4,
1634.1000,3.944E+4,
1635.15000,3.876E+4,
1636.2000,3.883E+4,
1637.25000,3.845E+4,
1638.3000,3.843E+4,
1639.35000,3.869E+4,
1640.4000,3.841E+4,
1641.45000,3.809E+4,
1642.5000,3.856E+4,
1643.55000,3.772E+4,
1644.6000,3.815E+4,
1645.65000,3.788E+4,
1646.7000,3.758E+4,
1647.75000,3.787E+4,
1648.8000,3.721E+4,
1649.85000,3.788E+4,
1650.9000,3.757E+4,
1651.95000,3.808E+4,
1653.000,3.753E+4,
1654.05000,3.769E+4,
1655.1000,3.769E+4,
1656.15000,3.798E+4,
1657.2000,3.774E+4,
1658.25000,3.764E+4,
1659.3000,3.715E+4,
1660.35000,3.711E+4,
1661.4000,3.752E+4,
1662.45000,3.695E+4,
1663.5000,3.777E+4,
1664.55000,3.727E+4,
1665.6000,3.718E+4,
1666.65000,3.754E+4,
1667.7000,3.730E+4,
1668.75000,3.769E+4,
1669.8000,3.767E+4,
1670.85000,3.730E+4,
1671.9000,3.705E+4,
1672.95000,3.727E+4,
1674.000,3.747E+4,
1675.05000,3.711E+4,
1676.1000,3.687E+4,
1677.15000,3.735E+4,
1678.2000,3.732E+4,
1679.25000,3.721E+4,
1680.3000,3.722E+4,
1681.35000,3.677E+4,
1682.4000,3.767E+4,
1683.45000,3.761E+4,
1684.5000,3.766E+4,
1685.55000,3.732E+4,
1686.6000,3.735E+4,
1687.65000,3.744E+4,
1688.7000,3.766E+4,
1689.75000,3.741E+4,
1690.8000,3.732E+4,
1691.85000,3.719E+4,
1692.9000,3.746E+4,
1693.95000,3.762E+4,
1695.000,3.731E+4,
1696.05000,3.715E+4,
1697.1000,3.734E+4,
1698.15000,3.736E+4,
1699.2000,3.665E+4,
1700.25000,3.724E+4,
