nm, %R
1800.000000, 0.175170
1799.000000, 0.161692
1798.000000, 0.181109
1797.000000, 0.226113
1796.000000, 0.203345
1795.000000, 0.243696
1794.000000, 0.227404
1793.000000, 0.180792
1792.000000, 0.156575
1791.000000, 0.133955
1790.000000, 0.147198
1789.000000, 0.149933
1788.000000, 0.231245
1787.000000, 0.193605
1786.000000, 0.180367
1785.000000, 0.263450
1784.000000, 0.267523
1783.000000, 0.228236
1782.000000, 0.230069
1781.000000, 0.223004
1780.000000, 0.230973
1779.000000, 0.245120
1778.000000, 0.198475
1777.000000, 0.206952
1776.000000, 0.254593
1775.000000, 0.213178
1774.000000, 0.190728
1773.000000, 0.211039
1772.000000, 0.233402
1771.000000, 0.175831
1770.000000, 0.206293
1769.000000, 0.190743
1768.000000, 0.192787
1767.000000, 0.230964
1766.000000, 0.205115
1765.000000, 0.208837
1764.000000, 0.196136
1763.000000, 0.181460
1762.000000, 0.201344
1761.000000, 0.179623
1760.000000, 0.136850
1759.000000, 0.166382
1758.000000, 0.191150
1757.000000, 0.139644
1756.000000, 0.159888
1755.000000, 0.212234
1754.000000, 0.213076
1753.000000, 0.217146
1752.000000, 0.216400
1751.000000, 0.216832
1750.000000, 0.201640
1749.000000, 0.180293
1748.000000, 0.168671
1747.000000, 0.220140
1746.000000, 0.238612
1745.000000, 0.194321
1744.000000, 0.209474
1743.000000, 0.240707
1742.000000, 0.208712
1741.000000, 0.189467
1740.000000, 0.186760
1739.000000, 0.166159
1738.000000, 0.192511
1737.000000, 0.232120
1736.000000, 0.221306
1735.000000, 0.246125
1734.000000, 0.216606
1733.000000, 0.205022
1732.000000, 0.199610
1731.000000, 0.185342
1730.000000, 0.190888
1729.000000, 0.191346
1728.000000, 0.169702
1727.000000, 0.162185
1726.000000, 0.213970
1725.000000, 0.231559
1724.000000, 0.218500
1723.000000, 0.195838
1722.000000, 0.177855
1721.000000, 0.204522
1720.000000, 0.220919
1719.000000, 0.211419
1718.000000, 0.207251
1717.000000, 0.182845
1716.000000, 0.219683
1715.000000, 0.229350
1714.000000, 0.187457
1713.000000, 0.185479
1712.000000, 0.191007
1711.000000, 0.202974
1710.000000, 0.234808
1709.000000, 0.243582
1708.000000, 0.264174
1707.000000, 0.226963
1706.000000, 0.207461
1705.000000, 0.178847
1704.000000, 0.159615
1703.000000, 0.187000
1702.000000, 0.193221
1701.000000, 0.210453
1700.000000, 0.205508
1699.000000, 0.196078
1698.000000, 0.208674
1697.000000, 0.212185
1696.000000, 0.208965
1695.000000, 0.227653
1694.000000, 0.223348
1693.000000, 0.191079
1692.000000, 0.188119
1691.000000, 0.196043
1690.000000, 0.205739
1689.000000, 0.199246
1688.000000, 0.202560
1687.000000, 0.211705
1686.000000, 0.169044
1685.000000, 0.166583
1684.000000, 0.185575
1683.000000, 0.215226
1682.000000, 0.213451
1681.000000, 0.205690
1680.000000, 0.208442
1679.000000, 0.202473
1678.000000, 0.211445
1677.000000, 0.209529
1676.000000, 0.205634
1675.000000, 0.193854
1674.000000, 0.206916
1673.000000, 0.235760
1672.000000, 0.241837
1671.000000, 0.252908
1670.000000, 0.236922
1669.000000, 0.193576
1668.000000, 0.184985
1667.000000, 0.178993
1666.000000, 0.183151
1665.000000, 0.172379
1664.000000, 0.135457
1663.000000, 0.127229
1662.000000, 0.153722
1661.000000, 0.180760
1660.000000, 0.190466
1659.000000, 0.154262
1658.000000, 0.137081
1657.000000, 0.184114
1656.000000, 0.237201
1655.000000, 0.217734
1654.000000, 0.184123
1653.000000, 0.168653
1652.000000, 0.182268
1651.000000, 0.192521
1650.000000, 0.194432
1649.000000, 0.205541
1648.000000, 0.227181
1647.000000, 0.236051
1646.000000, 0.254440
1645.000000, 0.223192
1644.000000, 0.195573
1643.000000, 0.223838
1642.000000, 0.252280
1641.000000, 0.253506
1640.000000, 0.222153
1639.000000, 0.212166
1638.000000, 0.196346
1637.000000, 0.181902
1636.000000, 0.229482
1635.000000, 0.223802
1634.000000, 0.224491
1633.000000, 0.239593
1632.000000, 0.238119
1631.000000, 0.204928
1630.000000, 0.217689
1629.000000, 0.232887
1628.000000, 0.210988
1627.000000, 0.211531
1626.000000, 0.197832
1625.000000, 0.177481
1624.000000, 0.188376
1623.000000, 0.212750
1622.000000, 0.246475
1621.000000, 0.255947
1620.000000, 0.236657
1619.000000, 0.235166
1618.000000, 0.237354
1617.000000, 0.208734
1616.000000, 0.204504
1615.000000, 0.220669
1614.000000, 0.203173
1613.000000, 0.182623
1612.000000, 0.178273
1611.000000, 0.212275
1610.000000, 0.247748
1609.000000, 0.229565
1608.000000, 0.206936
1607.000000, 0.249426
1606.000000, 0.213658
1605.000000, 0.196401
1604.000000, 0.203531
1603.000000, 0.201168
1602.000000, 0.194665
1601.000000, 0.213212
1600.000000, 0.273141
1599.000000, 0.240182
1598.000000, 0.243519
1597.000000, 0.204993
1596.000000, 0.192482
1595.000000, 0.199088
1594.000000, 0.184805
1593.000000, 0.201503
1592.000000, 0.239143
1591.000000, 0.242464
1590.000000, 0.214740
1589.000000, 0.244145
1588.000000, 0.230777
1587.000000, 0.211630
1586.000000, 0.229478
1585.000000, 0.212724
1584.000000, 0.275767
1583.000000, 0.198132
1582.000000, 0.162871
1581.000000, 0.190108
1580.000000, 0.240730
1579.000000, 0.250162
1578.000000, 0.212494
1577.000000, 0.233413
1576.000000, 0.228344
1575.000000, 0.203431
1574.000000, 0.171950
1573.000000, 0.236767
1572.000000, 0.177370
1571.000000, 0.210008
1570.000000, 0.277119
1569.000000, 0.174039
1568.000000, 0.220512
1567.000000, 0.240863
1566.000000, 0.218944
1565.000000, 0.194074
1564.000000, 0.258795
1563.000000, 0.182625
1562.000000, 0.165903
1561.000000, 0.231017
1560.000000, 0.202846
1559.000000, 0.253115
1558.000000, 0.246466
1557.000000, 0.291649
1556.000000, 0.254731
1555.000000, 0.274181
1554.000000, 0.200167
1553.000000, 0.188137
1552.000000, 0.197081
1551.000000, 0.211138
1550.000000, 0.225568
1549.000000, 0.192499
1548.000000, 0.235359
1547.000000, 0.209367
1546.000000, 0.215141
1545.000000, 0.179819
1544.000000, 0.228988
1543.000000, 0.205926
1542.000000, 0.232637
1541.000000, 0.273633
1540.000000, 0.289414
1539.000000, 0.230313
1538.000000, 0.226307
1537.000000, 0.238043
1536.000000, 0.240825
1535.000000, 0.265552
1534.000000, 0.188345
1533.000000, 0.213913
1532.000000, 0.168512
1531.000000, 0.194598
1530.000000, 0.220284
1529.000000, 0.188621
1528.000000, 0.229802
1527.000000, 0.208825
1526.000000, 0.193186
1525.000000, 0.201327
1524.000000, 0.216762
1523.000000, 0.233840
1522.000000, 0.192958
1521.000000, 0.176027
1520.000000, 0.243851
1519.000000, 0.228469
1518.000000, 0.218540
1517.000000, 0.254880
1516.000000, 0.227110
1515.000000, 0.223677
1514.000000, 0.189542
1513.000000, 0.223763
1512.000000, 0.244685
