nm, %R
1800.000000, 0.226289
1799.000000, 0.217550
1798.000000, 0.180445
1797.000000, 0.230002
1796.000000, 0.198980
1795.000000, 0.233356
1794.000000, 0.251111
1793.000000, 0.211446
1792.000000, 0.234579
1791.000000, 0.219052
1790.000000, 0.260441
1789.000000, 0.258302
1788.000000, 0.269486
1787.000000, 0.299139
1786.000000, 0.286727
1785.000000, 0.293060
1784.000000, 0.289816
1783.000000, 0.255081
1782.000000, 0.319915
1781.000000, 0.299775
1780.000000, 0.252324
1779.000000, 0.293594
1778.000000, 0.276689
1777.000000, 0.227448
1776.000000, 0.231534
1775.000000, 0.306248
1774.000000, 0.293683
1773.000000, 0.220433
1772.000000, 0.259883
1771.000000, 0.296121
1770.000000, 0.259243
1769.000000, 0.262675
1768.000000, 0.255056
1767.000000, 0.258387
1766.000000, 0.264031
1765.000000, 0.274022
1764.000000, 0.254655
1763.000000, 0.244382
1762.000000, 0.244516
1761.000000, 0.215396
1760.000000, 0.277970
1759.000000, 0.236618
1758.000000, 0.245628
1757.000000, 0.282421
1756.000000, 0.274134
1755.000000, 0.252954
1754.000000, 0.243828
1753.000000, 0.275704
1752.000000, 0.231111
1751.000000, 0.245313
1750.000000, 0.251314
1749.000000, 0.248556
1748.000000, 0.269475
1747.000000, 0.256973
1746.000000, 0.294327
1745.000000, 0.298649
1744.000000, 0.239562
1743.000000, 0.229791
1742.000000, 0.238229
1741.000000, 0.234650
1740.000000, 0.232335
1739.000000, 0.255885
1738.000000, 0.280647
1737.000000, 0.268290
1736.000000, 0.266213
1735.000000, 0.294457
1734.000000, 0.229331
1733.000000, 0.222962
1732.000000, 0.288167
1731.000000, 0.250192
1730.000000, 0.243406
1729.000000, 0.264750
1728.000000, 0.298949
1727.000000, 0.282209
1726.000000, 0.280450
1725.000000, 0.284083
1724.000000, 0.310800
1723.000000, 0.295941
1722.000000, 0.215838
1721.000000, 0.248769
1720.000000, 0.297377
1719.000000, 0.291484
1718.000000, 0.247143
1717.000000, 0.217989
1716.000000, 0.234595
1715.000000, 0.248534
1714.000000, 0.252031
1713.000000, 0.227457
1712.000000, 0.266326
1711.000000, 0.293776
1710.000000, 0.261594
1709.000000, 0.269708
1708.000000, 0.259994
1707.000000, 0.218223
1706.000000, 0.220855
1705.000000, 0.254640
1704.000000, 0.281132
1703.000000, 0.296463
1702.000000, 0.270737
1701.000000, 0.240192
1700.000000, 0.286077
1699.000000, 0.278157
1698.000000, 0.276617
1697.000000, 0.293085
1696.000000, 0.277321
1695.000000, 0.251986
1694.000000, 0.251291
1693.000000, 0.267416
