nm, %R
1800.000000, 0.056417
1799.000000, 0.052447
1798.000000, 0.031308
1797.000000, 0.021758
1796.000000, 0.000886
1795.000000, 0.015062
1794.000000, 0.046486
1793.000000, 0.033979
1792.000000, 0.090176
1791.000000, 0.049022
1790.000000, 0.073665
1789.000000, 0.092772
1788.000000, 0.037625
1787.000000, 0.080960
1786.000000, 0.092570
1785.000000, 0.134492
1784.000000, 0.119355
1783.000000, 0.178078
1782.000000, 0.189531
1781.000000, 0.107500
1780.000000, 0.083006
1779.000000, 0.105716
1778.000000, 0.107838
1777.000000, 0.108830
1776.000000, 0.146822
1775.000000, 0.059189
1774.000000, 0.120267
1773.000000, 0.142190
1772.000000, 0.070982
1771.000000, 0.102803
1770.000000, 0.095126
1769.000000, 0.066955
1768.000000, 0.056596
1767.000000, 0.054230
1766.000000, 0.028944
1765.000000, 0.064693
1764.000000, 0.077269
1763.000000, 0.074522
1762.000000, 0.070597
1761.000000, 0.083896
1760.000000, 0.075629
1759.000000, 0.088810
1758.000000, 0.079645
1757.000000, 0.062341
1756.000000, 0.110580
1755.000000, 0.084762
1754.000000, 0.047063
1753.000000, 0.101218
1752.000000, 0.140800
1751.000000, 0.110570
1750.000000, 0.058183
1749.000000, 0.094206
1748.000000, 0.074253
1747.000000, 0.086261
1746.000000, 0.054160
1745.000000, 0.063310
1744.000000, 0.094776
1743.000000, 0.148142
1742.000000, 0.072652
1741.000000, 0.109179
1740.000000, 0.120439
1739.000000, 0.082324
1738.000000, 0.130695
1737.000000, 0.099180
1736.000000, 0.104549
1735.000000, 0.116865
1734.000000, 0.138075
1733.000000, 0.105580
1732.000000, 0.086268
1731.000000, 0.069744
1730.000000, 0.060662
1729.000000, 0.075144
1728.000000, 0.060957
1727.000000, 0.065983
1726.000000, 0.101768
1725.000000, 0.079379
1724.000000, 0.087740
1723.000000, 0.084992
1722.000000, 0.075833
1721.000000, 0.089033
1720.000000, 0.061362
1719.000000, 0.084701
1718.000000, 0.096206
1717.000000, 0.088043
1716.000000, 0.072779
1715.000000, 0.082641
1714.000000, 0.111901
1713.000000, 0.112102
1712.000000, 0.098539
