nm, %R
1800.000000, 0.145390
1799.000000, 0.189099
1798.000000, 0.131138
1797.000000, 0.106891
1796.000000, 0.166908
1795.000000, 0.162211
1794.000000, 0.162540
1793.000000, 0.160862
1792.000000, 0.121654
1791.000000, 0.165546
1790.000000, 0.159812
1789.000000, 0.185708
1788.000000, 0.227734
1787.000000, 0.229479
1786.000000, 0.220311
1785.000000, 0.236973
1784.000000, 0.214113
1783.000000, 0.204520
1782.000000, 0.237185
1781.000000, 0.237049
1780.000000, 0.193205
1779.000000, 0.223492
1778.000000, 0.229894
1777.000000, 0.198412
1776.000000, 0.187315
1775.000000, 0.222096
1774.000000, 0.171086
1773.000000, 0.197849
1772.000000, 0.207774
1771.000000, 0.188648
1770.000000, 0.220432
1769.000000, 0.220541
1768.000000, 0.174277
1767.000000, 0.199460
1766.000000, 0.192687
1765.000000, 0.203049
1764.000000, 0.163700
1763.000000, 0.155361
1762.000000, 0.163675
1761.000000, 0.163207
1760.000000, 0.160480
1759.000000, 0.163250
1758.000000, 0.154419
1757.000000, 0.195464
1756.000000, 0.197464
1755.000000, 0.196953
1754.000000, 0.205009
1753.000000, 0.224739
1752.000000, 0.177581
1751.000000, 0.176675
1750.000000, 0.175141
1749.000000, 0.185705
1748.000000, 0.189553
1747.000000, 0.199731
1746.000000, 0.177014
1745.000000, 0.224129
1744.000000, 0.232254
1743.000000, 0.199893
1742.000000, 0.206149
1741.000000, 0.182917
1740.000000, 0.144509
1739.000000, 0.157614
1738.000000, 0.224802
1737.000000, 0.244082
1736.000000, 0.223205
1735.000000, 0.208522
1734.000000, 0.191727
1733.000000, 0.183096
1732.000000, 0.173698
1731.000000, 0.180120
1730.000000, 0.194782
1729.000000, 0.206444
1728.000000, 0.224591
1727.000000, 0.250494
1726.000000, 0.213305
1725.000000, 0.174857
1724.000000, 0.189633
1723.000000, 0.232688
1722.000000, 0.209856
1721.000000, 0.157902
1720.000000, 0.161748
1719.000000, 0.183115
1718.000000, 0.242679
1717.000000, 0.241356
1716.000000, 0.223767
1715.000000, 0.198390
1714.000000, 0.167704
1713.000000, 0.173988
1712.000000, 0.189297
1711.000000, 0.218171
1710.000000, 0.212391
1709.000000, 0.186677
1708.000000, 0.194164
1707.000000, 0.191622
1706.000000, 0.187988
1705.000000, 0.127463
1704.000000, 0.169876
1703.000000, 0.257695
1702.000000, 0.205095
1701.000000, 0.186415
1700.000000, 0.210164
1699.000000, 0.211658
1698.000000, 0.192140
1697.000000, 0.171402
1696.000000, 0.227884
1695.000000, 0.235352
1694.000000, 0.198257
1693.000000, 0.158377
1692.000000, 0.161408
1691.000000, 0.210780
1690.000000, 0.251301
1689.000000, 0.231772
1688.000000, 0.200087
1687.000000, 0.200482
1686.000000, 0.188355
1685.000000, 0.196931
1684.000000, 0.205454
1683.000000, 0.193922
1682.000000, 0.202227
1681.000000, 0.172011
1680.000000, 0.175525
1679.000000, 0.190770
1678.000000, 0.191271
1677.000000, 0.193733
1676.000000, 0.206110
1675.000000, 0.223546
1674.000000, 0.213198
1673.000000, 0.204160
1672.000000, 0.194726
1671.000000, 0.161244
1670.000000, 0.152776
1669.000000, 0.153585
1668.000000, 0.146121
1667.000000, 0.159560
1666.000000, 0.175246
1665.000000, 0.195998
1664.000000, 0.168893
1663.000000, 0.150578
1662.000000, 0.174974
1661.000000, 0.124255
1660.000000, 0.172648
1659.000000, 0.206382
1658.000000, 0.167967
