nm, %R
1800.000000, 0.736720
1799.000000, 0.739896
1798.000000, 0.710306
1797.000000, 0.706223
1796.000000, 0.750088
1795.000000, 0.746929
1794.000000, 0.754472
1793.000000, 0.750786
1792.000000, 0.762855
1791.000000, 0.701080
1790.000000, 0.733143
1789.000000, 0.769971
1788.000000, 0.753042
1787.000000, 0.768726
1786.000000, 0.772038
1785.000000, 0.759413
1784.000000, 0.830364
1783.000000, 0.808880
1782.000000, 0.827395
1781.000000, 0.772164
1780.000000, 0.749760
1779.000000, 0.710032
1778.000000, 0.779379
1777.000000, 0.827334
1776.000000, 0.796421
1775.000000, 0.783836
1774.000000, 0.744409
1773.000000, 0.807621
1772.000000, 0.766077
1771.000000, 0.755825
1770.000000, 0.730662
1769.000000, 0.762023
1768.000000, 0.741723
1767.000000, 0.723637
1766.000000, 0.728054
1765.000000, 0.714563
1764.000000, 0.745469
1763.000000, 0.732198
1762.000000, 0.713528
1761.000000, 0.784154
1760.000000, 0.820908
1759.000000, 0.808468
1758.000000, 0.745711
1757.000000, 0.702683
1756.000000, 0.775812
1755.000000, 0.739782
1754.000000, 0.727022
1753.000000, 0.752990
1752.000000, 0.791947
1751.000000, 0.749514
1750.000000, 0.739980
1749.000000, 0.764560
1748.000000, 0.749100
1747.000000, 0.740161
1746.000000, 0.726847
1745.000000, 0.737795
1744.000000, 0.756272
1743.000000, 0.766636
1742.000000, 0.790237
1741.000000, 0.761949
1740.000000, 0.736787
1739.000000, 0.787406
1738.000000, 0.759694
1737.000000, 0.749143
1736.000000, 0.760187
1735.000000, 0.742077
1734.000000, 0.789507
1733.000000, 0.792468
1732.000000, 0.760852
1731.000000, 0.746874
1730.000000, 0.739335
1729.000000, 0.726258
1728.000000, 0.751930
1727.000000, 0.739706
1726.000000, 0.713424
1725.000000, 0.753184
1724.000000, 0.798604
1723.000000, 0.788574
1722.000000, 0.762602
1721.000000, 0.748490
1720.000000, 0.736936
1719.000000, 0.732557
1718.000000, 0.720154
1717.000000, 0.720362
1716.000000, 0.734841
1715.000000, 0.733636
1714.000000, 0.754480
1713.000000, 0.789783
1712.000000, 0.803633
1711.000000, 0.766116
1710.000000, 0.743084
1709.000000, 0.704907
1708.000000, 0.709498
1707.000000, 0.747867
1706.000000, 0.749483
1705.000000, 0.750339
1704.000000, 0.778315
1703.000000, 0.761017
1702.000000, 0.727666
1701.000000, 0.734449
1700.000000, 0.774623
1699.000000, 0.771868
1698.000000, 0.744614
1697.000000, 0.751487
1696.000000, 0.747825
1695.000000, 0.747500
1694.000000, 0.785711
1693.000000, 0.815652
1692.000000, 0.778807
1691.000000, 0.707734
1690.000000, 0.711194
1689.000000, 0.754470
1688.000000, 0.752135
1687.000000, 0.743534
1686.000000, 0.771210
1685.000000, 0.802187
1684.000000, 0.775210
1683.000000, 0.741354
1682.000000, 0.725582
1681.000000, 0.736753
1680.000000, 0.751192
1679.000000, 0.755371
1678.000000, 0.771364
1677.000000, 0.787874
1676.000000, 0.748219
1675.000000, 0.711464
1674.000000, 0.749427
1673.000000, 0.728886
1672.000000, 0.684966
1671.000000, 0.735974
1670.000000, 0.808047
1669.000000, 0.788204
1668.000000, 0.742703
1667.000000, 0.754648
1666.000000, 0.766795
1665.000000, 0.803517
1664.000000, 0.820650
1663.000000, 0.782337
1662.000000, 0.753836
1661.000000, 0.763442
1660.000000, 0.779299
1659.000000, 0.805327
1658.000000, 0.802084
1657.000000, 0.782986
1656.000000, 0.766328
1655.000000, 0.789808
1654.000000, 0.825551
1653.000000, 0.828765
1652.000000, 0.823591
1651.000000, 0.796687
1650.000000, 0.802996
1649.000000, 0.836567
1648.000000, 0.817832
1647.000000, 0.787312
1646.000000, 0.791176
1645.000000, 0.847442
1644.000000, 0.867865
1643.000000, 0.839441
1642.000000, 0.825731
1641.000000, 0.817382
1640.000000, 0.812842
1639.000000, 0.830911
1638.000000, 0.822803
1637.000000, 0.803193
1636.000000, 0.819130
1635.000000, 0.822070
1634.000000, 0.816131
1633.000000, 0.831130
1632.000000, 0.815085
1631.000000, 0.797749
1630.000000, 0.795424
1629.000000, 0.778774
1628.000000, 0.820083
1627.000000, 0.826643
1626.000000, 0.829824
1625.000000, 0.850555
1624.000000, 0.819384
1623.000000, 0.807439
1622.000000, 0.790438
1621.000000, 0.810546
1620.000000, 0.818506
1619.000000, 0.784586
1618.000000, 0.817936
1617.000000, 0.860836
1616.000000, 0.852802
1615.000000, 0.829733
1614.000000, 0.825881
1613.000000, 0.838382
1612.000000, 0.834902
1611.000000, 0.822624
1610.000000, 0.796676
1609.000000, 0.805196
1608.000000, 0.821721
1607.000000, 0.799137
1606.000000, 0.838761
1605.000000, 0.877205
1604.000000, 0.865198
1603.000000, 0.857831
1602.000000, 0.848742
1601.000000, 0.837550
1600.000000, 0.808716
1599.000000, 0.818263
1598.000000, 0.825209
1597.000000, 0.834121
1596.000000, 0.844322
1595.000000, 0.794534
1594.000000, 0.811345
1593.000000, 0.781433
1592.000000, 0.819111
1591.000000, 0.802159
1590.000000, 0.791554
1589.000000, 0.841602
1588.000000, 0.823205
1587.000000, 0.825864
1586.000000, 0.779173
1585.000000, 0.839131
1584.000000, 0.849494
1583.000000, 0.814426
1582.000000, 0.837596
