Labels,T12_100ms,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,8.660E+4,
4E05,3.599E+5,
800000.060000,5.859E+5,
1.2E06,7.669E+5,
1.6E06,9.124E+5,
2E06,1.034E+6,
2.4E06,1.140E+6,
2.8E06,1.221E+6,
3.2E06,1.292E+6,
3.6E06,1.354E+6,
4E06,1.409E+6,
4.4E06,1.456E+6,
4.8E06,1.495E+6,
5.2E06,1.527E+6,
5.6E06,1.558E+6,
6E06,1.584E+6,
6400000.500000,1.608E+6,
6800000.500000,1.626E+6,
7200000.600000,1.645E+6,
7600000.600000,1.660E+6,
8000000.600000,1.674E+6,
8400000.700000,1.687E+6,
8800000.700000,1.699E+6,
9200000.700000,1.709E+6,
9600000.800000,1.718E+6,
1E07,1.727E+6,
1.04E07,1.736E+6,
1.08E07,1.742E+6,
1.12E07,1.749E+6,
1.16E07,1.754E+6,
1.2E07,1.761E+6,
1.24E07,1.765E+6,
1.28E07,1.769E+6,
1.32E07,1.772E+6,
1.36E07,1.777E+6,
1.4E07,1.780E+6,
1.44E07,1.783E+6,
1.48E07,1.786E+6,
1.52E07,1.788E+6,
1.56E07,1.791E+6,
1.6E07,1.796E+6,
1.64E07,1.796E+6,
1.68E07,1.799E+6,
1.72E07,1.801E+6,
1.76E07,1.803E+6,
1.8E07,1.804E+6,
1.84E07,1.805E+6,
1.88E07,1.808E+6,
1.92E07,1.807E+6,
1.96E07,1.809E+6,
2E07,1.811E+6,
2.04E07,1.812E+6,
2.08E07,1.813E+6,
2.12E07,1.813E+6,
2.16E07,1.815E+6,
2.2E07,1.814E+6,
2.24E07,1.815E+6,
2.28E07,1.816E+6,
2.32E07,1.817E+6,
2.36E07,1.819E+6,
2.4E07,1.818E+6,
2.44E07,1.820E+6,
2.48E07,1.820E+6,
2.52E07,1.820E+6,
2.56E07,1.822E+6,
2.6E07,1.820E+6,
2.64E07,1.821E+6,
2.68E07,1.822E+6,
2.72E07,1.822E+6,
2.76E07,1.824E+6,
2.8E07,1.822E+6,
2.84E07,1.824E+6,
2.88E07,1.826E+6,
2.92E07,1.823E+6,
2.96E07,1.826E+6,
3E07,1.824E+6,
3.04E07,1.826E+6,
3.08E07,1.824E+6,
3.12E07,1.825E+6,
3.16E07,1.826E+6,
3.2E07,1.826E+6,
3.24E07,1.826E+6,
3.28E07,1.827E+6,
3.32E07,1.827E+6,
3.36E07,1.826E+6,
3.4E07,1.827E+6,
3.44E07,1.826E+6,
3.48E07,1.827E+6,
3.52E07,1.828E+6,
3.56E07,1.828E+6,
3.6E07,1.827E+6,
3.64E07,1.827E+6,
3.68E07,1.827E+6,
3.72E07,1.827E+6,
3.76E07,1.829E+6,
3.8E07,1.828E+6,
3.84E07,1.828E+6,
3.88E07,1.829E+6,
3.92E07,1.827E+6,
3.96E07,1.829E+6,
4E07,1.828E+6,
4.04E07,1.829E+6,
4.08E07,1.828E+6,
4.12E07,1.827E+6,
4.16E07,1.829E+6,
4.2E07,1.829E+6,
4.24E07,1.831E+6,
4.28E07,1.828E+6,
4.32E07,1.828E+6,
4.36E07,1.829E+6,
4.4E07,1.828E+6,
4.44E07,1.828E+6,
4.48E07,1.828E+6,
4.52E07,1.829E+6,
4.56E07,1.828E+6,
4.6E07,1.827E+6,
4.64E07,1.830E+6,
4.68E07,1.829E+6,
4.72E07,1.829E+6,
4.76E07,1.828E+6,
4.8E07,1.829E+6,
4.84E07,1.828E+6,
4.88E07,1.829E+6,
4.92E07,1.829E+6,
4.96E07,1.829E+6,
5E07,1.829E+6,
5.04E07,1.829E+6,
5.08E07,1.829E+6,
5.12E07,1.829E+6,
5.16E07,1.828E+6,
5.2E07,1.828E+6,
5.24E07,1.828E+6,
5.28E07,1.829E+6,
5.32E07,1.829E+6,
5.36E07,1.828E+6,
5.4E07,1.828E+6,
5.44E07,1.829E+6,
5.48E07,1.828E+6,
5.52E07,1.827E+6,
5.56E07,1.829E+6,
5.6E07,1.829E+6,
5.64E07,1.829E+6,
5.68E07,1.828E+6,
5.72E07,1.827E+6,
5.76E07,1.830E+6,
5.8E07,1.828E+6,
5.84E07,1.830E+6,
5.88E07,1.828E+6,
5.92E07,1.831E+6,
5.96E07,1.828E+6,
6E07,1.830E+6,
6.04E07,1.828E+6,
6.08E07,1.829E+6,
6.12E07,1.828E+6,
6.16E07,1.828E+6,
6.2E07,1.829E+6,
6.24E07,1.828E+6,
6.28E07,1.829E+6,
6.32E07,1.829E+6,
6.36E07,1.829E+6,
64000005.000000,1.829E+6,
64400005.000000,1.828E+6,
64800005.000000,1.830E+6,
65200005.000000,1.828E+6,
65600005.000000,1.828E+6,
66000005.000000,1.827E+6,
66400005.000000,1.827E+6,
66800005.000000,1.828E+6,
67200005.000000,1.827E+6,
67600005.000000,1.827E+6,
68000005.000000,1.826E+6,
68400005.000000,1.830E+6,
68800005.000000,1.828E+6,
69200005.000000,1.828E+6,
69600005.000000,1.828E+6,
70000005.000000,1.827E+6,
70400006.000000,1.829E+6,
70800006.000000,1.826E+6,
71200006.000000,1.829E+6,
71600006.000000,1.828E+6,
72000006.000000,1.828E+6,
72400006.000000,1.828E+6,
72800006.000000,1.827E+6,
73200006.000000,1.826E+6,
73600006.000000,1.826E+6,
74000006.000000,1.829E+6,
74400006.000000,1.827E+6,
74800006.000000,1.827E+6,
75200006.000000,1.829E+6,
75600006.000000,1.829E+6,
76000006.000000,1.826E+6,
76400006.000000,1.826E+6,
76800006.000000,1.829E+6,
77200006.000000,1.829E+6,
77600006.000000,1.827E+6,
78000006.000000,1.826E+6,
78400006.000000,1.826E+6,
78800006.000000,1.827E+6,
79200006.000000,1.828E+6,
79600006.000000,1.826E+6,
80000006.000000,1.827E+6,
80400006.000000,1.826E+6,
80800006.000000,1.829E+6,
81200006.000000,1.828E+6,
81600006.000000,1.827E+6,
82000006.000000,1.827E+6,
82400006.000000,1.825E+6,
82800006.000000,1.826E+6,
83200007.000000,1.827E+6,
83600007.000000,1.827E+6,
84000007.000000,1.826E+6,
84400007.000000,1.825E+6,
84800007.000000,1.826E+6,
85200007.000000,1.827E+6,
85600007.000000,1.828E+6,
86000007.000000,1.827E+6,
86400007.000000,1.827E+6,
86800007.000000,1.827E+6,
87200007.000000,1.828E+6,
87600007.000000,1.827E+6,
88000007.000000,1.827E+6,
88400007.000000,1.827E+6,
88800007.000000,1.826E+6,
89200007.000000,1.826E+6,
89600007.000000,1.826E+6,
90000007.000000,1.824E+6,
90400007.000000,1.826E+6,
90800007.000000,1.827E+6,
91200007.000000,1.830E+6,
91600007.000000,1.826E+6,
92000007.000000,1.826E+6,
92400007.000000,1.826E+6,
92800007.000000,1.826E+6,
93200007.000000,1.826E+6,
93600007.000000,1.824E+6,
94000007.000000,1.827E+6,
94400007.000000,1.826E+6,
94800007.000000,1.826E+6,
95200007.000000,1.827E+6,
95600007.000000,1.826E+6,
96000008.000000,1.826E+6,
96400008.000000,1.825E+6,
96800008.000000,1.827E+6,
97200008.000000,1.826E+6,
97600008.000000,1.826E+6,
98000008.000000,1.826E+6,
98400008.000000,1.825E+6,
98800008.000000,1.826E+6,
99200008.000000,1.825E+6,
99600008.000000,1.826E+6,
1E08,1.821E+6,
1.004E008,1.784E+6,
1.008E008,1.739E+6,
1.012E008,1.695E+6,
1.016E008,1.647E+6,
1.02E08,1.603E+6,
1.024E008,1.557E+6,
1.028E008,1.512E+6,
1.032E008,1.469E+6,
1.036E008,1.426E+6,
1.04E08,1.384E+6,
1.044E008,1.341E+6,
1.048E008,1.300E+6,
1.052E008,1.262E+6,
1.056E008,1.220E+6,
1.06E08,1.185E+6,
1.064E008,1.149E+6,
1.068E008,1.114E+6,
1.072E008,1.080E+6,
1.076E008,1.046E+6,
1.08E08,1.013E+6,
1.084E008,9.818E+5,
1.088E008,9.509E+5,
1.092E008,9.215E+5,
1.096E008,8.922E+5,
1.1E08,8.651E+5,
1.104E008,8.383E+5,
1.108E008,8.089E+5,
1.112E008,7.829E+5,
1.116E008,7.601E+5,
1.12E08,7.340E+5,
1.124E008,7.101E+5,
1.128E008,6.874E+5,
1.132E008,6.659E+5,
1.136E008,6.435E+5,
1.14E08,6.223E+5,
1.144E008,6.023E+5,
1.148E008,5.820E+5,
1.152E008,5.639E+5,
1.156E008,5.439E+5,
1.16E08,5.260E+5,
1.164E008,5.083E+5,
1.168E008,4.909E+5,
1.172E008,4.737E+5,
1.176E008,4.584E+5,
1.18E08,4.440E+5,
1.184E008,4.288E+5,
1.188E008,4.150E+5,
1.192E008,4.010E+5,
1.196E008,3.880E+5,
1.2E08,3.739E+5,
1.204E008,3.609E+5,
1.208E008,3.496E+5,
1.212E008,3.373E+5,
1.216E008,3.270E+5,
1.22E08,3.152E+5,
1.224E008,3.049E+5,
1.228E008,2.947E+5,
1.232E008,2.840E+5,
1.236E008,2.748E+5,
1.24E08,2.662E+5,
1.244E008,2.569E+5,
1.248E008,2.484E+5,
1.252E008,2.405E+5,
1.256E008,2.320E+5,
1.26E08,2.241E+5,
1.264E008,2.170E+5,
1.268E008,2.094E+5,
1.272E008,2.036E+5,
1.276E008,1.961E+5,
1.28E08,1.893E+5,
1.284E008,1.825E+5,
1.288E008,1.781E+5,
1.292E008,1.706E+5,
1.296E008,1.653E+5,
