Labels,T27_spectrum,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,2.378E+4,
1401.000,2.352E+4,
1402.05000,2.363E+4,
1403.1000,2.380E+4,
1404.15000,2.358E+4,
1405.2000,2.368E+4,
1406.25000,2.368E+4,
1407.3000,2.343E+4,
1408.35000,2.331E+4,
1409.4000,2.342E+4,
1410.45000,2.351E+4,
1411.5000,2.330E+4,
1412.55000,2.370E+4,
1413.6000,2.347E+4,
1414.65000,2.363E+4,
1415.7000,2.352E+4,
1416.75000,2.380E+4,
1417.8000,2.384E+4,
1418.85000,2.336E+4,
1419.9000,2.372E+4,
1420.95000,2.379E+4,
1422.000,2.372E+4,
1423.05000,2.343E+4,
1424.1000,2.359E+4,
1425.15000,2.347E+4,
1426.2000,2.402E+4,
1427.25000,2.386E+4,
1428.3000,2.369E+4,
1429.35000,2.388E+4,
1430.4000,2.393E+4,
1431.45000,2.380E+4,
1432.5000,2.409E+4,
1433.55000,2.432E+4,
1434.6000,2.434E+4,
1435.65000,2.441E+4,
1436.7000,2.422E+4,
1437.75000,2.415E+4,
1438.8000,2.397E+4,
1439.85000,2.428E+4,
1440.9000,2.442E+4,
1441.95000,2.449E+4,
1443.000,2.421E+4,
1444.05000,2.486E+4,
1445.1000,2.436E+4,
1446.15000,2.476E+4,
1447.2000,2.512E+4,
1448.25000,2.516E+4,
1449.3000,2.557E+4,
1450.35000,2.569E+4,
1451.4000,2.565E+4,
1452.45000,2.552E+4,
1453.5000,2.623E+4,
1454.55000,2.674E+4,
1455.6000,2.717E+4,
1456.65000,2.710E+4,
1457.7000,2.773E+4,
1458.75000,2.814E+4,
1459.8000,2.872E+4,
1460.85000,2.901E+4,
1461.9000,2.976E+4,
1462.95000,3.025E+4,
1464.000,3.082E+4,
1465.05000,3.132E+4,
1466.1000,3.224E+4,
1467.15000,3.322E+4,
1468.2000,3.406E+4,
1469.25000,3.502E+4,
1470.3000,3.580E+4,
1471.35000,3.723E+4,
1472.4000,3.771E+4,
1473.45000,3.893E+4,
1474.5000,3.948E+4,
1475.55000,4.055E+4,
1476.6000,4.188E+4,
1477.65000,4.289E+4,
1478.7000,4.427E+4,
1479.75000,4.490E+4,
1480.8000,4.581E+4,
1481.85000,4.691E+4,
1482.9000,4.791E+4,
1483.95000,4.945E+4,
1485.000,5.008E+4,
1486.05000,5.111E+4,
1487.1000,5.165E+4,
1488.15000,5.240E+4,
1489.2000,5.332E+4,
1490.25000,5.401E+4,
1491.3000,5.405E+4,
1492.35000,5.464E+4,
1493.4000,5.551E+4,
1494.45000,5.509E+4,
1495.5000,5.559E+4,
1496.55000,5.604E+4,
1497.6000,5.567E+4,
1498.65000,5.601E+4,
1499.7000,5.607E+4,
1500.75000,5.539E+4,
1501.8000,5.549E+4,
1502.85000,5.520E+4,
1503.9000,5.528E+4,
1504.95000,5.457E+4,
1506.000,5.485E+4,
1507.05000,5.440E+4,
1508.1000,5.427E+4,
1509.15000,5.453E+4,
1510.2000,5.484E+4,
1511.25000,5.470E+4,
1512.3000,5.492E+4,
1513.35000,5.535E+4,
1514.4000,5.623E+4,
1515.45000,5.678E+4,
1516.5000,5.885E+4,
1517.55000,5.930E+4,
1518.6000,6.223E+4,
1519.65000,6.372E+4,
1520.7000,6.715E+4,
1521.75000,7.057E+4,
1522.8000,7.427E+4,
1523.85000,7.849E+4,
1524.9000,8.370E+4,
1525.95000,8.908E+4,
1527.000,9.561E+4,
1528.05000,1.032E+5,
1529.1000,1.129E+5,
1530.15000,1.237E+5,
1531.2000,1.366E+5,
1532.25000,1.523E+5,
1533.3000,1.734E+5,
1534.35000,1.972E+5,
1535.4000,2.191E+5,
1536.45000,2.254E+5,
1537.5000,2.112E+5,
1538.55000,1.904E+5,
1539.6000,1.749E+5,
1540.65000,1.716E+5,
1541.7000,1.760E+5,
1542.75000,1.800E+5,
1543.8000,1.792E+5,
1544.85000,1.736E+5,
1545.9000,1.647E+5,
1546.95000,1.520E+5,
1548.000,1.417E+5,
1549.05000,1.306E+5,
1550.1000,1.218E+5,
1551.15000,1.146E+5,
1552.2000,1.085E+5,
1553.25000,1.027E+5,
1554.3000,9.940E+4,
1555.35000,9.610E+4,
1556.4000,9.303E+4,
1557.45000,8.981E+4,
1558.5000,8.770E+4,
1559.55000,8.425E+4,
1560.6000,8.373E+4,
1561.65000,8.121E+4,
1562.7000,7.986E+4,
1563.75000,7.872E+4,
1564.8000,7.684E+4,
1565.85000,7.583E+4,
1566.9000,7.382E+4,
1567.95000,7.163E+4,
1569.000,6.965E+4,
1570.05000,6.718E+4,
1571.1000,6.449E+4,
1572.15000,6.170E+4,
1573.2000,5.785E+4,
1574.25000,5.441E+4,
1575.3000,5.111E+4,
1576.35000,4.759E+4,
1577.4000,4.478E+4,
1578.45000,4.303E+4,
1579.5000,4.108E+4,
1580.55000,4.022E+4,
1581.6000,3.965E+4,
1582.65000,3.875E+4,
1583.7000,3.802E+4,
1584.75000,3.787E+4,
1585.8000,3.735E+4,
1586.85000,3.742E+4,
1587.9000,3.709E+4,
1588.95000,3.660E+4,
1590.00,3.690E+4,
1591.05000,3.649E+4,
1592.1000,3.666E+4,
1593.15000,3.665E+4,
1594.2000,3.665E+4,
1595.25000,3.631E+4,
1596.3000,3.636E+4,
1597.35000,3.544E+4,
1598.4000,3.564E+4,
1599.45000,3.605E+4,
1600.5000,3.611E+4,
1601.55000,3.576E+4,
1602.6000,3.567E+4,
1603.65000,3.550E+4,
1604.7000,3.571E+4,
1605.75000,3.546E+4,
1606.8000,3.527E+4,
1607.85000,3.531E+4,
1608.9000,3.508E+4,
1609.95000,3.513E+4,
1611.000,3.466E+4,
1612.05000,3.456E+4,
1613.1000,3.444E+4,
1614.15000,3.426E+4,
1615.2000,3.382E+4,
1616.25000,3.365E+4,
1617.3000,3.319E+4,
1618.35000,3.288E+4,
1619.4000,3.225E+4,
1620.45000,3.200E+4,
1621.5000,3.129E+4,
1622.55000,3.115E+4,
1623.6000,3.030E+4,
1624.65000,2.960E+4,
1625.7000,2.954E+4,
1626.75000,2.902E+4,
1627.8000,2.807E+4,
1628.85000,2.778E+4,
1629.9000,2.769E+4,
1630.95000,2.697E+4,
1632.000,2.677E+4,
1633.05000,2.656E+4,
1634.1000,2.595E+4,
1635.15000,2.592E+4,
1636.2000,2.564E+4,
1637.25000,2.538E+4,
1638.3000,2.506E+4,
1639.35000,2.512E+4,
1640.4000,2.506E+4,
1641.45000,2.487E+4,
1642.5000,2.454E+4,
1643.55000,2.453E+4,
1644.6000,2.421E+4,
1645.65000,2.424E+4,
1646.7000,2.467E+4,
1647.75000,2.439E+4,
1648.8000,2.410E+4,
1649.85000,2.377E+4,
1650.9000,2.428E+4,
1651.95000,2.394E+4,
1653.000,2.382E+4,
1654.05000,2.390E+4,
1655.1000,2.394E+4,
1656.15000,2.407E+4,
1657.2000,2.365E+4,
1658.25000,2.360E+4,
1659.3000,2.387E+4,
1660.35000,2.378E+4,
1661.4000,2.362E+4,
1662.45000,2.358E+4,
1663.5000,2.382E+4,
1664.55000,2.377E+4,
1665.6000,2.342E+4,
1666.65000,2.339E+4,
1667.7000,2.325E+4,
1668.75000,2.370E+4,
1669.8000,2.320E+4,
1670.85000,2.334E+4,
1671.9000,2.344E+4,
1672.95000,2.353E+4,
1674.000,2.334E+4,
1675.05000,2.351E+4,
1676.1000,2.355E+4,
1677.15000,2.330E+4,
1678.2000,2.324E+4,
1679.25000,2.347E+4,
1680.3000,2.335E+4,
1681.35000,2.320E+4,
1682.4000,2.300E+4,
1683.45000,2.329E+4,
1684.5000,2.375E+4,
1685.55000,2.359E+4,
1686.6000,2.371E+4,
1687.65000,2.371E+4,
1688.7000,2.364E+4,
1689.75000,2.351E+4,
1690.8000,2.350E+4,
1691.85000,2.368E+4,
1692.9000,2.344E+4,
1693.95000,2.345E+4,
1695.000,2.318E+4,
1696.05000,2.338E+4,
1697.1000,2.354E+4,
1698.15000,2.388E+4,
1699.2000,2.383E+4,
1700.25000,2.366E+4,
