Labels,T2_decay_canolaOil,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,7.420E+2,
2.5E04,7.590E+2,
5E04,7.540E+2,
75000.006000,7.410E+2,
1E05,8.860E+2,
1.25E05,1.449E+3,
1.5E05,2.153E+3,
1.75E05,2.967E+3,
2E05,3.758E+3,
2.25E05,4.325E+3,
2.5E05,5.170E+3,
2.75E05,5.939E+3,
3E05,6.687E+3,
3.25E05,7.373E+3,
3.5E05,8.246E+3,
3.75E05,8.824E+3,
4E05,9.421E+3,
4.25E05,1.012E+4,
4.5E05,1.091E+4,
4.75E05,1.153E+4,
5E05,1.236E+4,
5.25E05,1.301E+4,
5.5E05,1.358E+4,
5.75E05,1.402E+4,
6E05,1.480E+4,
6.25E05,1.542E+4,
650000.050000,1.634E+4,
675000.050000,1.696E+4,
700000.050000,1.771E+4,
725000.060000,1.788E+4,
750000.060000,1.879E+4,
775000.060000,1.928E+4,
800000.060000,1.997E+4,
825000.060000,2.074E+4,
850000.070000,2.109E+4,
875000.070000,2.188E+4,
900000.070000,2.260E+4,
925000.070000,2.311E+4,
950000.070000,2.363E+4,
975000.080000,2.428E+4,
1E06,2.509E+4,
1.025E006,2.571E+4,
1.05E06,2.601E+4,
1.075E006,2.636E+4,
1.1E06,2.707E+4,
1.125E006,2.738E+4,
1.15E06,2.699E+4,
1.175E006,2.682E+4,
1.2E06,2.667E+4,
1.225E006,2.694E+4,
1.25E06,2.671E+4,
1.275E006,2.657E+4,
1.3E06,2.646E+4,
1.325E006,2.635E+4,
1.35E06,2.679E+4,
1.375E006,2.640E+4,
1.4E06,2.640E+4,
1.425E006,2.645E+4,
1.45E06,2.581E+4,
1.475E006,2.613E+4,
1.5E06,2.591E+4,
1.525E006,2.627E+4,
1.55E06,2.594E+4,
1.575E006,2.558E+4,
1.6E06,2.587E+4,
1.625E006,2.560E+4,
1.65E06,2.554E+4,
1.675E006,2.576E+4,
1.7E06,2.569E+4,
1.725E006,2.579E+4,
1.75E06,2.550E+4,
1.775E006,2.557E+4,
1.8E06,2.537E+4,
1.825E006,2.556E+4,
1.85E06,2.514E+4,
1.875E006,2.535E+4,
1.9E06,2.511E+4,
1.925E006,2.513E+4,
1.95E06,2.490E+4,
1.975E006,2.476E+4,
2E06,2.522E+4,
2.025E006,2.466E+4,
2.05E06,2.453E+4,
2.075E006,2.484E+4,
2.1E06,2.463E+4,
2.125E006,2.470E+4,
2.15E06,2.463E+4,
2.175E006,2.463E+4,
2.2E06,2.470E+4,
2.225E006,2.444E+4,
2.25E06,2.464E+4,
2.275E006,2.448E+4,
2.3E06,2.428E+4,
2.325E006,2.410E+4,
2.35E06,2.413E+4,
2.375E006,2.455E+4,
2.4E06,2.434E+4,
2.425E006,2.404E+4,
2.45E06,2.390E+4,
2.475E006,2.365E+4,
2.5E06,2.384E+4,
2.525E006,2.376E+4,
2.55E06,2.379E+4,
2.575E006,2.384E+4,
2.6E06,2.362E+4,
2.625E006,2.390E+4,
2.65E06,2.381E+4,
2.675E006,2.369E+4,
2.7E06,2.363E+4,
2.725E006,2.371E+4,
2.75E06,2.348E+4,
2.775E006,2.346E+4,
2.8E06,2.352E+4,
2.825E006,2.346E+4,
2.85E06,2.312E+4,
2.875E006,2.315E+4,
2.9E06,2.339E+4,
2.925E006,2.328E+4,
2.95E06,2.319E+4,
2.975E006,2.317E+4,
3E06,2.286E+4,
3.025E006,2.277E+4,
3.05E06,2.296E+4,
3.075E006,2.302E+4,
3.1E06,2.270E+4,
3.125E006,2.273E+4,
3.15E06,2.264E+4,
3.175E006,2.304E+4,
3.2E06,2.265E+4,
3.225E006,2.229E+4,
3.25E06,2.271E+4,
3.275E006,2.230E+4,
3.3E06,2.256E+4,
3.325E006,2.248E+4,
3.35E06,2.259E+4,
3.375E006,2.212E+4,
3.4E06,2.220E+4,
3.425E006,2.224E+4,
3.45E06,2.227E+4,
3.475E006,2.206E+4,
3.5E06,2.226E+4,
3.525E006,2.218E+4,
3.55E06,2.211E+4,
3.575E006,2.228E+4,
3.6E06,2.192E+4,
3.625E006,2.207E+4,
3.65E06,2.175E+4,
3.675E006,2.157E+4,
3.7E06,2.201E+4,
3.725E006,2.189E+4,
3.75E06,2.186E+4,
3.775E006,2.144E+4,
3.8E06,2.187E+4,
3.825E006,2.163E+4,
3.85E06,2.173E+4,
3.875E006,2.142E+4,
3.9E06,2.162E+4,
3.925E006,2.126E+4,
3.95E06,2.134E+4,
3.975E006,2.141E+4,
4E06,2.111E+4,
4.025E006,2.106E+4,
4.05E06,2.125E+4,
4.075E006,2.093E+4,
4.1E06,2.099E+4,
4.125E006,2.092E+4,
4.15E06,2.094E+4,
4.175E006,2.089E+4,
4.2E06,2.088E+4,
4.225E006,2.102E+4,
4.25E06,2.103E+4,
4.275E006,2.066E+4,
4.3E06,2.061E+4,
4.325E006,2.093E+4,
4.35E06,2.051E+4,
4.375E006,2.064E+4,
4.4E06,2.062E+4,
4.425E006,2.064E+4,
4.45E06,2.029E+4,
4.475E006,2.047E+4,
4.5E06,2.034E+4,
4.525E006,2.065E+4,
4.55E06,2.069E+4,
4.575E006,2.026E+4,
4.6E06,2.027E+4,
4.625E006,2.012E+4,
4.65E06,2.012E+4,
4.675E006,2.030E+4,
4.7E06,2.015E+4,
4.725E006,1.995E+4,
4.75E06,1.999E+4,
4.775E006,2.004E+4,
4.8E06,1.979E+4,
4.825E006,2.013E+4,
4.85E06,1.992E+4,
4.875E006,1.971E+4,
4.9E06,1.995E+4,
4.925E006,2.007E+4,
4.95E06,1.952E+4,
4.975E006,1.972E+4,
5E06,1.963E+4,
5.025E006,1.963E+4,
5.05E06,1.971E+4,
5.075E006,1.979E+4,
5.1E06,1.937E+4,
5.125E006,1.951E+4,
5.15E06,1.933E+4,
5.175E006,1.930E+4,
5.2E06,1.937E+4,
5.225E006,1.938E+4,
5.25E06,1.930E+4,
5.275E006,1.915E+4,
5.3E06,1.913E+4,
5.325E006,1.927E+4,
5.35E06,1.890E+4,
5.375E006,1.919E+4,
5.4E06,1.891E+4,
5.425E006,1.889E+4,
5.45E06,1.894E+4,
5.475E006,1.909E+4,
5.5E06,1.884E+4,
5.525E006,1.883E+4,
5.55E06,1.880E+4,
5.575E006,1.887E+4,
5.6E06,1.884E+4,
5.625E006,1.876E+4,
5.65E06,1.842E+4,
5.675E006,1.873E+4,
5.7E06,1.868E+4,
5.725E006,1.867E+4,
5.75E06,1.880E+4,
5.775E006,1.836E+4,
5.8E06,1.863E+4,
5.825E006,1.833E+4,
5.85E06,1.851E+4,
5.875E006,1.840E+4,
5.9E06,1.832E+4,
5.925E006,1.834E+4,
5.95E06,1.829E+4,
5.975E006,1.823E+4,
6E06,1.834E+4,
6.025E006,1.803E+4,
6.05E06,1.796E+4,
6.075E006,1.785E+4,
6.1E06,1.809E+4,
6.125E006,1.795E+4,
6.15E06,1.809E+4,
6.175E006,1.803E+4,
6.2E06,1.793E+4,
6.225E006,1.750E+4,
6.25E06,1.794E+4,
6.275E006,1.751E+4,
6.3E06,1.779E+4,
6.325E006,1.777E+4,
6.35E06,1.753E+4,
6.375E006,1.765E+4,
6400000.500000,1.756E+4,
6425000.500000,1.762E+4,
6450000.500000,1.768E+4,
6475000.500000,1.777E+4,
6500000.500000,1.746E+4,
6525000.500000,1.746E+4,
6550000.500000,1.733E+4,
6575000.500000,1.741E+4,
6600000.500000,1.730E+4,
6625000.500000,1.751E+4,
6650000.500000,1.736E+4,
6675000.500000,1.744E+4,
6700000.500000,1.724E+4,
6725000.500000,1.708E+4,
6750000.500000,1.717E+4,
6775000.500000,1.713E+4,
6800000.500000,1.682E+4,
6825000.500000,1.714E+4,
6850000.500000,1.717E+4,
6875000.500000,1.711E+4,
6900000.500000,1.704E+4,
6925000.500000,1.673E+4,
6950000.500000,1.693E+4,
6975000.500000,1.672E+4,
7000000.500000,1.673E+4,
7025000.500000,1.659E+4,
7050000.600000,1.675E+4,
7075000.600000,1.673E+4,
7100000.600000,1.650E+4,
7125000.600000,1.642E+4,
7150000.600000,1.655E+4,
7175000.600000,1.679E+4,
7200000.600000,1.659E+4,
7225000.600000,1.651E+4,
7250000.600000,1.646E+4,
7275000.600000,1.639E+4,
7300000.600000,1.639E+4,
7325000.600000,1.641E+4,
7350000.600000,1.618E+4,
7375000.600000,1.623E+4,
7400000.600000,1.634E+4,
7425000.600000,1.626E+4,
7450000.600000,1.623E+4,
7475000.600000,1.645E+4,
7500000.600000,1.596E+4,
7525000.600000,1.604E+4,
7550000.600000,1.619E+4,
7575000.600000,1.610E+4,
7600000.600000,1.589E+4,
7625000.600000,1.599E+4,
7650000.600000,1.597E+4,
7675000.600000,1.608E+4,
7700000.600000,1.619E+4,
7725000.600000,1.566E+4,
7750000.600000,1.591E+4,
7775000.600000,1.601E+4,
7800000.600000,1.572E+4,
7825000.600000,1.588E+4,
7850000.600000,1.583E+4,
7875000.600000,1.553E+4,
7900000.600000,1.540E+4,
7925000.600000,1.555E+4,
7950000.600000,1.526E+4,
7975000.600000,1.566E+4,
8000000.600000,1.542E+4,
8025000.600000,1.551E+4,
8050000.600000,1.562E+4,
8075000.600000,1.555E+4,
8100000.600000,1.538E+4,
8125000.600000,1.537E+4,
