Labels,T27_decay_air,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,7.870E+2,
2.5E04,6.990E+2,
5E04,7.900E+2,
75000.006000,7.330E+2,
1E05,8.040E+2,
1.25E05,1.509E+3,
1.5E05,2.523E+3,
1.75E05,3.505E+3,
2E05,4.663E+3,
2.25E05,5.892E+3,
2.5E05,6.999E+3,
2.75E05,8.030E+3,
3E05,9.243E+3,
3.25E05,9.974E+3,
3.5E05,1.102E+4,
3.75E05,1.226E+4,
4E05,1.332E+4,
4.25E05,1.437E+4,
4.5E05,1.532E+4,
4.75E05,1.653E+4,
5E05,1.756E+4,
5.25E05,1.847E+4,
5.5E05,1.938E+4,
5.75E05,2.036E+4,
6E05,2.131E+4,
6.25E05,2.238E+4,
650000.050000,2.320E+4,
675000.050000,2.422E+4,
700000.050000,2.520E+4,
725000.060000,2.592E+4,
750000.060000,2.654E+4,
775000.060000,2.758E+4,
800000.060000,2.880E+4,
825000.060000,2.951E+4,
850000.070000,3.052E+4,
875000.070000,3.117E+4,
900000.070000,3.208E+4,
925000.070000,3.260E+4,
950000.070000,3.381E+4,
975000.080000,3.491E+4,
1E06,3.524E+4,
1.025E006,3.656E+4,
1.05E06,3.694E+4,
1.075E006,3.806E+4,
1.1E06,3.883E+4,
1.125E006,3.884E+4,
1.15E06,3.873E+4,
1.175E006,3.918E+4,
1.2E06,3.917E+4,
1.225E006,3.869E+4,
1.25E06,3.859E+4,
1.275E006,3.844E+4,
1.3E06,3.813E+4,
1.325E006,3.870E+4,
1.35E06,3.837E+4,
1.375E006,3.835E+4,
1.4E06,3.813E+4,
1.425E006,3.790E+4,
1.45E06,3.762E+4,
1.475E006,3.799E+4,
1.5E06,3.759E+4,
1.525E006,3.758E+4,
1.55E06,3.782E+4,
1.575E006,3.756E+4,
1.6E06,3.735E+4,
1.625E006,3.725E+4,
1.65E06,3.706E+4,
1.675E006,3.705E+4,
1.7E06,3.721E+4,
1.725E006,3.721E+4,
1.75E06,3.666E+4,
1.775E006,3.719E+4,
1.8E06,3.653E+4,
1.825E006,3.662E+4,
1.85E06,3.660E+4,
1.875E006,3.628E+4,
1.9E06,3.627E+4,
1.925E006,3.651E+4,
1.95E06,3.618E+4,
1.975E006,3.651E+4,
2E06,3.613E+4,
2.025E006,3.633E+4,
2.05E06,3.601E+4,
2.075E006,3.629E+4,
2.1E06,3.570E+4,
2.125E006,3.577E+4,
2.15E06,3.566E+4,
2.175E006,3.582E+4,
2.2E06,3.527E+4,
2.225E006,3.546E+4,
2.25E06,3.539E+4,
2.275E006,3.513E+4,
2.3E06,3.502E+4,
2.325E006,3.509E+4,
2.35E06,3.527E+4,
2.375E006,3.481E+4,
2.4E06,3.452E+4,
2.425E006,3.496E+4,
2.45E06,3.456E+4,
2.475E006,3.447E+4,
2.5E06,3.458E+4,
2.525E006,3.426E+4,
2.55E06,3.464E+4,
2.575E006,3.415E+4,
2.6E06,3.432E+4,
2.625E006,3.399E+4,
2.65E06,3.380E+4,
2.675E006,3.425E+4,
2.7E06,3.395E+4,
2.725E006,3.371E+4,
2.75E06,3.359E+4,
2.775E006,3.375E+4,
2.8E06,3.369E+4,
2.825E006,3.355E+4,
2.85E06,3.340E+4,
2.875E006,3.330E+4,
2.9E06,3.370E+4,
2.925E006,3.338E+4,
2.95E06,3.305E+4,
2.975E006,3.312E+4,
3E06,3.307E+4,
3.025E006,3.288E+4,
3.05E06,3.321E+4,
3.075E006,3.292E+4,
3.1E06,3.247E+4,
3.125E006,3.250E+4,
3.15E06,3.242E+4,
3.175E006,3.309E+4,
3.2E06,3.245E+4,
3.225E006,3.204E+4,
3.25E06,3.200E+4,
3.275E006,3.226E+4,
3.3E06,3.228E+4,
3.325E006,3.181E+4,
3.35E06,3.186E+4,
3.375E006,3.184E+4,
3.4E06,3.173E+4,
3.425E006,3.154E+4,
3.45E06,3.177E+4,
3.475E006,3.182E+4,
3.5E06,3.184E+4,
3.525E006,3.133E+4,
3.55E06,3.142E+4,
3.575E006,3.117E+4,
3.6E06,3.143E+4,
3.625E006,3.116E+4,
3.65E06,3.098E+4,
3.675E006,3.103E+4,
3.7E06,3.109E+4,
3.725E006,3.112E+4,
3.75E06,3.097E+4,
3.775E006,3.090E+4,
3.8E06,3.071E+4,
3.825E006,3.101E+4,
3.85E06,3.060E+4,
3.875E006,3.061E+4,
3.9E06,3.085E+4,
3.925E006,3.065E+4,
3.95E06,3.050E+4,
3.975E006,3.028E+4,
4E06,3.024E+4,
4.025E006,3.005E+4,
4.05E06,3.008E+4,
4.075E006,2.990E+4,
4.1E06,3.008E+4,
4.125E006,2.963E+4,
4.15E06,2.953E+4,
4.175E006,2.988E+4,
4.2E06,2.958E+4,
4.225E006,2.941E+4,
4.25E06,2.958E+4,
4.275E006,2.911E+4,
4.3E06,2.950E+4,
4.325E006,2.911E+4,
4.35E06,2.886E+4,
4.375E006,2.905E+4,
4.4E06,2.894E+4,
4.425E006,2.913E+4,
4.45E06,2.896E+4,
4.475E006,2.917E+4,
4.5E06,2.883E+4,
4.525E006,2.885E+4,
4.55E06,2.838E+4,
4.575E006,2.848E+4,
4.6E06,2.844E+4,
4.625E006,2.821E+4,
4.65E06,2.846E+4,
4.675E006,2.824E+4,
4.7E06,2.814E+4,
4.725E006,2.829E+4,
4.75E06,2.810E+4,
4.775E006,2.817E+4,
4.8E06,2.808E+4,
4.825E006,2.772E+4,
4.85E06,2.796E+4,
4.875E006,2.788E+4,
4.9E06,2.783E+4,
4.925E006,2.767E+4,
4.95E06,2.735E+4,
4.975E006,2.763E+4,
5E06,2.718E+4,
5.025E006,2.753E+4,
5.05E06,2.731E+4,
5.075E006,2.750E+4,
5.1E06,2.745E+4,
5.125E006,2.727E+4,
5.15E06,2.718E+4,
5.175E006,2.706E+4,
5.2E06,2.692E+4,
5.225E006,2.721E+4,
5.25E06,2.676E+4,
5.275E006,2.698E+4,
5.3E06,2.684E+4,
5.325E006,2.639E+4,
5.35E06,2.668E+4,
5.375E006,2.667E+4,
5.4E06,2.661E+4,
5.425E006,2.651E+4,
5.45E06,2.660E+4,
5.475E006,2.630E+4,
5.5E06,2.629E+4,
5.525E006,2.629E+4,
5.55E06,2.604E+4,
5.575E006,2.627E+4,
5.6E06,2.621E+4,
5.625E006,2.613E+4,
5.65E06,2.586E+4,
5.675E006,2.604E+4,
5.7E06,2.576E+4,
5.725E006,2.566E+4,
5.75E06,2.542E+4,
5.775E006,2.561E+4,
5.8E06,2.583E+4,
5.825E006,2.539E+4,
5.85E06,2.528E+4,
5.875E006,2.529E+4,
5.9E06,2.548E+4,
5.925E006,2.528E+4,
5.95E06,2.503E+4,
5.975E006,2.515E+4,
6E06,2.524E+4,
6.025E006,2.521E+4,
6.05E06,2.517E+4,
6.075E006,2.490E+4,
6.1E06,2.495E+4,
6.125E006,2.514E+4,
6.15E06,2.479E+4,
6.175E006,2.465E+4,
6.2E06,2.463E+4,
6.225E006,2.453E+4,
6.25E06,2.437E+4,
6.275E006,2.453E+4,
6.3E06,2.452E+4,
6.325E006,2.435E+4,
6.35E06,2.447E+4,
6.375E006,2.441E+4,
6400000.500000,2.412E+4,
6425000.500000,2.380E+4,
6450000.500000,2.400E+4,
6475000.500000,2.413E+4,
6500000.500000,2.365E+4,
6525000.500000,2.388E+4,
6550000.500000,2.398E+4,
6575000.500000,2.389E+4,
6600000.500000,2.412E+4,
6625000.500000,2.383E+4,
6650000.500000,2.370E+4,
6675000.500000,2.344E+4,
6700000.500000,2.342E+4,
6725000.500000,2.351E+4,
6750000.500000,2.366E+4,
6775000.500000,2.356E+4,
6800000.500000,2.310E+4,
6825000.500000,2.318E+4,
6850000.500000,2.319E+4,
6875000.500000,2.314E+4,
6900000.500000,2.330E+4,
6925000.500000,2.314E+4,
6950000.500000,2.300E+4,
6975000.500000,2.325E+4,
7000000.500000,2.309E+4,
7025000.500000,2.293E+4,
7050000.600000,2.262E+4,
7075000.600000,2.253E+4,
7100000.600000,2.286E+4,
7125000.600000,2.273E+4,
7150000.600000,2.249E+4,
7175000.600000,2.249E+4,
7200000.600000,2.243E+4,
7225000.600000,2.273E+4,
7250000.600000,2.215E+4,
7275000.600000,2.231E+4,
7300000.600000,2.225E+4,
7325000.600000,2.262E+4,
7350000.600000,2.224E+4,
7375000.600000,2.217E+4,
7400000.600000,2.207E+4,
7425000.600000,2.224E+4,
7450000.600000,2.214E+4,
7475000.600000,2.192E+4,
7500000.600000,2.192E+4,
7525000.600000,2.175E+4,
7550000.600000,2.173E+4,
7575000.600000,2.146E+4,
7600000.600000,2.150E+4,
7625000.600000,2.166E+4,
7650000.600000,2.130E+4,
7675000.600000,2.154E+4,
7700000.600000,2.129E+4,
7725000.600000,2.117E+4,
7750000.600000,2.155E+4,
7775000.600000,2.156E+4,
7800000.600000,2.143E+4,
7825000.600000,2.106E+4,
7850000.600000,2.130E+4,
7875000.600000,2.117E+4,
7900000.600000,2.096E+4,
7925000.600000,2.131E+4,
7950000.600000,2.115E+4,
7975000.600000,2.070E+4,
8000000.600000,2.060E+4,
8025000.600000,2.063E+4,
8050000.600000,2.061E+4,
8075000.600000,2.091E+4,
8100000.600000,2.053E+4,
8125000.600000,2.061E+4,
8150000.600000,2.073E+4,
